 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 -1.5203820369351299e-07 1.2598639475971433e-07 -6.910339014553676e-08 3.558066689245507e-08 1.5472971244433916e-07 -2.6890822507195144e-07 1.2255673485873678e-08 -4.633178709997655e-08 2.333605637892519e-07 -1.0652879406759238e-07 6.550526479185674e-06 -2.1616529199760163e-07 2.492615471487176e-07 -3.213113210497531e-07 -5.161415889928527e-08 -1.0921449526571033e-07 -3.433189689116471e-07 1.7944434286442645e-07 2.1232945015052158e-07 2.3379327413605077e-07 2.5915087795668934e-09 -6.386946158551303e-08 -9.010770391363616e-08 -3.0398578344092025e-06 2.4292564264149478e-06
PC11 9.29402831449817e-07 -7.063101458241591e-08 -1.4676099798314428e-07 1.6848858257520204e-07 1.641907003749468e-08 -6.864496458378081e-07 -1.524811131814762e-07 6.430996837069488e-07 -2.3213123853051764e-07 -1.5540772219942785e-07 -2.1616529199760168e-07 6.335706933771049e-06 -1.5184882534253687e-07 -4.546336687899327e-10 -3.2095165278129364e-07 1.6049206701736689e-07 1.5028345134452095e-07 1.4602200170351935e-07 -5.9040275095568375e-08 2.748419750172211e-07 2.0365626096906223e-07 4.958128421858196e-07 7.898097501212349e-07 4.64234376807997e-07 -8.50591376682043e-07
PC12 -4.980726406798901e-07 3.1682523119729374e-07 -3.391050135619235e-07 1.0654046590508635e-07 -3.905243932658738e-07 3.7298031400716126e-07 1.0350443729112495e-07 1.1353255321031925e-07 1.8669227906885202e-07 -1.6235061311796138e-07 2.492615471487172e-07 -1.5184882534253668e-07 5.935577987757157e-06 1.9215246942250693e-08 -6.55154857474834e-08 -1.5571046192695004e-07 9.87351234768123e-09 -6.905270672550977e-08 1.4896628693299467e-08 3.7168814735725096e-08 -1.0396747422290929e-07 -3.8589730966765907e-07 -2.4065614472448137e-06 2.3808848524388377e-06 2.6048762820126945e-06
PC13 9.416387709108423e-07 -8.034070151786044e-08 2.7998587361294276e-07 -4.1347382774508366e-07 -2.0387295372122876e-07 -6.096280576201345e-07 -3.024521543992593e-07 3.373146048233943e-07 1.2299342833612269e-08 2.8314333246172147e-10 -3.213113210497531e-07 -4.5463366879001206e-10 1.921524694225062e-08 6.0036980790516835e-06 -1.9152735061584805e-07 4.818678325215165e-07 2.5617618419757317e-07 5.898797831474748e-08 -5.1667064580270855e-08 -9.414028528612177e-09 3.6235433017087e-08 -2.2589968726228737e-06 3.2338928888220117e-06 -5.454691922700549e-07 -1.6388238496728913e-06
PC14 -9.267477605984095e-08 -1.4390248855901394e-07 -3.87559594588671e-07 -6.967906835670039e-08 -1.0953439383159851e-07 2.444423349199676e-07 -7.64113696232817e-09 -1.1042715333254684e-07 -6.039868357069338e-08 -3.0177414837367197e-07 -5.1614158899285436e-08 -3.2095165278129375e-07 -6.55154857474834e-08 -1.9152735061584797e-07 6.233535893097591e-06 -7.900125785461901e-08 -6.7588881361836e-08 -4.695748824898845e-08 1.6861514593547764e-07 1.0006961797583422e-07 -6.511200210321034e-08 -9.575255022420809e-07 -7.72905399779181e-07 3.51372644458225e-06 -6.737240547754361e-07
PC15 -9.996221930824244e-07 -3.087874671903735e-07 2.4204017957722217e-07 -2.0918272980317553e-09 -4.2453646570047506e-08 -1.1350157851262187e-08 1.5724228049137995e-08 -3.6082555746789455e-07 -1.95290639407446e-07 1.259937974381651e-07 -1.0921449526571025e-07 1.6049206701736673e-07 -1.5571046192694994e-07 4.818678325215163e-07 -7.900125785461904e-08 5.996427630313476e-06 2.4378021222518927e-07 -2.4136805806954415e-07 -9.487400650070722e-08 4.6445509533999914e-08 5.582167831192436e-08 -4.370256873917844e-07 -6.575518267768603e-08 4.2904252364095987e-07 1.4224670346179372e-06
PC16 -7.187847511279541e-07 -2.3973281703102866e-07 -7.210365354030444e-08 1.8262200434016647e-08 1.2389866330934656e-07 -9.766235472191745e-08 -1.468675896721023e-08 -2.3714849474866293e-08 9.750636229174973e-08 2.4506693467246206e-07 -3.4331896891164716e-07 1.50283451344521e-07 9.873512347681347e-09 2.561761841975734e-07 -6.758888136183612e-08 2.437802122251894e-07 5.9495697475798925e-06 2.629440588668742e-08 -2.608884370063189e-07 -2.2774330387296152e-07 -8.497303701477537e-08 -2.7125436729704705e-07 -2.3806140142787356e-06 7.544040487800659e-07 5.693074533742629e-06
PC17 -6.245859852331349e-07 -3.3596061845278217e-09 6.491061483584481e-07 -1.4059044016710115e-07 1.3600740310485234e-07 4.6434587845367797e-07 2.686469933252005e-07 -2.3193286961359224e-08 1.1983133972528276e-07 3.1393979810038783e-07 1.7944434286442642e-07 1.4602200170351924e-07 -6.905270672550983e-08 5.89879783147475e-08 -4.6957488248988576e-08 -2.4136805806954405e-07 2.629440588668741e-08 5.708644179082369e-06 1.8757046286702503e-07 -1.485991446619798e-07 -2.575592322766212e-08 1.1604821071559332e-06 -8.44588833297079e-07 8.365385915198209e-07 -2.5563589195138614e-06
PC18 4.405647747635669e-07 -2.015107711468292e-08 5.388976248070609e-08 -3.1517928031694896e-07 -2.053660863401104e-07 -1.7311942982148963e-07 -1.0697146890809158e-07 2.7188393761937448e-08 -1.5397783475485298e-07 -1.5025049497586724e-07 2.1232945015052158e-07 -5.9040275095568255e-08 1.4896628693299541e-08 -5.1667064580270875e-08 1.6861514593547772e-07 -9.487400650070722e-08 -2.6088843700631886e-07 1.8757046286702498e-07 5.501592638719029e-06 -5.2710385161234555e-08 3.1175467977812425e-08 1.5542637410756695e-07 1.0470125414653865e-06 -3.015002135101153e-07 -2.912672876504261e-06
PC19 1.2250564092875275e-06 7.625120438639556e-08 -3.2992540191807125e-07 2.2887601775730712e-07 -1.2225214975553021e-07 3.6232529960945464e-07 -2.754343819621738e-08 1.0905130149405325e-08 -2.1231061189420087e-07 -1.3604652440519906e-07 2.337932741360506e-07 2.748419750172211e-07 3.7168814735724983e-08 -9.414028528612027e-09 1.0006961797583416e-07 4.64455095339999e-08 -2.2774330387296138e-07 -1.4859914466197992e-07 -5.271038516123457e-08 5.783975731774722e-06 2.012597966516541e-07 -2.592353819250501e-07 -1.531037992958219e-06 4.5303378403898574e-07 4.869898229139896e-07
PC20 9.972679636407957e-08 1.1945374486790131e-08 7.350284594249013e-08 5.832339552893743e-08 4.594413338008479e-08 1.3466525058193025e-07 -2.566728614530706e-07 -1.4957421783030808e-07 1.9468316147818123e-07 -2.3858629122957495e-07 2.5915087795669757e-09 2.0365626096906218e-07 -1.039674742229093e-07 3.623543301708709e-08 -6.511200210321042e-08 5.582167831192442e-08 -8.497303701477545e-08 -2.5755923227662145e-08 3.1175467977812385e-08 2.0125979665165404e-07 5.263669621785032e-06 3.2276164299228537e-07 2.958485598088684e-07 2.682723481990737e-06 -1.5147024359141738e-06
proband 7.446899126783921e-06 1.8845138367602905e-07 -2.5052627464474056e-07 -7.934063657537186e-07 2.148440935015602e-06 1.8452697274793452e-06 -1.9646762103876336e-07 3.139032429707578e-07 -1.7497914154576387e-07 -1.1558334405033338e-06 -6.38694615855134e-08 4.958128421858201e-07 -3.85897309667658e-07 -2.258996872622875e-06 -9.575255022420792e-07 -4.370256873917836e-07 -2.712543672970473e-07 1.1604821071559324e-06 1.5542637410756833e-07 -2.592353819250485e-07 3.2276164299228654e-07 0.00038947402076397334 -0.0001960043636140423 -7.924985307715803e-06 6.607775093970003e-06
maternal 2.2180480094195753e-05 -5.862599311618721e-07 -1.3650636631055467e-06 4.016148599222294e-07 1.7801615122875548e-07 -6.946973482615036e-06 -2.1581238993291127e-06 7.46907746335736e-08 2.0769160456200917e-06 1.5329607227353068e-06 -9.010770391363759e-08 7.89809750121232e-07 -2.4065614472448116e-06 3.233892888822008e-06 -7.729053997791841e-07 -6.575518267768792e-08 -2.380614014278731e-06 -8.445888332970732e-07 1.047012541465384e-06 -1.5310379929582217e-06 2.9584855980886305e-07 -0.00019600436361404182 0.001304301857134428 -0.0008987346959970693 -0.0007822498513943726
gpm -4.223591161269605e-06 2.038820942658516e-06 -2.3236282258451397e-06 -2.4908496667540113e-06 1.3146085872379023e-06 6.674682921269875e-06 1.5614804818370672e-07 4.487443200347358e-07 -2.595513044352183e-06 -6.3299159783117395e-09 -3.039857834409201e-06 4.642343768079952e-07 2.380884852438831e-06 -5.454691922700425e-07 3.513726444582249e-06 4.29042523640965e-07 7.544040487800623e-07 8.365385915198149e-07 -3.0150021351011725e-07 4.5303378403899013e-07 2.6827234819907424e-06 -7.924985307716384e-06 -0.000898734695997067 0.0024450051441448763 -0.0006728830833920433
gmm -6.740095116184049e-05 1.093512220925616e-06 2.283827047448334e-06 -1.7374296357459609e-06 3.638623877540205e-06 2.36963177102771e-06 3.239163939571441e-06 -5.7932127374699414e-08 7.208155058365661e-07 -1.391126977105364e-06 2.429256426414948e-06 -8.505913766820353e-07 2.604876282012694e-06 -1.6388238496728934e-06 -6.73724054775432e-07 1.4224670346179353e-06 5.693074533742625e-06 -2.556358919513864e-06 -2.912672876504256e-06 4.869898229139868e-07 -1.514702435914172e-06 6.607775093969739e-06 -0.0007822498513943736 -0.0006728830833920411 0.002078061679479589
