 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
PC10 2.193828961451959e-07 8.670990710986729e-08 3.8476832545445306e-07 9.791024424271392e-08 2.680807237292992e-07 -3.168209534318129e-07 4.629709863150771e-08 -1.558642084173597e-07 9.53033768825591e-08 -3.2608987602402117e-07 1.1335510247491929e-05 -3.6114141436438136e-07 1.0627716184049027e-07 -3.2629316145161766e-07 -5.163138216588065e-08 2.2352853348285967e-07 -1.7908633769827218e-07 -1.4444125611382529e-07 2.1996159318449857e-07 5.598626727032557e-07 -1.8719632499710377e-07 -1.4691746808374842e-06 -3.0564777069575853e-06 6.487645919007352e-06 -7.148669601923019e-06 1.2308682504331039e-05 -1.0213918778030987e-05 1.7906180184146038e-06
PC11 3.768399554643542e-06 -5.223467882675564e-08 -4.86843019428582e-07 2.2683545470554383e-07 2.336914729683899e-07 -1.0636466468964631e-06 -4.3538057038094404e-07 1.1284453260659266e-06 -7.40063104789693e-07 7.016722602039354e-08 -3.611414143643814e-07 1.085373122892176e-05 -1.8778743826466427e-07 -4.01426293159132e-08 -3.9513462269593884e-07 2.3624656176012023e-07 2.490341582142583e-07 2.890817784640146e-07 3.1461801238448973e-09 5.104906493923048e-07 3.061133595465981e-07 -2.08608731900388e-06 1.4978285573739039e-06 1.9524446348921104e-06 -4.4281250528033725e-06 8.393224461737738e-06 3.8633420779081455e-06 -3.644191071595916e-06
PC12 -3.2980578767098504e-06 5.881295888989078e-07 -7.72731693719682e-07 2.764660024077386e-08 -7.957827424430786e-07 5.03169933379955e-07 1.446866273360285e-07 1.5315031335990924e-07 1.0523967807342347e-07 -4.2443752943514146e-07 1.0627716184049035e-07 -1.877874382646646e-07 9.604131468961048e-06 2.7296413982845297e-07 9.206848484753441e-11 -5.130041412565196e-07 -1.0733382384627006e-07 2.981149142338755e-08 -1.4379641167036835e-07 8.948995719622321e-08 -1.986641097589279e-07 -5.672366160330537e-07 -3.141579064775975e-06 -5.279611930922643e-06 1.3851875052784676e-06 2.3240705513486196e-06 1.3184419796587833e-05 -1.0680003492481884e-06
PC13 1.4964405593520684e-06 -1.2880088021271547e-07 5.387739082906678e-07 -5.538756325510097e-07 -4.5817778973784417e-07 -1.042726903151803e-06 -2.885503809663501e-07 4.324746888621354e-07 7.67118301929328e-08 -5.054583881365405e-08 -3.2629316145161756e-07 -4.014262931591299e-08 2.7296413982845313e-07 9.81859768029512e-06 -6.727326691960318e-07 9.451703545921393e-07 5.279046500353188e-07 3.653173268162268e-08 -1.3739490166749971e-07 -7.495946818188325e-08 3.1558554624326666e-08 -7.086902086250453e-07 -4.458765437079729e-06 5.4661209878878905e-06 -7.357818823044784e-07 1.3267139967185509e-06 -3.018957464017945e-06 -2.4745429162337557e-06
PC14 -1.6829439859552463e-06 -3.47431326775314e-07 -8.6186247730433e-07 3.970292766953798e-08 -1.0743253798225205e-07 5.832763152628494e-07 -2.710704537976256e-07 -1.4309365539495944e-07 -1.5328757682096338e-07 -7.322140444841606e-07 -5.163138216588065e-08 -3.9513462269593905e-07 9.206848484727568e-11 -6.727326691960317e-07 1.056285599207261e-05 -1.4339970075151283e-07 1.9546768522900336e-07 -2.0407580455528021e-07 1.1404134543744337e-07 -6.584528093447314e-08 -6.219975902042777e-08 -2.19024058538693e-06 -1.0696389917195553e-06 -1.3091067284070135e-06 2.8125943319092787e-06 2.4839493283533083e-06 9.872516553880914e-06 -5.480374817835507e-06
PC15 -2.0760204811966266e-06 -6.41515037027247e-07 3.373120312747161e-07 -1.7811133375167372e-08 -1.3959988613540072e-07 -9.08473090081833e-08 7.37298788576366e-09 -3.496095725873064e-07 -4.896826422215725e-07 2.944242690560489e-07 2.2352853348285954e-07 2.3624656176012015e-07 -5.130041412565196e-07 9.45170354592139e-07 -1.4339970075151275e-07 1.01598270025601e-05 4.87743687852925e-07 -7.228435092529003e-07 -3.141369388539775e-09 -8.58883529333375e-08 1.1068881588897986e-07 -1.6702851891845368e-06 -5.894358182039839e-07 1.6942862181736327e-07 4.282491474888983e-06 -3.2617501802252226e-06 -6.965132335803104e-07 1.8686681317990129e-06
PC16 -3.0705928765128216e-06 -5.378214046259069e-07 1.0888695624655742e-08 1.1225111225174368e-07 1.2938867934537323e-07 -1.4665073368145613e-07 -1.0628130227938779e-07 -3.0435657846849735e-07 -1.3055647706552557e-08 5.441236406999642e-07 -1.790863376982721e-07 2.490341582142585e-07 -1.0733382384626991e-07 5.279046500353189e-07 1.9546768522900336e-07 4.877436878529248e-07 1.0210134647781569e-05 -3.8661639003459673e-07 -9.53722569958414e-08 -5.794496575099806e-07 2.9190082258684016e-08 -2.4960878326307695e-07 -1.5269272919041968e-06 -7.83164740230154e-06 -6.4487874571451456e-06 9.251756690013242e-06 7.76688604144578e-06 8.88742363844134e-06
PC17 -1.1456675653141254e-06 1.8658084289624858e-07 7.282626516934461e-07 -3.2002320483119847e-07 1.715538552275466e-08 7.014424698297613e-07 2.409168535832588e-07 -1.3399182392457023e-07 1.0664472032620547e-07 5.820298186717741e-07 -1.4444125611382547e-07 2.8908177846401464e-07 2.981149142338773e-08 3.6531732681622606e-08 -2.0407580455528032e-07 -7.228435092529001e-07 -3.86616390034597e-07 9.405173224742558e-06 3.5887962798950057e-07 -2.2251396595080288e-07 5.7738066398081734e-08 2.9559617613747166e-06 -3.3261144085705914e-06 -2.2254007899664685e-06 8.325219956511928e-06 -3.6912497468833814e-06 3.274380903740641e-06 -3.4710311792123025e-06
PC18 -5.120089672292912e-07 -5.6294000471207116e-08 3.394185422887632e-07 -4.2198973336028045e-07 -4.3262704290585784e-07 -2.855332602382364e-07 -3.6915900704911235e-07 1.2539173093086675e-07 -4.7481737373274254e-07 -2.069705834515601e-07 2.199615931844988e-07 3.146180123844762e-09 -1.4379641167036835e-07 -1.3739490166749948e-07 1.1404134543744338e-07 -3.1413693885396894e-09 -9.537225699584141e-08 3.5887962798950057e-07 9.086215671909814e-06 -1.2928804675846657e-07 3.778003714352167e-08 8.274892081495466e-07 -1.332404583774338e-06 -2.8022049120179665e-06 3.814540626967419e-06 -3.6024535166126744e-06 7.522613335030998e-06 -5.297296858476445e-06
PC19 2.5611636991607477e-06 1.6813660871739334e-07 -4.521844483069125e-07 3.579639205027936e-07 -1.7921533212407036e-07 2.5779270705499717e-07 -1.3620410780209982e-07 4.3651322514032137e-08 -3.000065111763893e-07 -1.4985981870556862e-07 5.598626727032557e-07 5.104906493923047e-07 8.948995719622329e-08 -7.495946818188327e-08 -6.584528093447317e-08 -8.588835293333753e-08 -5.794496575099805e-07 -2.2251396595080315e-07 -1.292880467584666e-07 9.236629528259263e-06 4.385987441597103e-07 7.195913151766677e-07 5.636884352137438e-07 -2.660116691022214e-06 7.00746965788681e-07 -4.0353115244912325e-06 -1.0054418151159545e-06 2.8037456524602184e-06
PC20 3.559151967861022e-07 -6.234114513757909e-08 -3.2303884562336125e-07 1.1794476692251671e-07 1.5006392079953387e-07 1.0996041835522178e-07 -4.600685527090835e-07 -2.246112133874447e-07 2.828588015610886e-07 -5.339525203677566e-07 -1.871963249971036e-07 3.061133595465981e-07 -1.9866410975892787e-07 3.155855462432671e-08 -6.21997590204276e-08 1.1068881588898015e-07 2.9190082258684105e-08 5.773806639808176e-08 3.7780037143521686e-08 4.385987441597103e-07 8.48540273783486e-06 3.158905633894479e-06 -4.3545284082681995e-06 -2.469460055456329e-06 1.829898790032347e-06 -2.3602694764008947e-06 7.68753564983466e-06 -3.0705352913219033e-06
proband -1.1064146936954206e-05 -2.0592484495206517e-07 -2.0804122230035702e-06 8.822940001507025e-08 3.021213913222124e-06 1.5941747129552472e-06 1.6576843402107278e-06 -2.063930845722554e-06 1.3293118201491219e-06 -3.32025487883091e-07 -1.4691746808374737e-06 -2.0860873190038808e-06 -5.672366160330557e-07 -7.086902086250429e-07 -2.190240585386933e-06 -1.670285189184539e-06 -2.496087832630798e-07 2.9559617613747158e-06 8.274892081495449e-07 7.195913151766664e-07 3.1589056338944765e-06 0.0008553931342034118 -0.0004451364905036515 -0.0004217011646497869 1.218324380017596e-05 1.9722485015975657e-05 9.472751734163542e-06 -9.703557711321115e-06
paternal 5.810813071001862e-05 6.016357702508086e-07 9.52386603757143e-07 -4.938574220449822e-07 -1.0380888877880472e-05 3.744505100624809e-06 1.126744375605474e-06 3.668588091605687e-06 1.845335518322425e-06 -1.3109799426910109e-06 -3.056477706957597e-06 1.4978285573739125e-06 -3.1415790647759813e-06 -4.458765437079727e-06 -1.0696389917195545e-06 -5.894358182039686e-07 -1.5269272919042053e-06 -3.326114408570585e-06 -1.3324045837743325e-06 5.636884352137477e-07 -4.35452840826821e-06 -0.0004451364905036509 0.0023427476592236714 9.830681129147319e-05 -0.0016761432671543758 -0.001385961935760698 -2.4395423543279587e-05 0.00016009546961872785
maternal 0.00010631950926797341 -8.511078772976341e-07 -4.4572026044569e-06 1.3571190836003424e-06 -3.2904756950979616e-06 -1.0636563166052569e-05 -5.370708296502582e-06 5.542106950565407e-06 5.511212819418878e-06 -3.211564040474675e-07 6.487645919007351e-06 1.952444634892118e-06 -5.27961193092264e-06 5.46612098788788e-06 -1.3091067284070118e-06 1.6942862181736954e-07 -7.831647402301532e-06 -2.225400789966479e-06 -2.802204912017966e-06 -2.6601166910222116e-06 -2.469460055456328e-06 -0.0004217011646497885 9.830681129147438e-05 0.0025410806006476924 0.00010092561632187885 5.454410604009107e-05 -0.0018618785690018012 -0.0014455966546993244
gpp -1.0700224896556414e-05 -3.932184529210963e-07 -2.6494508865217026e-06 3.066340160243187e-06 7.826326484967948e-06 1.6739010649232973e-07 -1.839271620640689e-06 -1.9948782844113363e-06 1.07020801840826e-06 -7.2946777951699434e-06 -7.148669601923011e-06 -4.428125052803378e-06 1.385187505278481e-06 -7.357818823044652e-07 2.812594331909279e-06 4.282491474888968e-06 -6.44878745714514e-06 8.325219956511928e-06 3.8145406269674178e-06 7.007469657886825e-07 1.8298987900323714e-06 1.2183243800176323e-05 -0.0016761432671543784 0.0001009256163218788 0.0040241352855415165 -0.0007073044468515223 2.178323010191716e-05 -0.00010283467078155609
gmp -7.179756440013464e-05 3.255731389683815e-08 6.126369085388023e-06 -8.882079254342842e-06 1.1459278110363304e-05 -5.171418998867414e-06 -5.284285329951223e-06 -5.971063072739067e-06 -9.335357709201025e-06 5.372818460166209e-06 1.230868250433104e-05 8.393224461737731e-06 2.324070551348621e-06 1.3267139967185335e-06 2.483949328353309e-06 -3.261750180225229e-06 9.251756690013252e-06 -3.6912497468833895e-06 -3.6024535166126803e-06 -4.0353115244912385e-06 -2.3602694764008976e-06 1.9722485015974332e-05 -0.0013859619357606957 5.4544106040091894e-05 -0.0007073044468515247 0.0033649578017475768 -7.369594163414242e-05 -6.554038690827315e-05
gpm -4.2912478893837406e-05 6.265115071434576e-06 2.2681741059617552e-06 -7.236936089383659e-06 5.283917517402849e-06 1.5760289726231845e-05 -6.939077398395789e-06 5.0096696070821716e-06 -1.0861678600829776e-05 7.296792342577709e-06 -1.021391877803099e-05 3.863342077908139e-06 1.3184419796587845e-05 -3.0189574640179284e-06 9.872516553880912e-06 -6.965132335803138e-07 7.766886041445761e-06 3.2743809037406492e-06 7.522613335031002e-06 -1.0054418151159496e-06 7.687535649834664e-06 9.472751734164746e-06 -2.4395423543280298e-05 -0.0018618785690018031 2.178323010191704e-05 -7.369594163414208e-05 0.005341715352044546 -0.0017255832128354085
gmm -0.00013778554159868533 7.609237827065241e-07 3.2061078299678177e-06 5.240619257391361e-08 1.0134131313379766e-05 -3.5918726979290603e-06 9.70496591929622e-06 -9.353570516428833e-06 6.532936831358829e-06 -1.956425666624329e-06 1.790618018414602e-06 -3.6441910715959204e-06 -1.0680003492482002e-06 -2.474542916233759e-06 -5.480374817835508e-06 1.868668131799009e-06 8.887423638441343e-06 -3.4710311792122953e-06 -5.297296858476447e-06 2.803745652460209e-06 -3.0705352913219092e-06 -9.703557711320084e-06 0.00016009546961872733 -0.0014455966546993236 -0.00010283467078155584 -6.554038690827317e-05 -0.001725583212835411 0.004333039535019754
