 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -6.832447755852092e-07 -4.143285747136409e-08 9.140880732229741e-08 9.802705771995554e-08 7.048746758787267e-08 -2.2729319094070322e-07 -1.2436840855767142e-07 2.470544962708848e-07 -1.7543039808031118e-07 -9.822146728992923e-08 -1.395939953712059e-07 3.863298297573754e-06 -7.330363181699203e-08 -2.8359892103875282e-08 -7.205393999147895e-08 9.042568853128195e-08 2.3504706429282505e-08 1.21912897769804e-07 -2.875328104978359e-08 4.507031456172466e-08 1.4529490768699495e-07 3.111459393541951e-07
PC12 1.2008828419736546e-07 1.915163765497516e-07 -3.982309196952063e-08 6.85727919701016e-08 -1.875820683753296e-07 1.4468079089876893e-07 1.78742882806037e-08 6.431258809989163e-08 1.1322005586125379e-07 -2.0664403643605496e-08 7.933941266843309e-08 -7.330363181699204e-08 3.761445325454902e-06 -2.7208336417381413e-08 -1.7148136943355628e-08 -1.083251509331436e-07 -7.535856410073444e-08 1.3901457832163492e-08 1.8717840899021687e-08 -3.169670829030994e-09 -4.4172936916439926e-08 -3.1318663624413495e-07
PC13 1.201371144727016e-07 6.85661179481881e-09 1.7187086471540785e-08 -1.2596032672902065e-07 5.5511692460087606e-08 -1.6025723679295827e-07 -1.1281072241479661e-07 1.9053810212585073e-07 -6.196859699053041e-08 -8.762435906539957e-08 -1.3296870924831314e-07 -2.835989210387531e-08 -2.720833641738132e-08 3.57894098624593e-06 -6.233429447851051e-08 1.5202021524154136e-07 3.350741250246534e-08 1.0015226709754494e-08 -6.846887751519755e-08 1.3684566636900511e-08 4.5032794513064086e-08 -9.163122094759104e-08
PC14 1.6735789483828198e-07 -8.764713788504584e-08 -1.7019851286791144e-07 1.0460717598978453e-08 -4.853269640094141e-08 4.01740183549623e-08 -2.242398676944089e-08 1.1301044156012481e-08 4.199067156748909e-08 -2.2532695821414253e-08 -7.826990370337545e-08 -7.205393999147898e-08 -1.714813694335561e-08 -6.233429447851054e-08 3.828355065387859e-06 2.10799753937181e-08 -7.436009934487169e-08 -1.8426868903143514e-08 6.488386711677795e-08 1.0459895141717802e-07 2.325217746696461e-08 -3.714986396749507e-07
PC15 -4.0048009652400224e-07 -1.478360304489255e-07 8.15418067044859e-08 -2.579473471506813e-08 -3.3845719700043166e-09 3.8972620924700044e-08 -7.080568780630259e-09 -1.226039504931565e-07 -5.567628920827418e-08 5.3409329601494296e-08 -7.413256770757107e-08 9.042568853128193e-08 -1.0832515093314367e-07 1.5202021524154134e-07 2.107997539371813e-08 3.6347071298556765e-06 7.334974393087711e-08 -1.1343595817045248e-07 -5.1204042767991995e-08 7.311932532537232e-08 7.787533945944394e-08 5.039086399548033e-09
PC16 -5.6018311341987814e-08 -1.213469622432682e-07 -1.2465445856164163e-07 2.991302430052212e-10 2.4009361681082374e-08 -3.837523152514957e-08 -1.9587575315199803e-08 -5.510871056702259e-08 3.31660933800869e-08 1.1049072056317747e-07 -1.1708147217825564e-07 2.350470642928246e-08 -7.535856410073443e-08 3.350741250246539e-08 -7.436009934487166e-08 7.334974393087709e-08 3.745601949023713e-06 1.821237604660101e-08 -3.9770456719284257e-08 -9.896514249481934e-08 -6.376033618273065e-08 -1.5033927733565963e-07
PC17 2.697103837933607e-07 1.8506523130492564e-08 1.3303938241814042e-07 -7.597039510732204e-08 -1.6657057319341982e-08 1.6312476200665438e-07 2.1307686249676902e-07 -1.4405077281566434e-08 3.90020913446245e-08 1.1217636805005452e-07 3.1237639217206855e-08 1.21912897769804e-07 1.3901457832163506e-08 1.0015226709754526e-08 -1.842686890314351e-08 -1.134359581704525e-07 1.82123760466011e-08 3.4403857944968645e-06 -8.51806496153685e-09 -1.2656178760233651e-08 1.920832178906678e-08 -8.29526252704258e-08
PC18 3.7249560591257976e-09 4.383794066089209e-08 -2.1265568364689613e-08 -1.1253690408813319e-07 -3.491722279795524e-08 -8.157507988612451e-08 -5.659000950243529e-08 4.5719877098932216e-08 -3.01775994540684e-08 -1.738708727405069e-07 1.274109623283103e-07 -2.8753281049783554e-08 1.8717840899021723e-08 -6.846887751519751e-08 6.488386711677797e-08 -5.120404276799202e-08 -3.97704567192843e-08 -8.518064961536874e-09 3.460489803296876e-06 -3.198056270089059e-08 3.566149344565386e-08 4.456007751448652e-08
PC19 4.927458836426775e-07 2.4217584142134645e-08 3.287225602141747e-08 8.085226248291594e-08 -6.647513694377396e-08 5.812631057567776e-08 -1.0958404479169769e-08 -2.4221955396916687e-08 -5.866253501255217e-08 -6.70344621972167e-08 1.234384003355277e-07 4.50703145617246e-08 -3.1696708290309828e-09 1.368456663690045e-08 1.0459895141717804e-07 7.311932532537239e-08 -9.896514249481928e-08 -1.265617876023364e-08 -3.19805627008906e-08 3.4512481021697626e-06 8.204891593192784e-08 -1.0301796307882387e-07
PC20 4.482304081752755e-07 2.1634937230857517e-08 2.11091156285678e-08 2.6284158832204682e-08 -2.7388178187658856e-08 7.068467486436243e-08 -9.547657115198211e-08 -8.138162437108267e-08 6.780228070533995e-08 -5.4534250282508455e-08 7.980950560039468e-09 1.4529490768699485e-07 -4.4172936916439946e-08 4.503279451306409e-08 2.3252177466964584e-08 7.787533945944389e-08 -6.376033618273068e-08 1.9208321789066776e-08 3.566149344565391e-08 8.204891593192784e-08 3.233137706948935e-06 2.889785388991182e-07
proband -4.737713857971134e-06 2.0664313188515033e-07 3.0609956011327865e-07 -8.717387708123693e-07 2.0343789232796613e-06 2.3486073295328562e-07 -3.3016088879586234e-07 7.801851498503566e-09 -1.222964220157146e-07 1.8943100592398305e-07 1.492424926370712e-07 3.111459393541954e-07 -3.131866362441352e-07 -9.163122094759041e-08 -3.714986396749502e-07 5.039086399548407e-09 -1.5033927733565981e-07 -8.295262527042583e-08 4.456007751448707e-08 -1.0301796307882378e-07 2.8897853889911825e-07 0.0001819507839128912
