 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
PC10 -1.262156083098704e-07 4.168749138480792e-08 8.597995691332744e-09 2.874819552486253e-08 9.76700370736284e-08 -7.94248775349991e-08 6.6777035323579565e-09 -3.874858327388969e-08 1.1088958279506484e-07 -2.653402485233631e-08 4.351137958859881e-06 -1.7890812056604185e-07 1.1116887319589763e-07 -1.7931510707882452e-07 -1.030835100480334e-07 -8.130599057759716e-08 -1.5144321516306425e-07 2.4612261250102872e-08 1.5002627130377013e-07 1.3764241026593546e-07 3.664033005740732e-08 9.981793145993859e-08 -1.3703976220241176e-07 -5.647452099883617e-08
PC11 -1.847162631168662e-07 -4.115103023852976e-08 5.036296704240386e-08 1.164956671173653e-07 9.388583038572553e-08 -2.777604214981716e-07 -1.4607955335969393e-07 3.1115494706671817e-07 -2.036099701071421e-07 -1.3078277119255555e-07 -1.789081205660419e-07 4.313417823750391e-06 -7.118335962346889e-08 -4.635779583984757e-08 -9.061161535493372e-08 8.633836441552297e-08 9.277117168360747e-09 1.5760063167483194e-07 -2.6164384357932663e-08 7.467836714122471e-08 1.490493990985293e-07 8.997546408276148e-08 9.978727855212752e-07 -2.620748068300534e-08
PC12 5.657403680793645e-08 2.2070587165692315e-07 -8.218783012024402e-08 7.157105972172962e-08 -2.171147434646499e-07 1.610365783206855e-07 1.0040151802611784e-08 6.60267556060166e-08 1.0862991395926331e-07 -2.5181130820427673e-08 1.1116887319589763e-07 -7.118335962346895e-08 4.179832826604109e-06 2.040577413229844e-08 -2.5580457886592584e-08 -9.917044625057625e-08 -7.631946288923064e-08 -4.32442088454347e-09 3.909842460506568e-08 -4.8468937117675745e-08 -6.271308609464814e-08 -3.185530161061356e-07 2.0825538612640755e-07 -3.581839813721247e-08
PC13 8.214865775383924e-09 -4.230755909883145e-09 6.43137260456872e-08 -1.6143510511305547e-07 1.6292870574815187e-08 -2.2993218920466e-07 -1.367611731306622e-07 2.398939596397734e-07 -6.103519691847177e-08 -1.0882288048125462e-07 -1.7931510707882442e-07 -4.635779583984763e-08 2.0405774132298438e-08 4.0068148746373735e-06 -9.347085328278085e-08 1.8208619934039066e-07 5.489647748112514e-08 1.3008438281936017e-08 -9.452377999717045e-08 3.935640606428741e-08 3.3160006551013086e-08 -4.1917794707393404e-08 -1.3617411911754468e-06 6.605283753312383e-07
PC14 1.7873500130116476e-07 -9.717178812000948e-08 -2.1430761213295713e-07 3.263605694541321e-09 -7.267165467856388e-08 4.0747060108099245e-08 -2.5912811593459034e-08 -6.903466577909644e-09 4.2055729722406296e-08 -3.662030131449716e-08 -1.0308351004803337e-07 -9.06116153549338e-08 -2.558045788659255e-08 -9.347085328278089e-08 4.30564250959171e-06 -6.313620387580665e-09 -9.43157085434631e-08 -2.2855647120162482e-08 6.764140214894585e-08 1.1248033111540487e-07 3.3147749420454007e-09 -5.788889424253952e-07 -1.6216769407764402e-07 3.949227812276209e-07
PC15 -5.207220187141407e-07 -1.7641424914749206e-07 1.221804540118663e-07 -2.016203060570719e-08 -3.076186053718677e-08 5.555536938045873e-08 -2.925170358488045e-09 -1.4791194921111675e-07 -8.732607717271662e-08 4.939448639895448e-08 -8.130599057759713e-08 8.633836441552288e-08 -9.917044625057623e-08 1.8208619934039058e-07 -6.313620387580713e-09 4.056200694294018e-06 1.1564940849550557e-07 -1.5184452706135705e-07 -7.05647473938571e-08 8.617970254139524e-08 8.579782605628868e-08 3.438258463827401e-08 -4.618680353146109e-07 5.89970154671621e-07
PC16 -1.8074572533105902e-07 -1.5386647259421212e-07 -1.4913869884225183e-07 4.723269802246516e-09 5.298556881220594e-08 -3.19687969886021e-08 -2.0708506230895975e-08 -8.584204876830222e-08 5.020687768357129e-08 1.1406422004334559e-07 -1.5144321516306425e-07 9.277117168360744e-09 -7.631946288923072e-08 5.4896477481125124e-08 -9.431570854346302e-08 1.1564940849550557e-07 4.205789889702919e-06 -1.3625721293115572e-08 -4.1177034424221016e-08 -1.0971953087865975e-07 -7.265442307026665e-08 -3.293352550352887e-07 2.6443243295719157e-07 9.501991407166854e-07
PC17 3.965635555673733e-07 2.6449238285188963e-08 1.331798135367677e-07 -9.6953709240688e-08 -7.323606505134604e-09 2.1766952192839681e-07 2.2695802091531225e-07 -3.676019114779386e-08 6.122747113247562e-08 1.2383977040597444e-07 2.461226125010281e-08 1.5760063167483194e-07 -4.324420884543458e-09 1.3008438281936101e-08 -2.2855647120162423e-08 -1.5184452706135703e-07 -1.3625721293115652e-08 3.830320776377242e-06 -1.9707935553512155e-08 -1.806213138733931e-08 1.0618216508365138e-08 8.06876553758933e-08 4.677196628092605e-08 -8.38269420043154e-07
PC18 -1.0253082236375214e-07 4.863391656114189e-08 -2.482949285430147e-08 -1.299536190132973e-07 -8.378800052838868e-08 -1.0347995217638002e-07 -4.38734679571612e-08 6.283424538406118e-08 -3.8803815043299496e-08 -1.6634383342078953e-07 1.5002627130377013e-07 -2.6164384357932647e-08 3.9098424605065664e-08 -9.452377999717038e-08 6.764140214894583e-08 -7.056474739385712e-08 -4.1177034424221016e-08 -1.970793555351208e-08 3.854445923569896e-06 -1.9649997649336016e-08 4.7007417425382285e-08 5.478022527249702e-07 -1.0171442301331048e-06 -5.621372242476389e-07
PC19 6.112364544854267e-07 2.7992056100052784e-08 6.792669656936595e-09 1.167616791490682e-07 -6.784208673827093e-08 7.141508809101664e-08 -1.6350933469914014e-08 -2.907602212678589e-08 -5.324055443720034e-08 -6.995596192400704e-08 1.3764241026593548e-07 7.46783671412247e-08 -4.846893711767572e-08 3.935640606428741e-08 1.1248033111540491e-07 8.617970254139527e-08 -1.0971953087865976e-07 -1.8062131387339394e-08 -1.964999764933599e-08 3.8653225123993095e-06 1.092228430046818e-07 1.366825733832103e-07 -5.470285036271547e-07 -2.053871614738e-07
PC20 2.8581740368212787e-07 2.3840345708738382e-08 -1.5055941302004936e-08 3.993573440749419e-08 -2.357996179601347e-08 6.556388360041666e-08 -1.0272266142432108e-07 -1.1167631010206376e-07 8.758570852945312e-08 -7.768571177722513e-08 3.664033005740735e-08 1.4904939909852933e-07 -6.271308609464818e-08 3.316000655101314e-08 3.3147749420453982e-09 8.579782605628866e-08 -7.265442307026678e-08 1.06182165083652e-08 4.700741742538231e-08 1.0922284300468188e-07 3.598946081675086e-06 2.7439958806614296e-07 -6.32099741674854e-07 7.245748824326851e-07
proband 7.108003336682209e-06 -1.1396750078346899e-07 1.4011130742840815e-07 4.5120270114065536e-08 8.200256306101746e-07 3.602371001519993e-08 7.468564365554488e-08 -2.3055504915235964e-07 -2.7306657148325294e-07 -9.236901275525022e-08 9.981793145993818e-08 8.997546408276163e-08 -3.1855301610613544e-07 -4.1917794707392636e-08 -5.788889424253957e-07 3.4382584638275375e-08 -3.29335255035288e-07 8.068765537589355e-08 5.478022527249704e-07 1.3668257338321e-07 2.7439958806614164e-07 0.0003281747564954371 -0.0001788012872426872 -0.00016604631940236137
paternal -5.179358945525747e-06 2.560650878813509e-07 7.068002555102261e-07 -1.186252931738157e-06 1.096953291184893e-06 1.4790766039859592e-06 -1.0656325215633344e-06 1.0170798635743875e-06 1.8681868740184432e-07 -1.9439438242566507e-07 -1.3703976220241162e-07 9.978727855212752e-07 2.082553861264066e-07 -1.3617411911754479e-06 -1.621676940776438e-07 -4.618680353146122e-07 2.644324329571917e-07 4.677196628092612e-08 -1.0171442301331056e-06 -5.470285036271551e-07 -6.320997416748527e-07 -0.0001788012872426872 0.00047980099176505675 1.6486658970814078e-05
maternal -2.3702742699666352e-05 7.872027284724107e-07 -3.496978015265747e-07 -1.5553896315499933e-06 2.9144613848512977e-06 -7.006547209558689e-07 -5.547317193956697e-07 2.0026844446097936e-07 4.7510150446123206e-07 5.752167703336142e-07 -5.647452099883616e-08 -2.6207480683005413e-08 -3.581839813721199e-08 6.605283753312374e-07 3.9492278122762133e-07 5.899701546716207e-07 9.501991407166847e-07 -8.382694200431543e-07 -5.621372242476377e-07 -2.053871614737998e-07 7.24574882432686e-07 -0.0001660463194023614 1.648665897081408e-05 0.0004435836690292057
