 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 -2.217374153446248e-07 2.3615130587623293e-07 -3.038417018440319e-07 -3.2597237398740284e-09 3.9118320523249103e-07 -2.521590897728193e-07 3.218108998543115e-07 6.895215207269722e-10 4.1377985615260897e-07 -4.7606069787632533e-08 9.966984590662589e-06 -2.63180008439721e-07 1.245620432110454e-07 -4.935559895529519e-07 -1.3738708992463495e-07 -1.4468153259943846e-07 -5.535694211228058e-07 4.134832958307883e-07 3.9369121616426334e-07 1.9581651144463622e-07 -9.162091490583461e-08 -7.380325495055217e-07 3.336339008785127e-06 -1.6129138063940443e-06 -7.1719165277320425e-06
PC11 3.3991825265408144e-07 -1.2434567839129898e-07 -2.976536218822014e-07 2.775091309345858e-07 8.323406190873239e-08 -1.032705033541184e-06 -1.990196121534701e-07 8.001304754455227e-07 -1.7915969870044004e-07 -2.609430405839422e-07 -2.6318000843972104e-07 1.0062422171126131e-05 -1.6248843280120465e-07 -2.2384635876339004e-08 -4.21514005875577e-07 4.2670166113749046e-07 2.876399369863815e-07 2.0533227075316092e-07 -2.5463622243310077e-07 3.25299598292265e-07 4.000949258941923e-07 -1.0889920785850909e-07 5.505018120616206e-07 -7.355353816632363e-06 5.231036723031624e-07
PC12 -2.0892380591507453e-07 4.60120605966212e-07 -1.1662366666592057e-07 1.5137660530615674e-07 -6.298039371776414e-07 6.666447137586363e-07 5.524950301460555e-08 -5.5863604704790674e-08 6.695872078072194e-07 -1.7337701987935948e-07 1.2456204321104514e-07 -1.6248843280120436e-07 9.638051356135583e-06 1.1143586466200255e-08 -3.54807374419939e-07 -4.159198427241958e-07 -3.2460672206074914e-08 -3.000212847610268e-07 -7.735248115987482e-08 -1.1987170848256193e-08 -8.380967665078556e-08 3.117138624230617e-06 1.4671250327863262e-06 -4.332554056169142e-06 -5.257917336287515e-06
PC13 1.9341781389728298e-06 -1.6462037484406098e-07 6.212615230346976e-07 -5.511461501384211e-07 -2.845236716103554e-07 -7.788734037759633e-07 -4.0841021341652466e-07 3.811535247616599e-07 -8.022095321598564e-08 -9.115044088178075e-08 -4.935559895529521e-07 -2.238463587633911e-08 1.1143586466200114e-08 9.263619607235402e-06 -3.972652341514523e-07 8.196643407287453e-07 3.280279957996756e-07 2.980368383085922e-09 3.598700628341046e-08 -1.6689270588893314e-09 -6.230673138560338e-08 -9.70068859846492e-07 -1.3304063984353128e-06 -2.0399763299046476e-08 6.825106085111175e-07
PC14 -2.3554802414356483e-07 -2.7880311810036506e-07 2.7350150093826398e-09 -1.777751537090705e-07 9.583897797384409e-08 1.6895912639551537e-07 -3.2119581193371474e-07 5.4901035697842636e-08 -2.630711461343608e-07 -3.310864350693536e-07 -1.373870899246352e-07 -4.215140058755765e-07 -3.5480737441993865e-07 -3.972652341514525e-07 9.937261811938806e-06 -1.3192822351171172e-07 -9.224704564768148e-08 2.2000856171762026e-08 2.8646959995943345e-07 1.424690221910328e-07 -1.420755302407546e-09 6.003978406385851e-07 2.1998612031196636e-06 -5.316630942005929e-06 -3.064321166300813e-07
PC15 -1.6265413490452927e-06 -4.925592737967678e-07 3.8851526609747895e-07 1.6893338005910762e-07 -1.4877044233821744e-07 -1.2505973497174108e-07 2.1040216141925244e-07 -7.202253908876558e-07 -5.34621717006091e-07 8.729292336555701e-08 -1.4468153259943865e-07 4.267016611374905e-07 -4.159198427241962e-07 8.196643407287453e-07 -1.3192822351171135e-07 9.357762595621518e-06 1.7936962097638893e-07 -2.8022875683045694e-07 2.032413023133339e-09 -2.660215839464615e-07 -5.4083477456054105e-08 -9.894380919247362e-07 -2.828101948607761e-06 1.6243017049101074e-06 4.62876306993639e-06
PC16 -2.24148225300789e-06 -2.7069933996813165e-07 -9.553238240586625e-08 9.316586893322214e-08 1.8210403138664866e-07 -6.978357072920415e-08 -2.727344327989141e-07 1.2265217143420856e-07 2.7209417017176545e-07 4.412152321161478e-07 -5.535694211228059e-07 2.876399369863814e-07 -3.246067220607506e-08 3.2802799579967606e-07 -9.224704564768157e-08 1.793696209763889e-07 8.963037287673275e-06 1.9207500901140954e-07 -7.766477549735226e-07 -5.92526822788402e-07 -2.7588564019159544e-07 1.5241329261534995e-06 -6.365546270436683e-07 -3.2947698544535296e-07 -2.650686741341619e-06
PC17 -7.913828960190866e-07 -5.338183988846791e-08 6.862996359381562e-07 -2.729413589441168e-07 8.027646571430078e-08 3.072097627180692e-07 1.3390669563116092e-07 -3.3769248089431263e-07 4.413176107960837e-07 4.777146959021095e-07 4.134832958307883e-07 2.0533227075316076e-07 -3.0002128476102677e-07 2.980368383085707e-09 2.2000856171761768e-08 -2.8022875683045683e-07 1.9207500901140962e-07 8.919672393181048e-06 2.959277269627458e-07 -4.4525006806781947e-07 2.569321049903355e-07 7.680376530412935e-08 1.6669529721476286e-07 -3.2122071952022896e-06 9.79298905730517e-06
PC18 1.6903208480672353e-06 -2.2596674637106286e-08 7.15970393890344e-08 -3.9374172873291066e-07 -3.609687457231297e-07 -1.7943005300953626e-07 -5.480035417250368e-08 -5.81547867114431e-08 6.232225160198985e-08 -1.852230227552765e-07 3.936912161642635e-07 -2.5463622243310056e-07 -7.735248115987456e-08 3.5987006283410235e-08 2.864695999594332e-07 2.032413023133183e-09 -7.766477549735225e-07 2.959277269627463e-07 8.78353005788889e-06 -2.5546209030426344e-07 1.8303732198968417e-07 1.0928931181388782e-07 -2.9549155056964784e-06 -5.694763079561255e-07 1.0418243848548026e-05
PC19 8.489546731621213e-07 1.2667060191055512e-07 -7.678044083969863e-07 2.938988387126868e-07 -9.960208662796884e-08 3.6149613459520783e-07 9.527636408320171e-08 2.462841366590213e-07 -7.31936559699889e-07 -5.782118830903008e-07 1.9581651144463588e-07 3.252995982922651e-07 -1.1987170848256175e-08 -1.6689270588892462e-09 1.4246902219103304e-07 -2.6602158394646145e-07 -5.925268227884018e-07 -4.4525006806781936e-07 -2.554620903042634e-07 8.995361874768054e-06 4.4663080127536815e-07 1.505211517828963e-06 3.2246977187888327e-06 5.638055401867928e-06 -9.568048684211973e-06
PC20 3.4199178860902345e-07 4.869423590367743e-08 -2.264194718227295e-07 1.3718045882536694e-07 1.1517902977798869e-07 3.321004087702488e-07 -4.3894209561067085e-07 -2.413026730140888e-07 1.4440604835002855e-07 -3.664907208604801e-07 -9.162091490583497e-08 4.0009492589419246e-07 -8.380967665078538e-08 -6.23067313856032e-08 -1.420755302407732e-09 -5.4083477456053886e-08 -2.7588564019159544e-07 2.569321049903357e-07 1.8303732198968415e-07 4.4663080127536794e-07 8.283373248231754e-06 -7.742492541403686e-07 1.433017907498969e-06 -5.458366333952856e-06 8.459807070267613e-06
proband 8.435503489707783e-06 -2.533741695567101e-06 9.492265707292429e-08 1.3044563444985e-06 -1.6251542749877665e-06 -2.6716224624342534e-06 -1.3779023609852502e-06 2.9601713768462016e-06 -3.80402367595284e-07 -5.433914810502273e-07 -7.380325495055243e-07 -1.0889920785850774e-07 3.117138624230619e-06 -9.700688598464907e-07 6.003978406385847e-07 -9.894380919247343e-07 1.5241329261535003e-06 7.680376530412923e-08 1.0928931181388991e-07 1.505211517828961e-06 -7.742492541403689e-07 0.000536448539656859 -0.00026998565104311106 4.02169636282111e-05 -2.96922898284397e-05
maternal -6.0219452161456605e-06 4.211195382695165e-06 -2.3558322619912844e-07 -2.4623455206734434e-06 -5.847007316859212e-07 -6.818014063027878e-06 -4.5409974335597275e-06 2.8177503449907145e-06 9.59575914784363e-06 -2.3980064896732107e-06 3.336339008785128e-06 5.505018120616116e-07 1.467125032786329e-06 -1.330406398435313e-06 2.1998612031196636e-06 -2.8281019486077613e-06 -6.365546270436745e-07 1.6669529721476382e-07 -2.954915505696476e-06 3.2246977187888403e-06 1.4330179074989705e-06 -0.00026998565104311133 0.0023210304213317707 -0.001690455873089432 -0.0016152849058095901
gpm -5.046588351977804e-06 -7.80554646574071e-06 -1.4024210290289542e-06 -6.515444326266782e-07 2.152286919154063e-06 1.5932657920596227e-05 1.091443715946991e-05 5.730890214056979e-06 -7.302326730031732e-06 3.3429515465966528e-06 -1.6129138063940456e-06 -7.3553538166323636e-06 -4.332554056169146e-06 -2.0399763299046972e-08 -5.316630942005925e-06 1.6243017049101078e-06 -3.294769854453486e-07 -3.212207195202292e-06 -5.694763079561285e-07 5.638055401867931e-06 -5.4583663339528535e-06 4.0216963628211144e-05 -0.0016904558730894317 0.004360226754299756 -0.0009541273910987334
gmm 5.42160286834343e-06 -2.8590198462284654e-06 2.3924508019173105e-06 3.0333328444960754e-06 -3.5468925362831613e-06 -1.560332728893625e-06 -7.719165889350252e-06 -1.61927055927791e-05 -1.1660301359221206e-05 7.939323644095557e-07 -7.171916527732043e-06 5.231036723031711e-07 -5.2579173362875205e-06 6.825106085111144e-07 -3.0643211663009036e-07 4.628763069936387e-06 -2.6506867413416134e-06 9.792989057305173e-06 1.0418243848548019e-05 -9.568048684211982e-06 8.459807070267613e-06 -2.969228982843964e-05 -0.0016152849058095903 -0.0009541273910987323 0.00433665604642717
