 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0004212666183882961 1.247319497588546e-06 -4.530819155739004e-07 2.4766683679481755e-07 5.299979252455192e-07 -6.297841334282711e-07 1.8942156509626407e-06 3.5672054555875005e-07 1.405431432588162e-06 9.56995685717967e-07 6.454182285028093e-07 3.498855615366914e-06 -2.639810473830762e-06 1.5756130685413116e-06 -1.4765663908328085e-06 -2.0984013758237604e-06 -1.8990427782891486e-06 -1.3816674290037671e-06 -9.110779256481966e-07 2.085491750572554e-06 1.4011630360561852e-07 4.7688743050196245e-06 -7.416884767281916e-06 3.188359301516539e-05 1.2024338288028507e-05 -3.6870942219081933e-06 -2.4560209693014507e-05 -7.01459656411719e-05
PC1 1.247319497588546e-06 1.5185595263432992e-06 -1.4722552737896098e-06 -1.3958568068849852e-07 -6.11908007185436e-08 -2.3843207484235775e-07 1.2537889946933246e-07 1.0029112621671422e-07 1.2584369458188826e-07 -2.6233053699727626e-08 1.0437665987080791e-07 -2.3422594259790392e-08 4.6430498325259345e-07 -6.355694256698437e-08 -2.8571075101930553e-07 -5.358137126115251e-07 -4.697560433373806e-07 1.914228759459603e-07 -8.235602419315373e-08 1.2223034947527966e-07 -6.739186534814982e-08 -1.7112037963746676e-08 -2.970759155713501e-06 1.5329951844994425e-06 -8.694105629040242e-07 5.556494025070992e-07 -5.812976298333991e-06 -1.94569731850166e-07
PC2 -4.530819155739021e-07 -1.4722552737896095e-06 3.692159468943146e-05 8.47597153754471e-07 1.0648461390037428e-06 -3.610351761414355e-07 -9.159107038551175e-08 -2.2945394924514188e-07 8.039014498195986e-07 -1.8158740479557925e-07 3.230767791642593e-07 -5.664369810325599e-07 -7.842963330489983e-07 4.0723510585325103e-07 -8.629070088926909e-07 2.3512782939923167e-07 -6.746393361021873e-08 6.186739690378265e-07 2.9714023264939736e-07 -4.462788425257766e-07 -3.136231237328699e-07 3.763277091478187e-06 -5.792783571117352e-06 2.334135429500387e-06 2.5600970083912707e-05 -6.768705504862447e-06 2.339251717216097e-06 -2.9068634220091473e-06
PC3 2.4766683679481723e-07 -1.3958568068849858e-07 8.475971537544713e-07 2.9603241088056914e-06 1.1559218528394644e-07 7.856178465526865e-07 -8.073019989429843e-09 3.184401210775104e-07 -1.2315667309174645e-07 -7.20483345220401e-07 1.1549010663935162e-07 2.477887914930009e-07 2.996781300892628e-08 -4.913971443327997e-07 3.313814438937515e-08 -2.304708640216666e-08 1.354164647897868e-07 -3.3270310534554454e-07 -3.5716761086666333e-07 3.0149432629640727e-07 8.226582232591428e-08 -5.637221636882466e-07 1.2806939231999914e-06 -2.6888004033000345e-07 3.2381032707997916e-06 -1.7502320769545054e-06 -1.933021373495934e-06 7.933317972094702e-07
PC4 5.299979252455189e-07 -6.119080071854358e-08 1.0648461390037434e-06 1.1559218528394653e-07 5.711953810709428e-06 1.3570980006016662e-06 -2.2474057282732667e-07 1.5191527687128712e-07 -9.686192806583786e-07 3.01713157300319e-07 2.0962957820329353e-07 1.7372261415286444e-07 -6.580498720859434e-07 -3.332518616362266e-07 -1.1883269764017554e-07 -1.5450579620309457e-07 8.309337095254901e-08 5.197750322867251e-08 -2.950119608349163e-07 -2.067175263963279e-07 1.0883208618725693e-07 -3.223399964579433e-07 5.762597419389149e-07 -7.024516539748982e-06 6.345159012442085e-06 -1.1150732415221328e-05 3.933872574799409e-06 6.499352162205431e-06
PC5 -6.297841334282696e-07 -2.3843207484235775e-07 -3.610351761414349e-07 7.856178465526872e-07 1.3570980006016662e-06 1.1638526643905115e-05 3.5388086455356637e-07 9.136711663776656e-07 -6.955416485796578e-07 -3.4183174431099663e-07 -3.0457400960566055e-07 -9.594240969725112e-07 3.2650241151714874e-07 -8.802303629493906e-07 4.591620379327397e-07 -5.083125408399152e-08 -1.2946699066656868e-07 5.778973615558235e-07 -2.49048778541557e-07 2.3473199285873287e-07 1.2731614201207852e-07 -1.756884114950534e-06 -9.277876011764373e-07 -1.7708781305545655e-06 5.0526511032471076e-06 -4.41835024674259e-06 1.2258870011148062e-05 -3.3199349282121413e-06
PC6 1.8942156509626394e-06 1.253788994693324e-07 -9.159107038551159e-08 -8.073019989429828e-09 -2.247405728273267e-07 3.5388086455356637e-07 1.1387310719039948e-05 -3.513185088207065e-08 3.6338846291158406e-07 1.889483881216777e-07 7.02913835106631e-08 -3.4130289945703987e-07 9.243398782612871e-08 -1.8007926369561917e-07 -1.920802768478086e-07 -5.3052154155724414e-08 -3.066684277302218e-08 2.066969639875594e-07 -3.4735557401268124e-07 -1.8615862032594354e-07 -4.2856414639427915e-07 2.4630507187866907e-06 -5.136873932751425e-06 -2.333627790919918e-06 -4.543600026312228e-06 -8.891244169819914e-08 4.71351070016419e-06 -8.022721009264693e-06
PC7 3.5672054555874915e-07 1.0029112621671415e-07 -2.2945394924514146e-07 3.1844012107751077e-07 1.5191527687128717e-07 9.13671166377666e-07 -3.5131850882070986e-08 9.388871703902838e-06 6.781669498761974e-07 -1.819462281728621e-07 -8.31146625733326e-08 1.0035597787386888e-06 1.7743931214858808e-07 3.618738352285452e-07 -1.839315165268529e-07 -2.9762183056951606e-07 -2.858640293527772e-07 -1.3442652662391792e-07 6.828186007541084e-08 5.7993156547971586e-08 -2.229349509024244e-07 2.0468782428726132e-06 5.32348093900341e-06 -1.8350397717436205e-07 -1.5486622178469385e-07 -6.4366204891420055e-06 4.275982718270349e-06 -9.171889299222575e-06
PC8 1.4054314325881606e-06 1.2584369458188824e-07 8.039014498195979e-07 -1.2315667309174664e-07 -9.686192806583786e-07 -6.955416485796574e-07 3.6338846291158443e-07 6.781669498761975e-07 1.0280821106278983e-05 3.4852061771979437e-07 1.828216771089934e-07 -5.833889604541737e-07 5.355251521897179e-08 9.822970566887501e-08 -6.427507882134954e-08 -5.035848926775704e-07 4.2989193491870663e-08 9.875412216823128e-08 -5.47818929385629e-07 -2.251607231390992e-07 2.3694933333041763e-07 5.173485936466656e-07 -1.1567415686568087e-06 4.19901465942802e-06 -5.255384565358539e-06 4.945925142421395e-08 -4.6998978088261e-06 -1.2824419432076196e-05
PC9 9.56995685717966e-07 -2.623305369972775e-08 -1.8158740479557928e-07 -7.20483345220401e-07 3.017131573003191e-07 -3.4183174431099615e-07 1.889483881216777e-07 -1.8194622817286194e-07 3.485206177197944e-07 8.793962622988415e-06 -3.045119710030655e-07 6.274797409342401e-08 -4.005850123806512e-07 -5.2084700192519296e-08 -6.607906382477945e-07 2.1873625107010753e-07 3.776753626934609e-07 5.167236572487479e-07 -1.6456565454494617e-07 -9.400603852289763e-08 -4.779469050370325e-07 1.436064732555473e-07 -3.262538491217082e-06 2.1926653224227257e-07 5.509449955360879e-06 1.5341535320095177e-07 -3.0805930912618317e-06 -4.842790357936966e-07
