 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.040739949961376e-05 7.533660340378153e-08 6.24144025431514e-08 -9.503192237893261e-07 1.465008583582041e-07 1.4985453421522206e-09 -7.2258679618974274e-12 -5.0988597512074155e-09 4.3332441822464805e-11 2.7064882673807665e-06 2.6215268550928203e-06 3.0138546571159777e-06 -4.3234219446444875e-05 4.4489107760672775e-05 -6.981473307363399e-05 4.962270956350412e-05 -4.4410633805777864e-05 -1.0358201853664952e-05 -8.204751187996082e-05 -1.539203456207205e-05 -2.0392249984674624e-05 -5.1162008778277586e-05 2.798298365480914e-06 -3.5293495988977824e-05 -7.370416073452853e-06 2.344101088370065e-06 -4.2574045602507484e-05 -4.831250134967754e-05 6.332843311244885e-05 -1.5905277778219658e-06 1.3007198292169958e-06 1.704515652015211e-06
yob 7.533660340377229e-08 9.989125298327912e-08 3.673664465820634e-08 2.0416027767849512e-07 -3.566230290014303e-08 1.5979813580539101e-09 -1.4075206662790025e-11 4.740096496242449e-10 -4.594646748772246e-13 4.405188861711759e-07 7.364202878038997e-06 5.89782270185547e-07 -6.502078362635074e-06 -1.17200968950413e-06 -3.3894263199515017e-06 -2.591201527826477e-08 -2.6179936483627495e-06 4.6081934282177125e-06 -1.6058194010158077e-06 -4.057480772688508e-06 5.90275909992561e-06 -4.923999989212426e-06 -2.7305902997063207e-06 8.739191239648482e-06 2.877080944830872e-06 2.8725804644234056e-07 -2.1351668573569184e-06 3.0444575279711263e-06 -1.1465906029100702e-05 -3.1638345364131096e-08 1.7415365585305826e-08 2.4624168729913255e-08
age 6.241440253403243e-08 3.673664465845887e-08 1.371628359536189e-05 0.0001711250945407056 -1.3531336914354708e-05 -3.037450855646048e-07 2.025841124230846e-09 3.007651045254473e-07 -2.007527174548356e-09 -4.340321390511334e-06 -4.018559309802788e-06 -1.4526023108970823e-05 -8.89284690610694e-06 1.69576950749917e-05 5.53935300956693e-06 1.7017572343145656e-06 4.203076553300716e-06 -4.3304788696694844e-06 1.4249614918618993e-05 1.5828454966409953e-05 -1.5868466704438867e-05 2.591693704866732e-06 -1.5828386045994252e-05 -2.178543258835326e-06 5.043201413167841e-06 -1.2381243122061539e-05 -1.9923862687136048e-05 -1.4045520807192073e-05 3.229883525663164e-05 -2.2386525553689673e-07 5.6768182522534315e-08 9.135078887664401e-08
sex -9.503192239559848e-07 2.0416027768322199e-07 0.00017112509454064468 0.004503538927499123 -0.0003190963213889067 -3.5944897685494277e-06 2.3121664137674167e-08 6.678311308183064e-06 -4.2857185465345966e-08 1.2947392892990545e-05 -4.1310527629749864e-05 -8.623036030585283e-05 3.335735169484269e-05 -2.150448264806855e-05 0.00012242931469429996 9.300981851453625e-05 0.0001232204686475414 -1.5540096997511335e-05 7.195479127718244e-05 -6.318962630772941e-05 -0.00015347074875837546 -0.0002470713327933658 -9.41354802942201e-06 -9.189561663816241e-05 0.0001700544366198286 -2.667803753834052e-05 -0.00011931229156151783 -2.7792343295041317e-05 5.7022922882758296e-05 -1.0759538953581138e-06 3.3000135388465376e-07 -1.6768207603099415e-06
age_sex 1.465008583784058e-07 -3.5662302900421906e-08 -1.3531336914349893e-05 -0.0003190963213889178 2.466862223865366e-05 3.001009395403099e-07 -2.0031005900592677e-09 -5.439960588054846e-07 3.6180135967610146e-09 -2.313074502005889e-06 9.160351542257739e-06 1.2963557193174032e-05 -3.0017837519237597e-07 1.2562107984286124e-06 -1.5003706166069701e-05 -4.8173920559548606e-06 -1.2666807518976202e-05 5.47347111132716e-06 -8.379439786914155e-06 2.5362334830933396e-06 9.35777598933572e-06 1.5922943072712687e-05 3.7707959609164538e-06 1.0365693545127219e-05 -1.02182603668343e-05 -5.529996468966165e-07 1.2434366450211448e-05 3.150240691259709e-06 -7.2312388052003914e-06 1.1440418649494874e-07 3.344559986824288e-08 1.2162794208008338e-07
age2 1.4985453423241055e-09 1.5979813580475359e-09 -3.037450855646127e-07 -3.594489768551027e-06 3.001009395404344e-07 7.045423879502271e-09 -4.8416442980070396e-11 -6.935178569738821e-09 4.768323203117207e-11 1.4450882866590488e-07 4.43292560514769e-07 4.2091365475171235e-07 8.200750971379995e-08 -2.6552371662783156e-07 -2.784627175406275e-07 -6.34937801801955e-08 -2.6016415174928057e-07 2.786579193032697e-07 -4.414198612706193e-07 -5.030278519564246e-07 4.280007257764338e-07 -1.9994974352174946e-07 3.777413738937151e-07 3.192827414044722e-07 6.474024417936184e-08 2.873034881335333e-07 3.6708423642450294e-07 3.1732030241566566e-07 -1.0585809762867363e-06 4.996416564331628e-09 -5.048146633307486e-11 -1.1988718810958591e-09
age3 -7.2258679633110266e-12 -1.4075206662765337e-11 2.0258411242309045e-09 2.3121664137686025e-08 -2.0031005900601875e-09 -4.8416442980070894e-11 3.40517361272343e-13 4.762759884599273e-11 -3.351585296387015e-13 -1.347479497121699e-09 -3.743287169748822e-09 -3.1894104708061287e-09 -8.162104718450255e-10 1.5033062966310978e-09 2.0162628301408137e-09 5.484312197891037e-10 2.203025018628623e-09 -2.317909114544171e-09 3.194789115084418e-09 3.746140276125977e-09 -2.773892111871403e-09 1.508225092899761e-09 -3.0875440448561475e-09 -2.7663226792507377e-09 -1.1041991087518905e-09 -2.0410703846616556e-09 -2.355834599679528e-09 -1.788066465678578e-09 7.97214390229029e-09 -3.617619492700299e-11 -4.037875356122182e-12 3.5842316148249108e-12
age2_sex -5.098859751636222e-09 4.740096496337647e-10 3.0076510452534496e-07 6.6783113081834995e-06 -5.439960588054998e-07 -6.935178569736087e-09 4.762759884597248e-11 1.245328944767511e-08 -8.521840038622544e-11 6.05503722660357e-08 -2.729564790549102e-07 -3.661928361427293e-07 -1.9603537686578162e-08 -4.124077335187838e-08 4.1569078362369335e-07 8.354920633447388e-08 3.04096102014214e-07 -1.7088354008816187e-07 2.6089188859998475e-07 4.416524131285439e-08 -1.7951046101433302e-07 -2.902379365065052e-07 -1.5819116359079942e-07 -3.0825935212186196e-07 2.1248371501477976e-07 7.1210594577346355e-09 -2.982028534687029e-07 -5.3617080178932364e-08 2.1935926946380713e-07 -2.6844179292945897e-09 -1.4294824534239674e-09 -2.4206862645994684e-09
age3_sex 4.333244182543185e-11 -4.594646749459491e-13 -2.0075271745476918e-09 -4.285718546535015e-08 3.6180135967612127e-09 4.768323203115405e-11 -3.3515852963856706e-13 -8.521840038622744e-11 5.970325874690799e-13 -3.0921253898687043e-10 2.1371326404270235e-09 2.8336741027612603e-09 2.407971257953691e-10 3.97434951832541e-10 -3.1862262559859534e-09 -3.772318442898206e-10 -2.078243103245406e-09 1.3097422385971308e-09 -2.2157146708915004e-09 -8.517669810285889e-10 1.0620443158617159e-09 1.6747454487930827e-09 1.4697734138471193e-09 2.4300376710830203e-09 -1.4519336718412821e-09 5.881517647931264e-11 2.0403484231053484e-09 -6.985429964330198e-13 -1.694679293958164e-09 1.9330585843096396e-11 1.1975693495616428e-11 1.4581807588110687e-11
PC_3 2.706488267378909e-06 4.4051888617115895e-07 -4.340321390513705e-06 1.294739289294598e-05 -2.3130745020019088e-06 1.445088286659633e-07 -1.3474794971221243e-09 6.055037226593887e-08 -3.092125389861778e-10 0.026484723055570876 0.000620501162331926 0.0017044536076620668 -0.00012703331971061107 -0.004188178920130936 0.0016421008986809015 0.0037724281677028633 -0.004148978082309336 -0.00043685910373661836 -0.0015248379818944243 0.000744760702193271 0.004835752927092984 0.002882834310712415 -0.0014642678992074242 -0.009562658963442178 0.00096384080953735 -0.0008672238041311776 0.003079276614363592 -0.0005204066619073308 0.004839069359121264 -7.2023435671500525e-06 1.2001863746668349e-05 1.3639244541522178e-05
