 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0009970766096568486 -2.325665003586351e-06 0.0001714330503176709 -0.0001292452936138821 -3.3843044269821043e-07 -5.874612309347983e-06 5.963332647885331e-08 3.1667964430846e-07 -5.106913159794767e-09 -0.0005973508805670555 7.951637150015334e-05 -0.0003215199385096346 0.00045506000869821573 0.0005184342392424156 -0.0005099550966429854 -0.00041308981959977206 3.5301655537082402e-06 -0.0005157673473040915 -0.00110743918961329 -0.0003049264947165986 -0.0003481753929544306 -0.00035509842280846465 0.00021851890362731353 -0.0004067311794943733 -0.0006110371690860535 -0.00012084779310421035 -0.0005254839230972371 0.0007753987843226904 0.0008712798687790576 -2.382369950609843e-07 -1.9751667787515346e-05 8.402095045732252e-06 1.6844373044913573e-05
yob -2.325665003586036e-06 7.783507627426538e-07 6.987789640630966e-07 6.326827959761778e-06 -7.469434909669279e-07 -2.7977659885779306e-09 2.073953247098445e-11 1.9025056642331727e-08 -1.3943869048569773e-10 7.5091014014457385e-06 0.00010464222125687687 2.6697943367308436e-05 -7.854802448029664e-05 2.4193610655280848e-05 -5.996971677608871e-05 -9.00328866356358e-06 -3.762978471684619e-05 6.811962415720087e-05 5.28356096501878e-06 -5.91397334627009e-05 5.402518169376405e-05 -7.196190540971096e-05 -1.2846898498195366e-05 7.099079419881881e-05 4.785394010781816e-05 4.028047886168039e-06 -1.2646704899907833e-05 3.623815793846754e-05 -0.0001025605985010633 -1.2311536163757532e-07 -1.9792540471744097e-08 -5.947072246605598e-07 6.226942238489406e-07
age 0.00017143305031808032 6.987789640633889e-07 0.00020753900708264905 0.002270003903954878 -0.00020661698317505522 -5.6599509155923165e-06 4.765840553394513e-08 5.648270732976088e-06 -4.7547296101657894e-08 -2.2057125689083977e-05 -7.136396091614891e-05 -0.00012110145004480828 -9.996358837619799e-05 -0.0001482200095740382 -2.6575321670022326e-05 -5.859889813983576e-05 -0.0001487923309730888 -2.5898045081460956e-05 -0.00018986715957061288 -0.0001400498037329098 -3.264932305730718e-05 -4.644554551482898e-05 -8.568478945530462e-05 -0.00025229892221902763 -0.00024872848508671345 0.00010513161757354767 -9.296966075244402e-05 -2.2275229549917614e-05 0.00023048225336042968 -2.2153641812312412e-06 -5.9349454373688176e-08 -2.0744365378972527e-07 1.1138119696446543e-06
sex -0.00012924529360396495 6.326827959754625e-06 0.002270003903959254 0.0503328634299558 -0.004242649555298084 -5.877434763960418e-05 4.75700633405712e-07 0.00011003883610137041 -8.918419179310117e-07 0.0004690632730087484 0.0005688300279681316 -0.0014163852849446614 0.00013681284606611207 -0.004339124298063805 0.00019741838583958444 0.0011326728264641813 -0.0017519659751183492 -0.0020819337410211817 -0.0025120378140233253 -0.002171229024547546 -0.0028219164821939573 -0.003788569070604957 -0.001922900243095612 -0.007330001218880367 -0.002025132963166519 0.0015912004410158433 0.00120892079769286 -0.0007998228379189644 -1.790351664289571e-05 -1.001958640694655e-05 2.4361702847230854e-05 2.5425769110393602e-05 -4.288889167223076e-05
age_sex -3.384304436734123e-07 -7.469434909713991e-07 -0.0002066169831755131 -0.004242649555298046 0.00038098019589320834 5.635075859093647e-06 -4.7456755937615455e-08 -1.0354175848640607e-05 8.697289022082955e-08 -4.763213767911548e-05 -3.377408485311879e-05 0.00011800478148698402 -1.0630707435637394e-05 0.00037579878523305636 -2.5023176663453635e-05 -8.062722001891701e-05 0.00013614253823518086 0.00019172180966717389 0.00020955048234196574 0.00022104593136787574 0.00013907133042778504 0.00029667534433043937 0.00020496544489155801 0.0006595941009607521 0.00023581863982512745 6.467985345429807e-05 -4.4264534348485715e-05 0.00010764652860184332 -1.389356718815294e-05 1.2667992923646537e-06 -1.4363757850695531e-06 -2.1829014452689282e-06 2.70768746970442e-06
age2 -5.874612309360826e-06 -2.7977659886169078e-09 -5.659950915593396e-06 -5.877434763948284e-05 5.635075859081008e-06 1.612855230296697e-07 -1.4036965705089566e-09 -1.6061924125767514e-07 1.3978531096935173e-09 7.345465371729413e-07 4.432278616340902e-06 3.759836975980826e-06 4.49235951464678e-08 5.8641168144968286e-06 -8.47677260545914e-07 2.024983920453059e-06 2.239532601025408e-06 3.281265891553817e-06 5.0820753238210125e-06 3.268975981940423e-06 9.214716879801095e-07 -2.2816335915790254e-07 1.4066168842062015e-06 8.343525578146747e-06 8.798066599052409e-06 2.263847494636301e-07 1.9295347432397203e-06 -3.265915792114999e-07 -7.029348934516176e-06 6.137445007673897e-08 3.210968221450859e-09 1.8650063166605907e-08 -3.8368508690148535e-08
age3 5.96333264789795e-08 2.0739532470976697e-11 4.765840553396175e-08 4.757006334046753e-07 -4.745675593750753e-08 -1.403696570509172e-09 1.255720668248006e-11 1.3979872060794131e-09 -1.2505295151890627e-11 -8.24741573081347e-09 -3.1640752249572467e-08 -3.185729292385012e-08 7.824547278883545e-09 -5.480649595762778e-08 4.841351336644726e-09 -2.2143910354532612e-08 -1.1809361575719423e-08 -3.605944079004027e-08 -4.779218052517048e-08 -3.670791766770525e-08 -3.6879032153268555e-10 -6.266289951767703e-10 -1.0221689764751398e-08 -6.634573134623038e-08 -8.602119221889973e-08 -2.5897843787612115e-08 -1.6381067433142627e-08 1.5747832229499775e-08 4.51259015412529e-08 -5.079665085470008e-10 -1.6429488266825515e-11 -2.880227460444378e-10 3.7658302434019146e-10
age2_sex 3.166796443400108e-07 1.902505664230553e-08 5.648270732990118e-06 0.00011003883610137075 -1.0354175848640738e-05 -1.6061924125806462e-07 1.39798720608274e-09 2.922761535867564e-07 -2.531117066265704e-09 1.35735869503011e-06 8.14963336394835e-07 -2.7661856129932857e-06 6.325017982138339e-07 -1.0449770231551287e-05 7.233685426103608e-07 2.2371177389159542e-06 -3.209523545699877e-06 -5.771599293763151e-06 -5.794350004614042e-06 -6.610157925617223e-06 -1.6183523468814328e-06 -6.70925489405563e-06 -6.581982454126298e-06 -1.726157761576269e-05 -8.461337641676473e-06 -6.597646001571777e-06 4.558396809989708e-07 -4.096716201429049e-06 -7.256472759048987e-08 -3.308215692221782e-08 2.8804766749822275e-08 5.980697816285647e-08 -5.786863970872917e-08
age3_sex -5.106913160079277e-09 -1.3943869048573893e-10 -4.754729610178837e-08 -8.918419179310286e-07 8.697289022083237e-08 1.397853109697144e-09 -1.2505295151921625e-11 -2.5311170662657554e-09 2.24949888709683e-11 -1.1360310778553053e-08 -6.5223565048319655e-09 2.1892559183550324e-08 -1.1639268097786349e-08 9.2924045456339e-08 -4.542618054522997e-09 -2.115978373201885e-08 2.141796335732112e-08 5.4273670896335434e-08 5.242733447475066e-08 6.286037257262344e-08 6.675284948314991e-11 4.639923680353795e-08 6.413165312146924e-08 1.3430360147721753e-07 9.343591005993681e-08 9.146560584842605e-08 1.4792405188060332e-09 4.376969613003664e-08 8.8928390226567e-09 2.535942570837075e-10 -2.036061164574981e-10 -5.236640098938333e-10 4.154548776192219e-10
PC_3 -0.0005973508805668971 7.509101401446381e-06 -2.2057125688898006e-05 0.0004690632730113663 -4.763213767937838e-05 7.345465371673322e-07 -8.247415730762365e-09 1.3573586950379112e-06 -1.1360310778623278e-08 0.17057817474382808 -0.010526021630366443 0.002476719924926946 0.013438656176745641 -0.004143666744606777 0.015468067474051756 0.01613512431723471 -0.04105794161425725 -0.018358814339755232 -0.01458759640175962 0.024243564491492665 0.012579464785167365 0.038861958099576016 -0.013207451291660266 -0.08628980691801501 -0.01931256814245114 -0.010436364200575202 0.03252214309075499 -0.01672126767750209 0.0539958372813866 -1.799973337040411e-05 -7.212432153883667e-07 -4.4263093560895196e-05 0.00017226901317171287
