 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_4 3.936940214632247e-06 7.92997925534703e-06 4.493491759815334e-06 7.66239796443265e-05 1.6716320101596495e-06 2.9026797194120413e-07 -2.8623913203464027e-09 -1.23326183780422e-07 1.1881344597736777e-09 0.001007325148163476 0.11418602304653867 -0.0032262569171420813 0.006665242895257771 -0.004026147469877529 -0.00042819784294968516 -0.004245204063896767 -0.0005191064608609967 -0.00822076926535602 0.002070512459346058 0.005856435368210656 -0.011225781657982443 -0.006632526113904147 0.008522953222872021 0.006322269225843019 -0.0038336046876627874 0.00286517250782015 -0.004496336452522392 -0.0005810204813053988 0.0052767932160369445 1.0080719235766954e-06 4.158523138868807e-05 3.110254169393961e-05
PC_5 -1.616584534179271e-06 6.19142535352195e-07 -2.5997212051490977e-06 -1.1904731913718135e-05 7.643443926282867e-06 1.733652817705994e-07 -1.586873828937391e-09 -2.4751557038754315e-07 2.0073793988652074e-09 0.0016428625089013231 -0.0032262569171420787 0.1484891150353244 -0.0026778626684760554 -0.003990805599656861 -0.0009117469677818727 0.004544236671583923 -0.010214629751191962 -0.0016841704396618929 -0.011207223943921868 -0.007459223093865441 -0.0005663133155533223 -0.009528980039525717 0.008079823199239089 -0.016389202228554375 0.005541379613135499 0.0033791468987249052 -0.0016427030712801874 -0.002105724675503893 0.00994167030865801 1.1644563372281669e-06 -1.87305468830299e-05 -1.4244331211034456e-05
PC_6 -4.170809913747468e-05 -7.140264183751469e-06 -2.786269688477812e-05 1.8152241369392526e-05 -8.23634897266911e-07 3.8956030515645095e-07 -2.3630649286735796e-09 1.4576633883161775e-08 -8.176156660985094e-11 -0.00018786857224563027 0.006665242895257771 -0.0026778626684760645 0.18857497387963687 0.003050395479336052 0.00522263754349968 -0.006456926420452361 -0.006018562513802263 0.0042673008139819816 -0.008422811696367587 0.0003045267981349231 0.0005594941366788686 -0.015487103675569594 0.008870170852932886 0.016235178305061097 -0.003510733518545051 -0.0004518594468064896 -0.007051664973289518 -0.0021757397722938932 -0.006555901452466754 6.585377807948039e-06 -5.545804984541653e-07 -2.548936005281445e-06
PC_7 7.141670667160952e-05 -2.5676968846439743e-06 5.652611282283169e-06 2.5292178868238774e-05 -2.570716750118252e-06 -8.028544907952003e-08 4.753596245708122e-10 5.059105682925234e-08 -2.6036342611696873e-10 -0.0052168416483938706 -0.004026147469877511 -0.003990805599656831 0.0030503954793360453 0.23503982187972866 0.008551935276166846 -0.0011540378916993584 -0.00969539853265926 0.009616311764824786 0.006704489670995581 0.02117552607064967 0.007519718186007377 -0.0223238079006854 -0.0151792018057522 0.018318824006534746 -0.007890543763067933 -0.007025155628509311 -0.0013340238931463207 0.007454658625468143 -0.009627484559444866 -3.5266652199957247e-06 -2.3120677358924412e-05 -3.677967023457017e-05
PC_8 -8.962863937084602e-05 -3.244784480017189e-06 9.455017180222179e-06 0.0001472348351561091 -1.4795127716135129e-05 -3.42451595077097e-07 2.3764319318987107e-09 3.8103907913318865e-07 -2.809444098451156e-09 0.0026185138523425184 -0.0004281978429496976 -0.0009117469677819201 0.005222637543499682 0.008551935276166904 0.2526275260787468 0.009212982527402614 0.010138458775370562 -0.003604730082545099 -0.003977090704102288 -0.01065211036533334 0.007558862035134305 0.021349560865078547 -0.01294406556917597 0.007643484871488049 0.015343160113078529 0.0028287730815983727 -0.0014526303409726838 0.0016370851915453147 -0.010088986093815313 -1.926429715377993e-06 -6.342484238363507e-06 -2.7471184280079516e-05
PC_9 5.304613656432108e-05 -1.1714591663012185e-08 8.0183592653291e-06 0.0001903310900743307 -1.1290796859072986e-05 -1.813769166971791e-07 1.2452637613169686e-09 2.1892897883138366e-07 -1.304497280159991e-09 0.004304187731606674 -0.004245204063896747 0.004544236671583982 -0.006456926420452372 -0.001154037891699344 0.009212982527402465 0.33527381160298503 0.01118964421537921 0.0007090757569095777 -0.0177334058095703 0.009117371126653815 -0.0029837854228096684 -0.0025647707841861727 -0.013377449389245222 -0.006885163145975744 -0.007046353786299093 -0.0009555657391010271 -0.00029511234158136437 -0.008131708949982875 0.014483668049281145 -9.52354724260825e-06 1.601425243108625e-05 5.340292765390609e-06
PC_10 -4.909769417365612e-05 -2.9381457852446026e-06 -1.5243810129311431e-05 -0.0002613199098464275 1.2258547931486147e-05 1.1060033871261519e-07 -4.268387253963599e-11 -1.9118867151553305e-07 9.79966722840233e-10 -0.005134310522673634 -0.0005191064608610857 -0.010214629751192006 -0.006018562513802222 -0.009695398532659273 0.010138458775370724 0.01118964421537919 0.4076559786597097 0.02063640953219663 -0.010176665308924996 -0.005599782418873407 -0.00022323585495921674 0.01276878438950425 0.0025959841202063774 -0.0038052365297901094 0.011899915083957909 0.0035849420984393424 -0.003918330839448426 -0.0021248806212085755 -0.009994501333895362 -9.850433937703394e-06 -9.887440791033643e-06 -3.890058588060924e-05
PC_11 -1.5157343861255017e-05 5.096005480036982e-06 6.399275976354358e-06 0.00020018662472193514 -1.0128339088719253e-05 5.067241293252377e-08 -8.499452768277465e-10 1.659814146798092e-07 -9.038392256653052e-10 -0.0008115475152185911 -0.008220769265356006 -0.0016841704396618584 0.0042673008139819755 0.009616311764824827 -0.0036047300825451526 0.0007090757569096338 0.020636409532196538 0.37976075195071235 0.0032089953875018722 -0.0014267658532614606 0.012622044673801196 0.019606640650573316 -0.005188598192978005 0.012035030440819484 -0.012522650345498019 -0.007396651613161043 -0.00027260962365399313 -0.002051973807583197 0.024770936338585334 -6.883607839099221e-06 -3.763501879084064e-05 -2.6024282307307197e-05
PC_12 -9.226870741736804e-05 -1.102635295032759e-06 1.224415283821086e-05 0.0003200694215276384 -2.3524121898584218e-05 -3.8694458471711165e-07 2.8191128109605636e-09 5.307533887459791e-07 -3.7010572180662172e-09 -0.0016019685555939756 0.0020705124593460573 -0.011207223943921894 -0.008422811696367629 0.006704489670995647 -0.003977090704102371 -0.01773340580957012 -0.010176665308925142 0.0032089953875019204 0.4231893726638366 0.018563798710183196 -0.00029062285591283587 -0.012615411008492517 0.006325457308395845 0.020496152496169994 0.013870559411771786 0.00970178765628419 0.010306021114953792 0.01251547454266709 0.005112664098292351 4.341727072003327e-06 -2.3936806834354342e-05 -2.276253805489571e-05
PC_13 -3.494231453602599e-06 -4.463356566700943e-06 -2.7509567588332143e-07 -0.00018550125098235886 9.801825290797448e-06 -1.9681513539935864e-07 1.9104139522736894e-09 -1.0281775394183618e-07 8.476767258695905e-11 0.001343974023233652 0.0058564353682105915 -0.0074592230938654944 0.0003045267981349434 0.021175526070649646 -0.010652110365333232 0.009117371126653817 -0.005599782418873406 -0.0014267658532614036 0.018563798710183294 0.43998568636041224 0.017371667892100942 -0.0031511353697679014 -0.008372572659619482 0.020058455109338878 0.013837182053722094 0.004582795630569958 -0.020948314904543724 -0.014895864546817992 -0.0075881460981782325 -3.539660182738621e-06 -5.103911503381876e-05 -2.8990234304051227e-05
