 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0005278043073920023 -1.4256026309240814e-06 7.322400085351973e-05 -2.627463387475115e-06 2.7285707342323286e-08 -0.00016871572966054065 0.00014234952204664967 -0.0002780802399989109 0.00013773292168372053 0.0005119696007747743 -0.0007867486139872124 0.00017179192583831367 5.3752525696421056e-05 0.00013519904119818366 -0.0005495827949051791 0.0006577747149928617 0.00020140171320968926 -0.00023277370878563227 -7.014875512939792e-05 -0.00037431546516561356 -0.0006806421623160204 -2.4080694279778674e-05 -0.0003863498964684393 -0.00031599068639836706 0.0012852286048467996 1.1902927460159058e-06 -1.716611378105587e-05 1.8184895516287773e-05 2.00783179815068e-05
yob -1.4256026309240532e-06 6.815101781245843e-07 2.0926006477957475e-08 1.091005375799528e-08 -6.573630006355174e-11 4.796895515465226e-06 0.00011779534770493142 2.031989689765326e-05 -7.549245032367286e-05 7.864647540912927e-06 -5.556862851657571e-05 -4.2716414414455145e-06 -3.8723712980143744e-05 5.6766147632740266e-05 6.267405057906225e-06 -6.653597249086973e-05 5.0913652260714324e-05 -4.029396703435976e-05 -1.2726665515957022e-05 7.674630005636035e-05 3.503732736920052e-05 -1.934809152339056e-05 1.3793957791060528e-05 4.719733754093755e-05 -0.0001117752193655202 3.985866000027536e-08 -1.725862883383727e-07 6.96936410640369e-08 3.1486536120959303e-07
age 7.322400085351289e-05 2.0926006477945226e-08 3.489664519763236e-05 -1.0162002495550777e-06 8.857837120134147e-09 -3.956991713707336e-06 3.538628656794215e-05 -2.8263660755105365e-05 -2.5337271396049827e-05 2.5310558853464915e-05 -7.742950842898501e-05 -1.0938315451038447e-05 -4.73708694637222e-05 0.00013850845826418484 -6.933335278053113e-05 1.466580080341498e-05 9.046312571865244e-05 8.225301754943222e-05 6.654046289436589e-06 1.0394541998150944e-05 1.1353044052756029e-05 -1.3287293753401096e-06 5.563122405133981e-05 4.723951575164966e-05 0.00019903218718867846 -4.2694223900268494e-07 -9.767504573947461e-08 7.537144172894503e-07 -7.312688405875295e-07
age2 -2.6274633874749285e-06 1.0910053757994981e-08 -1.0162002495550912e-06 3.117079411096881e-08 -2.8042580230527625e-10 -3.802862240430146e-08 1.8355685748025489e-06 1.5549699527166513e-06 -9.538719292477669e-07 1.1409326233383304e-06 5.709554855092445e-07 8.88986986661066e-08 -4.3878609013279606e-07 -3.126864295017485e-06 1.698209241155997e-06 -1.3145896208386208e-06 -2.7191249631884123e-06 -2.0972842460652207e-06 -7.557399311379551e-07 1.0510490385929372e-06 7.049417977323966e-07 -1.1054152028852343e-06 -2.579494438708056e-06 -1.8365162910707552e-06 -6.813784339366736e-06 1.2765280156447538e-08 6.276796651622164e-09 -1.1868047564276797e-08 1.238448445598162e-08
age3 2.7285707342321903e-08 -6.573630006355293e-11 8.857837120134365e-09 -2.8042580230527936e-10 2.5935266403693977e-12 1.025122501547461e-09 -1.164296406109352e-08 -1.5401341048881136e-08 6.686703046229553e-09 -1.3864178717699225e-08 -7.386802336670376e-09 -3.2615230757921226e-10 8.567861107126199e-09 3.047803708652082e-08 -1.2892354272391184e-08 1.003201901120281e-08 3.1576360194209104e-08 1.0135285461380925e-08 7.309979737070433e-09 -7.13677635518906e-09 -1.0012128249563097e-08 1.2537981781753877e-08 2.6261688178773037e-08 2.2319709891545687e-08 5.3025920635834396e-08 -9.348913600997565e-11 -9.42005679227632e-11 8.073190685914298e-11 -3.463619290371853e-11
PC_3 -0.00016871572966053642 4.796895515465202e-06 -3.956991713706341e-06 -3.8028622404335434e-08 1.0251225015477904e-09 0.1385994402522933 -0.00510246172006031 -0.00159298852228168 0.007537080175226076 -0.0022590319148046768 0.014232314677953743 0.014650380714627488 -0.028209188500913477 -0.015492914743191253 -0.010417969232173132 0.0258689044776307 0.012809112816456528 0.03462124287544512 -0.015231796189643348 -0.058010825706596665 -0.01602631572532724 -0.013470914604750677 0.02269945594431095 -0.018231531826090643 0.044605280857898166 1.834777918404512e-05 -0.0001761460015972776 0.00020380746898921562 0.00017447642039765756
PC_4 0.00014234952204667404 0.00011779534770493149 3.5386286567948194e-05 1.8355685748023325e-06 -1.1642964061091357e-08 -0.0051024617200603325 0.48163665137189066 -0.018358565181157985 0.051746462501186336 -0.023645807191818656 -0.015717689289162975 -0.005793731136109449 0.0052157133392922135 -0.022686956280694347 0.019388754230935397 0.0399063705338593 -0.05283738385875811 -0.029973991752906746 0.0360830321602971 0.04430884160008014 -0.028769873359900205 0.01745444710632437 -0.024478879780642174 0.006061102010588453 0.04951052344089537 0.00011364339442635721 -8.621975307839627e-05 0.00020381336662441123 0.00011174395828386816
PC_5 -0.00027808023999891825 2.0319896897653375e-05 -2.8263660755112816e-05 1.5549699527168575e-06 -1.5401341048882787e-08 -0.0015929885222816787 -0.018358565181158082 0.6011270521543184 0.004222290647223122 -0.0032532777873053092 -0.007101177003282212 0.012947521577116771 -0.03207584673189151 -0.027623584152687942 -0.05060878402761643 -0.014259946898698344 0.004109752901247184 -0.030729344947630757 0.018832705794613498 -0.07224977210934175 0.0008620946177018094 0.004939741844394176 -0.015142261539649988 -0.01475001670786609 0.05298799792423111 -3.7456539595855074e-05 0.00010167606909044693 -0.00011870973723883899 -0.0001084495679697552
PC_6 0.00013773292168370402 -7.549245032367287e-05 -2.5337271396053314e-05 -9.538719292476392e-07 6.686703046228245e-09 0.007537080175226076 0.05174646250118631 0.004222290647223141 0.7922852174188026 0.013109985111063866 0.05159007943128677 0.0022506897185073874 0.0028264290968760455 0.025452841710599635 -0.04336658747197681 -0.010581362361669833 0.0418816781383916 -0.10471975326318228 0.03952346302974578 0.08443236355977583 -0.013279142363364358 -0.006573446982230161 -0.04147482536689742 0.013269297256945447 -0.054759944486955404 -1.2116215157333975e-05 2.7241806078563526e-05 9.441055078709909e-05 -4.991031340325727e-06
PC_7 0.0005119696007747797 7.864647540913083e-06 2.5310558853465972e-05 1.1409326233382906e-06 -1.3864178717698826e-08 -0.0022590319148046967 -0.023645807191818732 -0.00325327778730525 0.013109985111063907 1.0119658671817064 0.014162600523643222 0.04990713295418679 -0.05360825824064697 0.07754896592837923 0.030256712541367133 0.05346319529982753 0.038951028529065054 -0.11293005249473047 -0.056712475949575784 0.08046425689692768 0.01126221472364611 -0.008281351124952705 -0.050162086628714665 0.027103961396692175 -0.07225534100687922 -7.076647456052658e-05 0.00046473135039306197 -0.0003386085993966783 -0.0005231135203288063
