(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.00269220843771774 0.00128970835753427 -0.000690266401916263 0.00158837608294521 0.0001247328569489 6.43789780891198e-05 0.00019828692112396 -0.000329354095827759 0.000342255854674245 0.000452532603384437
covarage 0.00128970835753427 0.00305497416731695 0.00316750289723729 -0.00490681685438152 -1.02089156947208e-05 9.52889158610708e-05 1.77388428295529e-05 1.60278824751115e-05 -0.000151311403340099 9.87579503968929e-05
covarsex -0.000690266401916263 0.00316750289723729 0.00828331116297032 -0.012035587015883 -2.57778475809294e-05 7.40715523754363e-05 7.79288349331125e-06 2.25787215625359e-05 -2.40560579063492e-05 -3.53918932483532e-05
covarage_sex 0.00158837608294521 -0.00490681685438152 -0.012035587015883 0.0194229773448059 4.10825396819179e-05 -3.68053343360906e-05 4.17681130836147e-05 -2.20128125200189e-05 7.54219313911801e-05 8.65892207168272e-06
covarPC_3 0.0001247328569489 -1.02089156947208e-05 -2.57778475809294e-05 4.10825396819179e-05 0.000916223970773535 2.70730422509931e-06 7.9162841449911e-06 -5.41290003153584e-05 3.29677351281364e-05 8.73348774049673e-05
covarPC_4 6.43789780891198e-05 9.52889158610708e-05 7.40715523754363e-05 -3.68053343360906e-05 2.70730422509931e-06 0.00100560339951774 1.78332095928775e-05 -2.54390543201526e-05 1.08368870561109e-06 6.34202362875603e-05
proband 0.00019828692112396 1.77388428295529e-05 7.79288349331125e-06 4.17681130836147e-05 7.9162841449911e-06 1.78332095928775e-05 0.00116712194254108 -0.000599058873819101 -5.89696511889229e-05 -3.84116365783917e-05
maternal -0.000329354095827759 1.60278824751115e-05 2.25787215625359e-05 -2.20128125200189e-05 -5.41290003153584e-05 -2.54390543201526e-05 -0.000599058873819101 0.00606083252535171 -0.00419813052361771 -0.00473154436051497
gmm 0.000342255854674245 -0.000151311403340099 -2.40560579063492e-05 7.54219313911801e-05 3.29677351281364e-05 1.08368870561109e-06 -5.89696511889229e-05 -0.00419813052361771 0.0132775330508806 -0.00541754604484833
gpm 0.000452532603384437 9.87579503968929e-05 -3.53918932483532e-05 8.65892207168272e-06 8.73348774049673e-05 6.34202362875603e-05 -3.84116365783917e-05 -0.00473154436051497 -0.00541754604484833 0.0140177019087378
