 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_4 -0.0001156749946722014 0.00020496632521352644 6.878684575074895e-05 0.006589931395458333 -0.0006660603243721905 2.310869325598119e-07 2.2791499704071725e-08 2.0818382928351395e-05 -1.9767832630487122e-07 -0.0412743325638068 0.8311899595451788 -0.010815611078781815 0.18069339969656312 -0.06658521102016292 -0.07848309439010079 -0.028756414050044348 0.013107563776248646 0.015181042833502127 0.06489438707908328 0.08725331349568986 -0.07651716524679804 -0.07732920666676005 0.0864422538438013 0.06448330913863366 -0.05361579542303214 0.011128139388632476 -0.04968268436766099 0.04260683381159592 0.10771509582674252 4.773496037331134e-05 -0.00024503700168554036 -7.108757020845668e-05 -0.00014770494519486315 0.0010380255696520264 -0.0002837931623235977 0.0008141416845195524
PC_5 -0.001182054687286629 3.6342393190243085e-05 -0.00033290258165656806 0.0015573633456464609 -0.00023489274312739407 8.855357233985292e-06 -7.27051649519739e-08 8.439085276697138e-06 -8.170225987239404e-08 0.013522082074318997 -0.010815611078782011 1.1031001453176588 -0.06459894185065249 -0.1194461621290402 -0.14458754536862647 0.13739331238344202 -0.07833391741733108 -0.16317585495452194 -0.0943971391364553 0.039982114909724975 -0.07326798299354002 -0.059026228285590523 0.062471989690966304 -0.22733708511440104 -0.019060307267743336 -0.018221497166855498 -0.04360687622135488 -0.05387067951241135 0.17454963625555162 0.0003422902996968233 -0.0007157482545121273 0.0001560813634346519 -0.00018217944712022735 0.0006531136092226559 0.00013240746696176713 -0.0009947171939564982
PC_6 0.0013109223998285866 -0.00014637975111183115 0.00011208783272384512 -0.008533199928739719 0.0008419240812372245 -6.011631468485606e-06 4.779345944390039e-08 -2.419421219090974e-05 2.0796883752139755e-07 0.038905162994574784 0.1806933996965664 -0.06459894185065057 1.4575179986659936 0.08993567385341397 0.1331220282753325 -0.11153111094714359 0.11532075503463257 0.04076634409140888 -0.04855110404950683 0.05551185645497963 0.2466726278642381 -0.23067532102554358 0.09795161373785949 0.19492069989354777 -0.04172308433854048 -2.7561186410767054e-05 -0.09424693348102252 0.0979041520107219 -0.1747627554589779 4.1523174789387766e-05 0.0002386724704678868 -0.0010218529172965445 -0.0009554856131408647 5.586983493228121e-05 0.000748623202496097 0.000786966815331462
PC_7 -0.0008226313132782371 7.639477417947139e-05 -0.0008755529509216942 -0.011821233272145166 0.0010827118144057315 2.9743290209173207e-05 -2.7928200524101763e-07 -3.128965997599533e-05 2.8706899544099314e-07 0.01573718252222169 -0.06658521102015844 -0.11944616212903775 0.0899356738534151 1.9703450257586288 0.001662915832976235 0.23876245103667929 -0.1748453638638489 0.2067210342106101 0.1474628053851572 0.07846069274200244 0.02568192127741908 -0.21333986583125325 -0.14094358394319428 0.27247698359797734 0.10217218875814939 0.04660344272154334 -0.17086769125808693 0.03716343232881834 -0.2998999857749939 0.000253743359462145 0.0002922699720458621 -7.161569050705981e-05 -9.544282897361328e-06 -0.0011109551978526924 0.0001459369820756001 -0.0008191165428364093
PC_8 -0.00028787243746632195 -0.00017021898307724835 0.0005029118941655263 0.004478898102492187 -0.0004789086172542728 -1.849255011116437e-05 1.6381984982784395e-07 1.585831495676956e-05 -1.590029696653042e-07 0.009488960084728413 -0.07848309439010245 -0.1445875453686268 0.1331220282753347 0.0016629158329783357 2.175599136275678 0.2646306279198768 0.0003103010456680476 0.16971813300760386 0.1907104690800746 0.010282846975093114 0.061628922924336395 0.17748904996253 -0.12180227620430772 0.16873430358346944 0.29252643937457395 0.05140231678063055 0.13055789370867044 0.11130096195578142 -0.13511942166192834 -0.0003374426460692021 0.00015308042357155074 -0.0001319238070784763 -0.001721701490176244 0.0015386136052837976 -0.000143974937616461 -2.8801217521118245e-05
PC_9 0.0020079579084195218 -2.5708668647146462e-05 0.00037896079466641814 0.009152470989276601 -0.0009490347171430691 -1.3954819361370062e-05 1.509851682271232e-07 3.0013087471162172e-05 -2.8832310138112883e-07 0.024264793166066913 -0.028756414050046572 0.13739331238344066 -0.11153111094714496 0.23876245103667726 0.2646306279198801 2.730918535194247 0.17370668047691717 0.02262362102269138 -0.19502079666751582 0.17544020000169322 0.028968370539845294 -0.00777315382427973 -0.13214530120406387 0.014715245582602591 -0.1886894792454431 -0.13381075923839528 0.07762358504512959 -0.18098947917526437 0.2580593473245233 -9.783599169913195e-05 -0.0004249784800917912 -0.0008797679116773519 -0.000833481047853191 0.0012376757774348714 0.00027979638765347916 0.0008727944318435196
PC_10 -4.8683442124201366e-05 -7.470701485818149e-05 -6.0584678760208e-05 -0.0005321458435643824 0.0001808871206954839 -9.485946289747181e-07 1.853524893264992e-08 -6.799704345571886e-06 6.340400054724449e-08 -0.05102525776381447 0.013107563776249585 -0.07833391741733019 0.11532075503463056 -0.17484536386384897 0.00031030104566724583 0.1737066804769187 3.5279491858537333 0.4679374117790974 -0.21741226309820236 -0.024911429595329902 -0.06900972536535076 0.11487910586406795 0.09019415157826786 0.14663241537347155 0.26592833185209286 0.17970768373991217 0.07455640127387027 -0.09901754399035112 -0.36115573723351785 -0.0004236353164209507 0.000306654333599018 0.00017274370101869274 0.0015982610449429154 -0.0014440951405583827 -0.00020457497060099702 -0.00013316075674012969
PC_11 -0.0005966435976402085 0.0001488759408193193 -0.00019757009899617283 -0.002437088485955523 0.0003416220785827218 8.212648121691077e-06 -6.206586787697744e-08 -1.0787964593012377e-05 9.217797180634301e-08 -0.0293595316301649 0.015181042833508112 -0.16317585495452008 0.040766344091402305 0.20672103421060264 0.16971813300760755 0.022623621022699013 0.46793741177909587 3.0366505374700146 0.22663397774468977 0.3849127400978264 0.21447533925831536 0.08777278391982629 -0.009687369088920799 0.03846505890514105 -0.20834473500040165 -0.07426768775081499 0.0288678721085247 -0.3732939956113273 0.30429333720273155 0.0003613554093891831 0.00011802062927968623 -0.0005005946544159207 -0.0006450408456924334 -0.0006754564755928737 0.00022031296071511755 -0.0003345065319608569
PC_12 -0.0010011135986673291 -4.4132355259918485e-05 0.0008234726338322493 0.008848017371224964 -0.000839804888769902 -2.606057877342336e-05 2.3290318033998968e-07 2.452095976797659e-05 -2.23388263882062e-07 -0.029123048459077663 0.0648943870790811 -0.09439713913645699 -0.048551104049502934 0.1474628053851588 0.19071046908007735 -0.19502079666751906 -0.21741226309820136 0.2266339777446842 3.790434844215896 0.1495977713622569 0.12479448824966656 -0.07492051205964338 0.22181555413831555 0.352776345663209 0.13226533054977926 0.048658509703646415 0.11410625217455095 0.10951315065971022 0.03175470045786038 -0.00015627903972360407 -0.0002879543259106369 -0.0008512419025658717 -0.0004229172426083394 0.0011475243918060507 -0.0005889682237347141 0.0013410031715748712
PC_13 -7.594140699711064e-05 -0.00011734201368603165 0.0005827801446106262 0.010204488126343957 -0.0008890532565438444 -1.8313427197629606e-05 1.553689426610257e-07 2.455115457393417e-05 -2.1208314618348362e-07 0.055657032153388145 0.08725331349568452 0.039982114909723164 0.05551185645497661 0.07846069274200065 0.010282846975092177 0.17544020000168947 -0.024911429595328684 0.3849127400978188 0.14959777136225721 3.5306197774132655 0.5932537491283815 -0.1564796463964798 -0.07441895183161217 0.4220300440190447 0.19433889833761 0.05662769383205067 -0.29898762217005576 -0.09264141842897698 -0.29409670661860465 -0.00038924822724848183 -0.00022769729201829966 0.0006015081868311956 0.00045924800905026574 -0.00027135491548223594 -0.0028945468964349116 0.0020646171515762016
