(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00110461083378713 0.00100246073078371 0.000285581435579204 -0.000449223785734491 -7.63885611137303e-05 4.35448353059197e-05 3.75850936372722e-05 -0.000155300829536527 0.00012285443365572 0.000110079431799628
covarage 0.00100246073078371 0.0026195966076589 0.00283017740155457 -0.00418994655148381 -3.02735941109785e-05 9.40526218834375e-05 2.46385058656763e-05 -2.83408332426249e-06 3.22868263736121e-05 -3.68013656753495e-05
covarsex 0.000285581435579204 0.00283017740155457 0.00537369196936719 -0.00744063678955098 2.75629747155975e-07 4.77204819783321e-05 1.94571709513766e-05 1.62193576195373e-05 -3.22668917561143e-05 1.74990295075041e-05
covarage_sex -0.000449223785734491 -0.00418994655148381 -0.00744063678955098 0.0111725802413665 1.16279786843412e-05 -3.97798990491232e-05 1.91464128908816e-05 -1.13252987608536e-05 2.00978689364044e-05 -2.84063807628759e-05
covarPC_3 -7.63885611137303e-05 -3.02735941109785e-05 2.75629747155975e-07 1.16279786843412e-05 0.000423901815159311 -1.88570092231682e-05 1.76706093406546e-06 -5.21267212754712e-07 2.32626595860857e-05 3.21446343887152e-06
covarPC_4 4.35448353059197e-05 9.40526218834375e-05 4.77204819783321e-05 -3.97798990491232e-05 -1.88570092231682e-05 0.000449184675986337 6.97253325835086e-06 1.01992449057442e-05 4.74723791080889e-05 -6.02473138957385e-05
proband 3.75850936372722e-05 2.46385058656763e-05 1.94571709513766e-05 1.91464128908816e-05 1.76706093406546e-06 6.97253325835086e-06 0.000601116815339556 -0.000303556367189817 -4.46354345106072e-05 -4.27768231907591e-06
paternal -0.000155300829536527 -2.83408332426249e-06 1.62193576195373e-05 -1.13252987608536e-05 -5.21267212754712e-07 1.01992449057442e-05 -0.000303556367189817 0.00322452552005245 -0.00253720059531662 -0.00229323689366079
gpp 0.00012285443365572 3.22868263736121e-05 -3.22668917561143e-05 2.00978689364044e-05 2.32626595860857e-05 4.74723791080889e-05 -4.46354345106072e-05 -0.00253720059531662 0.0112634411863879 -0.00662406657624493
gmp 0.000110079431799628 -3.68013656753495e-05 1.74990295075041e-05 -2.84063807628759e-05 3.21446343887152e-06 -6.02473138957385e-05 -4.27768231907591e-06 -0.00229323689366079 -0.00662406657624493 0.010819408040898
