"PGS","PHENO","GEN_MOD","VAR","proband","paternal","maternal","gpp","gmp","gpm","gmm"
"ADHD_Demontis","HGT","1","proband",0.000191304465740714,NA,NA,NA,NA,NA,NA
"ADHD_Demontis","HGT","2","proband",0.000216349217805966,-7.19766833015605e-05,-5.29613271757656e-05,NA,NA,NA,NA
"ADHD_Demontis","HGT","2","paternal",-7.19766833015605e-05,0.000318161817579657,1.98715712883788e-05,NA,NA,NA,NA
"ADHD_Demontis","HGT","2","maternal",-5.29613271757656e-05,1.98715712883788e-05,0.000270054486157278,NA,NA,NA,NA
"ADHD_Demontis","HGT","3","proband",0.000620075500264158,-0.000323619454887812,-0.000286301240451654,-3.04340292671474e-05,2.39648555921878e-05,1.60624117488581e-06,-3.57428237422844e-05
"ADHD_Demontis","HGT","3","paternal",-0.000323619454887812,0.00164716752261251,0.00027566942540873,-0.00101486886218963,-0.00102577462868764,0.000169502632881525,-9.05079323270069e-05
"ADHD_Demontis","HGT","3","maternal",-0.000286301240451654,0.000275669425408731,0.00140620067902287,-7.52496666884209e-06,2.59584745833568e-06,-0.000910100359700281,-0.0006983216793424
"ADHD_Demontis","HGT","3","gpp",-3.04340292671474e-05,-0.00101486886218963,-7.52496666884192e-06,0.00405613268187312,-0.00115594233122387,-0.000358285043453979,-0.000221859721815037
"ADHD_Demontis","HGT","3","gmp",2.39648555921881e-05,-0.00102577462868765,2.59584745833556e-06,-0.00115594233122387,0.00356491753448028,-0.000251547191246211,6.95470213333978e-05
"ADHD_Demontis","HGT","3","gpm",1.6062411748861e-06,0.000169502632881525,-0.000910100359700281,-0.000358285043453979,-0.00025154719124621,0.00311721909527921,-0.000823598465946824
"ADHD_Demontis","HGT","3","gmm",-3.57428237422842e-05,-9.05079323270071e-05,-0.0006983216793424,-0.000221859721815036,6.95470213333978e-05,-0.000823598465946824,0.00304602522172291
"ADHD_Demontis","HGT","3m","proband",0.000316902226426248,NA,-0.000102890777750053,NA,NA,-3.11910822883052e-05,-8.77302845716248e-05
"ADHD_Demontis","HGT","3m","maternal",-0.000102890777750053,NA,0.000499154451632276,NA,NA,-0.000264437332240424,-2.14660907197971e-05
"ADHD_Demontis","HGT","3m","gpm",-3.11910822883052e-05,NA,-0.000264437332240424,NA,NA,0.00145304936687605,-0.000782266931052743
"ADHD_Demontis","HGT","3m","gmm",-8.77302845716249e-05,NA,-2.14660907197973e-05,NA,NA,-0.000782266931052743,0.00140832714611645
"ADHD_Demontis","HGT","3p","proband",0.000395818754332805,-0.000136842776138878,NA,-0.000129821567817019,-3.08463767321641e-05,NA,NA
"ADHD_Demontis","HGT","3p","paternal",-0.000136842776138878,0.000706710270263031,NA,-0.000169996060100976,-0.000329278729801002,NA,NA
"ADHD_Demontis","HGT","3p","gpp",-0.000129821567817019,-0.000169996060100976,NA,0.00223783173327186,-0.00123267557819527,NA,NA
"ADHD_Demontis","HGT","3p","gmp",-3.08463767321642e-05,-0.000329278729801002,NA,-0.00123267557819527,0.0020949986232807,NA,NA
"ADHD_Demontis","EA","1","proband",0.000212506109279082,NA,NA,NA,NA,NA,NA
"ADHD_Demontis","EA","2","proband",0.000263607040908702,-0.000105971392805671,-8.33536508662315e-05,NA,NA,NA,NA
"ADHD_Demontis","EA","2","paternal",-0.000105971392805671,0.000352112629480484,2.24245803318165e-05,NA,NA,NA,NA
"ADHD_Demontis","EA","2","maternal",-8.33536508662315e-05,2.24245803318165e-05,0.000298634116392185,NA,NA,NA,NA
"ADHD_Demontis","EA","3","proband",0.000755228103603338,-0.000403965706762481,-0.000360894018541874,-1.76934395652956e-05,1.92908622776135e-05,2.30580491889068e-06,-2.67553836310317e-05
"ADHD_Demontis","EA","3","paternal",-0.000403965706762481,0.00146220752399912,0.000316572309149133,-0.000901579103642164,-0.000819598409924077,0.000117435130908932,-8.39812949200924e-05
"ADHD_Demontis","EA","3","maternal",-0.000360894018541874,0.000316572309149134,0.00126207877655282,-1.32198029145493e-05,-5.53877008460206e-06,-0.000769754039260613,-0.000626384294376889
