 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
PC10 -1.6490372735248913e-07 8.10905956238269e-08 -2.1064099873765524e-07 4.054112504789684e-08 1.563819793471328e-07 -3.5010396917409093e-09 2.0285729085860098e-07 -6.78154410983631e-08 1.8854039806344987e-07 -1.614778217453159e-08 6.311217777934348e-06 -3.708609847029546e-07 1.4932321615161967e-07 -1.881083063203986e-07 -2.783553699494918e-07 -8.192009724323556e-08 -2.6514637368492645e-07 1.2979403534384093e-07 3.0325612123558764e-07 2.019697617182151e-07 1.5841824995660827e-08 1.2528064692967304e-06 -1.2389174912223154e-06 -7.678487255827193e-08
PC11 -8.841089055987102e-07 -7.617336461611209e-08 2.386294686884086e-07 2.4644290727377215e-07 2.2281439736144403e-07 -3.2669132104646187e-07 -2.709619959459879e-07 5.089244555026874e-07 -3.1943145601262305e-07 -2.1877601229122614e-07 -3.7086098470295476e-07 6.455239825997986e-06 -1.2250475664058168e-07 -8.803766889526673e-08 -9.181862951344014e-08 2.1506185523357876e-07 7.417348633244758e-08 3.3517374800529326e-07 -1.0054209988885892e-07 1.277808518310181e-07 3.348397949009557e-07 7.232666755178852e-07 -1.1205451389193596e-06 5.733435670336468e-07
PC12 1.928574347189781e-07 3.1762218153051895e-07 -1.8196142608514548e-07 6.975043868406254e-08 -2.6834369327827085e-07 3.216710790386317e-07 -1.1261142285879754e-08 2.5677419223683902e-08 3.2780423501682744e-07 -6.387904911989822e-08 1.4932321615161986e-07 -1.225047566405817e-07 6.234656476758034e-06 4.309654056138427e-08 -1.275834922830525e-07 -1.6944000267441972e-07 -2.452351871047709e-07 -1.241060463369191e-07 9.002787621722122e-08 -1.5753541304171e-07 -9.019287892513838e-08 1.144809179851178e-06 -6.907178425022455e-07 1.6522157433283586e-07
PC13 -8.699353602781009e-08 4.212332180919056e-08 -9.181189983781847e-08 -2.0523691344593926e-07 1.1272504516350714e-07 -2.280147659825328e-07 -2.9608770713774756e-07 3.975774335716796e-07 -1.3254780429173388e-07 -2.601890920276407e-07 -1.8810830632039874e-07 -8.803766889526664e-08 4.3096540561384226e-08 5.7735383776784374e-06 -8.304442504036844e-08 2.671717409158923e-07 6.217368233270756e-08 9.282264575904758e-09 -2.216652132917817e-07 1.5341471570043272e-07 1.1256607558848984e-08 -3.824567737714346e-07 1.712596673454531e-06 -3.513334724633873e-07
PC14 -5.721865776063142e-07 -1.8995903038746174e-07 1.9597436293160773e-07 -4.863867373904248e-08 -1.2619258332144434e-07 -8.007582461967404e-08 -1.7381982881657985e-07 -5.3330836133090995e-08 9.828164392227356e-08 6.155015739391285e-08 -2.7835536994949185e-07 -9.181862951344014e-08 -1.2758349228305247e-07 -8.304442504036835e-08 6.473000251320364e-06 -4.000099330663068e-08 -2.8256379891730257e-08 1.3117388976759716e-08 1.955943696719744e-07 1.8103078536472682e-07 8.872544993355473e-08 -6.783614380021757e-07 -2.6677322051632384e-07 8.265897251356388e-07
PC15 -1.3459911674040918e-06 -2.523278484889085e-07 6.394073120016252e-08 6.105271032527602e-08 -2.9204320909291703e-08 1.822981651244109e-07 -1.864760134669103e-09 -2.770141919840243e-07 -2.0785782728010793e-07 -5.657348287818293e-08 -8.192009724323539e-08 2.1506185523357894e-07 -1.6944000267441986e-07 2.6717174091589216e-07 -4.000099330663061e-08 5.9926925409468734e-06 1.458235838320642e-07 -2.080331680932626e-07 -1.2237979907637918e-07 2.788792645627335e-08 1.7352184997384812e-07 4.903344849945276e-07 -2.2999511923614548e-06 -6.008867246985098e-07
PC16 -1.425650797886881e-06 -1.7677507620199335e-07 -2.663313186072931e-07 3.268082956575327e-08 1.0281516190410973e-07 -1.3165990151551608e-08 -7.182347957833719e-08 -5.521008284571077e-08 1.0906516216453948e-07 1.950651688841987e-07 -2.651463736849265e-07 7.417348633244761e-08 -2.4523518710477094e-07 6.217368233270748e-08 -2.8256379891730327e-08 1.458235838320642e-07 6.057351835922931e-06 1.4295361895947108e-07 -2.20064205421051e-07 -2.0071109302958884e-07 -1.4619583391265653e-07 8.619758334405072e-07 -9.411345419014061e-07 6.005127798708646e-07
PC17 3.382706698856465e-08 -2.4582645077112465e-08 2.1661397739705033e-07 -1.5507156127143774e-07 -5.0472022374662456e-08 2.72818520754392e-07 2.6158343443621393e-07 -1.625408915539813e-07 2.4444450035869564e-07 1.4952969621137471e-07 1.2979403534384093e-07 3.351737480052932e-07 -1.2410604633691918e-07 9.282264575904738e-09 1.3117388976759849e-08 -2.0803316809326266e-07 1.4295361895947105e-07 5.68686562959713e-06 -3.8783176682004625e-08 -1.5409182779712906e-07 1.0527531194953015e-07 -8.102047260087638e-07 1.1252642854334977e-06 -2.2877018986658145e-06
PC18 2.287804869175688e-07 7.874406218020718e-08 9.798235770608956e-08 -1.2454387962285336e-07 -1.632531785236441e-07 -1.4378454367755007e-07 -5.68517340195808e-08 2.9040462653993195e-08 8.745781360370592e-08 -2.2181293006625403e-07 3.032561212355875e-07 -1.0054209988885907e-07 9.002787621722102e-08 -2.2166521329178173e-07 1.9559436967197452e-07 -1.2237979907637918e-07 -2.2006420542105116e-07 -3.878317668200468e-08 5.759700459499495e-06 2.4451594018611397e-08 1.1292848278688325e-07 1.548572685534431e-07 3.868864127024309e-07 5.21212426353655e-07
PC19 1.0004802953900756e-06 2.7435152702426185e-08 -2.664859481235445e-07 1.1441796814542532e-07 -8.148593954815616e-08 2.8474276109696417e-08 5.680692622114321e-08 1.2788865723303832e-08 -2.293387098941743e-07 -1.455237912724156e-07 2.0196976171821513e-07 1.2778085183101814e-07 -1.5753541304171008e-07 1.5341471570043264e-07 1.810307853647268e-07 2.7887926456273273e-08 -2.0071109302958892e-07 -1.5409182779712914e-07 2.4451594018611467e-08 5.774280303535373e-06 1.4660584881587949e-07 4.037326903256737e-07 -1.0379971730053336e-06 4.315498926947273e-08
PC20 3.2289284653571245e-07 2.3801394176117138e-08 -9.42778559787882e-08 1.0701216754766878e-07 -2.7755003407265495e-08 2.4382735364309046e-07 -1.544789786537738e-07 -1.1959089107918236e-07 1.3344897421090044e-07 -1.6662233462995179e-07 1.5841824995660615e-08 3.348397949009556e-07 -9.019287892513841e-08 1.1256607558849096e-08 8.872544993355478e-08 1.7352184997384812e-07 -1.4619583391265664e-07 1.0527531194953003e-07 1.1292848278688326e-07 1.4660584881587943e-07 5.314439086843594e-06 -1.537167034486711e-07 9.601696332050876e-07 -2.216272359907542e-06
proband -2.969316012954702e-05 7.431580479047497e-07 -3.6245218147498875e-06 -2.3145043256216363e-08 -5.587298693263066e-07 1.556199928716603e-06 -1.7349629953630384e-06 1.3240657288002894e-06 6.482989227837949e-07 -6.654947076155426e-07 1.25280646929673e-06 7.232666755178841e-07 1.1448091798511785e-06 -3.824567737714347e-07 -6.783614380021757e-07 4.903344849945298e-07 8.619758334405093e-07 -8.102047260087637e-07 1.548572685534433e-07 4.037326903256726e-07 -1.5371670344867167e-07 0.0005031794649466493 -0.0002547752505143259 -0.000238777876954766
paternal 2.795834790732786e-05 2.4833251886614284e-06 2.870925260498926e-06 2.2091613062340903e-06 5.370973404173634e-08 -2.136307946770123e-06 8.810926710728937e-07 -1.5903778174824288e-06 1.5783968682565602e-07 3.783121492509506e-07 -1.2389174912223145e-06 -1.120545138919359e-06 -6.907178425022469e-07 1.712596673454531e-06 -2.667732205163251e-07 -2.2999511923614556e-06 -9.411345419014074e-07 1.1252642854334981e-06 3.8688641270243135e-07 -1.0379971730053334e-06 9.601696332050883e-07 -0.00025477525051432597 0.0005800315370031954 4.322956971101252e-05
maternal 3.206021068173291e-05 2.581050418296433e-06 7.949336574378006e-07 1.8599043978032756e-06 3.9811718701414903e-07 -2.0365085460155687e-06 5.07141032717689e-07 8.851930012718267e-07 -1.9564713049684872e-06 7.342712366660015e-07 -7.678487255827303e-08 5.73343567033648e-07 1.6522157433283674e-07 -3.51333472463387e-07 8.265897251356397e-07 -6.008867246985118e-07 6.005127798708629e-07 -2.287701898665815e-06 5.212124263536546e-07 4.315498926947265e-08 -2.216272359907542e-06 -0.000238777876954766 4.322956971101255e-05 0.0005636192770059042
