 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
PC10 -6.146219421665016e-08 5.528876240014582e-08 3.7134645986899335e-07 9.383335783020925e-08 1.9310302316957211e-07 -2.308144013854387e-07 2.4669745152477346e-08 -1.1214399476507986e-07 6.052610574750342e-08 -3.115577093888803e-07 9.340762770757047e-06 -3.4773446950237753e-07 1.523782391010202e-07 -3.10480944488796e-07 -6.498510457968653e-08 2.1853581813958316e-07 -1.2563649728973908e-07 -7.429169433710591e-08 2.886451552047133e-07 5.0326315558977e-07 -1.2536959702483094e-07 1.9672488766384374e-06 1.667272012192719e-06 3.0027595649617315e-06 1.1615717801267156e-06 -8.864226007896688e-06 -4.214463192658741e-06 1.972158185817138e-06
PC11 3.7806791849284014e-06 -6.54717627737191e-08 -5.279650784317386e-07 2.215384907466412e-07 1.542940120777549e-07 -8.951659699984792e-07 -3.5161089792517537e-07 1.0267729353173676e-06 -6.089220614911949e-07 8.152296342377328e-08 -3.4773446950237785e-07 8.742336448319499e-06 -1.984073834303519e-07 -7.685922733298503e-08 -3.938796191387242e-07 2.0257017471896558e-07 1.7284803003317576e-07 2.533568108994926e-07 -6.531177915821542e-08 4.935172192849604e-07 2.4644467456329945e-07 -1.4373393550743453e-06 -1.2355276739874917e-06 -2.96962257709812e-06 4.493419114076392e-06 -3.3466049773959867e-06 -6.330646203493636e-07 4.720423187472081e-06
PC12 -2.9095519008620073e-06 4.76777009602184e-07 -6.956210855123599e-07 1.62780751497347e-08 -6.612159000781715e-07 3.4585183185370615e-07 9.774095393252602e-08 1.3057744075705595e-07 4.0578334026561876e-08 -3.951872018204978e-07 1.5237823910101996e-07 -1.984073834303518e-07 7.720498001648326e-06 2.926202052647368e-07 -6.431699417626664e-09 -3.8667477321653546e-07 -1.2534790724999783e-07 6.39028800930527e-08 -1.0164776228437929e-07 9.367581134969951e-08 -2.150088423403033e-07 1.502357403000514e-06 9.534228928040044e-07 3.7796515930598997e-06 -5.355092698923223e-07 -2.0998084067406456e-06 -2.797801865589132e-06 -3.6076143175428924e-06
PC13 1.8746851205331133e-06 -5.2345347753737335e-08 4.786168598523349e-07 -4.6774343386296907e-07 -3.514568709774767e-07 -9.580027575781943e-07 -2.774171110108923e-07 3.627812445363509e-07 5.265809842747549e-08 -5.502598603380482e-08 -3.104809444887962e-07 -7.685922733298507e-08 2.9262020526473706e-07 7.962920079956398e-06 -5.473882306305212e-07 7.385294673379229e-07 4.5675561543465855e-07 3.45935014246422e-08 -2.059854901495629e-07 -3.452283591395127e-08 -8.263679787945455e-09 -1.4596012122729453e-06 -2.6323295822058846e-06 1.724508159928272e-06 9.327531185487725e-06 2.2474074423519393e-07 3.2067160689069732e-06 -2.7635104362157288e-06
PC14 -1.4025496063757485e-06 -3.0858176330311796e-07 -7.941271914190125e-07 3.7844692454128476e-08 -9.42847811993868e-08 5.161931390161317e-07 -1.593991111894058e-07 -1.6797662760748858e-07 -6.517911089439324e-08 -6.626411348979666e-07 -6.498510457968628e-08 -3.9387961913872417e-07 -6.431699417626868e-09 -5.473882306305211e-07 8.526488447484437e-06 -1.6167284679877112e-07 2.039729913441518e-07 -1.9358716701330167e-07 1.2433742389929492e-07 -6.237671419571993e-08 -1.0910648343361021e-07 -1.198881485726496e-06 2.6433823905402226e-06 -3.2892163895586553e-06 -3.799209889051911e-06 -2.2033864789983992e-06 5.482093991244527e-06 1.6339803163993787e-06
PC15 -2.2930019808683992e-06 -5.48039991614026e-07 2.6252274630856823e-07 -2.9546719153181322e-08 -1.1679292660132685e-07 -2.0938608173962214e-08 2.4902015356291977e-08 -3.111641102175077e-07 -4.697510018884435e-07 1.962354232184295e-07 2.1853581813958335e-07 2.025701747189657e-07 -3.8667477321653535e-07 7.38529467337923e-07 -1.6167284679877117e-07 8.376568636747394e-06 4.0916061429957464e-07 -6.044832697589535e-07 -1.756129054192016e-08 -9.917448790308642e-08 4.5978650331963957e-08 4.785436069890791e-06 -2.2678042381636735e-06 5.520568426422356e-07 -6.817598701839106e-06 5.292447574583595e-07 -2.433913173308994e-07 -4.3430564448481535e-06
PC16 -1.939803322513354e-06 -4.7409656419964463e-07 4.49166910582839e-08 1.1361361194873102e-07 7.150175255946938e-08 -1.1874986980015501e-07 -6.297091749580295e-08 -3.3090769763754936e-07 -6.859786746895124e-09 3.784178321575037e-07 -1.2563649728973914e-07 1.7284803003317568e-07 -1.25347907249998e-07 4.567556154346585e-07 2.0397299134415175e-07 4.091606142995746e-07 8.2455082840948e-06 -3.4516113354361053e-07 -8.11410813459349e-08 -4.21811026882551e-07 5.337729852202121e-08 -1.4954472598617712e-06 -2.1727942256703998e-08 2.857047246735784e-06 4.916644268913663e-06 -6.989476362904346e-06 7.828465397619945e-08 -7.329413833505288e-07
PC17 -1.798457433998058e-06 1.811236573780746e-07 6.401018782306357e-07 -3.2010088271583976e-07 9.087478936977788e-08 5.723913490934098e-07 2.0453817112911415e-07 -1.4553376427552418e-07 1.2059397800429867e-07 5.118080507557684e-07 -7.429169433710584e-08 2.5335681089949246e-07 6.390288009305271e-08 3.4593501424642235e-08 -1.935871670133018e-07 -6.044832697589538e-07 -3.4516113354361053e-07 7.694186607983715e-06 2.9018688806766154e-07 -2.1889120895558698e-07 -2.1497407202113616e-09 -2.82568382771124e-06 6.5158841091401505e-06 1.4971512431540138e-06 -5.01358461858162e-06 -3.6890527968331097e-07 1.829977289115944e-07 -4.943800659356499e-06
PC18 -1.1006233086616998e-06 -7.085020781952691e-08 1.851870488103491e-07 -3.4230201977087156e-07 -3.2893522945572113e-07 -2.3424453106813796e-07 -2.5587894145527106e-07 8.537242588592158e-08 -4.657370047053072e-07 -1.7524480968504952e-07 2.8864515520471345e-07 -6.531177915821549e-08 -1.016477622843792e-07 -2.0598549014956262e-07 1.2433742389929486e-07 -1.7561290541920017e-08 -8.114108134593495e-08 2.9018688806766133e-07 7.427689522666063e-06 -1.1913923131213762e-07 -3.473218820850974e-08 7.498038189811436e-07 1.783968931921377e-06 2.0065948554568473e-06 -1.080760916200548e-05 2.2096595728390396e-06 -8.243541680671809e-07 4.3480631124704163e-07
PC19 2.047098858427798e-06 1.1006371545941442e-07 -4.807107729226236e-07 2.9669963898147117e-07 -1.6086364160320009e-07 2.765240707910884e-07 -1.7130738721368197e-07 6.45345906045636e-08 -2.519702086991769e-07 -5.873255070060743e-08 5.032631555897699e-07 4.935172192849607e-07 9.367581134969943e-08 -3.452283591395119e-08 -6.237671419571989e-08 -9.917448790308651e-08 -4.2181102688255106e-07 -2.1889120895558703e-07 -1.1913923131213773e-07 7.551054305044786e-06 3.7810772733242295e-07 -9.277407613770251e-07 1.0365318864732619e-06 -2.6892712082333834e-06 -1.297834001958186e-06 -2.2547274359402056e-06 -1.2698069410074297e-06 6.0821718096875575e-06
PC20 3.533237053625998e-07 -3.5758958058593924e-08 -2.989358057914807e-07 8.729438598732938e-08 1.101313461396873e-07 8.85409484277477e-08 -4.1068201295641244e-07 -1.802541058568503e-07 2.987685746873929e-07 -4.6226498364200204e-07 -1.2536959702483118e-07 2.4644467456329935e-07 -2.1500884234030324e-07 -8.263679787945473e-09 -1.0910648343361025e-07 4.597865033196383e-08 5.337729852202148e-08 -2.149740720211534e-09 -3.4732188208509564e-08 3.7810772733242274e-07 6.8804309189706285e-06 -3.862522428995743e-07 3.837750634669882e-07 1.2759930310649587e-06 3.6271716692693897e-06 1.720187361679694e-06 -1.6937246695619733e-06 -2.380764658706326e-06
proband 1.3251768799729215e-05 7.624637718459916e-07 -3.714985854561883e-06 2.0837891418922382e-07 -1.657636277574191e-06 3.437161684603361e-07 -1.0212870034377534e-06 -1.6536316228714138e-06 1.3426828951268335e-07 -1.22882015259528e-06 1.967248876638434e-06 -1.4373393550743453e-06 1.502357403000512e-06 -1.459601212272942e-06 -1.1988814857264912e-06 4.785436069890797e-06 -1.4954472598617702e-06 -2.8256838277112394e-06 7.498038189811447e-07 -9.277407613770262e-07 -3.8625224289957423e-07 0.0007427386396132846 -0.0003768146163558016 -0.00035667297486378886 -9.64003597735128e-06 1.4721585139801994e-05 5.07679970903391e-06 -2.2065718916345298e-05
paternal -0.0001048609346585152 7.006614862938445e-07 1.9941981583712602e-06 2.689703606880419e-06 3.256418195887032e-06 2.623243505990251e-06 2.6275646237191485e-06 -3.0834195624380838e-06 -8.546107355343488e-07 4.466454874880359e-06 1.66727201219273e-06 -1.2355276739874939e-06 9.534228928040065e-07 -2.632329582205872e-06 2.6433823905402103e-06 -2.2678042381636875e-06 -2.1727942256700745e-08 6.515884109140146e-06 1.7839689319213788e-06 1.0365318864732633e-06 3.8377506346699467e-07 -0.0003768146163558018 0.0016795404619682254 9.497839823852202e-05 -0.0011240645725844498 -0.000912606052136409 0.00012039390742287486 2.1593458412547015e-05
maternal -9.998380956562214e-05 2.0769310355881725e-06 9.0280566184102e-06 1.8381090316390834e-07 2.9039388643720556e-06 -4.527053957589961e-06 -1.4190302459519102e-06 -3.4196158673253004e-06 -2.8448834009770347e-06 -9.33473586069964e-07 3.0027595649617366e-06 -2.969622577098115e-06 3.7796515930599005e-06 1.7245081599282567e-06 -3.289216389558653e-06 5.520568426422285e-07 2.8570472467357883e-06 1.4971512431540091e-06 2.0065948554568384e-06 -2.689271208233387e-06 1.275993031064952e-06 -0.0003566729748637884 9.497839823852169e-05 0.0016680962947662277 0.0001292992851236706 -2.1946146967434197e-05 -0.0010714466839255833 -0.0009608996078478119
gpp 0.00014994554215537798 5.20290977476885e-06 8.945701371956618e-06 -7.781259416352895e-06 -1.8564431576309109e-06 -8.121975984987156e-06 -7.243187641983934e-06 -2.4499850840340816e-06 2.7057212441521654e-06 1.7352888224024817e-06 1.1615717801267023e-06 4.4934191140763885e-06 -5.355092698923221e-07 9.327531185487705e-06 -3.7992098890519055e-06 -6.817598701839113e-06 4.916644268913651e-06 -5.013584618581623e-06 -1.0807609162005484e-05 -1.2978340019581993e-06 3.627171669269382e-06 -9.640035977350616e-06 -0.0011240645725844518 0.00012929928512367037 0.0034275794054889103 -0.0012185399895504765 -8.336829902045299e-05 -0.00016336982036174898
gmp 2.4602464071589807e-05 2.023197464310481e-06 -1.2012335293860338e-05 7.759617461036387e-06 -9.852515821231821e-07 -3.4947789031181363e-06 2.4618245131292527e-06 1.1197186801519431e-05 3.0601274646897404e-06 -3.8143116167956967e-06 -8.864226007896695e-06 -3.3466049773959854e-06 -2.099808406740645e-06 2.2474074423519004e-07 -2.2033864789983903e-06 5.292447574583798e-07 -6.989476362904346e-06 -3.6890527968330033e-07 2.209659572839043e-06 -2.254727435940197e-06 1.7201873616796953e-06 1.472158513980161e-05 -0.0009126060521364075 -2.194614696743393e-05 -0.0012185399895504796 0.0030341268303537335 -8.310497626017373e-05 0.00011036937051602812
gpm 8.944556661393177e-05 2.3484508300910554e-06 8.157697567329376e-06 3.5420446563165425e-06 2.2054461189995826e-06 -7.399080796435967e-06 3.5216880978381205e-06 -5.460116505000963e-06 4.408692062341164e-06 -5.148920415518257e-06 -4.214463192658738e-06 -6.330646203493699e-07 -2.797801865589127e-06 3.2067160689069893e-06 5.482093991244522e-06 -2.4339131733090123e-07 7.828465397620005e-08 1.8299772891159631e-07 -8.243541680671704e-07 -1.2698069410074236e-06 -1.693724669561966e-06 5.076799709033109e-06 0.00012039390742287508 -0.0010714466839255813 -8.336829902045276e-05 -8.310497626017365e-05 0.0026535536060779854 -0.0005797730235119207
gmm 4.4718605796379357e-05 -1.6450364498815452e-06 -1.8032746310470206e-05 1.0941904583425255e-06 -4.071593068099274e-06 1.3265689751267318e-05 1.778958026491505e-06 1.3050375563136482e-05 -3.993081728565754e-06 9.488383744339238e-06 1.9721581858171308e-06 4.720423187472081e-06 -3.6076143175428983e-06 -2.7635104362157232e-06 1.6339803163993774e-06 -4.343056444848144e-06 -7.329413833505341e-07 -4.943800659356494e-06 4.3480631124704497e-07 6.0821718096875575e-06 -2.3807646587063264e-06 -2.2065718916345257e-05 2.1593458412547042e-05 -0.0009608996078478131 -0.00016336982036174895 0.00011036937051602803 -0.0005797730235119188 0.002400495088335098
