 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 5.896258967353392e-08 -8.454387999048248e-09 1.7201425141013103e-07 1.3604470324300195e-07 1.265268093921363e-07 -2.1370246589779516e-07 9.201203172703241e-08 -1.4878694932943578e-07 8.124652565716114e-08 -2.87083966652195e-07 8.462625096419078e-06 -2.6397835563692793e-07 1.0698936415122348e-07 -2.52258676396312e-07 -1.446155086022554e-07 2.23623624439949e-07 -7.313526441636023e-08 -1.7190372674246743e-07 2.1824950054270597e-07 3.17333180257693e-07 -6.24580930289839e-08 2.0917636415491384e-06 -8.882896669302761e-07 2.2519882215581843e-06 -6.2017665859808945e-06
PC11 9.660285755393128e-07 -1.242968273358872e-07 -4.017597307963532e-08 2.424161449554554e-07 2.2257201275043832e-07 -6.845351443664981e-07 -3.024582174887465e-07 6.348828696730307e-07 -5.579817352637249e-07 -1.2785635391707666e-07 -2.6397835563692793e-07 7.898691167167414e-06 -1.5853362322492064e-07 -6.451720442241388e-08 -1.5266077993513826e-07 1.3417185011989048e-07 -8.659042586993627e-09 1.6213301474444202e-07 -1.4367839485098737e-08 1.8030849017082204e-07 3.221194743816828e-07 -3.9728883318019105e-07 -2.9466346927136705e-06 1.360442208513316e-06 9.941111386737545e-07
PC12 -2.1520485715373844e-06 4.5300234957715215e-07 -4.0594323049857033e-07 5.353718998272636e-08 -5.615594700768501e-07 4.346353796799292e-07 -5.838283173311343e-08 8.072713161740597e-08 2.5197557235405633e-08 -1.3159443430219731e-07 1.069893641512234e-07 -1.585336232249207e-07 7.439051546514443e-06 1.0031808082657167e-07 -3.7165365057823964e-08 -3.9082583250596553e-07 -1.8276604832715377e-07 8.549087275435295e-08 -1.0702336389345287e-07 1.0614158402979195e-07 -9.231898437048184e-08 1.5272490235945028e-06 8.285460901676007e-07 -8.53371398207799e-07 -1.9289998701270387e-06
PC13 1.6043141280638157e-06 2.7987784993258984e-08 2.1838557794884076e-07 -2.985199146699485e-07 -1.1065998249823154e-07 -8.809974688982817e-07 -2.380900011107439e-07 5.273269278743604e-07 1.2832081282984827e-07 -1.84583241823159e-07 -2.5225867639631213e-07 -6.451720442241375e-08 1.0031808082657161e-07 7.052394292665644e-06 -3.551939642292741e-07 4.7654065294754054e-07 1.1167510935542971e-07 8.236495185689453e-08 -2.0516500682343185e-07 2.7165831840027074e-08 1.0231836435660369e-07 -3.752464037290286e-07 -1.0328790777476033e-06 7.408063378912589e-06 1.4074349483341522e-06
PC14 -1.877354776220806e-06 -2.7372876811193517e-07 -1.8124444062631608e-07 1.5051847029086083e-07 -1.16804721769593e-07 4.189232175346161e-07 -1.1834445849332873e-07 -1.6036748766040204e-07 -2.0044722441689303e-08 -3.2215823357532713e-07 -1.4461550860225545e-07 -1.5266077993513836e-07 -3.716536505782399e-08 -3.55193964229274e-07 7.71682805117208e-06 3.622348546025623e-08 1.1288012832010188e-07 -1.91086797090451e-08 1.0775718222181046e-07 8.007465361826101e-08 -6.97939891440321e-08 -3.5268198086778535e-07 5.055594365782908e-08 -2.2469451685140905e-06 -1.5650542572408822e-07
PC15 -1.5684493833621275e-06 -4.317396323815747e-07 1.3408131434166797e-07 -1.370194037445334e-07 -7.574509151082271e-08 -4.882845197152475e-08 -2.4474593238851633e-08 -2.38484816636466e-07 -1.9499452014329205e-07 3.6139406888057275e-08 2.2362362443994894e-07 1.3417185011989053e-07 -3.908258325059655e-07 4.765406529475406e-07 3.622348546025631e-08 7.557130368700957e-06 2.5387739394850534e-07 -4.769986972434938e-07 -9.783635840062676e-08 -8.980916786576553e-08 1.9713291706548034e-07 1.5979894911305065e-06 -9.367806804727777e-07 -4.871459147263966e-07 -1.836707373056147e-06
PC16 -6.559370426177627e-07 -3.9397381058243725e-07 -1.4985701797293026e-07 -1.847309398205866e-08 1.4543099816713198e-07 -4.7330251839677874e-08 -1.4157135870549757e-07 -2.8507896023765833e-07 1.5316677194221237e-07 2.115464497119594e-07 -7.313526441635992e-08 -8.659042586993821e-09 -1.8276604832715358e-07 1.1167510935542958e-07 1.1288012832010195e-07 2.5387739394850544e-07 7.708968970529029e-06 -2.5961463121071157e-07 3.2058204368689706e-08 -4.3279394301882833e-07 5.946286345893971e-08 -2.572482696598517e-07 -5.204450019069873e-07 4.28305170548653e-06 -4.713525656698158e-06
PC17 4.425922757205696e-08 8.042508057106553e-08 3.5329864137245215e-07 -1.608758945470707e-07 -6.355136806941072e-08 4.769275422189863e-07 3.792124993340363e-07 -1.7218807090033027e-07 7.291986641128726e-08 1.9366623865640098e-07 -1.7190372674246733e-07 1.6213301474444205e-07 8.549087275435307e-08 8.23649518568945e-08 -1.91086797090451e-08 -4.769986972434937e-07 -2.596146312107116e-07 7.000102476285495e-06 1.2219844197344513e-07 -1.3007784813783075e-07 4.2190541348414065e-08 -1.7795692669588726e-06 2.1906498484851926e-06 -2.9736815671785674e-06 1.048977564055409e-06
PC18 -5.291389446159903e-07 -5.371274422207462e-10 -1.1872521611358627e-07 -2.2056592596207536e-07 -1.933494591483148e-07 -2.1657755370469651e-07 -2.6052062814614755e-07 1.5521814931614355e-07 -2.400846671621672e-07 -4.376310271102019e-07 2.1824950054270616e-07 -1.4367839485098867e-08 -1.070233638934529e-07 -2.0516500682343214e-07 1.0775718222181048e-07 -9.783635840062688e-08 3.205820436868957e-08 1.2219844197344542e-07 7.02240537988123e-06 -1.0547204603929526e-07 1.1849814947884124e-07 8.610074249910465e-07 -4.130569170700226e-07 -5.128154206068835e-06 2.0786451358736237e-06
PC19 1.8612747077034165e-06 1.0017557313795867e-07 -2.298499263908934e-07 2.2445398798499043e-07 -8.64790496978813e-08 1.0633307374250575e-07 -4.544761997889386e-08 5.078993525412236e-08 -2.5015073330176603e-07 -2.0776495712086277e-07 3.1733318025769314e-07 1.8030849017082193e-07 1.0614158402979209e-07 2.7165831840026703e-08 8.007465361826092e-08 -8.980916786576555e-08 -4.3279394301882844e-07 -1.3007784813783112e-07 -1.0547204603929528e-07 7.013463875057177e-06 3.572659144929399e-07 -8.689654939152559e-07 -6.503223969392039e-07 -9.909838191325475e-07 7.681254940188502e-07
PC20 1.0895836350516662e-06 -2.597228314087753e-08 -1.521868092391384e-07 1.1370563061486457e-07 -1.702775038612464e-08 -4.4385918843734176e-08 -2.4679567050179166e-07 -1.3356999361263707e-07 2.754626220533707e-07 -2.833041966769465e-07 -6.245809302898384e-08 3.221194743816827e-07 -9.231898437048189e-08 1.023183643566035e-07 -6.979398914403203e-08 1.971329170654803e-07 5.946286345893979e-08 4.219054134841411e-08 1.1849814947884116e-07 3.572659144929404e-07 6.419653955057893e-06 -1.70588711386357e-06 1.58490408071418e-06 -1.6415727216465342e-07 8.343957733640287e-07
proband 1.2981755461055768e-05 1.9822450891511596e-06 -1.8227660600269503e-06 7.75462809479321e-07 -1.2653086836622845e-06 -4.247341197863975e-07 8.405496025978365e-08 -3.122292729995509e-07 6.158089562877445e-08 -6.634628441637995e-07 2.091763641549137e-06 -3.9728883318019195e-07 1.5272490235945039e-06 -3.752464037290281e-07 -3.5268198086778524e-07 1.5979894911305065e-06 -2.572482696598506e-07 -1.7795692669588728e-06 8.61007424991047e-07 -8.68965493915257e-07 -1.7058871138635677e-06 0.0004601669345317308 -0.00024496432426427236 1.165792420034114e-08 1.4849367244846913e-05
paternal -0.00011222908525265988 6.967139419403704e-07 1.898500631708853e-06 2.228410837927674e-06 3.5633471186638026e-06 9.29517077906351e-07 7.200353156151255e-07 -3.638961397590717e-06 4.3887523170577886e-07 3.0165759698541015e-06 -8.882896669302742e-07 -2.9466346927136735e-06 8.285460901675966e-07 -1.032879077747608e-06 5.055594365783481e-08 -9.367806804727741e-07 -5.204450019069919e-07 2.190649848485194e-06 -4.1305691707002274e-07 -6.503223969392004e-07 1.584904080714181e-06 -0.0002449643242642723 0.0017289152429565617 -0.0012593588823178392 -0.0009236410649821274
gpp 0.0001800806364700053 3.4568940532244225e-06 -8.396419050663746e-07 -6.671638867456618e-06 -3.5434536458127373e-06 -4.171006455581062e-06 -6.552292538157032e-06 1.9527241163897395e-06 6.993690251372988e-07 2.7594730420623986e-06 2.251988221558181e-06 1.360442208513316e-06 -8.533713982077952e-07 7.408063378912592e-06 -2.2469451685140956e-06 -4.871459147263968e-07 4.283051705486535e-06 -2.9736815671785657e-06 -5.128154206068833e-06 -9.90983819132543e-07 -1.6415727216465586e-07 1.1657924200374251e-08 -0.0012593588823178385 0.0037432795567102924 -0.0012934111994339066
gmp -1.7541573316519399e-06 2.1434220669623932e-06 4.982397902430998e-07 7.762109663911012e-06 1.902718865779567e-06 -1.7172402272041656e-06 5.301652227557853e-06 6.725294760797459e-06 6.583768912895898e-07 -4.32212652406537e-06 -6.2017665859808945e-06 9.941111386737576e-07 -1.9289998701270382e-06 1.4074349483341575e-06 -1.5650542572409193e-07 -1.8367073730561512e-06 -4.713525656698159e-06 1.048977564055407e-06 2.0786451358736232e-06 7.681254940188429e-07 8.343957733640278e-07 1.4849367244846695e-05 -0.0009236410649821278 -0.0012934111994339062 0.003109668572771342
