(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal
(Intercept) 0.00461268612707342 -1.46321980891662 0.00214032920105775 -0.0017015688841393 2.94096551852969 -1.47844558075424 0.000113358070451035 -1.64975246987367e-05 -0.000319354410480655 6.00762850462261e-05 -0.00051485888113362 0.000116384445759068 -0.000263912064269127 -0.000208788853660169 -6.33908145058035e-05 0.000347668209575126 7.27997339064047e-05 9.24175068322954e-05 0.00029510341611449 0.000145947011960442 0.00036137410521691 0.000461367165994519 -0.000209355911173685 0.000108403102581981 0.000141078760480146 0.000145912072237649 0.000508148639201099 -0.000119029282955387 -0.000337895812385349
covarSEX -1.46321980891662 4485071.81734292 53993.2993104528 -54013.052034268 -8978027.37357324 4493161.58333095 -2.43704944146222 -8.87216832025383 2.48279147479952 0.180436303111661 -2.73943085157923 4.8091609625629 1.60010980321974 -2.06497853895221 6.20865983157789 2.06887511498665 4.00032926934846 -1.72106838497037 0.463353684966042 -1.21145197755358 4.75772393206997 -0.976012131996739 -5.72114937118727 -8.45161617121381 -4.4415891249038 4.99978418444303 1.10156431812933 0.591705456242394 -2.38921942500245
covarYOB 0.00214032920105775 53993.2993104528 1021.2599487884 -1021.6586367188 -108081.40978177 54090.6182141005 -0.0174657580283565 -0.138456390834917 0.022943221192972 -0.04882907216957 -0.00953923474045264 0.0276884989754664 0.0209488020386414 0.0836328980852216 0.0733115301440612 0.0882280308846015 0.0830295489898079 0.0495077273837455 -0.0102633108616881 0.0369779890173462 -0.0172333367973385 -0.0825476252007886 -0.0812910382644869 -0.0919365482512565 -0.0746290256037878 0.0166710622535033 0.0435268785951062 -0.000217791331816598 -0.00877782640377216
covarYOBsq -0.0017015688841393 -54013.052034268 -1021.6586367188 1022.06775070213 108122.030505404 -54111.4878797354 0.0171475650866945 0.138625033504442 -0.0228158104897166 0.0489395426721188 0.0095941535763829 -0.0279825207828121 -0.0206983058058639 -0.0838159165317764 -0.0731167886869273 -0.087945700801566 -0.0830619908120292 -0.0497395547908692 0.0104014085676445 -0.0372288389541146 0.0173625957629305 0.0827207738297034 0.0812107419542333 0.0920006980841201 0.0744548562733038 -0.0165631089853553 -0.0437362655858332 0.000332139197869221 0.0087262977055544
covarSEX_YOB 2.94096551852969 -8978027.37357324 -108081.40978177 108122.030505404 17972024.7234032 -8994409.86574505 4.85432993777484 17.7540393003041 -4.95186140617199 -0.368701632534663 5.50809040025549 -9.62501270957087 -3.16425220124954 4.12363027866012 -12.4274501525974 -4.13237843131736 -8.02569457882207 3.45726195978804 -0.925152260360089 2.42879587090286 -9.53862015720709 1.95253276452661 11.4626394840914 16.9163221789848 8.87494420440449 -10.0047267110637 -2.27130507609477 -1.1280298617719 4.80003458462228
covarSEX_YOBsq -1.47844558075424 4493161.58333095 54090.6182141005 -54111.4878797354 -8994409.86574505 4501454.78513183 -2.41762339247838 -8.88234347105881 2.46923672073682 0.188327227916722 -2.76882724546608 4.81620290789179 1.56423642210915 -2.05863952450801 6.21911533102269 2.06358159742567 4.02553193547667 -1.73621331324592 0.461680765977208 -1.21739741611924 4.78122592764416 -0.976392848881495 -5.74164868383047 -8.46505442008524 -4.43357768447146 5.00504533664696 1.16988271121681 0.536120004609269 -2.41072293467768
covarPC1 0.000113358070451035 -2.43704944146222 -0.0174657580283565 0.0171475650866945 4.85432993777484 -2.41762339247838 0.00471445307465482 -0.000712340690611989 -0.000239432720150772 -2.04195146201859e-05 -0.000177557395545394 8.38783616339219e-05 4.94381069872858e-05 4.09398816747458e-05 2.33598375102592e-06 4.66281543330269e-05 2.82688905964238e-05 0.000693098407948631 -0.000210291966546249 -0.000222566099659778 -0.000801346764182305 -0.000735058849121018 0.000332681012094951 7.63044132697541e-05 0.000241812181100638 0.000100157467086191 9.26845453459084e-07 5.00767030819836e-05 0.000376530555696148
covarPC2 -1.64975246987367e-05 -8.87216832025383 -0.138456390834917 0.138625033504442 17.7540393003041 -8.88234347105881 -0.000712340690611989 0.00442209703012377 0.000372520611489858 0.000353579827154948 -0.000155788752859404 -0.000102951198625207 -9.4900383564459e-05 0.000176555982749086 -3.43480538144983e-05 -3.77477848877708e-05 -5.40436155969241e-05 -0.000274547189932267 0.000177995630787148 -0.000239917540070245 -2.84195295536381e-06 -8.23799367923268e-06 0.000126613715875372 5.65126131535874e-05 -0.000168247844307284 -3.60151714086552e-05 -0.000110456940207431 -7.0165618052709e-05 -6.22940616498383e-05
covarPC3 -0.000319354410480655 2.48279147479952 0.022943221192972 -0.0228158104897166 -4.95186140617199 2.46923672073682 -0.000239432720150772 0.000372520611489858 0.00473030108692387 0.000106584181578525 0.000892967843041882 -2.50187117423748e-05 0.000376856542109061 -4.36724436151016e-05 -0.000603483319480821 -7.87249207669188e-05 0.000227671660119312 8.84430349402265e-05 -0.000600917219512399 -4.57465791859467e-05 -8.19729765044489e-05 0.000100469527704994 -0.000414505953953779 -0.000372186857089165 0.000239259693379323 0.000113311616821005 -0.000143640458573752 -0.000219895037185003 -8.65366923142686e-05
covarPC4 6.00762850462261e-05 0.180436303111661 -0.04882907216957 0.0489395426721188 -0.368701632534663 0.188327227916722 -2.04195146201859e-05 0.000353579827154948 0.000106584181578525 0.00475739435993595 0.000802435541132663 -0.000206658818375304 0.000208005788342594 -0.000621892875374872 0.000171058356528801 0.000165813171804745 0.000212718853309092 -0.000529804046260565 -0.000292852823336846 -2.63971639678292e-05 2.5381912315069e-05 6.32990487942818e-05 2.89990941451745e-05 -0.000280450103195403 -9.82083552862718e-05 9.51886303287312e-05 0.000330364541951056 -0.000152166110151141 0.000415329476274057
covarPC5 -0.00051485888113362 -2.73943085157923 -0.00953923474045264 0.0095941535763829 5.50809040025549 -2.76882724546608 -0.000177557395545394 -0.000155788752859404 0.000892967843041882 0.000802435541132663 0.00474945295910309 0.000117605928734398 0.000466173189758333 -0.000290757421792503 -0.000223041926012063 -0.000169216190397879 -0.00035481390337891 0.00012648521430819 -0.00049333328995074 0.000127996748755664 3.62314774175488e-05 -5.43845929744307e-05 0.000289379560949611 -8.10593167156619e-05 9.26304945778932e-05 1.54279379386661e-05 9.56369106471872e-05 -5.49857749620842e-05 -0.000121991048960517
covarPC6 0.000116384445759068 4.8091609625629 0.0276884989754664 -0.0279825207828121 -9.62501270957087 4.81620290789179 8.38783616339219e-05 -0.000102951198625207 -2.50187117423748e-05 -0.000206658818375304 0.000117605928734398 0.00428984454820259 -0.000121907597255712 -3.08699829186837e-05 6.11043567997003e-05 -8.97616809249285e-06 -7.19173792882818e-05 -6.89093214062348e-05 -8.03915219561093e-05 -7.81315757062111e-05 -5.54977917790009e-05 -5.77758453056069e-05 0.000107773585666087 -0.000148064672260109 -3.57347215283988e-05 -0.00012983838117418 9.19672079999108e-05 -6.61901021425539e-05 -0.000193757351944123
covarPC7 -0.000263912064269127 1.60010980321974 0.0209488020386414 -0.0206983058058639 -3.16425220124954 1.56423642210915 4.94381069872858e-05 -9.4900383564459e-05 0.000376856542109061 0.000208005788342594 0.000466173189758333 -0.000121907597255712 0.00450465329489351 0.000295796929533233 -8.67144105919558e-05 -4.14349607044962e-05 0.000525387649131085 0.000171409232176101 0.00018666563502403 -0.000258512635085273 -0.000180095215252403 -1.4672837453112e-05 -0.000211963574002038 1.10933032403665e-05 -6.58112467374267e-06 -0.000224814834300592 -0.000334601807961357 9.29364301874105e-05 0.000326478012793537
covarPC8 -0.000208788853660169 -2.06497853895221 0.0836328980852216 -0.0838159165317764 4.12363027866012 -2.05863952450801 4.09398816747458e-05 0.000176555982749086 -4.36724436151016e-05 -0.000621892875374872 -0.000290757421792503 -3.08699829186837e-05 0.000295796929533233 0.00454329207636078 0.000152215630487208 0.000192535662993459 -0.000352089981475373 8.11391297274046e-05 -0.000149713839509372 -0.00012495065585232 -0.000233859983615098 0.000110067969109603 5.26240598015519e-06 -0.000310351600890075 -8.61892087120074e-06 5.48564333346611e-05 3.61388383415598e-05 -0.000170120936678291 0.000201689069489266
covarPC9 -6.33908145058035e-05 6.20865983157789 0.0733115301440612 -0.0731167886869273 -12.4274501525974 6.21911533102269 2.33598375102592e-06 -3.43480538144983e-05 -0.000603483319480821 0.000171058356528801 -0.000223041926012063 6.11043567997003e-05 -8.67144105919558e-05 0.000152215630487208 0.00435426846236547 -0.00012021813135402 3.45090525475477e-05 -0.0002305789152683 6.67512397078794e-05 -0.000264939475426834 0.000131071390289653 0.000124081193458884 0.000234315090211011 -0.000173645217305665 -0.000111791563644243 -0.000348418288903028 2.09772780779624e-05 -0.000200937665962545 6.96665372503611e-05
covarPC10 0.000347668209575126 2.06887511498665 0.0882280308846015 -0.087945700801566 -4.13237843131736 2.06358159742567 4.66281543330269e-05 -3.77477848877708e-05 -7.87249207669188e-05 0.000165813171804745 -0.000169216190397879 -8.97616809249285e-06 -4.14349607044962e-05 0.000192535662993459 -0.00012021813135402 0.00441598175286403 -0.000119528861605745 9.79076315580401e-06 -4.73304877975196e-05 -5.72773303610753e-05 0.000149807456755118 -0.000109547218854745 4.67033917694237e-05 6.43924667945849e-05 0.000176001288289136 0.000135027220531543 -4.31225891661087e-05 -9.15498401539298e-05 0.000138092040715751
covarPC11 7.27997339064047e-05 4.00032926934846 0.0830295489898079 -0.0830619908120292 -8.02569457882207 4.02553193547667 2.82688905964238e-05 -5.40436155969241e-05 0.000227671660119312 0.000212718853309092 -0.00035481390337891 -7.19173792882818e-05 0.000525387649131085 -0.000352089981475373 3.45090525475477e-05 -0.000119528861605745 0.00439376827384667 -5.34374432297602e-05 -6.97635628261868e-05 -0.000208078388664274 0.00021133191575629 1.21658193664479e-05 0.000147046829173891 -5.4564211643133e-05 0.000239837121232303 4.53354873720542e-05 -0.000122236908076853 0.000434321850201963 0.000153569152737028
covarPC12 9.24175068322954e-05 -1.72106838497037 0.0495077273837455 -0.0497395547908692 3.45726195978804 -1.73621331324592 0.000693098407948631 -0.000274547189932267 8.84430349402265e-05 -0.000529804046260565 0.00012648521430819 -6.89093214062348e-05 0.000171409232176101 8.11391297274046e-05 -0.0002305789152683 9.79076315580401e-06 -5.34374432297602e-05 0.00438534322187496 7.56240934520692e-05 9.90860817343436e-05 -0.000232944357743159 6.02430658654612e-05 -3.08413950558355e-05 2.2861966560195e-05 -3.16985121587639e-05 -0.000236450998320519 -0.000133058653188079 -3.14341026548913e-05 0.000225710652335904
