 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0007616416465980463 2.8045565016345228e-05 -0.00012798393472413736 0.0001673322214761582 0.0003893383420375156 0.00014394021955138316 -9.367796010154453e-07 4.352857042185355e-06 -1.7901563187358245e-06 2.6661721260154193e-06 -1.257762648161243e-06 -3.838335350603595e-06 -1.5021073781082183e-06 4.4028684791702564e-07 -5.626066742857799e-07 7.753271094989941e-09 -3.7942043350008167e-06 -3.0137610941832944e-07 -3.2725072131557573e-06 -1.1973599051405523e-06 -1.8216130326137536e-06 4.727288929748561e-07 1.514164449402435e-06 8.598173307483371e-07 -1.3632803394716382e-06 1.1658797347056076e-06 -8.541988084829715e-06 -8.803652690396928e-06 1.907334127981177e-05 3.067694556452116e-05
AGE 2.8045565016345204e-05 1.8778204848675729e-06 -1.2877704359126272e-06 -2.4285558409589605e-06 -1.8753378714003475e-06 -2.2886910055159307e-07 -6.045601581450736e-08 2.5863754544078306e-07 -1.007932595677876e-07 1.2588850663674818e-07 3.6300464999795534e-08 -7.885163867909057e-08 -9.93187220201592e-08 7.095486227268851e-09 -2.346562596296595e-08 8.06828174307129e-08 -8.498316952212247e-08 -7.376014561113392e-08 -1.7594996391602228e-07 -7.786799048525796e-09 -3.3091165996544074e-08 -3.89933404958955e-08 1.0530326425797726e-07 6.708666910907368e-08 -7.548793366528109e-08 -3.323564475277517e-08 -4.3234171287960336e-07 -8.041732305005139e-07 2.340871137676078e-06 5.152689863657189e-07
sex -0.00012798393472415195 -1.2877704359125725e-06 0.002927983265658018 0.0007747194877417347 -0.0011850982139109938 -0.0005776342092217976 -9.392648272263941e-08 4.369352119468028e-08 -5.36542946411408e-07 7.47896364044472e-07 1.7162608132100498e-06 8.604634054542991e-07 5.396914435585334e-07 -1.3808216263228418e-06 -1.6241420069807311e-06 1.730598018109087e-06 1.844986163176876e-06 4.5275484389591047e-07 8.001987506553608e-07 3.8742039795735583e-07 -5.339243724287007e-07 -1.587646352096455e-06 5.294357822300707e-08 -1.2442083764396025e-06 -7.84864658767979e-07 5.939901813677534e-07 -1.4798362615937975e-05 -1.811593814600231e-05 2.7497132978637783e-05 2.7291861215240364e-05
age_sex 0.00016733222147614286 -2.4285558409589068e-06 0.0007747194877418587 0.0022473772719655933 0.001818113754507512 0.0003726184812678022 1.4417223217150026e-06 1.9703934620608558e-07 1.7296393444764022e-07 1.217112787889454e-06 -1.850727587724519e-08 8.369988081005995e-07 -1.2722289885815343e-06 2.190306725694871e-06 -8.781800968586845e-07 7.0282948505989e-07 4.5009528877221304e-07 2.69813420638869e-07 5.407688261331207e-07 -6.848377323070968e-07 -8.261010365906575e-07 9.42323615425924e-07 -1.3637601292150954e-06 -4.3871417323561495e-06 -6.603263850972239e-07 -6.095130513545743e-07 -2.3057216595409007e-05 1.91612700528965e-05 -7.196273945441479e-06 -1.8783285964644667e-05
age2_sex 0.0003893383420375145 -1.8753378714003593e-06 -0.0011850982139108397 0.0018181137545076633 0.003793402181481383 0.0013206688874789843 6.485271519832204e-07 -1.5192595383711625e-07 -3.6060342095708524e-07 5.276132492303752e-07 -1.0962800951237633e-06 -6.416480002002279e-07 -1.4317944077362336e-06 3.6658536526711096e-06 -2.065552151333963e-07 -4.240857799374999e-06 1.8545133891675812e-06 4.2598593284535617e-07 -3.1191182550690893e-07 -5.611923315460938e-07 -4.1485097540346485e-07 3.3400480235517933e-06 1.2398866875053612e-07 -4.780461329836949e-06 -1.6330977989928598e-06 -5.6254879638432e-07 -1.708673654538921e-06 5.3767876757361694e-05 -3.9390663101882635e-05 -2.8856708049027412e-05
age3_sex 0.00014394021955138598 -2.28869100551605e-07 -0.0005776342092217557 0.00037261848126786835 0.0013206688874790157 0.0005310068542200324 -6.448745241213453e-08 -4.025698182346322e-08 -2.7958084589025986e-07 8.394166593440902e-08 -3.7590427229358597e-07 -5.766407924408683e-07 -3.2592605188597505e-07 1.1356726471248304e-06 -5.544447546486162e-08 -2.2352353916764455e-06 8.433029189284896e-07 -5.031360721116804e-08 -3.441784024980814e-07 -1.1833236035811505e-07 -1.4893628573307102e-07 1.3150836193296043e-06 4.3336763448337615e-07 -1.362621584017923e-06 -7.9041178135974e-07 -6.006399016076434e-08 1.4734470298846441e-06 2.1079244665855714e-05 -1.6756958540929044e-05 -6.163062661059114e-06
PC.PC1 -9.367796010154277e-07 -6.045601581450868e-08 -9.392648272229913e-08 1.4417223217156614e-06 6.485271519835568e-07 -6.448745241211436e-08 7.065585584632642e-07 1.4038023910774111e-08 -1.1490048158144088e-08 -9.100988790520902e-08 6.146146114683347e-08 5.096674685035667e-09 -7.520864458599231e-08 7.149462956930999e-08 1.787097884144245e-08 4.017075818420021e-08 8.533936042930432e-09 7.615063160818993e-08 -5.848282493629312e-08 -5.438648849773582e-08 2.2078674296713177e-08 -7.310854784184952e-08 -1.2052372929415897e-08 2.129252530031388e-08 9.317303278331892e-08 -1.072233912306695e-07 -5.260529392923453e-07 -1.0604400237084111e-07 -1.8994157136576301e-06 -8.167133293760527e-07
PC.PC2 4.352857042185203e-06 2.5863754544077793e-07 4.3693521194564444e-08 1.9703934620597518e-07 -1.519259538372206e-07 -4.025698182349557e-08 1.4038023910774147e-08 1.142469915088347e-06 -6.605296145483118e-08 7.609001847220272e-08 7.03256931628665e-08 -4.997266081717505e-07 -9.607462442929449e-08 -6.23300851608624e-08 -3.980718302746102e-08 -2.5220088333250285e-08 -3.8440005513426464e-07 -1.7477147402369865e-07 -4.156336716154805e-08 -1.1345614743039963e-07 -1.1294095720361686e-07 1.8471903443073072e-08 -7.817179712624801e-08 -2.4210722657560162e-08 -1.4447118455701866e-07 6.352984970922801e-08 4.29883347873632e-07 -1.526203044149731e-06 1.6579772888429e-06 4.159852762344058e-08
PC.PC3 -1.7901563187358408e-06 -1.0079325956778844e-07 -5.365429464113635e-07 1.7296393444761095e-07 -3.60603420957155e-07 -2.795808458902832e-07 -1.149004815814272e-08 -6.605296145483034e-08 1.2825454383137224e-06 5.4418512549514255e-08 8.68506026370016e-08 1.805983641971214e-07 1.0187367033511883e-07 -1.8385387812523045e-08 2.910701158361384e-08 5.047193335522154e-08 1.4628821525853434e-07 -6.224689201032867e-08 3.1747560527085375e-09 8.75920715525867e-08 5.4663749575172053e-08 -2.085592498054433e-09 4.293869071867697e-08 3.108040160600967e-08 -4.1970060094796106e-08 -4.2962336956613076e-08 -7.067575848979646e-07 1.359318009514466e-06 6.513834156311129e-09 -4.688499761167406e-06
PC.PC4 2.666172126015618e-06 1.258885066367543e-07 7.47896364044743e-07 1.2171127878898681e-06 5.276132492307333e-07 8.39416659344992e-08 -9.100988790520903e-08 7.60900184722037e-08 5.4418512549514036e-08 1.690995101180526e-06 1.8101885067884661e-07 -2.0023680509065182e-07 1.6163152972574613e-07 8.690967602063604e-08 4.9494303920768066e-08 -1.2715520650825109e-08 -1.334310383405636e-07 3.3324731336747245e-08 -3.495787941529672e-08 5.565564760119646e-08 -1.0729185704851766e-08 9.084434876761709e-08 -5.662120686144033e-08 -1.0719160342204802e-07 1.2939248521749912e-07 1.3300921627915544e-07 -1.1143093923137375e-06 2.319511042167557e-06 -6.90844267211941e-07 -1.9327765856274414e-06
