 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.001700028323306546 7.255677864337876e-07 9.025103747365839e-06 -2.6089138044343738e-05 4.625142256010034e-06 1.492130546337026e-05 2.626450560025081e-05 -4.444550837655559e-06 0.00013921710884307905 1.73151632562918e-05 -1.3693253539893503e-05 6.390622107178536e-06 -1.6273422815011855e-05 5.371923959371222e-06 -3.662370562995838e-06 -1.2492539803186879e-06 1.925956456419258e-06 2.8082774287215024e-06 6.904972408396473e-07 -4.6754219883895705e-08 -1.890418383390758e-05 2.8448707487652245e-07 1.654489667281286e-07 -2.559724796994757e-06 -1.5742801556249752e-06 3.6149592193634755e-06 1.751667441456165e-05
AGE 7.255677864337527e-07 1.5354917146426424e-06 2.2161520249917487e-07 1.8226251594118037e-06 -1.2032357682664462e-06 -1.0054371086702848e-06 -1.0591447640409741e-07 2.566591575507446e-08 -4.193707895584905e-08 7.29713614717341e-08 1.1199224433077662e-07 6.126630196428737e-08 -6.2176961802736e-08 3.862197327380638e-08 7.616456975575115e-08 8.319532885445872e-08 7.705011816509073e-08 -3.0417401017635854e-08 -9.387545457938526e-08 -2.5076151429768183e-08 3.0486160198487405e-08 2.2527403585854196e-08 9.964820372394956e-09 -1.5110627839532602e-08 5.960581831178989e-08 -8.294247642645307e-08 -2.1798858526854895e-07
sex 9.025103747366118e-06 2.2161520249917534e-07 0.0016706570369210056 -0.00018791739978558345 -0.0007472601992848749 0.00028024994458405496 1.648657655518032e-06 1.6261543141908e-07 6.39597140466193e-07 3.631735940525012e-07 1.8558044775393314e-06 -6.722800241824743e-07 -1.3040396595670167e-06 3.737253485123881e-07 -1.4409110536898967e-06 8.564325811268217e-07 1.6973092460257197e-07 -7.067798466048573e-07 -1.1262093781848967e-06 6.162142869756875e-08 -4.4073967088390565e-07 -1.6545517457199079e-06 3.692984173272127e-07 -1.272205956763341e-06 3.2910684185695894e-07 5.277724211940531e-08 -1.0470249383560228e-05
age_sex -2.6089138044343518e-05 1.822625159411797e-06 -0.00018791739978559329 0.0009797324819528742 0.00025912069023909147 -0.0005368588181305482 2.8163889072542625e-07 3.542063090583159e-07 1.8512519908162604e-07 7.998206461193378e-07 -3.5195245192056946e-07 -2.4847993862099125e-08 -6.877072085691923e-08 -1.299801744889488e-07 -2.698341161669875e-07 5.906773048311918e-07 -7.896830560697055e-07 1.166895805479717e-07 1.0893968830650188e-06 1.3073963554358884e-06 -3.0406343018659417e-06 -8.959832421902864e-07 -1.0181007555591338e-06 2.1931803321518825e-08 1.0495949149087218e-07 1.2053820864235056e-06 -8.080261482529746e-06
age2_sex 4.625142256010029e-06 -1.203235768266452e-06 -0.0007472601992848808 0.0002591206902390847 0.0006528131158468087 -0.00033400773612514016 -5.233691053839798e-07 3.485689252192732e-07 1.1467487762730327e-06 -1.8712329564926535e-07 -1.0365938815223717e-06 8.650900373189409e-08 1.334871917559564e-06 -2.415642269755495e-07 3.378799240982005e-07 -1.1507888577889885e-06 9.100256848479693e-07 5.744706308532675e-07 7.415888409082199e-07 1.0339083224104257e-06 -1.256952598955313e-06 -1.1866798463203887e-07 -3.419278975164023e-07 7.999461053887838e-07 -6.020182594300798e-07 7.023161268392977e-07 1.008100715383823e-05
age3_sex 1.4921305463370247e-05 -1.0054371086702782e-06 0.0002802499445840624 -0.0005368588181305457 -0.00033400773612514407 0.0004422294679758317 2.403120936843288e-07 -3.1330865030169425e-07 -2.5669908923631255e-07 -1.7606728319058845e-07 3.1444157800696325e-07 1.3368393295175604e-08 -5.802968356636502e-07 5.438277455246761e-08 1.0445933627315286e-07 3.7718216401802693e-07 -1.3157452178732474e-07 -2.2114869754318704e-07 -7.843787303899951e-07 -1.4177941456941198e-06 1.8821752351375493e-06 3.130767091427297e-07 3.9207394742542596e-07 -5.95765217258998e-07 2.3566879636965181e-07 -6.234834700393093e-07 2.9095584718364244e-07
PC.PC1 2.6264505600251676e-05 -1.0591447640409501e-07 1.6486576555180248e-06 2.8163889072542604e-07 -5.233691053839652e-07 2.4031209368431975e-07 5.859428376981351e-06 1.294789795077331e-06 6.2637450951296355e-06 -7.161479142666495e-07 1.8282530313932055e-06 6.408507784124805e-08 -2.0799188075962162e-06 9.536651123053844e-07 -1.0122291560526447e-06 4.128716436968955e-07 1.0173087104193184e-06 -4.165590281676793e-08 -2.5502464780972415e-07 -7.506635979811107e-07 3.4859516463552804e-07 8.257861421975296e-08 -4.173635688813022e-08 -9.415082070354647e-08 -4.223708762870929e-07 3.492599149131671e-07 -1.8996700662684824e-06
PC.PC2 -4.444550837655601e-06 2.5665915755074838e-08 1.6261543141907178e-07 3.542063090583085e-07 3.485689252192758e-07 -3.1330865030169155e-07 1.2947897950773278e-06 1.7282006118590306e-06 2.6951883244416427e-07 -2.796533987948707e-07 6.824145793699349e-07 -3.910629147075385e-08 -4.4157425988844814e-07 1.8496057642506425e-07 -3.1548957406602163e-07 1.8578528453555457e-07 3.4712702020413187e-07 -6.777499688311743e-08 -1.6481723327455648e-07 -1.6865134233902651e-07 1.1140902845745965e-07 1.0284138241460922e-07 -3.1193907336884215e-08 -4.272457669476256e-09 -1.2393429102352462e-07 1.4100666682770375e-07 -7.925267669285279e-08
PC.PC3 0.00013921710884307978 -4.1937078955844645e-08 6.395971404661441e-07 1.851251990816048e-07 1.1467487762730596e-06 -2.566990892363214e-07 6.2637450951295745e-06 2.695188324441754e-07 1.829728577461544e-05 1.0004148425209344e-06 4.5235278444519467e-08 5.5007945133557e-07 -2.8152611514360354e-06 1.0479614371248543e-06 -1.1941054349691088e-06 2.2469585159076504e-07 9.45067129786147e-07 2.3826880613200856e-07 5.807004796409552e-08 -3.3461717575870116e-07 -1.5415372319734073e-06 1.1372887268343033e-07 -1.3411934830970047e-07 -2.763581223383277e-07 -5.253292797883429e-07 9.586145197664425e-07 -1.378283894557298e-06
PC.PC4 1.7315163256291647e-05 7.297136147173413e-08 3.631735940524983e-07 7.998206461193374e-07 -1.871232956492626e-07 -1.7606728319059092e-07 -7.161479142666662e-07 -2.7965339879486994e-07 1.0004148425209067e-06 2.0854261178587645e-06 -8.179211707671202e-07 3.63425382533256e-08 4.4771646805724576e-07 -1.1104776788655444e-07 8.636125095037528e-08 -1.64056446181735e-07 -1.5525630862671047e-07 2.3664032264785867e-07 1.057683983031108e-07 4.593137062935534e-07 -7.447492361834892e-07 7.640484923436998e-08 -1.051653939248888e-08 -1.049174937179313e-07 -1.6257417803906104e-08 2.136452934627003e-07 3.283227944017658e-08
PC.PC5 -1.369325353989312e-05 1.119922443307769e-07 1.8558044775393388e-06 -3.5195245192056003e-07 -1.0365938815223647e-06 3.144415780069553e-07 1.8282530313932218e-06 6.824145793699348e-07 4.523527844456128e-08 -8.179211707671172e-07 3.884700739679638e-06 -2.398399833295426e-09 -9.660053642496178e-07 4.4169559488440557e-07 -2.0657321300232313e-07 3.4481991091749415e-07 2.9579186901738327e-07 -3.723385715005235e-07 -2.935822168792721e-07 -1.1485651508091823e-06 1.7270211231151774e-06 2.0375428177857572e-08 -6.559808507345566e-08 3.3869414174472827e-07 -2.424133129590604e-08 -4.6025759467725623e-07 -1.2072850422505841e-06
PC.PC6 6.390622107178534e-06 6.126630196428737e-08 -6.722800241824738e-07 -2.4847993862102e-08 8.650900373189186e-08 1.3368393295177318e-08 6.408507784124507e-08 -3.910629147075338e-08 5.500794513355674e-07 3.634253825332656e-08 -2.398399833297267e-09 2.7820850830119887e-06 1.572245244933911e-07 1.145053949759142e-08 -1.0632353919365313e-07 3.231845036015793e-09 -1.4831764687257534e-07 -2.2379228573733933e-08 -1.5719443293299057e-07 -4.815796409073971e-08 4.2181437593548083e-08 1.4922652260160868e-08 -1.7305228724271318e-07 8.854471645010999e-09 -5.109252918252268e-08 5.257572910722481e-08 -1.4240700871771272e-06
PC.PC7 -1.6273422815012177e-05 -6.217696180273706e-08 -1.3040396595670258e-06 -6.877072085692929e-08 1.3348719175595633e-06 -5.802968356636422e-07 -2.079918807596214e-06 -4.4157425988844936e-07 -2.8152611514360574e-06 4.477164680572385e-07 -9.660053642496085e-07 1.5722452449338957e-07 2.9327214724846725e-06 -2.463923117280994e-07 3.633433445663304e-07 -2.163611613326942e-07 -2.9733619830244615e-07 2.5984344276492098e-08 1.7522855515506319e-07 4.850468607258081e-07 -3.1323635485307486e-07 2.7926901640837445e-07 2.6988027406944713e-08 -9.848124497264893e-08 -7.262471821084228e-08 4.629146069143471e-07 1.1282071975016976e-06
PC.PC8 5.371923959371361e-06 3.8621973273807054e-08 3.737253485123928e-07 -1.29980174488951e-07 -2.4156422697555085e-07 5.438277455246827e-08 9.536651123053805e-07 1.849605764250639e-07 1.0479614371248615e-06 -1.1104776788654982e-07 4.4169559488440107e-07 1.1450539497592115e-08 -2.4639231172809813e-07 2.8100743246533348e-06 -2.5479351867596154e-07 2.691415804297407e-08 2.317407939742879e-07 -1.8274765040161778e-07 -2.495907724681725e-08 -4.421063099740328e-07 5.544966883158772e-07 3.802502497126629e-07 -1.3040459619965424e-07 -4.312268407778634e-07 -1.960640283041031e-07 8.05565605289503e-08 -9.516844894540116e-07
PC.PC9 -3.662370562995941e-06 7.616456975575089e-08 -1.4409110536898954e-06 -2.6983411616698707e-07 3.378799240981958e-07 1.044593362731553e-07 -1.0122291560526398e-06 -3.1548957406602126e-07 -1.1941054349691113e-06 8.636125095037169e-08 -2.0657321300231874e-07 -1.0632353919365308e-07 3.633433445663287e-07 -2.5479351867595995e-07 3.5708945730675976e-06 -9.074455624710112e-08 -2.3582920593369944e-07 -1.6199031501883398e-07 -2.9642239458133804e-07 -2.7009913964619875e-07 5.394264126162268e-07 -6.616296853563047e-08 -6.695895773453178e-08 1.0918105844971998e-07 1.7818787411904344e-07 -5.564438205759826e-07 -3.3419011454666473e-07
PC.PC10 -1.2492539803186163e-06 8.319532885445888e-08 8.564325811268304e-07 5.90677304831197e-07 -1.150788857788987e-06 3.7718216401802217e-07 4.128716436968974e-07 1.8578528453555473e-07 2.2469585159077174e-07 -1.6405644618173412e-07 3.4481991091749426e-07 3.2318450360161815e-09 -2.1636116133269508e-07 2.691415804297343e-08 -9.074455624710237e-08 3.2463286660692646e-06 1.1461548579900231e-07 -2.4589652149378888e-08 -1.1295403756947611e-09 -2.3608099028413e-07 5.143893623314618e-07 3.491467375982352e-07 -2.149328887430666e-08 3.983483678503694e-07 -1.640528007218982e-07 4.500835853692413e-07 5.202200852333667e-07
PC.PC11 1.925956456419388e-06 7.70501181650908e-08 1.6973092460256125e-07 -7.896830560697225e-07 9.100256848479717e-07 -1.3157452178731572e-07 1.017308710419319e-06 3.471270202041326e-07 9.450671297861557e-07 -1.5525630862670846e-07 2.9579186901738216e-07 -1.483176468725747e-07 -2.9733619830244694e-07 2.3174079397428922e-07 -2.3582920593369968e-07 1.1461548579900076e-07 3.354316181065318e-06 -9.669394116216727e-08 1.719771072360988e-08 -2.8524065806590835e-08 1.6339753359118987e-07 8.46621716766731e-07 -6.311160319164629e-09 -1.2800774604530196e-07 -4.3934097261444955e-07 8.933844261984505e-07 1.3376525811405037e-06
PC.PC12 2.8082774287214723e-06 -3.041740101763578e-08 -7.067798466048528e-07 1.1668958054795642e-07 5.744706308532585e-07 -2.2114869754317674e-07 -4.1655902816771876e-08 -6.777499688311746e-08 2.3826880613200292e-07 2.3664032264785938e-07 -3.7233857150052497e-07 -2.2379228573734112e-08 2.598434427649424e-08 -1.827476504016188e-07 -1.6199031501883305e-07 -2.4589652149379477e-08 -9.669394116216756e-08 2.9467978537322346e-06 1.1022111161839371e-07 7.194625748871509e-07 -1.0241599013778953e-06 -3.129243895206395e-07 7.255836532128794e-08 -1.4130059012930032e-07 2.9778931518325724e-07 -5.2638366165023785e-08 -1.7363089515627225e-07
PC.PC13 6.904972408396116e-07 -9.387545457938556e-08 -1.1262093781849037e-06 1.0893968830650112e-06 7.415888409082197e-07 -7.843787303899909e-07 -2.550246478097253e-07 -1.6481723327455674e-07 5.80700479640924e-08 1.0576839830311046e-07 -2.9358221687927187e-07 -1.571944329329912e-07 1.7522855515506353e-07 -2.4959077246817622e-08 -2.964223945813377e-07 -1.1295403756944722e-09 1.719771072360928e-08 1.1022111161839357e-07 3.033696898704719e-06 2.122288185131888e-07 -4.127142247065018e-07 1.5303946868504256e-07 4.434507716649838e-08 -4.124219245306267e-08 -1.2185255911833856e-07 2.7836138701930633e-07 7.078243143276128e-07
PC.PC14 -4.6754219884024805e-08 -2.5076151429768488e-08 6.162142869754997e-08 1.3073963554358734e-06 1.033908322410431e-06 -1.417794145694113e-06 -7.506635979811137e-07 -1.6865134233902567e-07 -3.346171757587139e-07 4.5931370629355075e-07 -1.1485651508091836e-06 -4.815796409074043e-08 4.850468607258108e-07 -4.421063099740338e-07 -2.70099139646198e-07 -2.360809902841292e-07 -2.852406580658597e-08 7.1946257488715e-07 2.1222881851318933e-07 4.108209844557415e-06 -3.6527551551467197e-06 -1.9209501036780713e-06 1.0295596271898045e-08 -3.16361000774144e-07 6.051230214157548e-07 -7.104800231345492e-07 1.087812342368366e-06
PC.PC15 -1.8904183833907526e-05 3.04861601984873e-08 -4.4073967088387076e-07 -3.040634301865927e-06 -1.2569525989553335e-06 1.8821752351375514e-06 3.4859516463554356e-07 1.1140902845745835e-07 -1.5415372319733893e-06 -7.447492361834915e-07 1.7270211231151868e-06 4.2181437593548785e-08 -3.1323635485308397e-07 5.544966883158817e-07 5.394264126162257e-07 5.143893623314627e-07 1.6339753359118754e-07 -1.024159901377897e-06 -4.127142247065028e-07 -3.6527551551467307e-06 9.400751026832351e-06 2.9188698139288786e-06 -1.377074812259878e-07 5.888815020438623e-07 -1.2603878072611277e-06 1.4611145538204268e-06 -1.4884550281571396e-06
PC.PC16 2.8448707487646576e-07 2.252740358585452e-08 -1.6545517457198914e-06 -8.959832421902997e-07 -1.186679846320618e-07 3.1307670914274635e-07 8.257861421975397e-08 1.028413824146097e-07 1.1372887268342395e-07 7.640484923436732e-08 2.0375428177865943e-08 1.4922652260160613e-08 2.7926901640837143e-07 3.802502497126654e-07 -6.616296853562721e-08 3.4914673759823575e-07 8.466217167667286e-07 -3.1292438952064443e-07 1.5303946868504123e-07 -1.920950103678093e-06 2.918869813928898e-06 5.683173445522127e-06 7.032149884564575e-08 -8.902328303934656e-08 -1.3970663942891048e-06 2.854048208771743e-06 2.3253284485418423e-08
