 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.0027927771651609524 9.599377956529737e-05 0.000565748083320756 0.001950815855704762 0.0023821260754174124 0.0007316779344443558 -4.7379600230352465e-06 1.3337674933247422e-05 -1.2196086452332787e-06 4.4086766036585e-06 -1.1392488816959123e-07 -2.8135377277379474e-06 2.177793769564794e-06 1.7369987968108159e-06 -2.78511873656136e-06 -3.7355975000312137e-06 -3.1011264517606248e-06 -1.6717776317933926e-06 -4.921287603107105e-06 1.408816004653332e-06 -7.442549569239825e-07 3.5173848031347515e-06 1.076323060974249e-06 -6.32212393763444e-07 -6.61042838432426e-07 6.38913666714542e-07 5.302330608333761e-05 -8.727293672340854e-05 -5.94014335079897e-06 0.0001111639270986164
AGE 9.599377956529731e-05 5.324435758935906e-06 7.649138503114172e-06 3.576054520250629e-06 -8.003466104637643e-08 -6.182701434074807e-07 -1.920017559091125e-07 6.427608274181156e-07 -9.110968881791911e-08 2.3656699849537096e-07 1.969951642109035e-07 -5.6965524380799784e-08 -1.054416876056676e-07 5.8254483202063586e-08 -1.2506887426677338e-07 2.9522846947776746e-08 4.076799045679455e-10 -1.2733715221993673e-07 -2.910590793682078e-07 1.0788413092220697e-07 5.689863294026817e-08 4.720459134822061e-08 6.768184538334929e-08 -1.8777138367728186e-07 -3.268082491660937e-08 -2.1019573268276048e-07 1.2200280830621568e-06 -2.7584532846124996e-06 2.3295340518725603e-06 3.2059912412010668e-06
sex 0.0005657480833208613 7.649138503114125e-06 0.009116429298630175 0.007014701954194265 0.0024840185977035908 5.298696139200567e-05 -1.7952144152082802e-06 3.5884520610648286e-06 -3.687817639363225e-06 -2.1539832656641295e-06 6.0003603559201756e-06 -1.4508394046975053e-06 3.3787173935417502e-06 1.1405794007102991e-06 1.558828209973939e-06 -1.3652345217548512e-06 3.6791618116629413e-06 4.198254049447564e-06 -2.4816650207623314e-06 3.27150791362256e-06 -1.1855794032313589e-06 -3.5998018001512653e-06 7.364572059697113e-08 5.298727444710027e-06 7.905564395254956e-06 3.6186033116286088e-06 5.38887784826952e-06 5.760616906366798e-05 -7.390503322339683e-05 -0.00011620880961691501
age_sex 0.001950815855704854 3.5760545202506965e-06 0.00701470195419367 0.015956296031834058 0.015369922044862639 0.004038701429136657 2.0610738604948878e-07 3.855396242266247e-06 4.622226895696797e-07 -3.1307542464853766e-06 -1.498214342397504e-06 8.360615846833486e-07 4.8388336794651185e-06 -2.2410368454790005e-06 1.2383797664274172e-06 -3.436988610989735e-07 2.3219379388402056e-07 6.063873825661173e-07 -3.5717596277781184e-06 1.5344090300755367e-06 2.2341641068420504e-06 -2.5191663608949313e-06 8.43421934266248e-07 7.742496632881952e-06 6.3665852926524514e-06 -1.1607042270755477e-06 6.667829866331404e-05 -3.4973048474908656e-05 -5.2210354724460454e-05 2.4588586352575637e-05
age2_sex 0.0023821260754174132 -8.003466104622173e-08 0.0024840185977027126 0.015369922044861872 0.019807563708990998 0.006127407650715101 -4.0955744655838706e-07 3.1356884912610252e-06 3.0423223441476283e-06 -3.7545126518334542e-06 -5.084905909470943e-06 2.4837213845305735e-06 5.957434471464045e-06 -1.808947582612345e-06 -1.7055100428211014e-07 -6.223133556444092e-06 3.855309023259005e-06 -2.414556467470725e-06 -3.7874756451152763e-06 -9.160890205766036e-08 4.521148932345523e-06 1.023828538568974e-06 3.207477741223649e-06 6.516219573557196e-06 2.32549685117783e-06 -1.6016619049113964e-06 0.00013526981827803667 -0.00021401816628497064 4.6520561002543135e-05 0.00019890128806705925
age3_sex 0.0007316779344443394 -6.182701434073785e-07 5.298696139170418e-05 0.004038701429136299 0.006127407650714953 0.00206174459764502 -3.417230340769097e-07 1.0088342511915845e-06 1.119381046259763e-06 -1.0969918290814943e-06 -1.8508981695106173e-06 8.605199655647369e-07 1.9147239197222626e-06 -1.610203759690837e-07 -5.4195031899429e-07 -3.238007090865793e-06 2.09801663047904e-06 -1.0991898653539805e-06 -1.3105289211178356e-06 -1.6279707708739237e-07 1.5132006238675627e-06 1.1220317762680881e-06 1.2866615843864515e-06 1.6007013485628216e-06 -2.5119020977473574e-08 -7.901835868089438e-08 4.938150471084723e-05 -0.00010040402012716584 2.8795376018652136e-05 9.581169353897208e-05
PC.PC1 -4.737960023035265e-06 -1.920017559091134e-07 -1.795214415208232e-06 2.0610738604950987e-07 -4.095574465583923e-07 -3.4172303407691516e-07 1.7762184960445493e-06 8.134997176261464e-08 -6.127285751408122e-09 -2.2870036715361833e-07 1.0313329938506589e-07 -6.555989107849314e-08 -1.6240778744681653e-07 1.3662234291702798e-07 5.691773276853563e-08 -6.030955179174144e-08 -2.686723985142329e-08 1.7287096682095e-07 -1.963950922446091e-07 -1.1433966062698951e-07 1.9266288317690236e-07 -1.815748571517581e-07 5.0629350168720356e-08 4.9593006418279356e-08 2.053075464268238e-07 -3.0025189306313926e-07 -1.7473515924997968e-06 -3.025101042771112e-06 -6.134960523332023e-07 2.8097542571359375e-06
PC.PC2 1.3337674933247305e-05 6.427608274181115e-07 3.5884520610643687e-06 3.855396242265837e-06 3.135688491260913e-06 1.008834251191607e-06 8.134997176261494e-08 2.7249052645985838e-06 -1.932782671216815e-07 1.7711945778841276e-07 1.794721018727519e-07 -5.895163000922891e-07 -1.5868540167791347e-07 -6.893885303484524e-08 -8.759462594353242e-08 5.423504776668557e-08 -5.680096215433536e-07 -2.2244178478851984e-07 2.072023237243126e-07 -1.6935403397165027e-07 -7.48769852977319e-08 -8.154767488586953e-08 -1.306953563403749e-07 -8.84733651820056e-08 -2.5428172113918986e-08 7.52510308399448e-08 6.295658956015173e-07 4.639840147078851e-07 -1.4326583232392256e-06 5.387213460199133e-06
PC.PC3 -1.219608645233729e-06 -9.110968881793148e-08 -3.687817639363934e-06 4.622226895684969e-07 3.042322344146611e-06 1.1193810462595102e-06 -6.127285751408102e-09 -1.9327826712168296e-07 3.1153010831767905e-06 1.6887095955809668e-07 1.559531497769381e-07 3.158980546145124e-07 6.743210828881923e-08 -1.6867470990654034e-07 5.1862997553897934e-08 2.4218465564629896e-07 2.2750942538218509e-07 -2.1682836079924305e-07 2.0342152672476315e-08 1.0768485149068553e-07 1.3649103852543196e-07 -9.17225920929391e-08 1.353688310652027e-07 1.3508838182014535e-07 -1.1233266886645453e-07 -9.535428943539035e-08 -5.339220931567611e-07 -1.5949986640311846e-06 -2.3461541818224785e-06 -5.085750218708019e-06
PC.PC4 4.408676603658459e-06 2.3656699849536937e-07 -2.153983265664276e-06 -3.13075424648549e-06 -3.7545126518335254e-06 -1.096991829081512e-06 -2.2870036715361844e-07 1.7711945778841136e-07 1.688709595580988e-07 3.9301554859640585e-06 2.2581193925487412e-07 -2.2839075182949557e-07 1.9023974207719607e-07 7.441670772442486e-08 1.5732433077977936e-08 -2.2033070313322555e-07 -2.3356872328696568e-07 8.071816165308343e-09 9.688010364850574e-08 2.3844752966205533e-08 -8.334057172957148e-08 2.0618431140697393e-07 -7.06746644577505e-08 -4.4319487208058675e-07 -1.4685891682508642e-07 1.9170809277485698e-07 4.15107838724941e-07 1.328368584577498e-06 -4.819521315255246e-06 -3.6634681056511222e-06
