 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0011536277843085115 4.0419041891052395e-05 -0.0002446473445358065 0.00020998202123790046 0.000641475361508005 0.0002663471753187496 -7.436967349897748e-07 6.097128684899266e-06 -2.3346640665215395e-06 3.7161160964761183e-06 -1.4293101281362231e-06 -4.405348384683916e-06 -2.0070857446174398e-06 6.229242136520282e-07 -1.3766114803767264e-06 2.618292131719908e-07 -5.160821511239433e-06 -3.9980736365037174e-07 -5.703891774785105e-06 -1.8685621750036332e-06 -2.6546595290887142e-06 1.2942744708082422e-06 1.9607292098355566e-06 9.988062819040538e-07 -1.300900745242009e-06 1.4023995804037284e-06 -9.599672171197531e-06 -2.875125699793091e-05 2.8566908916831624e-05 5.712971508054198e-05
AGE 4.0419041891052436e-05 2.819322738224934e-06 -1.1678139628462788e-06 -2.379942596270368e-06 -3.818017725994455e-06 -1.3729496068951736e-06 -9.119102082653622e-08 2.4220567774305747e-07 -7.978121065009466e-08 1.1519252702057424e-07 1.0275340892674844e-07 -7.07989193138855e-08 -1.449662286766675e-07 -1.4732511318795147e-09 -6.892278238353167e-08 1.6018878364943441e-07 -1.489489107901986e-07 -7.550220368485535e-08 -2.665673772729532e-07 -5.67653755405735e-09 -2.14816185192324e-08 -3.1113685694995786e-08 4.659963376036607e-08 6.19795846031923e-08 -5.0616208850813435e-08 -4.8569557031007724e-08 -3.030100635111892e-07 -2.903839204653834e-06 3.4300255371935233e-06 1.5415063203118462e-06
sex -0.00024464734453579157 -1.1678139628462047e-06 0.004229889260035976 0.0011040689550147866 -0.0022143732282637074 -0.0011545795720225621 -2.4117502224416253e-07 2.4717322861909936e-07 -5.097172551056488e-07 8.3155498366159e-07 1.95742816709293e-06 -3.720889978467881e-08 -5.962532955994877e-08 -2.2694733873962066e-06 -1.9405472631343372e-06 2.8942756066295024e-06 2.3098724326324575e-06 1.8023677842561725e-06 1.1751050790703292e-06 1.30303742381331e-06 -4.428534637260345e-08 -3.1555815409617317e-06 4.1152594676935525e-07 -2.1496213407875353e-06 -1.0692299583637864e-06 9.6931100462858e-07 -1.7009046717586264e-05 -3.1922578296452104e-05 5.0135544878364515e-05 2.7598232294725016e-05
age_sex 0.00020998202123791488 -2.3799425962703918e-06 0.0011040689550147122 0.002960424483297398 0.0021898026391530406 0.0003714971803597104 1.9537647906195057e-06 4.77888913069241e-07 5.837670565329982e-07 1.5847875136604421e-06 -3.2764903297815294e-07 8.59733927772677e-07 -2.0678486284211525e-06 2.928276243674101e-06 -9.696407792832002e-07 1.5007967352033692e-06 3.9524513810232787e-07 -8.488369303066022e-08 2.620161227463362e-07 -7.766950842727213e-07 -9.353216205946545e-07 8.780818736387329e-07 -1.7693697835284814e-06 -6.023515307625668e-06 -5.584416141139835e-07 -3.421912368996878e-07 -3.631287749826937e-05 2.704667272220729e-05 -1.3868107578795e-05 -2.717383215694904e-05
age2_sex 0.0006414753615080029 -3.818017725994618e-06 -0.002214373228263823 0.0021898026391529144 0.006098643296731349 0.002425864434856343 8.895567958254361e-07 7.100739483559004e-08 -3.052142024852548e-07 6.493967971718566e-07 -9.100716646853996e-07 8.451008763342277e-07 -8.506214533343608e-07 5.877253196438512e-06 -7.846599488064035e-07 -6.960688468856374e-06 2.7908574167194756e-06 -1.389816087742415e-06 -8.380920471458895e-07 -1.6636581986726996e-06 -1.212278502238918e-06 5.816044544355435e-06 3.922217207773625e-08 -5.562866330122026e-06 -1.0056117332953687e-06 2.8371076550783666e-07 -6.796560741748459e-06 8.024851374280708e-05 -7.768279927237934e-05 -1.6405385474331328e-05
age3_sex 0.00026634717531874433 -1.3729496068952327e-06 -0.0011545795720226027 0.0003714971803596404 0.0024258644348563027 0.0011274644226718408 -5.562229550798862e-08 8.637053147450061e-08 -3.237313582998359e-07 6.901402523810879e-08 -1.2174953542272081e-07 3.1736022065085915e-07 2.2624394529515401e-07 2.0440607106812517e-06 -5.893636328601539e-07 -3.867708965072526e-06 1.2838094196493016e-06 -8.501234483384559e-07 -5.975104086476816e-07 -6.785424846094928e-07 -5.899108677526615e-07 2.660525748437847e-06 5.69958436513012e-07 -1.452065214717877e-06 -4.811250266677571e-07 5.040339515901325e-07 3.2926267675902903e-06 3.2659601055494974e-05 -3.8530656463162e-05 5.5964200796824655e-06
PC.PC1 -7.436967349897875e-07 -9.119102082654139e-08 -2.4117502224376845e-07 1.9537647906206246e-06 8.895567958263156e-07 -5.562229550781924e-08 1.1072868813669337e-06 -4.459813247904581e-09 1.9789023794817127e-09 -1.0808961109298769e-07 6.628064512947777e-08 2.42948521485484e-08 -8.949663121101578e-08 1.1173571276280246e-07 5.9099627154913495e-08 4.029936049488737e-08 -5.040449881354157e-09 1.1476472834616394e-07 -6.573277538301411e-08 -7.850112645234988e-08 2.1606217216325506e-08 -9.075259944667996e-08 3.8945716402808266e-09 3.8212058548640767e-08 9.69966154284732e-08 -1.4073599954780042e-07 -7.331436889279156e-07 1.9046857955536722e-08 -3.053117095585137e-06 -1.4971210622626492e-06
PC.PC2 6.097128684898898e-06 2.422056777430453e-07 2.4717322861923055e-07 4.778889130691025e-07 7.100739483521605e-08 8.637053147435238e-08 -4.459813247904028e-09 1.9836815540643186e-06 -1.219897099232797e-07 1.4417467063354314e-07 5.97191858327625e-08 -6.910813092121375e-07 -1.332318059526469e-07 -1.337273402704444e-07 2.0768280080652735e-08 -4.067293977752059e-08 -5.430334500444743e-07 -2.451098491168832e-07 -1.062512131061795e-07 -1.8895894325984456e-07 -1.784214730135271e-07 8.403542838306415e-08 -2.6523741757690003e-08 -6.20146863933234e-08 -1.7400900701635277e-07 9.764178755895767e-08 5.883182755318588e-07 -8.64750790128637e-07 4.2445566355468913e-07 3.659867936141262e-07
PC.PC3 -2.3346640665215438e-06 -7.978121065009491e-08 -5.097172551055919e-07 5.837670565330213e-07 -3.05214202485302e-07 -3.2373135829986306e-07 1.9789023794826412e-09 -1.2198970992328002e-07 2.1110694518038044e-06 4.063454411176497e-08 1.6936563623707058e-07 2.6260994393654924e-07 1.3231658487145635e-07 -2.9269306063503242e-08 2.039885932352735e-08 9.396049464913125e-08 2.1875139647748044e-07 -5.2726875521211423e-08 1.5133258386443807e-08 1.5179692029480986e-07 9.098948249349134e-08 -8.818900826274422e-09 2.3218234738707722e-08 2.4748263744169437e-08 -3.830892235166209e-08 -4.399993619795381e-08 -1.1660829947537046e-06 2.065337588362454e-06 -3.27681489699081e-07 -7.0548893066551384e-06
PC.PC4 3.7161160964761543e-06 1.1519252702057584e-07 8.315549836615025e-07 1.5847875136603354e-06 6.493967971718632e-07 6.901402523814074e-08 -1.0808961109298637e-07 1.441746706335435e-07 4.06345441117633e-08 2.66560162683893e-06 2.8288460591454225e-07 -2.9777034088913267e-07 2.0117858113627478e-07 1.0916891545605895e-07 8.769804207241583e-08 -2.7816290233365613e-08 -1.8687484560161172e-07 4.5199559835903017e-08 -6.314787265041843e-08 8.135853755332171e-08 -2.0419756633875523e-08 1.2580035253341064e-07 -6.226056805197083e-08 -1.6305016112334186e-07 1.6700941815336632e-07 1.7499025447474296e-07 -1.6657424022649634e-06 3.350212735726891e-06 -1.3379338940768408e-06 -2.091695733229231e-06
PC.PC5 -1.4293101281361827e-06 1.0275340892675044e-07 1.957428167092919e-06 -3.276490329781717e-07 -9.100716646854069e-07 -1.2174953542272081e-07 6.628064512947794e-08 5.971918583276232e-08 1.693656362370702e-07 2.828846059145423e-07 3.4175642461671524e-06 1.4839441222399057e-07 1.1381360225819826e-07 -6.039155184028245e-08 2.706481041043571e-08 -9.631644681669088e-09 1.6502776283493183e-07 2.1643748607201033e-07 -7.619025461000191e-08 1.7014172567249162e-09 8.168437119309287e-09 -4.118514752170071e-08 -5.455525614585461e-08 9.379817266144691e-08 2.612118161319533e-07 -6.902998047857981e-09 -3.477999668345036e-08 1.8463503296318463e-06 -2.9064068176002663e-06 -5.101349362352055e-06
PC.PC6 -4.405348384683945e-06 -7.079891931388625e-08 -3.720889978465091e-08 8.597339277726578e-07 8.451008763341461e-07 3.173602206508242e-07 2.4294852148547764e-08 -6.910813092121412e-07 2.6260994393654977e-07 -2.977703408891326e-07 1.4839441222399012e-07 4.54309540454691e-06 2.910668706507277e-07 6.47356774400007e-08 -7.668303602391883e-08 1.4909038563950846e-07 1.0702459907233453e-06 5.675555958611102e-08 -5.996663613651663e-08 3.9199403841980423e-07 2.415607852301463e-07 -7.966802061242523e-08 -1.6438492801438474e-07 8.46189502260204e-08 1.5710388775477866e-07 -2.443813339514251e-07 -1.6395816584746731e-06 4.4976100880956e-06 -8.396267954238322e-06 7.322775294527092e-07
PC.PC7 -2.007085744617454e-06 -1.4496622867666723e-07 -5.962532955989851e-08 -2.067848628421179e-06 -8.506214533344935e-07 2.2624394529509064e-07 -8.949663121101561e-08 -1.3323180595264794e-07 1.323165848714568e-07 2.011785811362762e-07 1.1381360225819667e-07 2.910668706507271e-07 3.247411565761883e-06 3.0824164960912824e-07 4.7305053120476884e-08 -2.3427088586748202e-09 2.441975156729519e-07 -1.938391121943749e-07 -1.3916800751258246e-08 2.851183923776796e-08 3.300004408012447e-08 -1.2217190116751574e-08 -5.796017007176319e-09 3.24650672258941e-08 -1.1005843227752223e-07 -4.861413797631808e-08 8.313666630093685e-07 2.478008939401445e-06 -1.2281219741727562e-06 -1.795687152608847e-06
PC.PC8 6.229242136520341e-07 -1.4732511318801008e-09 -2.2694733873963595e-06 2.9282762436740594e-06 5.877253196438674e-06 2.0440607106813504e-06 1.117357127628024e-07 -1.3372734027044434e-07 -2.9269306063503242e-08 1.0916891545605866e-07 -6.03915518402825e-08 6.473567744000073e-08 3.082416496091282e-07 4.163854139394235e-06 1.031602216449367e-07 2.013448276964755e-07 2.318067665834871e-09 -2.094226449707176e-09 1.0442504246196832e-07 6.155052232819342e-08 -5.384696134134502e-08 4.996688974200351e-08 -1.1798020248427073e-07 -5.447875791537419e-08 -1.091686884191926e-07 -1.9676054755743103e-07 -2.061314141925776e-08 -1.575827340214475e-07 6.002736354650077e-07 -2.9141527850312586e-06
