 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
PC.PC5 1.9541397081410394e-07 7.16402580876596e-08 1.413951361617562e-06 3.8960765658651346e-08 -4.64192522627507e-07 -1.1739492482406679e-07 -3.4105719335473044e-08 1.8598347271983927e-08 5.6793743829645306e-08 9.909777816221432e-08 1.712478423797157e-06 4.382015898332752e-08 1.0663043674894749e-08 -4.2629098543495e-08 -1.1985537765976775e-08 2.86580526110493e-08 9.251589869620727e-09 3.144604494706238e-08 -6.19123266643171e-09 -2.1251446062499388e-08 -1.905415444156717e-08 -3.4077726912739815e-08 -2.9385891869766857e-09 1.1814743181614064e-07 2.1177010716426798e-08 7.562254007582426e-08 -7.346158622341964e-08 -7.435603539204644e-07 -4.205603465845511e-07
PC.PC6 4.2606226316939594e-07 3.285307402221707e-08 -7.167406378972448e-07 1.79105218749589e-07 1.6254442679781198e-07 -2.982475586814837e-08 1.1976287808342528e-08 -1.483859777900702e-08 1.664194208351055e-08 -3.8538873922750534e-08 4.382015898332775e-08 1.8639778708618645e-06 7.714609802872386e-08 -2.6888733668935304e-08 -8.637842845359283e-08 1.2601150608440999e-08 1.9411308390276826e-09 -1.1088922066664332e-10 -4.1003740358808455e-08 1.8327499889985544e-08 3.4031952867029226e-08 -5.860504530257194e-08 -1.1106771210792383e-07 4.163881558795986e-09 -1.8147326502732787e-08 -1.1173702745745145e-08 -1.9471214082137334e-07 -1.5589452516869424e-06 2.575002258141664e-08
PC.PC7 -1.4283716289920287e-07 -5.132351755026642e-08 -2.7982936156442935e-07 -2.9151043367918683e-07 1.324752337754269e-07 1.0478536223713361e-07 -1.2077338413254252e-08 -5.270725280143455e-09 1.6751519397392865e-08 1.1625726655674232e-07 1.066304367489448e-08 7.71460980287245e-08 1.5057991193982411e-06 1.4504045580975107e-07 2.1202135964442186e-08 -3.6221764517344897e-08 -6.437919028289858e-09 -6.539229784455295e-08 1.4625886993782882e-09 2.1537480451276202e-08 1.7586310752918768e-08 1.4627287378600628e-09 -2.55102456250144e-08 -4.509485667232727e-08 -3.6373623391901087e-09 -1.2908217428566544e-08 1.506942486687142e-07 2.703120129720347e-07 7.023593280224457e-07
PC.PC8 2.247239776035858e-07 1.4667410898110045e-08 9.75938861120741e-09 1.1043385052384684e-07 -7.961951148989562e-08 -5.152886753851971e-09 2.4539963444345412e-08 -2.3351777501906833e-08 -5.0548429205941236e-08 4.741584807316073e-08 -4.262909854349468e-08 -2.6888733668935066e-08 1.450404558097518e-07 2.125304546334416e-06 -3.60380813559204e-08 -1.133000828081373e-07 1.167819804288566e-08 -4.807013937926826e-08 6.889505189278636e-09 -3.7968210514988336e-08 -4.173897570289671e-09 9.853957827774255e-08 -8.407210352871932e-08 -3.710856047597429e-07 1.056355860110966e-08 -6.7820677647737e-08 -1.61378744559147e-07 1.393665615309897e-07 -3.6725945291316747e-07
PC.PC9 -5.421592365872466e-08 6.609278277758618e-09 -3.1649464985040946e-07 4.718807278392607e-09 1.1589263926183877e-07 -4.84357665962134e-08 4.026263550396498e-08 1.777554474372592e-08 3.333445120125576e-09 7.027054085812019e-09 -1.1985537765977023e-08 -8.637842845359281e-08 2.120213596444223e-08 -3.603808135592009e-08 2.008535331652525e-06 7.31350825549872e-08 1.0156482861903792e-07 4.2567002666495275e-10 -1.6528815629024037e-07 2.7115921011883574e-09 -3.175746121912948e-08 -1.6299481649946748e-08 5.0659110896100175e-08 2.6035219514856986e-09 1.4589959314358005e-08 -4.5891630067000484e-08 2.3957689550142057e-07 2.579673106801604e-07 -6.787139352663738e-07
PC.PC10 2.1357994911847933e-07 4.486117467104732e-08 -2.458318418182258e-07 9.053068534135838e-07 3.885891437420478e-08 -2.9392635183292343e-07 -1.3592603641861537e-08 2.0276673638373417e-08 3.578595402799286e-08 -2.530982970204032e-08 2.865805261104916e-08 1.260115060844108e-08 -3.6221764517344685e-08 -1.1330008280813703e-07 7.313508255498674e-08 2.5033612693131778e-06 -1.3948595557145788e-07 6.000666341293383e-08 5.92987126576333e-08 5.501918729501023e-08 -4.7361038470658624e-08 -5.241154379208314e-08 2.310744118071347e-08 2.717456302798593e-07 2.5198076408028062e-08 8.371863965988676e-08 1.1546075952627495e-07 6.16332764582016e-07 -3.5137611389601426e-07
PC.PC11 7.594196656550025e-07 5.807706454118215e-08 4.453616913491242e-07 -6.934742503480919e-07 9.00483756564777e-08 2.8298985035897103e-07 -1.683620709391035e-08 3.771508611874366e-09 -1.7254288256091256e-08 -1.6271663026827304e-08 9.251589869620633e-09 1.941130839027597e-09 -6.437919028289541e-09 1.16781980428856e-08 1.0156482861903809e-07 -1.3948595557145798e-07 1.9481407930338776e-06 -7.634622251104561e-08 1.1935656668929293e-08 3.208823331788252e-08 -4.880071647690969e-08 1.4598118381647847e-07 6.406977658991185e-08 -9.298478081544124e-08 4.375645625797709e-08 -1.518521933388627e-08 2.769717229772705e-07 6.888309585759024e-07 3.1503416341350803e-07
PC.PC12 7.251672185458008e-08 4.219474989107613e-09 -5.374185139479748e-07 -1.1898628893622446e-07 1.5918119891487246e-07 -2.0253110427961105e-08 1.7527981116000722e-08 -1.6058818351695028e-08 -6.002774072819343e-09 4.650674251059343e-08 3.14460449470618e-08 -1.1088922066649913e-10 -6.539229784455254e-08 -4.807013937926796e-08 4.2567002666503666e-10 6.000666341293354e-08 -7.634622251104556e-08 2.1296578220872815e-06 -2.7481061330257967e-08 6.046432911009834e-08 4.489288897648737e-08 1.255183994691044e-07 3.5046003530596863e-10 2.896898301272056e-08 1.1438145347798845e-07 1.467382967162272e-08 3.7650729899508194e-08 -2.887200050177538e-07 -4.669696370654476e-07
PC.PC13 -6.751961750685609e-07 -5.797476522550151e-08 -2.250234014995197e-07 5.589918185219453e-07 1.6726764655601739e-07 -2.538776950929328e-07 -9.614718170576795e-09 -1.3680477129063627e-08 -6.535016965785754e-09 -1.7922267161217543e-08 -6.191232666431587e-09 -4.1003740358808435e-08 1.462588699378247e-09 6.889505189278628e-09 -1.652881562902411e-07 5.929871265763353e-08 1.1935656668928927e-08 -2.748106133025784e-08 1.900033064955465e-06 1.843913257523364e-08 -1.7765381066046924e-08 -1.2103118814036055e-08 2.2416305077886034e-08 1.4582044630075575e-08 -5.221686305670617e-08 -3.9752898071915426e-08 -1.3898252537779003e-07 -1.8511541829994266e-07 1.118225912420926e-06
PC.PC14 -5.225710194951537e-08 1.3843932577881551e-08 3.266591979547906e-07 8.003254650224658e-08 -3.017527533470147e-07 -1.4384046984297879e-07 -2.6602561815041283e-08 -8.822522917987935e-09 2.743005705680009e-08 3.9268190617468575e-08 -2.1251446062500175e-08 1.8327499889985564e-08 2.1537480451276344e-08 -3.796821051498828e-08 2.71159210118833e-09 5.501918729501052e-08 3.208823331788204e-08 6.046432911009959e-08 1.8439132575233914e-08 1.56637194580751e-06 -2.4600560177517246e-08 -1.547033037720117e-07 -3.5866143086032165e-08 7.610101748442016e-08 3.864126433996213e-09 -4.549629630387217e-08 -1.6161919265661215e-07 1.0161165062534465e-06 2.1291768244875394e-07
PC.PC15 -6.77424359297559e-07 3.5486351166442003e-09 -1.89920122321679e-07 -2.096868951748955e-07 1.4939420415036298e-08 4.76376741796621e-08 3.453019077746589e-08 -2.703048469259641e-08 2.8194908935853622e-08 6.732769738012451e-09 -1.9054154441566864e-08 3.403195286702925e-08 1.7586310752918666e-08 -4.173897570289662e-09 -3.175746121912959e-08 -4.7361038470658504e-08 -4.8800716476909775e-08 4.4892888976487356e-08 -1.776538106604793e-08 -2.460056017751702e-08 1.802319526886559e-06 -4.1298354111064823e-08 -8.790048602960061e-08 -7.668328553916456e-08 -1.834790729493796e-08 6.203486196537557e-08 -2.5227860667742323e-07 -2.405354099657336e-07 2.917890243583385e-07
PC.PC16 4.0805735771524326e-07 -1.5592778695555674e-08 -7.520886982541554e-07 -7.657227289804024e-08 -4.6978257056077206e-08 -5.656774509199102e-08 5.567931871943824e-09 4.873105286479448e-08 -4.912685462880214e-08 3.562504073548447e-08 -3.4077726912740384e-08 -5.8605045302572026e-08 1.4627287378603792e-09 9.853957827774264e-08 -1.6299481649946546e-08 -5.241154379208352e-08 1.4598118381647842e-07 1.2551839946910404e-07 -1.2103118814036695e-08 -1.5470330377201126e-07 -4.12983541110661e-08 1.9321470098256236e-06 1.0252521740102483e-07 -2.7984684435208946e-07 3.437934289270118e-08 -1.0260930381973456e-08 -4.824582757738247e-08 5.504508550311667e-07 -4.758282294238853e-08
PC.PC17 1.3656817412740129e-06 5.982484014739674e-11 -1.1453005636681265e-07 -6.211564823191428e-07 2.2546849142238936e-07 7.154750161893432e-08 1.2609040339070396e-08 6.566618350686125e-09 -4.0270147964934226e-09 -8.099643903156115e-09 -2.9385891869767436e-09 -1.1106771210792384e-07 -2.5510245625014617e-08 -8.40721035287198e-08 5.065911089610046e-08 2.310744118071358e-08 6.406977658991206e-08 3.5046003530589997e-10 2.241630507788618e-08 -3.5866143086032184e-08 -8.790048602960055e-08 1.0252521740102468e-07 2.3738796315083517e-06 1.0090961804213097e-07 -6.347158007283946e-09 8.111576464756052e-10 1.7284475985771992e-07 -6.58460834486231e-07 1.8188417998062185e-07
PC.PC18 -1.155332007997663e-08 -9.447915731696566e-09 -5.351410624741758e-07 -3.896478052540882e-07 1.4570298273037407e-07 8.387950206246302e-08 -1.2583899509626425e-08 9.231716340557547e-09 6.979170222413417e-08 1.1825353389495428e-08 1.1814743181614063e-07 4.163881558795889e-09 -4.5094856672327487e-08 -3.7108560475974235e-07 2.603521951485808e-09 2.7174563027986065e-07 -9.29847808154414e-08 2.896898301272066e-08 1.4582044630075627e-08 7.610101748442032e-08 -7.668328553916473e-08 -2.7984684435208936e-07 1.0090961804213068e-07 2.7636955982870356e-06 -5.28190924864804e-08 2.1135094859323072e-07 -3.8779106421778207e-07 -8.050068684832603e-07 -4.310121032714595e-07
PC.PC19 8.924521797630616e-08 1.496158744245239e-08 -2.829180161865654e-07 1.380101677889851e-07 7.675390934629392e-08 -9.057530741535782e-08 -1.0112195538007787e-08 6.3200522273038496e-09 2.016550568085201e-08 -7.430953066568727e-10 2.1177010716426814e-08 -1.8147326502732753e-08 -3.637362339189886e-09 1.0563558601109546e-08 1.458995931435787e-08 2.5198076408028214e-08 4.375645625797704e-08 1.1438145347798892e-07 -5.22168630567063e-08 3.8641264339960665e-09 -1.8347907294939083e-08 3.437934289270103e-08 -6.347158007284167e-09 -5.281909248648028e-08 2.052565153117108e-06 1.2966051088364257e-07 -1.7021271507323125e-07 3.288112929166103e-07 1.1481010197539588e-07
PC.PC20 -7.880807576976915e-07 -3.564245881117775e-08 5.255233939190925e-07 1.6825865191921114e-07 8.724615308828587e-09 5.130783881476806e-08 -4.298671005584394e-09 1.2037404110459155e-08 9.507184237551685e-09 -3.935101033593127e-08 7.562254007582447e-08 -1.1173702745745181e-08 -1.2908217428567077e-08 -6.782067764773721e-08 -4.5891630067000345e-08 8.371863965988686e-08 -1.5185219333886786e-08 1.4673829671622968e-08 -3.9752898071916207e-08 -4.54962963038728e-08 6.203486196537519e-08 -1.0260930381972682e-08 8.111576464755116e-10 2.113509485932312e-07 1.296605108836435e-07 1.8206894166128806e-06 -2.8556655944851597e-09 -2.731167891677556e-07 -4.451823072292896e-07
proband -1.1344913689417411e-06 -1.8195627276523103e-07 -2.437426871464267e-06 -6.990130724478645e-06 2.0247287144108746e-06 2.3356233497941586e-06 -2.727635938328161e-07 3.4281572986929397e-08 -8.47820355834461e-08 -3.646351142790162e-08 -7.346158622341767e-08 -1.9471214082136587e-07 1.5069424866870852e-07 -1.613787445591488e-07 2.395768955014193e-07 1.154607595262779e-07 2.7697172297726725e-07 3.76507298995095e-08 -1.389825253777895e-07 -1.6161919265661088e-07 -2.5227860667742286e-07 -4.8245827577383405e-08 1.7284475985771992e-07 -3.8779106421777556e-07 -1.702127150732312e-07 -2.8556655944829818e-09 0.00029585936937017056 -0.000170202408104804 -0.0001586278343360556
paternal -2.1517412203190224e-06 5.4612233339599634e-08 -7.979269668795892e-07 6.934201376206596e-06 -2.6513129306091167e-06 -4.4479660653700505e-06 -5.477884342739051e-07 4.41458873106446e-07 -1.5259200694278337e-06 -1.0005157268360783e-06 -7.435603539204691e-07 -1.5589452516869543e-06 2.703120129720424e-07 1.3936656153099347e-07 2.579673106801598e-07 6.163327645820214e-07 6.888309585759125e-07 -2.8872000501775405e-07 -1.851154182999408e-07 1.0161165062534471e-06 -2.4053540996573427e-07 5.504508550311662e-07 -6.584608344862331e-07 -8.05006868483276e-07 3.288112929166089e-07 -2.7311678916776064e-07 -0.00017020240810480415 0.0004426028136784576 -6.484911498651063e-06
maternal 6.480371578993695e-06 8.898592791066627e-08 6.13538841734469e-06 -6.4681195192680005e-06 -7.678026959978434e-07 1.7769052266104723e-06 -7.843486345858651e-07 -2.893008450922046e-07 -1.0951077069766551e-06 5.105949960742549e-07 -4.2056034658454944e-07 2.57500225814122e-08 7.023593280224475e-07 -3.67259452913167e-07 -6.787139352663705e-07 -3.5137611389602183e-07 3.1503416341350634e-07 -4.669696370654495e-07 1.118225912420922e-06 2.129176824487509e-07 2.917890243583407e-07 -4.758282294238893e-08 1.818841799806229e-07 -4.310121032714631e-07 1.148101019753961e-07 -4.4518230722928925e-07 -0.0001586278343360551 -6.4849114986517295e-06 0.00040193390418530664
