 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.01574499448731597 0.00035044758631870543 -0.002092640479908171 0.0029925310444152337 0.015986118308685092 0.010947978198043731 0.00010240345226550174 -1.9482996598848738e-05 0.0007339457024450813 9.55518766840438e-05 -7.597715289354022e-05 3.492154343625667e-05 -5.487418960442807e-05 3.415706879334987e-05 -1.9959263824817214e-05 -1.6200199017170603e-05 -1.3536799350426521e-06 -7.881486892814855e-06 -4.959664393555798e-06 3.8564686676071534e-06 -0.00010646634228897645 1.3597812243736809e-05 3.336244931296524e-06 -3.082214136778898e-05 -1.1529990249940477e-05 2.9803018923124243e-05 0.0002516876945639458 -0.0009332722655843868 0.0002076758242737601 0.0006283030350934338
AGE 0.00035044758631870706 2.9270598970495113e-05 3.85889672348234e-05 6.250981886452711e-05 0.0001121211685776866 7.487748047451493e-05 -1.8628671501852074e-06 1.8121394917673542e-06 -1.9017524219352318e-06 1.7488882991359098e-07 9.554505223363118e-07 -1.1004797076151436e-06 3.42452127855863e-07 6.037356644934574e-07 -2.002115038398584e-07 8.361995723092385e-08 -1.3004080968673975e-06 -1.8168610136945698e-06 -4.6805176237932883e-07 6.539552123306112e-07 -1.0450050997784145e-06 -1.0172078219031052e-07 5.773193497690026e-07 -2.099262836227889e-06 2.4348766923724004e-07 -2.186809654680925e-06 -7.335637149359597e-06 3.187853223853705e-05 -1.1533584761519434e-05 -4.419504228775364e-05
sex -0.0020926404799082553 3.858896723482441e-05 0.023750588335508922 0.012409734020519656 -0.020608645775525496 -0.019169576753984778 7.475214530062726e-06 8.831124129596291e-06 3.825316283583898e-05 3.4632887739283585e-06 1.796703714151451e-05 7.028149558064185e-06 -6.478560134884667e-06 -1.9191502538989233e-07 -5.873318185918127e-06 7.40663225063145e-06 1.5310869092542576e-05 1.1511162684440779e-05 -6.260596521239402e-06 1.0073264355451397e-05 3.991311666567261e-06 -6.010561923760565e-06 7.273095841593896e-06 -1.4059322434413274e-06 1.533276655307083e-05 6.2761333031947804e-06 3.789963805091941e-05 9.045653875536873e-06 0.0003420424121853032 -0.0006294695191506865
age_sex 0.002992531044415222 6.250981886452323e-05 0.012409734020519548 0.029326135834224554 0.023367375368896316 0.001565667486855494 -1.9119487932270083e-05 1.8275305121351705e-05 -2.5687717340321224e-05 -1.5025376704848858e-06 -3.5505045884775244e-06 2.4605772448421693e-05 1.6609645861424194e-05 -6.7679398162699024e-06 5.4501703138829346e-06 -5.809840279449524e-06 -5.737273546793865e-06 -9.160560261226386e-06 -1.985119733294442e-06 1.45297772066102e-05 -8.313721298711267e-06 -2.6715852675290483e-05 1.064169563554697e-06 2.4052374844463818e-05 1.264928081964547e-05 -2.3795388618244577e-05 0.0003742545910079454 -0.0005161953493545084 0.0007516069727088852 -0.0008815933400962433
age2_sex 0.015986118308685297 0.00011212116857767449 -0.0206086457755257 0.02336737536889595 0.10909876437588399 0.06917364903703134 -2.1010459780878447e-05 2.2897357006313537e-05 -7.613293258112584e-05 -3.08555693698069e-05 1.3467164891519785e-05 1.3040297847512969e-05 3.5066038434379315e-05 2.152002831856057e-05 2.05671083817229e-05 -4.446438280579917e-05 1.920803121394609e-05 -4.560462564191903e-05 -7.048805391705104e-06 -4.128227921667772e-06 -2.455266067938868e-05 -3.161866180344415e-05 -6.924141845692201e-06 3.365728073860593e-05 1.7190441471620514e-05 -2.4813415203072706e-05 0.0005455058301422856 -0.0006488249137921081 0.000974841253601133 -0.0007097284608803717
age3_sex 0.010947978198043882 7.487748047450761e-05 -0.019169576753984858 0.0015656674868552121 0.06917364903703106 0.0535476586263114 -2.1348179058054457e-06 5.138976634014705e-06 -4.429474198408258e-05 -2.2964394073485977e-05 2.2178446002330394e-05 -9.55366615642706e-06 9.149010259028127e-06 2.189618248993682e-05 1.1893501409154103e-05 -2.824314847656784e-05 1.514667172813709e-05 -3.104247896274922e-05 -1.0728119228586098e-05 -1.6621436233856474e-05 -1.5969505461845806e-05 -5.998066038745515e-06 -3.9388986280775605e-06 4.644684238754082e-06 1.2134293621936324e-05 -2.1292713177678054e-06 5.564907010379082e-05 0.00010259442583571839 -6.903560317970434e-05 -1.3492578194023302e-05
PC.PC1 0.00010240345226550219 -1.8628671501851259e-06 7.47521453006668e-06 -1.9119487932273667e-05 -2.101045978088833e-05 -2.134817905809487e-06 3.837558633611674e-05 8.773815353976371e-06 3.7182729642661846e-05 -6.04645649080512e-06 1.2795153173318444e-05 6.790921140780281e-07 -1.3120577590032573e-05 5.431395879107009e-06 -6.421630709662488e-06 2.943050938553039e-06 8.216546131681071e-06 1.0475586834716763e-06 -3.297880805564979e-06 -4.167473046901212e-06 2.380430447853616e-06 -1.6517015099510313e-06 2.968762686715056e-07 -3.739456874139862e-07 -1.3109276767504352e-06 1.61138178274463e-07 -5.845123240628029e-06 -6.21483732654089e-05 7.114730997070046e-05 7.273477685621111e-05
PC.PC2 -1.9482996598848233e-05 1.8121394917673612e-06 8.831124129595973e-06 1.827530512135171e-05 2.2897357006315706e-05 5.138976634016587e-06 8.773815353976402e-06 9.793629577159438e-06 8.602909502400501e-07 -2.0975714255858305e-06 4.6610551913977336e-06 -4.868006030653086e-07 -3.0048493572574593e-06 1.216921302793518e-06 -2.0837129408197436e-06 1.1298394863770513e-06 8.139457665158487e-07 -9.959073127718655e-07 -1.7015748050371233e-06 -1.5436286419015424e-06 1.0387111765570715e-06 -4.3478012988076553e-07 -9.339438125825619e-08 -3.2653544154811983e-07 -9.412168765211006e-07 7.408828915444047e-08 -5.341595934332332e-09 9.53081949442423e-06 2.8073140838501055e-05 -1.2060001982707524e-05
PC.PC3 0.0007339457024450788 -1.9017524219351293e-06 3.8253162835851724e-05 -2.5687717340322857e-05 -7.613293258115909e-05 -4.429474198410575e-05 3.7182729642661825e-05 8.602909502400197e-07 9.979007211328853e-05 3.7293220768486923e-06 1.8574296994779704e-06 4.434145391659585e-06 -1.4986673076110011e-05 5.712038758950429e-06 -6.5486333062561036e-06 2.43054935699201e-06 8.83836381471173e-06 1.2398787910233078e-06 -4.148785477143651e-07 -2.40960004792906e-06 -5.6094747441039175e-06 1.51973214837933e-07 4.398888723733127e-07 -1.9485665052355927e-06 -2.9794687818681556e-06 4.918473086392221e-06 1.0981503773237541e-05 -0.00014004906753694335 0.00010873630154308837 9.269314742561526e-05
PC.PC4 9.555187668404263e-05 1.7488882991359223e-07 3.4632887739316157e-06 -1.5025376704847524e-06 -3.085556936981658e-05 -2.2964394073493403e-05 -6.046456490805117e-06 -2.0975714255858275e-06 3.7293220768487135e-06 1.0243491475596538e-05 -5.151085684251768e-06 3.434334433744291e-07 2.6535245233447706e-06 -1.0951859335478391e-06 6.947384595453617e-07 -1.1628278656930638e-06 -1.7432533100531303e-06 6.001894809138503e-07 9.647535676727168e-07 1.6740062566462438e-06 -3.442219529119383e-06 1.4723557370012112e-06 -2.8747910106450844e-07 -1.5682843594269124e-06 -6.916889086920571e-07 2.9602906335385135e-06 5.250560582881402e-06 3.111271386358843e-06 -1.409332939323889e-05 -2.7431347071172826e-05
PC.PC5 -7.597715289353241e-05 9.554505223363914e-07 1.7967037141500937e-05 -3.5505045884851786e-06 1.3467164891558056e-05 2.2178446002366173e-05 1.2795153173318435e-05 4.661055191397716e-06 1.8574296994779888e-06 -5.151085684251768e-06 1.7988513173717307e-05 -1.4507647461357134e-07 -5.433878262451873e-06 2.2403617693152096e-06 -1.8757915644942293e-06 2.4859851346905026e-06 3.2058699855214923e-06 -1.2007019814819987e-06 -1.655468460024226e-06 -4.742302391811531e-06 7.4865672940320566e-06 -5.588116884618227e-07 7.873678550569071e-08 1.1457921360648732e-06 4.522691495112512e-07 -3.127269723748378e-06 -1.8503606155617525e-07 -4.820449506384164e-06 1.26706655262346e-05 7.564602128994019e-06
PC.PC6 3.4921543436255855e-05 -1.1004797076151489e-06 7.028149558065479e-06 2.4605772448419267e-05 1.3040297847506799e-05 -9.553666156429928e-06 6.790921140780408e-07 -4.86800603065308e-07 4.434145391659593e-06 3.434334433744268e-07 -1.4507647461355302e-07 1.6808201979831883e-05 1.2723231370372468e-06 2.628206269272471e-07 -9.99022355644912e-07 3.1999803309089576e-07 8.844874853184974e-07 8.256140974480175e-07 -1.912818533920838e-06 4.007254543150685e-07 -6.173546994335358e-07 -5.484761709640483e-07 -7.351744528746788e-07 6.240381801456948e-07 1.9937038134486377e-07 -5.273465221291529e-07 1.0652885218831995e-05 -1.9914290756173694e-05 -2.5624463274476047e-05 1.7718259654091938e-05
PC.PC7 -5.487418960442964e-05 3.424521278558051e-07 -6.478560134884328e-06 1.660964586142796e-05 3.5066038434380806e-05 9.149010259026247e-06 -1.312057759003258e-05 -3.004849357257448e-06 -1.4986673076110062e-05 2.6535245233447663e-06 -5.433878262451875e-06 1.272323137037252e-06 1.4336868069901312e-05 -1.4375854262766048e-06 2.2521626569164302e-06 -1.1707677398999035e-06 -2.2857347472255445e-06 -1.3021369126109293e-06 1.4106756365105057e-06 2.479492196495839e-06 -1.163740729090345e-06 2.566761161120368e-06 -1.0070437144242829e-07 -2.6696311399889994e-07 -8.922141877848503e-07 2.625955467398895e-06 7.445063579535107e-06 5.575485966013973e-06 -1.551290805327788e-05 -1.1207366095726208e-05
