 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
PC.PC5 -1.4043492398618586e-06 6.015505222739453e-08 1.5013582610942113e-06 -3.1627577301306484e-07 -7.972359629375801e-07 -1.2564600256856477e-07 4.490776467352002e-08 6.686247110548254e-08 1.5871839852224835e-07 2.896457825330293e-07 3.215495815727384e-06 1.1127145235472493e-07 1.323444679678104e-07 -1.1699574952395821e-07 1.216191549319898e-08 1.4965005432461585e-08 1.2629139492188983e-07 2.0435005207386943e-07 -7.16141770422415e-08 4.11815502175955e-08 1.8303884010768635e-09 -3.972138782508583e-08 -5.023936928953399e-08 1.4899406271654464e-07 2.2951840575918522e-07 3.459046119893156e-08 -4.3808106737062453e-07 1.9695824041589943e-06 -2.20867773801575e-06 -5.107069966739104e-06
PC.PC6 -3.751158716543712e-06 -8.518374918966936e-08 6.383640824653859e-07 9.310354452711105e-07 -5.826862598157163e-07 -5.600032439143708e-07 1.3696689313552337e-08 -5.418026920440433e-07 2.066093138827844e-07 -2.437483169576231e-07 1.1127145235472451e-07 3.9606784891617226e-06 1.9366064779370025e-07 3.5360585389365844e-08 -1.0876585953210264e-07 1.0936585419969566e-07 9.087993476500585e-07 6.767005113882871e-08 -5.2246975333135735e-08 3.3449701647334473e-07 2.0405796448233747e-07 -7.329685072474124e-08 -1.5406759207595723e-07 7.79944802448446e-08 1.2882437764999266e-07 -1.8575424424037656e-07 -1.5460176785526035e-06 3.8876119112245946e-06 -8.103316129602952e-06 1.1805771944633563e-06
PC.PC7 -1.3874512720465926e-06 -1.4107232264281729e-07 -2.249489256138392e-07 -1.323113338167429e-06 -8.619744804172303e-07 -6.2136791298571e-08 -7.056715396930194e-08 -1.1292684561883634e-07 1.144160255455368e-07 1.5411082132701256e-07 1.3234446796781094e-07 1.9366064779370134e-07 3.1051346335500597e-06 2.8177444352370876e-07 3.517375990414656e-08 -1.3663898130993609e-08 2.2344118494442961e-07 -1.8058252931257687e-07 -2.696637655453942e-08 4.0241864314815935e-08 4.692975201399875e-08 -5.872544331234556e-09 -1.6722597618386807e-08 1.3848380805399446e-08 -8.374891476374938e-08 -6.01952520465004e-08 5.342665235124488e-07 2.273919727074737e-06 -9.231139790572647e-07 -1.9366339491758902e-06
PC.PC8 4.2919139396596163e-07 -7.526431771886898e-09 -1.478284316448082e-06 3.2661199782649373e-06 4.996448126189038e-06 1.5940044719901694e-06 9.717779366494027e-08 -1.1090724396649155e-07 -4.123091442429624e-08 8.242569129711293e-08 -1.169957495239585e-07 3.5360585389365764e-08 2.817744435237082e-07 4.008617511096667e-06 8.677701794798312e-08 5.138291675953741e-08 2.9210339538549243e-08 -5.677736128620203e-08 6.274110142096836e-08 2.436524759688836e-08 -4.7602592730079054e-08 7.340458530582748e-08 -1.0239285935285032e-07 -2.3083706096913523e-07 -8.351617801639279e-08 -1.82805998821678e-07 4.35429868641747e-07 -4.348131947356963e-07 9.038926943358448e-07 -2.6320982801804674e-06
PC.PC9 -1.3482378346118734e-06 -7.680473630667065e-08 -1.1576781930993878e-06 -9.778511743355152e-07 -1.0374261047630476e-06 -4.1979454242034183e-07 4.5248130630939964e-08 5.711865953959101e-08 5.7059343620333245e-09 9.323860328923775e-08 1.2161915493199164e-08 -1.0876585953210258e-07 3.5173759904146725e-08 8.677701794798325e-08 3.398092782238686e-06 3.103298882764168e-07 2.911215777640739e-07 4.6068049176347394e-08 -4.183172838434581e-07 1.210868535602667e-07 -3.511032617674239e-08 5.360767844447529e-08 1.8069971695005472e-08 -7.894301993398481e-08 2.498577143592566e-07 -1.5637973273088968e-07 1.20404886986631e-06 3.6795300920724416e-06 -4.887721666069077e-06 -4.540385083914558e-06
PC.PC10 8.839669589728741e-07 1.9285166605974506e-07 2.788974763636972e-06 1.177991210940631e-06 -6.030814275152184e-06 -3.381159170083662e-06 2.810531176356919e-08 1.2741681539740016e-11 1.1500069697709891e-07 -1.092516838892075e-08 1.4965005432461595e-08 1.0936585419969703e-07 -1.3663898130993415e-08 5.1382916759537254e-08 3.103298882764173e-07 5.071945570066941e-06 -2.882685164534365e-07 -8.271514027499932e-08 1.7988750158278013e-07 9.412614778456395e-09 -5.059696879265928e-08 -2.7852995546296807e-08 7.405677554528944e-08 -2.2235583266618465e-07 1.2988757793481058e-07 1.0751571555040466e-07 5.399827813517901e-07 -2.5670950262986442e-06 -1.0813712960297181e-06 2.198254154690922e-06
PC.PC11 -4.064573383523331e-06 -1.4353693518863982e-07 1.987652755990571e-06 2.25375303162884e-07 2.6637532535532895e-06 1.3602145399197717e-06 1.8531333925624395e-09 -4.3630954912126724e-07 1.7739771040579174e-07 -1.490200449162691e-07 1.2629139492188996e-07 9.087993476500575e-07 2.2344118494442853e-07 2.921033953854994e-08 2.9112157776407304e-07 -2.8826851645343796e-07 3.961510953421601e-06 -1.0785178964988792e-07 2.072432377950463e-07 2.7398098684990846e-07 1.5156371128977543e-07 4.023166515040408e-08 7.166251804759152e-08 -1.5896139321379108e-07 1.0645410966625661e-07 -6.546027309642165e-08 1.5892619187226973e-06 2.566762517196804e-06 -1.2921711909086107e-06 -1.870398850854815e-06
PC.PC12 -6.36596618928786e-07 -7.778778607637327e-08 6.329224528800971e-07 -7.470391571119412e-07 -7.219354359038729e-07 -3.7005447579095443e-07 9.212864589224399e-08 -2.1089253052364934e-07 -3.479772181737568e-08 -1.1052756128790934e-08 2.043500520738693e-07 6.767005113882817e-08 -1.8058252931257737e-07 -5.6777361286201976e-08 4.6068049176347374e-08 -8.271514027499921e-08 -1.0785178964988793e-07 4.994558335430644e-06 -3.2077517321283006e-07 1.0877319228862211e-07 1.2277512963255333e-07 4.483394324300472e-07 -2.501977805795687e-07 7.1125689723854914e-09 3.5088730589244774e-07 1.343234965782397e-08 8.156270565835967e-07 2.2871128832997797e-06 -3.827705189219249e-06 -4.076074188004833e-06
PC.PC13 -4.889276057864377e-06 -2.3999644755900316e-07 1.6362586271267412e-06 4.294768396769621e-07 -1.628759389245907e-06 -1.1232378684475377e-06 -6.014852265311568e-08 -1.0471181226707234e-07 1.0925159890069204e-08 -4.8484254392601214e-08 -7.161417704224152e-08 -5.224697533313578e-08 -2.6966376554539635e-08 6.274110142096865e-08 -4.183172838434593e-07 1.798875015827809e-07 2.072432377950449e-07 -3.207751732128312e-07 3.368249138053851e-06 4.779065077773892e-08 -3.589352908068053e-08 6.951866629047696e-08 1.0177891404089396e-07 -2.6242976621706832e-08 -2.1683963351647542e-07 -8.919396077176332e-08 3.454119962216475e-07 -3.967855287727106e-06 9.060920856490442e-06 1.683774463839802e-06
PC.PC14 -1.6087351115159046e-06 -2.5863729283727803e-08 1.0923262110918324e-06 -7.909204518902024e-07 -1.3389405899580425e-06 -3.84957701782353e-07 -6.466854922807829e-08 -1.4816297245554663e-07 1.3020548544442528e-07 5.911482429769506e-08 4.1181550217595836e-08 3.344970164733441e-07 4.024186431481574e-08 2.4365247596888358e-08 1.2108685356026653e-07 9.41261477845613e-09 2.7398098684990756e-07 1.0877319228862194e-07 4.779065077773839e-08 2.9613593850816176e-06 1.2554709829286274e-07 -1.3131221484072103e-07 -3.0938862947516736e-08 1.616526684125056e-07 1.0583785170371317e-07 -1.1191338852104106e-07 4.5043042688772404e-07 2.0011844997667205e-06 -1.969006137823963e-06 -5.265936949295631e-07
