 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.002346893225514199 7.89160852779913e-05 0.0004648175805353584 0.002143340508122754 0.002898979521449322 0.0009601661252615125 -3.489659562146947e-06 9.282197080564962e-06 9.030048792412719e-07 3.239275779750892e-06 -2.453889456902162e-07 -4.3536936295535494e-07 1.4926416232333034e-06 1.427252598163696e-06 -2.8260680555252974e-06 -2.7815389326470037e-06 -3.1873417085150736e-06 -1.0034793934412083e-06 -4.746446823005316e-06 1.3015574201529986e-06 2.783751697237297e-08 3.1016123233419336e-06 1.5033712976445732e-07 1.9084014613806717e-07 -1.0477945537130798e-06 1.4563820849009462e-07 5.665488289811315e-05 -9.326426309521213e-05 -4.973345817867543e-05 0.0001350895687112699
AGE 7.891608527799127e-05 4.567326120367882e-06 9.03825520646589e-06 2.1541270000772883e-06 -4.369303524767305e-06 -2.4083897019178503e-06 -1.5033999493577478e-07 4.0163396959233403e-07 -1.879409375633254e-08 1.113607230427395e-07 2.016298645513353e-07 2.5155079639608807e-08 -8.421145398778219e-08 3.144498875360682e-08 -1.630418039146793e-07 3.9331126261087275e-09 -1.1535472910921435e-07 -9.615815593601727e-08 -2.5286748274449017e-07 9.631481834302865e-08 9.005679350071062e-08 2.2782999308844286e-08 -2.1834236656018204e-08 -1.4337482136191392e-07 -1.6636375055767363e-08 -1.7905022545353167e-07 1.1006687466516676e-06 -2.3404719284854597e-06 -2.5415756447895103e-08 3.4485936837128714e-06
sex 0.00046481758053528 9.038255206465975e-06 0.009486794628006107 0.006696141135993025 0.0014896056211262073 -0.00038414598455722434 -2.3568622645192784e-06 4.831930408650156e-06 -3.791534150372107e-06 -5.550319522618734e-07 6.228205813964208e-06 -2.8514970255632e-06 2.173978261275674e-06 -7.005438898571297e-09 2.265825373183547e-06 -1.417005540169081e-06 1.8109720485625685e-06 3.757256747051597e-06 -2.4977038870829208e-06 4.144897621956077e-06 -1.0967449762747596e-06 -5.338093051863066e-06 1.1766371980796846e-06 4.215724215208509e-06 6.746277962079619e-06 2.6136261205368115e-06 -1.322583761431037e-05 3.6345641941376905e-05 -8.234672353701732e-06 -0.00015162491710823294
age_sex 0.0021433405081226686 2.154127000077713e-06 0.006696141135993412 0.016884237794026376 0.01732264168737108 0.004825738185646309 -7.045496897736682e-07 4.375055313736644e-06 1.8331524418679765e-06 -2.555433207629565e-06 -9.417148362407239e-07 2.8688484418512874e-06 4.788929284038144e-06 -1.0814283672585977e-07 2.9399117131337736e-06 7.30480303667101e-07 8.362172162870008e-07 4.3510434739685355e-08 -3.164739619814499e-06 2.3002766242895783e-06 2.776882794228755e-06 -1.9660870011528e-06 1.3280894929890406e-06 6.393990020057873e-06 3.9406900219325845e-06 -3.196630442642222e-06 5.2231517863897166e-05 -5.8226673767527876e-05 -3.897436011564087e-05 4.545356725767107e-05
age2_sex 0.002898979521449325 -4.369303524766716e-06 0.0014896056211268591 0.017322641687371805 0.024719738894028814 0.0082339968752206 -1.2403936716395067e-06 2.400636748087071e-06 6.0722408139826774e-06 -4.943894336257672e-06 -3.990354321117656e-06 7.551891111257417e-06 8.221980638207244e-06 2.1032303255270225e-06 3.137406266251234e-06 -3.502605419555545e-06 7.397369521200626e-06 -3.1521199344845443e-06 -2.6277877554248686e-06 7.922099257938276e-07 4.999602271398103e-06 4.201568548121747e-06 2.479880115871309e-06 6.150345095208474e-06 5.418380126088995e-07 -3.2941149876783173e-06 0.0001484093608306159 -0.0002237396983615379 -1.9175398694588136e-05 0.00027207517715657813
age3_sex 0.0009601661252615361 -2.408389701917601e-06 -0.00038414598455699606 0.004825738185646674 0.008233996875220775 0.0029872684960078155 -5.63998941546554e-07 4.3123171419392947e-07 2.4208751063622236e-06 -1.8140082910544609e-06 -1.2493874163344797e-06 3.024436321063638e-06 3.116731713018004e-06 1.248205898281545e-06 5.79165815059769e-07 -1.9684387897808895e-06 3.7334132526688616e-06 -1.3736132287362084e-06 -8.718953723152695e-07 5.929309313990477e-08 1.6244338427135272e-06 2.515657667318149e-06 9.205229833069219e-07 1.7019710211722407e-06 -4.1782474023635026e-07 -4.979238281473575e-07 6.0656765676483544e-05 -9.716750723743214e-05 -1.187531564691919e-05 0.00012803089027238633
PC.PC1 -3.4896595621469406e-06 -1.503399949357727e-07 -2.3568622645193195e-06 -7.045496897739332e-07 -1.2403936716398189e-06 -5.639989415466453e-07 1.4322577524586725e-06 5.5801743540285114e-08 3.187930790593949e-08 -1.6354788241420173e-07 1.0400348018355878e-07 -3.888949080609518e-08 -1.508601410669472e-07 1.0461323460639807e-07 7.328016319104695e-08 -6.549706136624785e-08 -3.0043090743978725e-08 1.5519106041545784e-07 -1.5617831521089166e-07 -1.0886080138452275e-07 1.4164965183300508e-07 -1.4870866944133355e-07 5.352979143221378e-08 4.487303822008317e-08 1.610544729639054e-07 -2.3621358348067412e-07 -1.4904134219615258e-06 -2.210400102242481e-06 -1.534604310714651e-07 1.7008439848416731e-06
PC.PC2 9.282197080564635e-06 4.01633969592327e-07 4.83193040864988e-06 4.375055313735693e-06 2.4006367480858636e-06 4.3123171419353755e-07 5.5801743540285266e-08 2.250578215340146e-06 -1.6005433330145847e-07 1.3819787591698617e-07 1.1378310738624864e-07 -5.030278041722083e-07 -1.4881883303970116e-07 -5.7099509481548085e-08 1.2636225196644926e-08 3.649329450569738e-08 -4.051402176170191e-07 -2.1596607103381904e-07 1.2931553282411453e-07 -1.8113904362997873e-07 -7.953634650389693e-08 -4.831680266990785e-08 -1.0970921742795816e-08 -8.122321170694273e-08 -7.683004026565929e-09 5.095494334624678e-08 8.846012705697456e-07 1.3577908194229187e-06 -1.3610703189628601e-06 3.1285103310160717e-06
PC.PC3 9.030048792412617e-07 -1.8794093756337866e-08 -3.791534150371761e-06 1.8331524418685984e-06 6.072240813983202e-06 2.4208751063623455e-06 3.187930790593998e-08 -1.6005433330145765e-07 2.561327887635585e-06 8.649881003596373e-08 1.5227097409255858e-07 2.5049748450085784e-07 5.317600644989725e-08 -9.72749961571621e-08 3.05945865268189e-08 1.7473466393746068e-07 1.640444879455472e-07 -1.325585885274571e-07 -8.671639952586384e-09 1.0243804589693072e-07 1.0636408195853049e-07 -7.461765223787636e-08 7.921217610848945e-08 5.7608472187106084e-08 -6.972446008015798e-08 -4.671120107751938e-08 -7.63132263012016e-07 -1.454311190693874e-06 -2.238576099590682e-06 -2.7797908201640823e-06
PC.PC4 3.2392757797507896e-06 1.1136072304273591e-07 -5.550319522620999e-07 -2.5554332076299206e-06 -4.943894336257912e-06 -1.8140082910544983e-06 -1.6354788241420038e-07 1.3819787591698503e-07 8.649881003596422e-08 3.0556036979103145e-06 1.974883372022371e-07 -2.202738057544964e-07 1.7831269771019457e-07 2.500137633674747e-08 1.1918912657607235e-08 -1.789909370698426e-07 -1.7248450128467858e-07 2.7684594258475663e-08 5.927750945756909e-08 2.570768422131161e-08 -7.900412246141162e-08 1.6058524467332893e-07 -5.469642655031612e-08 -3.4339486631753235e-07 -1.0910153098388996e-07 1.8270774830806722e-07 4.765082417580111e-07 1.301195099835325e-06 -4.5166440659440175e-06 -2.4653722966556586e-06
PC.PC5 -2.453889456902019e-07 2.0162986455133554e-07 6.228205813964155e-06 -9.417148362407907e-07 -3.990354321117684e-06 -1.2493874163344774e-06 1.0400348018355882e-07 1.1378310738624885e-07 1.5227097409255882e-07 1.974883372022378e-07 3.836042902598746e-06 1.6945912296843156e-07 4.414177748090244e-08 -1.1783900397288187e-07 -3.471098157309257e-08 2.4433391802018055e-07 1.0778269313263438e-07 1.5886235629600885e-07 2.4700690425977506e-08 -1.5548156986292157e-08 5.814253378205298e-08 -8.593620375697195e-08 -3.249114523553895e-08 1.1918520711397689e-07 2.229208864296458e-07 -1.3488688011976503e-07 1.4242351153596786e-06 1.422828007722611e-06 -3.106531498038922e-06 -3.3702695308534615e-06
