 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0023851855045132105 7.508833871906543e-05 0.0013640196619480278 0.003844764476646825 0.004436164354706325 0.0013533775803823598 1.8743861954373197e-06 5.553167508744381e-06 -4.127667255789551e-07 1.2502029752040017e-06 -7.582988674158052e-07 -1.9159106183324307e-06 1.1892914171951205e-06 -1.0021850174778393e-06 -3.6533548388675632e-06 4.411562184838896e-08 -4.0095229357789884e-06 -2.417897804184799e-06 -4.572835164427301e-06 2.9108684463289576e-06 1.476691160943026e-06 8.472897730630546e-07 -5.221256939897282e-07 5.284437396491876e-07 1.8195994580104616e-06 2.2646764002417238e-06 6.826728750034256e-05 -2.811688110208703e-05 -0.00010907340623185315 -3.981478658132934e-05 5.029629764974766e-05 3.981314631777989e-05 6.598151491151412e-05
AGE 7.50883387190647e-05 4.13348715064076e-06 -8.050017144910113e-06 -2.2000654613603452e-05 -2.3636243519460553e-05 -6.948413479085494e-06 4.2422359692476354e-08 3.193162617927394e-07 -1.0139329022056172e-07 6.015361563941594e-08 7.918443804297955e-08 -2.5717643152941596e-12 -1.1521840961830743e-08 -9.011297647719663e-08 -2.010793942008341e-07 7.958837037529005e-08 -9.653240218958582e-08 -2.299215411244208e-07 -2.0895895213530319e-07 1.534608070470222e-07 1.2022443631207322e-07 -2.4686561045156167e-08 2.5916305293286888e-08 -4.783983611349822e-08 -2.3831125152099106e-08 -1.0697336645552583e-07 1.4350115481654746e-06 -1.7468213521994368e-06 -6.556412205122712e-06 3.1707396579077666e-06 1.2336927250574173e-07 5.474883226250273e-06 2.503941476616889e-06
sex 0.001364019661948965 -8.050017144913682e-06 0.014069421579441849 0.01648747748255798 0.011580315026631214 0.0025133226052426543 -3.639678594490688e-06 4.5966380840003564e-06 -1.5725408787180195e-07 -2.863386151056208e-06 7.392754624412036e-06 -4.2717224363599905e-07 1.2458205594178252e-06 5.124065047719124e-06 3.001348877355197e-06 2.3608997166769423e-06 -5.287057947257774e-07 3.945440732499355e-06 -1.2436644360727042e-06 5.462527470868974e-06 4.612848606218292e-08 -7.607624817876583e-06 1.0527570140329627e-06 -2.560668545629071e-06 9.6545512776686e-06 5.237055989999842e-06 9.241171483085317e-05 -1.4222173170542607e-06 6.48948245207973e-05 -0.00011820404551622186 -0.00010341449664435402 -9.772050052307976e-05 -9.576159218980618e-05
age_sex 0.0038447644766475817 -2.2000654613603625e-05 0.016487477482552606 0.03516605733614235 0.03499222086928012 0.009708511318037521 -5.78482328816659e-07 3.165903280445219e-06 1.0324125043272332e-05 -3.022074226959527e-06 5.696559201224244e-06 5.3354388314222905e-06 -5.624479787448456e-07 7.685471434047374e-06 3.972478810878631e-06 8.623009899705576e-06 -2.1170558046277825e-06 5.723296186201684e-06 -1.6869500117035855e-06 1.009767769537871e-06 3.2721712779010792e-06 7.818030316779625e-08 1.5762890437374724e-06 -7.236874269046039e-06 6.328870853413528e-06 -2.232954295718887e-06 0.00023805995767755278 -3.502653132856178e-05 0.00016746823330496326 -0.00026415787667890905 0.00011952890759867854 -0.00014393602575059585 -0.00034944166916032283
age2_sex 0.0044361643547063435 -2.363624351945598e-05 0.011580315026622715 0.03499222086927331 0.040457162747382765 0.012272148214900929 6.64014579803344e-08 1.1932461392324644e-06 1.3613073051521553e-05 -3.3283763154173004e-06 2.2643310797832076e-06 8.379144783542078e-06 -5.562063335088889e-07 6.9289442009809405e-06 3.7997276853813213e-06 5.48567641360108e-06 1.9020164851397483e-06 4.758118074263963e-06 -1.310431161011521e-06 -3.2424415123695278e-06 3.8159860110235955e-06 8.726511276174383e-06 2.9663532763966545e-06 -7.1775931772415575e-06 3.1112967652155646e-06 -3.901622080125558e-06 0.0002967648797139409 -0.00010957733015298253 0.00017113128061345788 -0.0002571456041742141 0.00030255113609932205 -0.00014439676465793507 -0.0003227904739999044
age3_sex 0.0013533775803822108 -6.948413479083484e-06 0.0025133226052396875 0.009708511318034262 0.012272148214899555 0.00393045546791715 1.2747061321658354e-08 1.7018580889100378e-07 4.2060433305293315e-06 -9.989442582313197e-07 2.2983089959151198e-07 2.94900511524173e-06 1.3107669919413166e-08 1.8676409192573303e-06 8.682704512388913e-07 7.876929731944519e-07 1.2232997398155852e-06 1.093224774978521e-06 -4.652431079151617e-07 -1.71666119707347e-06 8.195532987844339e-07 4.124286512420004e-06 1.1050773607431597e-06 -1.952499932175905e-06 4.6487751307671053e-07 -9.301825248911786e-07 9.364868650786986e-05 -4.885568059923479e-05 5.577556173513409e-05 -8.012599234575342e-05 0.00012889107511257928 -5.939063188887882e-05 -7.85050013430658e-05
PC.PC1 1.8743861954372534e-06 4.24223596924762e-08 -3.6396785944904775e-06 -5.78482328816898e-07 6.64014579798607e-08 1.2747061321492437e-08 1.0123096510339785e-06 2.4907772550001892e-09 2.402845035663107e-08 -8.657902960103577e-08 7.637278586272538e-08 -6.931584601127451e-09 -8.910616344500366e-08 5.7428445979564264e-08 3.628319491354829e-08 -1.5583164593912296e-08 -5.395722371074509e-09 1.1703407393717813e-07 -1.476204216191254e-07 -6.285508664922468e-08 7.841212356191371e-08 -7.996064971308302e-08 -1.3106143703682105e-08 1.1299783796872128e-07 2.2419487775060394e-07 -1.409888965018074e-07 2.150035444512472e-07 -1.4742903052335493e-06 -5.566420494196819e-07 -7.426342382428995e-07 2.586677882320921e-08 -3.5298209399334476e-06 -9.694602568102194e-07
PC.PC2 5.553167508744882e-06 3.1931626179273927e-07 4.59663808400181e-06 3.16590328044883e-06 1.1932461392365308e-06 1.70185808892237e-07 2.4907772550004006e-09 1.421213502069157e-06 -2.1118526677443375e-08 2.595596597058276e-08 9.713565452211074e-08 -6.175837278109762e-07 -1.328271746857645e-07 -2.8335602376790846e-08 -2.9291891959047053e-08 3.8061188278566173e-08 -4.5737352935296124e-07 -2.295131333250892e-07 8.462988019468296e-08 -1.2993913312299272e-07 -9.434381774383167e-08 -5.2678291713929955e-09 -1.2624735428345152e-07 -1.212166199211425e-07 -1.7503546325100243e-07 9.28469141624955e-08 7.508870895066469e-07 -6.614905938589736e-07 -1.5349290836242485e-06 -1.7197605387040344e-07 3.82762759161715e-06 9.832043993633057e-07 1.3184231206077724e-06
PC.PC3 -4.127667255794053e-07 -1.0139329022055759e-07 -1.572540878765052e-07 1.0324125043266023e-05 1.361307305151742e-05 4.206043330528612e-06 2.402845035663186e-08 -2.1118526677444444e-08 1.8179904890536434e-06 6.661875855076085e-08 1.5813630348082526e-07 2.2854836473490652e-07 4.140681306874799e-08 -3.6237082698497324e-08 2.1317142725109222e-08 1.247874820675892e-07 1.616402679432986e-07 -3.755553451752175e-08 -2.9787118144795367e-08 6.074316640920986e-08 4.125155577739005e-08 2.16480018555377e-09 9.60734872117181e-08 -4.640233300540291e-09 -2.2444968142502748e-07 -1.1365470568039411e-07 9.972713372326015e-07 -1.4278158897303961e-06 1.0979716456708216e-06 -2.345184373468084e-06 -3.734785137610185e-07 -1.1445171248783629e-06 -5.518403125275943e-06
PC.PC4 1.2502029752041553e-06 6.01536156394144e-08 -2.863386151055098e-06 -3.0220742269575523e-06 -3.328376315415738e-06 -9.989442582309826e-07 -8.657902960103586e-08 2.5955965970583184e-08 6.661875855076116e-08 2.370505061029944e-06 3.4118207032427405e-07 -2.037519475469636e-07 1.3390655014313964e-07 -1.283134466732756e-08 6.543786517300995e-08 -3.3021155531598217e-08 -8.575376382270988e-08 5.1305483106279735e-09 -1.528091153116927e-08 -2.103487083238778e-08 -3.5806485565138896e-08 8.80700650594611e-08 -8.565379969399046e-08 -3.8272419752752667e-07 1.3427116432849747e-07 2.160803143675854e-07 -1.4159462599574393e-06 4.63268686998036e-07 4.680888145477258e-06 -2.835849165405415e-06 -2.1315777919713427e-06 -1.232273521039958e-06 -4.364096144560434e-06
