 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.00031648481671847883 2.3761937772990327e-06 -1.374797000747144e-06 -1.0766415866461556e-05 4.640280885036526e-06 6.486089391878816e-06 4.6374382502776156e-07 2.058994857866182e-06 -1.1259588976155378e-06 9.095028546328554e-07 2.2415919849188542e-07 5.594003815258985e-07 -1.0415928033005587e-07 2.494171248494497e-07 -7.11022557339526e-08 2.9775592881539784e-07 9.79082993522373e-07 1.240439339388296e-07 -9.135116658497039e-07 -6.46464210592927e-08 -8.545462061206187e-07 5.16447898977896e-07 1.753161368507456e-06 -1.1905008818669983e-08 1.4546558845189364e-07 -1.0356519256237986e-06 -1.0249698750269418e-06 -2.5788269020318118e-06 7.982382613464933e-06
AGE 2.376193777299075e-06 7.521128895885318e-07 5.731145414420917e-07 6.600106650628155e-07 -7.750663843077954e-07 -5.338057304163021e-07 -2.2768590123459557e-08 7.393598260342256e-08 -3.6325422483323754e-08 3.4752375330491685e-08 8.588920076895504e-08 3.934450130496447e-08 -6.402728209076224e-08 1.6937196538280687e-08 5.884835855926052e-09 5.502995848219235e-08 7.007209513904416e-08 6.829919165367926e-09 -6.978534417216724e-08 1.6564111111291144e-08 5.777100486304194e-09 -1.963349843939477e-08 4.800342401191859e-10 -1.1207368579139311e-08 1.9574528056874464e-08 -4.2228124857011167e-08 -2.179342175717629e-07 6.032825049493589e-08 1.0198640468739407e-07
sex -1.3747970007470713e-06 5.73114541442101e-07 0.0011542785542016831 9.125659930980065e-05 -0.00030612421931187477 -7.33905888052182e-05 2.7636853122722654e-07 3.08646428064782e-07 -3.054327482733551e-07 7.556022641298257e-08 1.6520513284903792e-06 -8.431399128776795e-07 -3.797454523311196e-07 -2.020565657119468e-08 -3.8515575824499243e-07 -2.8305442972549114e-07 5.082811622457265e-07 -5.882417177405854e-07 -2.5782998559808734e-07 4.014985575523888e-07 -2.895652118911433e-07 -8.783780018185578e-07 -1.8705271742078895e-07 -6.194628440567535e-07 -4.0342849156962096e-07 6.714562293371266e-07 -4.316319688781099e-06 -7.52212978561815e-07 8.081469535469071e-06
age_sex -1.0766415866461478e-05 6.6001066506282e-07 9.125659930980332e-05 0.0005859153128331507 -6.94816589434124e-05 -0.00020977107275700483 4.955346228881653e-07 2.8000979984706883e-07 -7.522420041503587e-08 4.465121955099853e-07 6.174110283826016e-08 2.393765363294412e-07 -3.8762513937157496e-07 1.366751352329647e-07 1.2287311426364906e-08 1.1008052573056677e-06 -8.51347709898904e-07 -7.045198123331157e-08 6.641843569507581e-07 6.863502664809303e-08 -2.8654806222655235e-07 -6.869802455374626e-08 -7.685574998313237e-07 -4.572037248889136e-07 1.4795495688351347e-07 2.3988160532431997e-07 -8.954676107985474e-06 9.26170233001979e-06 -7.351137857915302e-06
age2_sex 4.640280885036466e-06 -7.750663843077996e-07 -0.00030612421931187396 -6.948165894341102e-05 0.00017905956525832257 6.140116696190687e-05 -1.2469714134447976e-08 -1.0280743890690112e-07 2.5398808445656823e-07 -8.743015872170693e-08 -5.278013733529342e-07 1.8476498742049167e-07 1.781812839086286e-07 -9.423463897318548e-08 1.4158970691328496e-07 1.692797070074395e-08 1.20338167034505e-07 1.9693051688911987e-07 1.9576540851889143e-07 -3.5460381112535973e-07 4.906214387576428e-08 -6.555503484068835e-08 2.813305080306685e-07 1.683221258445077e-07 1.1033346132207246e-07 1.6130928783886923e-08 2.96846384002572e-06 -3.400433880280299e-06 -1.1431275515585433e-06
age3_sex 6.4860893918787795e-06 -5.338057304163048e-07 -7.339058880521895e-05 -0.00020977107275700486 6.140116696190738e-05 0.00010774025218438548 -9.837953381114828e-08 -6.268281888849908e-08 1.9343991718352724e-07 -1.227483387849472e-07 -1.3313107742029697e-07 -3.9625814934083655e-08 1.4667216186495755e-07 -3.3911142802383015e-10 -5.656514632473926e-08 -3.699350980578643e-07 3.4794832303964717e-07 -4.514081983864261e-08 -3.024262645047698e-07 -1.59288029130059e-07 7.523246481254523e-08 -7.041194942501757e-08 9.554313797278182e-08 1.0063093702903607e-07 -9.829800487484371e-08 5.9062722317075344e-08 3.0842525864827703e-06 -5.869766934896888e-06 1.9066482345282766e-06
PC.PC1 4.6374382502774165e-07 -2.2768590123459752e-08 2.7636853122723273e-07 4.955346228881661e-07 -1.24697141344511e-08 -9.837953381114915e-08 6.044203986858344e-07 -2.7979319214982796e-08 1.491636030391749e-08 -7.891057076543665e-09 -4.184740819984976e-08 1.586742334175637e-08 -1.279750493850146e-08 3.139976879485593e-08 5.1821257228316147e-08 -1.6008195638090476e-08 -2.2594300707854194e-08 2.2284983151989615e-08 -1.0989903245282989e-08 -3.4536245886679404e-08 4.3828900462213845e-08 8.74622476506308e-09 1.5515631524254965e-08 -1.6457941022003436e-08 -1.3373256753869213e-08 -3.0367242637195117e-09 -3.2629534636006863e-07 -6.639680806106397e-07 -9.843881100512418e-07
PC.PC2 2.05899485786614e-06 7.393598260342206e-08 3.086464280647804e-07 2.800097998470721e-07 -1.0280743890690244e-07 -6.26828188885016e-08 -2.7979319214982872e-08 1.151855364890493e-06 -5.277247756416671e-08 5.9384465492317615e-08 2.0691987722269544e-08 -1.3211559348715429e-08 -6.697323698060602e-09 -3.110506162926738e-08 2.377818702881158e-08 2.4543423391188302e-08 4.093685532664524e-09 -2.3024329487559954e-08 -2.356554891641511e-08 -1.2866506014837724e-08 -3.541064337525943e-08 6.288313921157241e-08 1.323343704808137e-08 1.478717270303684e-08 6.469404211910449e-09 1.4658129170897064e-08 3.870193346002453e-08 5.374001839925146e-07 -3.632323905531569e-07
PC.PC3 -1.1259588976155708e-06 -3.632542248332401e-08 -3.054327482733534e-07 -7.522420041503524e-08 2.539880844565676e-07 1.9343991718352685e-07 1.4916360303917743e-08 -5.277247756416641e-08 1.305338175110928e-06 1.3246919636221066e-08 7.138653306362924e-08 1.900159200269061e-08 2.060370050767359e-08 -6.466808293153802e-08 3.82360514696492e-09 4.300617924162197e-08 -2.1340651821155935e-08 -9.373795652248191e-09 -5.202575584679425e-09 3.49279761520978e-08 3.559993118684034e-08 -6.406924293628426e-08 -4.707560877274211e-09 8.694769493737635e-08 2.450046478610505e-08 1.2432484487930681e-08 -1.1514399080743141e-07 -1.9119616839066447e-06 -1.358648753398185e-06
PC.PC4 9.095028546328571e-07 3.4752375330491765e-08 7.556022641298478e-08 4.4651219550998706e-07 -8.743015872170855e-08 -1.227483387849484e-07 -7.891057076543905e-09 5.938446549231841e-08 1.3246919636220327e-08 1.6475184538498326e-06 1.2170192612180115e-07 -4.720847279475807e-08 1.3687924225045925e-07 5.777572242792758e-08 9.319999160851586e-09 -2.8072270727620563e-08 -2.028200263451404e-08 5.8112986427531166e-08 -2.3476792568370975e-08 4.845656103608925e-08 7.076744324372599e-09 4.479152014486647e-08 -7.334406968962567e-09 9.236226319756542e-09 -2.855211851539047e-09 -5.085193455526844e-08 -7.133441192070444e-08 -1.1928708678772105e-06 6.318683532290791e-07
