 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
PC.PC5 -1.358417509424461e-08 5.272069461525843e-08 6.429926254173661e-07 -8.77162353515095e-08 -8.756336142557176e-08 4.369909630686121e-09 -3.689204006951601e-08 1.6073960036239252e-08 6.600047981767211e-08 1.0328292294304292e-07 1.8725746007415715e-06 4.3158019644824767e-08 2.9825197942985293e-08 -4.530112573727498e-08 -1.9235727046412816e-08 2.462335590013199e-08 1.646620161713129e-08 2.5899846019908633e-08 1.5904710165936293e-09 -2.63879984794375e-08 -6.121808575937247e-09 -1.8765628369322586e-08 -4.483239443617161e-09 1.0260711583058708e-07 1.251200647992432e-08 6.235048385034474e-08 -3.0077009140042315e-07
PC.PC6 5.203990572920836e-07 2.173002686356293e-08 -4.354784004463886e-07 -3.910572102709556e-09 7.010190102286884e-08 3.078770640924577e-08 1.16444323210521e-08 -2.2901801623675153e-09 5.655141610601758e-09 -4.10072505715034e-08 4.315801964482469e-08 2.2305053006668722e-06 1.129750138963929e-07 -1.8683276379684455e-08 -1.0526081413842921e-07 7.197489379070293e-09 -9.429979106484726e-09 -1.0312056250633128e-08 -1.041884298057118e-07 2.6685263935523808e-08 3.021147198478628e-08 -4.2132170868705256e-08 -8.673304456941212e-08 -1.2508473453321352e-08 -3.142971519663865e-08 -1.7148816343341127e-08 -6.954254229466398e-07
PC.PC7 1.8810822521522806e-07 -4.718928513370222e-08 -2.1851131237704656e-07 -3.443159436805027e-07 1.5245959070446256e-07 1.30468983904215e-07 1.1221612930658907e-09 -4.024151536556732e-09 3.3185858394173636e-08 1.0309718023805184e-07 2.982519794298369e-08 1.1297501389639345e-07 1.7370782323565385e-06 1.4613689509808583e-07 2.4192585285281425e-08 -1.7357152888579963e-08 1.0241026974669857e-09 -4.637335939254371e-08 -1.151602405927922e-08 -2.0588149716755084e-08 4.42922221221907e-09 -9.79096671576882e-09 -1.3470407135008763e-08 -5.7964232364224766e-08 -7.672525435306942e-09 -5.7517834469255695e-09 4.5091568951206005e-07
PC.PC8 1.9675117723515553e-07 8.80017809019387e-09 1.148300850755228e-07 6.22285145210524e-08 -4.2134216657134826e-08 -2.5339659262398827e-08 2.992186784344402e-08 -4.206590931849105e-08 -6.664421574316661e-08 6.458342278694787e-08 -4.5301125737274133e-08 -1.8683276379684548e-08 1.4613689509808718e-07 2.350099192697957e-06 -2.7897463891022432e-08 -3.1463734331396344e-08 -1.353768375451411e-08 -1.504073283326885e-08 1.6639908045917953e-08 -2.5732988511367074e-08 3.636115377158646e-09 1.102828550050608e-07 -7.704623419343338e-08 -3.6449113585315397e-07 1.5727867782002976e-08 -6.861717587478979e-08 -3.670479331608228e-07
PC.PC9 3.161670904046794e-08 1.3183360026531516e-08 -3.7124479003223335e-07 1.8714699643056502e-07 1.652919126065616e-07 -5.646936138809355e-08 4.958905979192827e-08 2.0369669990880083e-08 8.579740770743702e-09 1.9187777932731834e-08 -1.923572704641282e-08 -1.0526081413842999e-07 2.4192585285281518e-08 -2.7897463891023193e-08 2.3050366624018097e-06 1.0957708684172874e-07 1.4958502296576513e-07 -3.6728671805617444e-09 -1.7387859303788296e-07 1.4418007906299817e-08 -5.519664802118147e-08 -2.190248110145181e-09 9.693782613782834e-10 7.738424003981866e-09 7.194664859117799e-09 -5.905474976138321e-08 1.0016555874121563e-07
PC.PC10 3.803477811439169e-07 4.155253654755603e-08 -2.0810213572433578e-07 9.637242305212738e-07 -5.6915862742817726e-08 -3.353697690675319e-07 -8.324968272490468e-09 1.0471065024793224e-08 2.249045515568902e-08 -1.908114286375342e-08 2.4623355900132287e-08 7.197489379069934e-09 -1.7357152888580003e-08 -3.1463734331396106e-08 1.0957708684172904e-07 2.8127382533317993e-06 -1.5501280879822464e-07 8.93191116592904e-08 4.426270915834228e-08 4.8831969155370794e-08 -3.0784906624270956e-08 -3.963775645253128e-08 2.5292122939769937e-08 2.379469659263022e-07 3.406500605549581e-08 8.047852320553051e-08 1.3718800552153043e-07
PC.PC11 7.262229460159688e-07 5.742532760420934e-08 1.4661543181880575e-07 -5.859147394622502e-07 1.460152581574539e-07 2.567781113461711e-07 -2.3545505421669732e-08 -2.3244940960619332e-08 -6.546148548144499e-09 -3.059022086829414e-08 1.646620161713106e-08 -9.429979106484913e-09 1.0241026974668134e-09 -1.3537683754514263e-08 1.4958502296576545e-07 -1.550128087982225e-07 2.2392370605798536e-06 -4.908557282454041e-08 2.024653982122332e-08 6.11737367514245e-08 -1.305597207710201e-08 1.3384541699367292e-07 5.153803586738412e-08 -7.158712787046878e-08 4.1618660346438674e-08 -2.4823842522447858e-08 5.977223562496513e-07
PC.PC12 -6.980213316866714e-10 -2.5846782329744753e-09 -1.4603546016672192e-07 -1.7082638761334317e-07 7.814580182999695e-08 5.2065900937718716e-08 1.3566003159348336e-08 -2.000778281646232e-08 -1.961681633106241e-08 5.6379141111454435e-08 2.5899846019908736e-08 -1.0312056250633204e-08 -4.637335939254391e-08 -1.504073283326864e-08 -3.6728671805611682e-09 8.931911165929036e-08 -4.9085572824541367e-08 2.240223742515624e-06 2.030642908465608e-08 7.165150411344794e-08 4.030147751841823e-08 9.493925327237146e-08 3.219080458083135e-08 1.0255651291337926e-08 9.526655403376378e-08 -8.747027285013667e-09 -2.0006148986170735e-07
PC.PC13 -1.031924509307564e-06 -5.2277267583654784e-08 -1.0736640192782252e-07 3.7552544207916387e-07 3.976792639802868e-08 -1.7766020560510178e-07 -2.8863673778977996e-09 -3.3628562972565575e-08 6.0323401990683555e-09 -2.0334021991831905e-08 1.590471016593724e-09 -1.0418842980571207e-07 -1.1516024059279389e-08 1.6639908045918016e-08 -1.7387859303788212e-07 4.426270915834262e-08 2.0246539821223616e-08 2.03064290846564e-08 2.231257577412441e-06 1.963536312199942e-08 -6.661778279982461e-09 -1.690063583943646e-08 3.995620027701804e-08 1.2131615859070699e-08 -1.4757836333021108e-08 -4.45697121208259e-08 2.305779610960877e-07
PC.PC14 -1.444166257175973e-07 1.1777134005537592e-08 3.646863022549863e-07 9.355260212303526e-09 -2.2447226518550404e-07 -7.461428448309332e-08 -3.0778416133034094e-08 -2.403256980936233e-08 3.689797530402559e-08 5.0268839733040904e-08 -2.638799847943649e-08 2.6685263935523834e-08 -2.0588149716755058e-08 -2.573298851136686e-08 1.4418007906299013e-08 4.883196915537079e-08 6.117373675142544e-08 7.165150411344856e-08 1.9635363121999535e-08 1.7720253643096823e-06 -1.5426271066210904e-08 -1.8622175126724433e-07 -3.7561228387693585e-08 6.037191148646697e-08 8.438681241086396e-09 -6.282917951735121e-08 2.1881532331358652e-07
PC.PC15 -5.920984090802411e-07 1.4648667833396872e-09 -1.8333909237279555e-07 -4.016229215158709e-07 6.38389277146188e-08 1.0631344153614817e-07 4.087921044699747e-08 -2.9986033324311944e-08 4.523461053791466e-08 1.2180721386458157e-09 -6.121808575937899e-09 3.0211471984786147e-08 4.429222212219238e-09 3.636115377158145e-09 -5.5196648021181834e-08 -3.078490662427146e-08 -1.3055972077102407e-08 4.0301477518418185e-08 -6.661778279982688e-09 -1.5426271066212482e-08 2.0300619310142097e-06 -3.5395206284423036e-08 -7.709816133763968e-08 -7.043419951591492e-08 -3.838006969039349e-08 1.0911696235450726e-07 -2.790561141892001e-07
PC.PC16 2.900678084725677e-07 -7.399450385303208e-09 -4.409129331357069e-07 -1.1554035624587076e-07 -1.3046712729580117e-07 -1.605348979630912e-08 5.729417577751561e-09 4.873363984920033e-08 -5.377939797150415e-08 3.937844958878672e-08 -1.8765628369322255e-08 -4.2132170868705196e-08 -9.790966715768742e-09 1.1028285500506011e-07 -2.1902481101450983e-09 -3.963775645253111e-08 1.3384541699367282e-07 9.493925327237188e-08 -1.6900635839436223e-08 -1.8622175126724367e-07 -3.539520628442372e-08 2.1555736516100776e-06 9.312126187332427e-08 -2.588605861271805e-07 3.123211811302364e-08 -1.1003382391757056e-08 2.213005801539336e-07
PC.PC17 1.5251957909214833e-06 1.1620833937393368e-08 -1.2100106687773084e-07 -7.183001884059564e-07 1.0300268319277098e-07 1.8585196586573183e-07 1.004139113944556e-08 9.580919075472403e-09 -1.1987705558404706e-09 -5.51306153093914e-09 -4.483239443617278e-09 -8.673304456941163e-08 -1.347040713500873e-08 -7.704623419343297e-08 9.693782613782602e-10 2.529212293976998e-08 5.1538035867384425e-08 3.219080458083161e-08 3.995620027701795e-08 -3.756122838769358e-08 -7.709816133763973e-08 9.312126187332478e-08 2.5908149665733737e-06 8.194070832820003e-08 2.2004601848449557e-09 -9.058117694717421e-09 7.960550080454175e-09
PC.PC18 1.891528224556404e-07 -1.3997253253340824e-09 -2.0785230165288784e-07 2.9079185596129442e-09 -2.95341944170546e-08 -7.984574942586018e-08 -8.385766686757435e-09 8.409447015031046e-09 5.315287130189322e-08 -7.735001074555706e-09 1.0260711583058743e-07 -1.250847345332141e-08 -5.796423236422495e-08 -3.64491135853153e-07 7.73842400398156e-09 2.379469659263012e-07 -7.158712787046882e-08 1.0255651291338305e-08 1.2131615859070656e-08 6.03719114864672e-08 -7.043419951591461e-08 -2.5886058612718103e-07 8.194070832820042e-08 2.864220139101175e-06 -5.506977065908104e-08 1.9672028325784887e-07 -5.60562361832689e-07
PC.PC19 1.9022949834248267e-07 1.2519405221687135e-08 -3.4764843896634555e-07 1.1411797966438216e-07 -1.6063938697458623e-08 -8.31374234686647e-08 -9.262602392395149e-09 7.441985548366177e-09 1.929611167016065e-08 -9.459091421250405e-09 1.2512006479924171e-08 -3.142971519663864e-08 -7.672525435307038e-09 1.572786778200312e-08 7.194664859117669e-09 3.406500605549585e-08 4.1618660346438746e-08 9.526655403376433e-08 -1.475783633302141e-08 8.438681241086535e-09 -3.8380069690392947e-08 3.1232118113024585e-08 2.2004601848447464e-09 -5.506977065908113e-08 2.2580650895607967e-06 1.2875097096595554e-07 2.7786658384684708e-08
PC.PC20 -8.939563581231335e-07 -3.229698005776373e-08 3.3044020690421036e-07 2.1967377789282532e-07 -2.123842699982825e-08 -1.3049296558284466e-08 -3.4675846707716235e-09 1.4876243250062448e-08 -7.321530526939183e-09 -4.3779057174461986e-08 6.23504838503448e-08 -1.7148816343341246e-08 -5.75178344692573e-09 -6.861717587478955e-08 -5.905474976138333e-08 8.047852320553021e-08 -2.482384252244729e-08 -8.747027285013781e-09 -4.45697121208255e-08 -6.282917951735113e-08 1.0911696235450676e-07 -1.1003382391756274e-08 -9.058117694717268e-09 1.9672028325784882e-07 1.2875097096595434e-07 2.0155930593629466e-06 -1.1058879099323131e-07
proband 1.495569384533312e-06 -1.0645182895774114e-07 -2.304281623818331e-06 -5.090720773456284e-06 1.8942343090779872e-06 1.5708636775874704e-06 -5.986977403766601e-07 1.9328529408899933e-08 -8.541681359378064e-07 -1.989952460733604e-07 -3.0077009140042315e-07 -6.954254229466408e-07 4.509156895120568e-07 -3.670479331608219e-07 1.0016555874121714e-07 1.371880055215311e-07 5.977223562496535e-07 -2.0006148986170698e-07 2.3057796109608785e-07 2.188153233135868e-07 -2.790561141891993e-07 2.2130058015393314e-07 7.960550080455203e-09 -5.60562361832688e-07 2.77866583846841e-08 -1.1058879099323216e-07 0.000135577240995379
