 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
PC.PC5 -4.295867864445453e-06 1.9455556904977254e-09 1.4603495533832762e-05 1.1573853161295538e-05 6.3884673920040465e-06 1.177292379059933e-06 1.1851602796685336e-07 1.924757415695664e-07 3.4974021549412804e-07 8.161272011633695e-07 6.468302916831025e-06 8.601360867621942e-08 3.696329767673308e-07 -3.056669476723504e-07 7.832616195710476e-08 2.7966303743098387e-07 9.841957756020653e-08 5.466603212759126e-07 4.116102862666375e-08 2.147613944430117e-07 8.314444408452407e-08 9.969747241520785e-08 -5.4475038250949533e-08 -1.0775279104709034e-08 4.59662471468974e-07 -2.19476689844021e-08 1.4365910046573131e-06 5.195433435879576e-06 -1.3021543850542478e-06 -3.5099526228292005e-06 -9.954360950918741e-06 3.7911947426953924e-06 -9.895293944080398e-06
PC.PC6 -7.753673073236528e-06 -2.3425345446219417e-07 -5.522655120237963e-07 5.689271623124914e-06 6.4661763508609455e-06 1.5901410078571391e-06 -1.8199200764296778e-08 -1.0139591969531003e-06 4.5131381461261266e-07 -3.531044417790829e-07 8.60136086762199e-08 7.857581146646015e-06 2.9362364288350124e-07 3.824470059348695e-08 -6.261915041512383e-07 1.4945877974966075e-07 1.9443792560421853e-06 2.4553194633904534e-07 3.618591467064857e-07 5.018993353257248e-07 5.379406423790978e-07 -4.1622394757491295e-07 -3.9878934293336745e-07 2.5996158194361336e-07 2.347475595946109e-07 -5.362903952268307e-07 1.1471049827788246e-06 -5.085692682997488e-07 7.4011531675743786e-06 -6.4397236711007515e-06 -8.911661824703141e-06 -1.8390136467066382e-05 2.0832734674004162e-06
PC.PC7 2.918991768030039e-06 -9.33048203808576e-08 1.0650515096859888e-06 -2.301738155218077e-06 -2.6144337926556883e-06 -6.554554468631178e-07 -1.563402012567207e-07 -1.87372095830692e-07 1.1450825787971953e-07 1.9772728045734738e-07 3.696329767673324e-07 2.936236428835035e-07 6.322092237283464e-06 6.135618344396225e-07 7.670572509059046e-08 -3.3716705117369086e-08 4.625202951397719e-07 -6.677872752877785e-07 -1.3696712990993387e-08 5.568177796536e-07 2.3316840107001152e-07 1.5724997582887817e-07 -7.617229729489184e-08 2.0008058492983053e-07 9.594575356554325e-08 -6.454918508637609e-08 2.7422215954934526e-07 2.6746761510506343e-06 8.83118187223151e-06 1.737599145113444e-06 -2.311155931570205e-06 -9.389597237552281e-06 -6.027107979190056e-06
PC.PC8 -1.3298393106528227e-06 -6.401381213667444e-08 1.0940146375585083e-05 1.2842827069707426e-05 9.675703131616024e-06 2.306049981863479e-06 9.069144131343508e-08 -3.342960127221355e-08 -5.545807947578228e-08 -1.2815572493436385e-07 -3.0566694767235035e-07 3.824470059348593e-08 6.135618344396228e-07 8.113795715040833e-06 4.715780313242033e-08 -5.284828451849031e-07 1.1790630263206647e-07 -3.918175758093509e-09 1.4684360814550279e-07 -4.0761975269913276e-08 9.76444726594751e-09 1.6014765732151246e-07 -1.585568153013679e-07 -2.15863482932332e-07 2.1705794986790356e-07 -1.8290702915676844e-07 -1.5032170189941693e-06 -1.9045099199021776e-06 -2.221280551707261e-06 5.035131993079232e-06 -5.004839239971447e-07 7.102267795073922e-06 -3.5450522175721186e-06
PC.PC9 -4.116401493779666e-06 -1.96316944708271e-07 4.574833146048254e-06 4.673640199648999e-07 -3.2803266225776913e-06 -1.6790130694656068e-06 1.1040637946260124e-07 1.1619687687575561e-07 3.3329766454645873e-09 2.197350161648759e-07 7.832616195710535e-08 -6.261915041512381e-07 7.67057250905903e-08 4.715780313241993e-08 6.406588573586799e-06 8.192329176165607e-07 1.7669710751932273e-07 9.934037794719187e-08 -1.2006449259740517e-06 2.8528114401432983e-07 -6.173462501092136e-08 5.77188272930929e-08 -1.957777703987641e-07 1.7391507684115672e-08 8.032698867363375e-07 -2.1385519159040405e-07 8.608288926400673e-07 3.943623036015528e-06 1.3304843856629716e-05 -1.0438626400341679e-05 3.3682874524018903e-06 -1.715930867799052e-05 -1.386032450237653e-05
PC.PC10 -1.8307301478479997e-06 1.2615156638516292e-07 2.275561804901132e-06 1.3453381198654702e-05 6.725269393682661e-06 1.711146547983627e-08 -4.019965931140621e-08 1.5674525920271627e-07 2.8059982916525557e-07 -4.423925546021588e-08 2.796630374309836e-07 1.4945877974966212e-07 -3.371670511736917e-08 -5.284828451849066e-07 8.192329176165596e-07 1.0919907846174912e-05 -6.861385779141573e-07 -6.803400829660427e-07 5.627817964876206e-07 1.2297678010852445e-07 -6.879651771128288e-08 6.41277171703349e-08 2.2032634022249597e-07 -1.0388987922881733e-06 -1.3532434336220296e-07 1.309893745700869e-07 8.276666684460996e-07 -1.5135692044115215e-06 -1.2648675692646844e-06 1.2180532147239817e-05 4.623906616758005e-06 -4.442833215573218e-06 4.7946247353006665e-06
PC.PC11 -6.085341141191119e-06 -4.874791940008885e-08 -1.0306849067797383e-06 -1.1007052127316774e-05 -6.996275936090934e-06 -1.077670425553583e-06 -3.180594362326544e-08 -8.755141514351696e-07 3.3813967663710374e-07 -2.0774758856389885e-07 9.841957756020663e-08 1.944379256042187e-06 4.6252029513977203e-07 1.1790630263206823e-07 1.7669710751932286e-07 -6.861385779141605e-07 7.413873416264894e-06 -4.536445031370099e-07 4.841767885595177e-07 1.7016654703217062e-07 4.684198558396487e-07 -2.532686327015845e-07 -1.7544508406174074e-07 -2.379518848109866e-07 2.0682705981436122e-07 6.601970372527606e-08 5.976898651981223e-06 -2.674186162520227e-06 8.69008826816e-08 8.864117195939063e-06 -6.597363838834617e-06 1.236645922549053e-06 -1.0321908675583743e-06
PC.PC12 -3.304652509369462e-06 -4.6318488367036747e-07 1.7417244725969395e-05 2.4640711597348996e-05 2.1283163978278407e-05 5.470457912982554e-06 2.5488664454055565e-07 -4.836790978665317e-07 -2.1147426121717948e-07 -3.8037514035985106e-08 5.466603212759102e-07 2.4553194633904513e-07 -6.677872752877783e-07 -3.91817575809707e-09 9.934037794719103e-08 -6.80340082966045e-07 -4.5364450313700764e-07 1.1432635635258739e-05 -9.206149604682343e-07 -2.9660620845339187e-08 8.769150897830588e-08 1.1827696689522791e-06 -7.415762786790001e-07 4.386571998721291e-08 8.248876584958428e-07 -8.690359864199759e-08 2.808765058023885e-07 7.608706304024392e-06 6.165637957873038e-06 -2.0062010378723382e-05 4.175124655780284e-06 1.959931712560549e-06 -2.0533511770588548e-05
PC.PC13 -1.3377652926813162e-05 -5.530544687167135e-07 -1.6874697142109866e-06 -3.7191562027775018e-06 -3.4176269603984113e-06 -1.0762496481125678e-06 -3.0864451760932995e-07 -6.015313456978613e-09 1.1598543562751212e-07 -3.546026781512461e-08 4.1161028626665206e-08 3.618591467064861e-07 -1.3696712990993983e-08 1.4684360814550445e-07 -1.2006449259740479e-06 5.627817964876257e-07 4.841767885595156e-07 -9.206149604682332e-07 6.729531003300254e-06 1.6366462923731024e-07 2.5639097276098697e-08 8.935458030457963e-08 1.2616868937856902e-07 -4.3179532192675946e-07 -5.521008475212803e-07 -3.9149607715885647e-07 2.7273755775634736e-06 -8.727017898487342e-06 -2.0696794019633656e-05 1.573697135009173e-05 -5.049507439779508e-06 3.178085023910368e-05 1.2862559382622091e-05
PC.PC14 5.1802900991405405e-06 1.964348949846601e-07 1.1176465035556486e-05 6.698708816369742e-06 1.4713833278013798e-06 -2.7818474080868926e-07 -1.296440400493794e-07 -2.677115668632507e-07 1.4722564293979086e-07 -5.1082521998461756e-08 2.1476139444301276e-07 5.018993353257242e-07 5.56817779653599e-07 -4.076197526991314e-08 2.85281144014329e-07 1.229767801085241e-07 1.7016654703216967e-07 -2.9660620845338555e-08 1.6366462923730942e-07 6.69468431750728e-06 4.345880683797854e-07 -4.2310302698225124e-08 -6.354947666907997e-08 2.711226683722561e-07 3.429419474367608e-07 -5.071523682836417e-07 -2.5314315969251737e-06 9.598718232349436e-06 -1.0967387340051255e-06 5.503796817282738e-06 -1.1158709336936218e-05 -1.7899617895990151e-06 2.5840490964850733e-06
PC.PC15 1.773738986896915e-06 1.9403340831668582e-07 -4.6891509967363477e-07 5.602694787672804e-06 8.90323963854977e-06 2.7230862139483915e-06 2.034928850560011e-07 -2.2118920688612663e-07 1.3180988704323778e-07 -8.316475285582125e-08 8.314444408452345e-08 5.379406423790962e-07 2.3316840107001115e-07 9.764447265948585e-09 -6.173462501092152e-08 -6.879651771128313e-08 4.6841985583964874e-07 8.769150897830481e-08 2.563909727609824e-08 4.3458806837978375e-07 6.345003581933724e-06 3.4343688707274583e-07 1.312367701491874e-07 -3.1204378624158386e-07 3.48867259666321e-07 2.9375813575850145e-07 -2.061646747170767e-06 -2.039385104525331e-06 -3.844561731508745e-06 4.018085917496864e-06 -5.84501735067267e-06 6.455082769688031e-06 5.980360509316265e-06
PC.PC16 2.363324140071089e-06 -1.8455987454521876e-08 -8.864883199038007e-06 -6.180404607434724e-07 9.00659729953723e-06 4.324702603351289e-06 -1.7016342893247494e-07 8.545215731675603e-08 -6.796891823674044e-08 1.626388133914798e-07 9.969747241520457e-08 -4.1622394757491554e-07 1.5724997582887947e-07 1.6014765732150998e-07 5.771882729309165e-08 6.412771717033443e-08 -2.5326863270158596e-07 1.1827696689522732e-06 8.935458030457553e-08 -4.231030269823124e-08 3.434368870727435e-07 7.204633329768707e-06 -4.4058461397418117e-07 -2.1458123019890515e-06 -7.340461929984732e-07 8.087140509130395e-08 -3.4585726905078285e-07 -1.708027219442545e-06 3.195732354142283e-06 8.170969256340205e-07 8.412942798598772e-06 4.811983019142785e-07 -9.065805099035723e-06
PC.PC17 1.734994471677158e-06 8.040385079132535e-08 4.13618289771633e-06 7.888011243931323e-06 9.776876253033313e-06 3.0878005424772132e-06 -2.542128877630488e-08 -1.0325179534083417e-07 1.8365266698711697e-07 -1.3505392943357842e-07 -5.447503825095001e-08 -3.987893429333692e-07 -7.617229729489192e-08 -1.5855681530136866e-07 -1.9577777039876395e-07 2.2032634022249536e-07 -1.7544508406174034e-07 -7.415762786790016e-07 1.2616868937856876e-07 -6.3549476669082e-08 1.3123677014918504e-07 -4.405846139741822e-07 5.396620289060517e-06 -8.865940199505715e-08 -7.447152300077556e-07 -9.971403191018773e-08 -9.588127051676713e-07 -2.9206652794209205e-06 -3.988224698013257e-06 -5.620938474345224e-07 2.3259136329110245e-06 5.2133036787841294e-06 8.709957298935756e-06
PC.PC18 3.5973522493255295e-06 1.4588236543599794e-08 -3.5125063243018066e-06 -1.3097301496733836e-05 -1.683699018202695e-05 -5.5683711782357345e-06 2.3058467580084338e-07 -2.0364569447152243e-07 2.1715218637624608e-08 -7.954550852198747e-07 -1.0775279104708491e-08 2.5996158194361384e-07 2.0008058492983047e-07 -2.1586348293233216e-07 1.7391507684115202e-08 -1.0388987922881727e-06 -2.3795188481098705e-07 4.3865719987216904e-08 -4.3179532192675744e-07 2.7112266837225716e-07 -3.1204378624158174e-07 -2.145812301989049e-06 -8.86594019950591e-08 1.2248804697493271e-05 1.0428972040516205e-06 1.4605992300347294e-06 1.1968258821415946e-07 -5.665261792977233e-07 8.133537992089659e-07 -9.260881719398187e-06 2.4100364988318895e-06 -1.1368430578195615e-05 -2.747270665552139e-07
PC.PC19 6.911827700151803e-06 1.9604012344464735e-07 1.49985803925539e-05 3.0748187613011735e-06 -7.91684294663876e-06 -4.077177437079542e-06 4.286196594295134e-07 -3.1999572545868566e-07 -3.9993445456628273e-07 3.396343289841727e-07 4.5966247146897365e-07 2.3474755959461077e-07 9.594575356554301e-08 2.170579498679026e-07 8.032698867363369e-07 -1.353243433622044e-07 2.0682705981435903e-07 8.248876584958456e-07 -5.52100847521281e-07 3.429419474367607e-07 3.4886725966632057e-07 -7.340461929984717e-07 -7.447152300077582e-07 1.04289720405162e-06 9.896146043000116e-06 1.4531092651051807e-06 2.3775776002158047e-07 4.085318355076059e-06 -1.937537387493664e-06 -9.7764370683197e-06 5.172161219046138e-06 1.5310809840854842e-05 -4.945596123972504e-06
PC.PC20 4.981853365970716e-06 -7.055561871579345e-08 7.53728982657342e-06 -9.064843531191601e-06 -1.502739222958517e-05 -4.5226129981584685e-06 -2.572837155791495e-07 7.393451306814777e-08 -1.955043461976967e-07 4.913016580307776e-07 -2.1947668984402076e-08 -5.362903952268326e-07 -6.454918508637544e-08 -1.829070291567681e-07 -2.1385519159040498e-07 1.3098937457008765e-07 6.601970372527482e-08 -8.690359864199557e-08 -3.914960771588553e-07 -5.071523682836403e-07 2.937581357585018e-07 8.087140509130484e-08 -9.971403191018965e-08 1.4605992300347258e-06 1.4531092651051769e-06 7.042500783225849e-06 -1.7464259623676715e-06 3.374731170514463e-06 4.379782344185615e-07 -1.1021260596130914e-05 5.4862190461980015e-06 -4.2491805658516345e-06 3.5651155548163893e-06
proband 9.375581979777101e-05 1.6299157920432088e-06 0.00018412225794437639 0.0003794792643928123 0.00041977205487217907 0.00011756940337227699 1.950327347095374e-07 1.388844467960952e-06 1.917228260251735e-06 -2.1566432978326093e-06 1.4365910046573157e-06 1.147104982778836e-06 2.7422215954933017e-07 -1.5032170189941712e-06 8.608288926400636e-07 8.276666684461173e-07 5.9768986519811765e-06 2.808765058023628e-07 2.7273755775634948e-06 -2.5314315969251796e-06 -2.0616467471707497e-06 -3.458572690507958e-07 -9.58812705167592e-07 1.196825882141508e-07 2.3775776002161703e-07 -1.7464259623676829e-06 0.0012343361486713083 -0.0006817423026643462 -0.000592076981327432 9.763519189799764e-05 2.822124715224361e-05 -5.157745141475737e-05 -4.1364676586655414e-05
paternal -0.00011649848615091128 -8.686624478511121e-06 -1.1708331664884891e-05 -7.712179816533169e-05 -0.0002008137288434615 -8.926152638399528e-05 -2.983560103486429e-06 9.218509342467146e-07 -3.6510759062962508e-06 2.2510976838378673e-06 5.195433435879572e-06 -5.085692682997266e-07 2.6746761510506547e-06 -1.904509919902213e-06 3.943623036015503e-06 -1.5135692044115834e-06 -2.674186162520117e-06 7.608706304024336e-06 -8.727017898487296e-06 9.598718232349448e-06 -2.0393851045253604e-06 -1.7080272194425897e-06 -2.920665279420966e-06 -5.665261792976513e-07 4.085318355076002e-06 3.3747311705145474e-06 -0.0006817423026643411 0.00412703228490983 0.0002183386588862483 -0.0026048087599587237 -0.0026244140399923547 -4.689320948092233e-05 6.962035704406902e-05
maternal -0.0001757503766755402 -9.193553815609764e-06 9.042260834103813e-05 0.0002477755079472338 0.0002198979157352566 6.228378847062106e-05 9.761089133125639e-08 -3.7523879503668567e-06 7.459735334948649e-07 7.852094666521486e-06 -1.302154385054231e-06 7.401153167574422e-06 8.831181872231521e-06 -2.2212805517072806e-06 1.3304843856629732e-05 -1.2648675692647522e-06 8.690088268174574e-08 6.165637957873028e-06 -2.0696794019633795e-05 -1.096738734005117e-06 -3.8445617315087235e-06 3.195732354142284e-06 -3.988224698013284e-06 8.133537992089457e-07 -1.9375373874936765e-06 4.379782344185487e-07 -0.0005920769813274318 0.00021833865888625217 0.004282278676582548 -0.00014823807729886124 8.89532683524201e-05 -0.0037784237620430788 -0.0021021065117875102
gpp -1.4467613866708332e-05 1.2415490911054185e-05 -0.00016556325535473053 -0.00039900452562242206 -0.00044131486089044665 -0.00014958580005090949 -3.0424082924035543e-06 -4.8390652531644566e-06 -1.5924259737050815e-06 -7.720065619270662e-06 -3.509952622829158e-06 -6.439723671100776e-06 1.7375991451134186e-06 5.0351319930792685e-06 -1.0438626400341652e-05 1.218053214723993e-05 8.864117195938945e-06 -2.006201037872322e-05 1.57369713500917e-05 5.503796817282742e-06 4.018085917496878e-06 8.170969256340754e-07 -5.620938474344944e-07 -9.26088171939828e-06 -9.776437068319626e-06 -1.1021260596131054e-05 9.763519189799676e-05 -0.002604808759958718 -0.00014823807729886108 0.006194946186287118 -0.0012425691211589871 0.00025707582917447615 -3.9907605529808007e-05
gmp 0.00017579686896240736 3.4672575697682885e-06 -0.0001961691249536982 0.00016638727259272193 0.0004987356019373623 0.00022293935818890447 1.1409285703073792e-06 1.0123846941236598e-05 -5.0494903127485655e-06 -5.966920306912583e-06 -9.954360950918777e-06 -8.911661824703129e-06 -2.3111559315701983e-06 -5.004839239971407e-07 3.3682874524019004e-06 4.623906616757959e-06 -6.5973638388346155e-06 4.175124655780237e-06 -5.0495074397795415e-06 -1.115870933693623e-05 -5.845017350672651e-06 8.412942798598848e-06 2.325913632911024e-06 2.410036498831849e-06 5.172161219046149e-06 5.486219046197983e-06 2.8221247152238653e-05 -0.002624414039992356 8.895326835242481e-05 -0.0012425691211589804 0.006254422760076279 -0.0002804564326071952 0.00019836011719377524
gpm 0.00016795797809240188 1.438754805394648e-05 -0.00028915999846679014 -0.0003547155271427803 -0.00015500085087158036 -1.0374378928847827e-05 -9.832750450860264e-06 2.876168294316283e-07 -3.2173785310709203e-07 -3.746450474631482e-06 3.7911947426953497e-06 -1.8390136467066548e-05 -9.389597237552283e-06 7.102267795073919e-06 -1.7159308677990506e-05 -4.442833215573198e-06 1.2366459225488901e-06 1.9599317125605274e-06 3.1780850239103776e-05 -1.7899617895990624e-06 6.455082769688017e-06 4.811983019143132e-07 5.213303678784192e-06 -1.1368430578195572e-05 1.531080984085481e-05 -4.249180565851633e-06 -5.1577451414756437e-05 -4.6893209480924164e-05 -0.0037784237620430805 0.0002570758291744758 -0.00028045643260719264 0.009422173561086992 -0.002128106606346728
gmm 0.00011544885000693167 3.1783804428929014e-06 -8.46197048649774e-05 -0.0005368172338953283 -0.000579323610168488 -0.00016507008750301378 -3.1642081511215773e-06 4.291057915760462e-06 -1.1435385342469052e-05 -5.6262706093595894e-06 -9.895293944080408e-06 2.083273467400485e-06 -6.027107979190046e-06 -3.5450522175721046e-06 -1.386032450237656e-05 4.79462473530074e-06 -1.0321908675584182e-06 -2.0533511770588504e-05 1.2862559382622195e-05 2.584049096485112e-06 5.980360509316209e-06 -9.065805099035737e-06 8.709957298935652e-06 -2.747270665552017e-07 -4.945596123972472e-06 3.56511555481641e-06 -4.136467658665842e-05 6.962035704406954e-05 -0.0021021065117875063 -3.990760552980677e-05 0.0001983601171937754 -0.0021281066063467296 0.006487154864140072
