 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.0015840356874935152 5.0375080478017464e-05 0.00043780834518232866 0.0012962836933925373 0.0014927186615746873 0.00044031793476887794 -2.3151642409088636e-06 8.513726248998214e-06 -1.4024987202669515e-06 3.084383140530743e-06 -1.214531145096038e-06 -5.107776541830514e-07 1.1484866217674935e-06 1.124722193253841e-06 -1.0043595348468867e-06 -2.3656098138729917e-06 -1.542741644096486e-06 -1.6721588034115208e-08 -3.192535019211228e-06 3.362144043184512e-07 -2.46703753378327e-07 2.4024002346842153e-06 1.0654287557167167e-06 1.0201144568283808e-06 -6.351289692753093e-07 5.96523816884789e-08 4.474647690044012e-05 -0.00010113385256537989 3.135151636576046e-05 9.16467551234535e-05
AGE 5.037508047801725e-05 2.720080822619922e-06 4.323986206571101e-06 3.07498179533547e-06 3.4085581033916706e-06 1.4237209854474568e-06 -9.002478642702548e-08 4.074840131038354e-07 -6.939151553134113e-08 1.054142761371057e-07 5.4988530578922667e-08 -1.6193244138630865e-08 -6.698960029854314e-08 5.1323786467857154e-08 -3.812291315036558e-08 -2.2427673144520572e-08 -1.6757260835121847e-08 -7.014030476821613e-08 -1.5395934211408044e-07 2.006069749126866e-08 5.2996400921484895e-08 1.3497597812970259e-08 1.5079005613100242e-08 -3.79698116097327e-08 5.459071585091692e-09 -7.532247844731706e-08 1.4367428478456938e-06 -4.547869815112446e-06 4.267022089273204e-06 2.579303369452719e-06
sex 0.0004378083451821947 4.323986206571053e-06 0.00630834813429006 0.005161289520942297 0.002236968455882617 0.00022816252409068683 -1.5776368486099222e-06 3.0002088415684306e-06 -2.3901091466619183e-06 -1.1584932896817856e-06 3.7702709451867577e-06 -1.027435735070119e-06 1.5552091168938122e-06 -5.72126049128378e-08 1.6071440155805656e-06 -1.2053399823141034e-06 2.847585508298357e-06 4.5115503679439515e-06 -1.615810814747109e-06 2.240428135622006e-06 -7.997738425473379e-07 -1.831436862434697e-06 1.687156771451461e-07 4.629988113661389e-06 4.016909210296708e-06 2.420471858918242e-06 3.204239858057412e-06 2.0950776900787224e-05 -7.14592242391602e-06 -8.105840246882737e-05
age_sex 0.0012962836933924648 3.0749817953359624e-06 0.005161289520943121 0.01117437155618027 0.010302466183789919 0.002585856319397773 -5.539698775807382e-07 2.888205739352586e-06 5.272227563756379e-07 -1.5224573251152002e-06 -2.9233558932159027e-07 2.1191807487764196e-06 2.06780288291451e-06 -1.3555756581593561e-06 6.510831920291132e-07 -6.23324198713465e-09 -1.1072076305367988e-06 4.320851816314933e-06 -1.8635060668376019e-06 1.562386344635808e-06 1.5956491353545037e-06 -1.067512188623644e-06 1.936370552671131e-06 5.721356608894934e-06 1.918038028103234e-06 -2.9936692336391676e-06 3.206352733744894e-05 -2.8745365777887105e-05 -2.9743877564004117e-05 2.0921022210198794e-05
age2_sex 0.001492718661574714 3.408558103392416e-06 0.0022369684558837736 0.010302466183790705 0.012227826803483137 0.0035494206210032503 -9.794441297306375e-07 1.8194843993432073e-06 2.32262129644917e-06 -2.0500908886547625e-06 -1.6115726384813722e-06 3.5971337170998407e-06 2.9036776361028065e-06 -3.2951668687724973e-07 -5.128148237149715e-07 -2.8952821382862987e-06 -1.8367084099949163e-07 2.491233535787174e-06 -1.1088735900726784e-06 1.0604692974334208e-06 3.1537572692549765e-06 9.131668158459979e-07 4.1000027995525274e-06 3.4091999615190534e-06 -1.2618982296528735e-06 -5.10604882719472e-06 7.07601845123685e-05 -0.00012160194781155926 -1.088947913413152e-05 0.000133115646710882
age3_sex 0.0004403179347689002 1.423720985447689e-06 0.0002281625240910471 0.0025858563193981053 0.003549420621003373 0.0011169339468446366 -4.564253096112902e-07 3.983498914831952e-07 7.868652212932064e-07 -6.096017209409478e-07 -4.3521198286098515e-07 1.1529441157725123e-06 9.917584228648227e-07 2.387235596909208e-07 -4.5871937865357913e-07 -1.5547972377685741e-06 3.5798290068685226e-07 4.0787890125817634e-07 -3.0043228851411574e-07 3.0433934630936083e-07 1.0379999687647934e-06 7.042253366372567e-07 1.5863356607044514e-06 4.6676339444256784e-07 -9.423068069583422e-07 -1.6480966180442534e-06 2.5770982972153824e-05 -5.394071677614088e-05 -2.3493685481894814e-06 6.130500632951383e-05
PC.PC1 -2.315164240908043e-06 -9.002478642702752e-08 -1.5776368486074558e-06 -5.539698775734627e-07 -9.794441297230781e-07 -4.564253096092509e-07 1.1021812700003433e-06 3.5848961618223166e-08 -1.9899888159758577e-08 -1.1130167638588585e-07 8.296363142354595e-08 -3.086530737305261e-08 -1.0636749964076482e-07 7.014888052405906e-08 4.408766491568757e-08 -2.994677337130025e-08 -2.5805701432608886e-08 1.1505314240130795e-07 -1.0885343636188066e-07 -7.953995493402147e-08 1.0364423629640143e-07 -1.0119224488844078e-07 2.4254520197564473e-08 2.4756117673987022e-08 1.1354360914588008e-07 -1.7367075211061562e-07 -1.1034138712738865e-06 -1.5621782970580016e-06 -4.4365311512298035e-07 1.507295534112017e-06
PC.PC2 8.51372624899799e-06 4.074840131038281e-07 3.0002088415678893e-06 2.888205739352284e-06 1.8194843993431497e-06 3.9834989148320545e-07 3.5848961618222405e-08 1.7371377198665892e-06 -1.022451473990279e-07 7.956401067320992e-08 9.685400105859957e-08 -2.7920168893281006e-07 -9.377772622168648e-08 -2.7795342275010387e-08 2.08537745530038e-08 4.778516540669769e-08 -2.6217959744995354e-07 -1.7082438681959519e-07 2.987596273231335e-08 -1.1907223739715743e-07 -6.665443713962025e-08 -2.5835787960813648e-08 2.932011546629546e-10 -2.944801647111238e-08 1.3075876886544894e-08 9.19198839907038e-09 5.30325726807123e-07 6.981038947448911e-07 -1.693364036931863e-06 3.0750698878285644e-06
PC.PC3 -1.4024987202671581e-06 -6.939151553134675e-08 -2.390109146660992e-06 5.272227563759401e-07 2.3226212964486587e-06 7.868652212929427e-07 -1.9899888159758908e-08 -1.0224514739902923e-07 1.9354693553515973e-06 4.1258710721912006e-08 8.81764054539513e-08 1.5656086562070406e-07 3.8905795966721696e-08 -8.187106284871366e-08 1.7057805586594473e-08 1.3133186543233476e-07 1.200996355386095e-07 -1.3771609563248775e-07 3.1967535909211736e-08 7.0209914234592e-08 8.67378022540528e-08 -7.723192427279333e-08 6.657096292206375e-08 5.449577504605999e-08 -4.3643959113252805e-08 -2.4831280018894065e-08 -5.693202490890245e-07 -1.5437876512880572e-06 -2.429859768297422e-07 -2.6446864257088675e-06
PC.PC4 3.0843831405308393e-06 1.0541427613711518e-07 -1.1584932896811952e-06 -1.5224573251159899e-06 -2.0500908886562007e-06 -6.096017209414116e-07 -1.1130167638588664e-07 7.95640106732122e-08 4.1258710721911245e-08 2.4109260055103258e-06 1.3738390131675985e-07 -1.2804110195360904e-07 9.503947446164134e-08 -3.246629551633202e-09 3.020388278022185e-08 -1.0712125805063136e-07 -1.1594346594221592e-07 9.235313559272529e-09 3.2699458579899655e-08 1.3254640510292458e-08 -6.218115343400504e-08 1.1309860387942062e-07 -3.5668281779538635e-08 -2.1953423434237465e-07 -7.816556303297239e-08 1.3138188819792603e-07 4.206725642300895e-07 9.040773625675734e-07 -2.9347806030321867e-06 -1.931672565603296e-06
