 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.0003126362104656136 2.3629836395973362e-06 -1.5034989369772783e-06 -1.0550028627086084e-05 4.611091650087994e-06 6.396870655429438e-06 4.723758829720596e-07 2.0343776242790276e-06 -1.0712738570659199e-06 8.762303380765107e-07 2.3335539957666567e-07 5.423322838608157e-07 -1.3200151272005196e-07 2.550231843451254e-07 -5.174481455634858e-08 2.9068609729018337e-07 9.533159705842657e-07 1.3604845847420168e-07 -9.140323563816492e-07 -6.760819952884734e-08 -8.428925795631632e-07 5.141234507894959e-07 1.7158067422539664e-06 -6.431338942569045e-09 1.4547511491633397e-07 -1.0084443965231331e-06 -8.219087503775319e-07
AGE 2.36298363959736e-06 7.509279688953522e-07 5.633056279022324e-07 6.454856632500669e-07 -7.724443712787053e-07 -5.293420321254255e-07 -2.3478629085496513e-08 7.483378780991937e-08 -3.899743805606291e-08 3.4769655848042596e-08 8.411491291926137e-08 3.824956016937041e-08 -6.22177438945727e-08 1.551868534008187e-08 6.2305301785860886e-09 5.376847475915347e-08 6.999039785514733e-08 7.681815220116284e-09 -6.916688981496058e-08 1.681778894302809e-08 7.06052235681533e-09 -1.9891011775842494e-08 7.776971789319801e-10 -1.1818486722465086e-08 1.9587337389665785e-08 -4.3077734817583205e-08 -3.1779948601908586e-07
sex -1.5034989369771942e-06 5.633056279022321e-07 0.0011520325878450611 9.134076431911912e-05 -0.00030557761990635 -7.33752041166107e-05 2.913103796356943e-07 2.9749287792061497e-07 -2.5260486134987355e-07 6.333721190220796e-08 1.6742236297813143e-06 -8.379695810021778e-07 -4.055139201067389e-07 1.7906151268091878e-09 -3.6572561683544814e-07 -2.4829293602660797e-07 5.154218973889522e-07 -5.956793312144646e-07 -2.9372066665412304e-07 3.9238358411468895e-07 -3.2461724350160657e-07 -8.610841137588647e-07 -1.8105270654315383e-07 -6.211147015380661e-07 -4.0565835953806674e-07 6.835195901628684e-07 5.496477963283561e-06
age_sex -1.0550028627086042e-05 6.454856632500675e-07 9.134076431911945e-05 0.0005843159042441082 -6.929172968665258e-05 -0.00020923562613386491 4.555055049127472e-07 2.531280491802574e-07 -8.05493164018866e-08 4.611657356973348e-07 6.639367023874096e-08 2.3872535323439016e-07 -3.698973241334457e-07 1.3007339800840478e-07 4.256781357323065e-10 1.1047304140642047e-06 -8.176842290353836e-07 -9.490827758069476e-08 6.845937254066216e-07 6.414313840379692e-08 -3.085717469222493e-07 -6.736255604142762e-08 -7.493123917862432e-07 -4.936386061133226e-07 1.4147117874201383e-07 2.33634247402986e-07 4.859695266832194e-06
age2_sex 4.61109165008795e-06 -7.724443712787056e-07 -0.00030557761990635034 -6.92917296866525e-05 0.0001787200578997224 6.127500615727408e-05 -1.374920168215972e-08 -9.885441444339307e-08 2.4067520316327595e-07 -9.156490126975668e-08 -5.341476922619925e-07 1.751921914085838e-07 1.7863108189475058e-07 -9.197268184884676e-08 1.3798431209981978e-07 1.462783258728274e-08 1.1955379779047652e-07 1.966010317008332e-07 1.9791601780573238e-07 -3.4710558221372706e-07 5.4511157196164325e-08 -6.28492867400703e-08 2.7360450311349224e-07 1.675151223028786e-07 1.1391961913322506e-07 1.2619050341585754e-08 -7.647088805343378e-07
age3_sex 6.396870655429421e-06 -5.293420321254261e-07 -7.33752041166109e-05 -0.00020923562613386486 6.127500615727411e-05 0.00010748365789129277 -9.582875085507563e-08 -5.049395011845036e-08 1.7272220519208715e-07 -1.3541060829752038e-07 -1.456884072230789e-07 -5.646719467704472e-08 1.48225546494297e-07 -5.795843674066166e-10 -5.249750254525279e-08 -3.6763390310700995e-07 3.4485025531469767e-07 -4.05694683152831e-08 -3.055112519110028e-07 -1.4895841570828408e-07 8.233467260176078e-08 -6.686597553304053e-08 8.632049550977332e-08 1.0208047193472232e-07 -9.255432790521518e-08 5.5241252327655775e-08 -2.0068075949710426e-06
PC.PC1 4.7237588297205834e-07 -2.3478629085496537e-08 2.913103796356952e-07 4.555055049127472e-07 -1.374920168216002e-08 -9.582875085507565e-08 5.908414536923081e-07 -2.7510810463356258e-08 5.710894331669751e-09 -9.776967115577927e-09 -4.5426556929946234e-08 8.98359700004354e-09 -8.769686722898311e-09 2.9619068047632875e-08 5.017764275240301e-08 -1.3988803931878023e-08 -1.5960312150512982e-08 1.8646742983046175e-08 -7.8754091615505e-09 -3.014546108387204e-08 4.096294426061036e-08 1.0304097958349627e-08 1.4715051715451224e-08 -2.359153837239274e-08 -1.254670970197039e-08 -5.85908429698118e-09 2.248979261497865e-07
PC.PC2 2.034377624279054e-06 7.48337878099194e-08 2.974928779206132e-07 2.5312804918025497e-07 -9.885441444339223e-08 -5.049395011844918e-08 -2.7510810463356436e-08 1.1383188416879036e-06 -5.558644175494534e-08 6.063596211832824e-08 1.8752137696816907e-08 -1.3180926126145229e-08 -4.175267956109618e-09 -3.3021089848298124e-08 2.182699671815356e-08 2.1046145909439005e-08 2.5122752260204138e-09 -2.063325785498403e-08 -1.9286429313778087e-08 -1.3029244585618911e-08 -3.05534948317166e-08 5.989482061758107e-08 1.315598490712759e-08 1.5321883194027163e-08 6.613637741557724e-09 1.2965043255562237e-08 -6.703454098263799e-07
PC.PC3 -1.0712738570659199e-06 -3.899743805606288e-08 -2.526048613498748e-07 -8.054931640188816e-08 2.4067520316327637e-07 1.727222051920876e-07 5.710894331669654e-09 -5.5586441754945455e-08 1.283764629873245e-06 9.52593057589202e-09 6.806482368262458e-08 8.791460254884731e-09 2.272725902991595e-08 -6.089720726504142e-08 4.077035552262502e-09 5.229883414152656e-08 -9.957404976089905e-09 -1.8812222359354305e-08 -4.136773056594945e-09 4.086290887128077e-08 2.445149862551767e-08 -5.690931222505758e-08 -7.020028920300656e-09 7.437885937016563e-08 2.45440245764409e-08 1.1217898724664885e-08 1.5509348683409404e-06
PC.PC4 8.762303380765096e-07 3.476965584804257e-08 6.333721190220954e-08 4.611657356973365e-07 -9.15649012697573e-08 -1.3541060829752112e-07 -9.776967115577884e-09 6.06359621183281e-08 9.52593057589194e-09 1.6244699278150767e-06 1.1760910979359522e-07 -5.253146133111291e-08 1.375235299895446e-07 5.758754754880381e-08 1.0828766691641501e-08 -2.600013447725663e-08 -1.7503580392806187e-08 5.70240715399553e-08 -2.4601475037765767e-08 5.08337484369167e-08 5.998587180199661e-09 4.6307561534347806e-08 -9.403904845970866e-09 6.363989780473651e-09 -2.208312379206748e-09 -5.092680683890548e-08 -2.557069457270111e-08
