 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.00025230448030062497 1.8947499558412432e-06 -1.6504531374087892e-06 -9.070924733243595e-06 4.131880915802622e-06 5.489636166301333e-06 4.0180934620668677e-07 1.5764795939279958e-06 -7.444992730813902e-07 6.311500538968507e-07 2.546118713325519e-07 4.2381169398702037e-07 -1.7713212822562648e-07 2.768371990872071e-07 -8.049430908290216e-08 2.4879719563029394e-07 7.688038019902182e-07 6.660258071980667e-08 -7.222984267235647e-07 -2.8484379935306238e-08 -7.218406989103005e-07 4.0762038211777787e-07 1.373467241137211e-06 -1.9592989350557703e-08 9.235856017205299e-08 -7.535833789869132e-07 -7.031330538206504e-06 -1.4978727580135872e-07 1.6069925427633974e-05
AGE 1.8947499558412239e-06 6.224346736493044e-07 4.871202833735933e-07 5.364496120724347e-07 -6.544072722439213e-07 -4.4311272654586503e-07 -1.9799077605668615e-08 6.253115279443617e-08 -3.2540374974457387e-08 3.0740468815850746e-08 6.918891062411982e-08 3.227272213938108e-08 -4.962197284545663e-08 1.2164737543093065e-08 7.375911678894765e-09 4.360392460068984e-08 5.827798369943136e-08 5.29761339843542e-09 -5.6824865786621685e-08 1.3653728875124602e-08 5.337598563440065e-09 -1.5915487726034066e-08 1.567401543959801e-11 -9.24392347872741e-09 1.4827296268720917e-08 -3.713163088545148e-08 -1.5283861055092828e-07 1.6821312717077673e-07 -4.574978088130107e-07
sex -1.6504531374087413e-06 4.87120283373592e-07 0.0009657674059890675 7.628743721482512e-05 -0.0002566531738260326 -6.17722803011744e-05 2.505907474823077e-07 2.508109965826187e-07 -1.4738863813854318e-07 1.2906370290066766e-07 1.4989065962725616e-06 -6.952056111072891e-07 -3.4460587560716934e-07 2.8843368884837623e-08 -3.2057980857122633e-07 -2.0649295579893788e-07 4.651380839607515e-07 -5.541489724580984e-07 -2.595752839771551e-07 3.3494151177166563e-07 -2.7706829297604107e-07 -7.473186714368267e-07 -1.287875942761704e-07 -5.309032820773573e-07 -3.081150210530895e-07 5.791725975787545e-07 -1.2074053477192266e-06 1.1834324058421868e-05 3.0328667964734483e-06
age_sex -9.070924733243605e-06 5.364496120724333e-07 7.628743721482515e-05 0.0004890236075287109 -5.801370313812349e-05 -0.00017509299166130414 3.6648806155905297e-07 2.2153296407238283e-07 -6.260874326833625e-08 3.755334093003023e-07 2.645422045844656e-08 1.7894450252953595e-07 -2.714147718889932e-07 9.777641185327337e-08 8.94520705427417e-10 9.094971868496468e-07 -6.703777832610787e-07 -1.431198741358873e-07 5.854962926403768e-07 7.286829271580924e-08 -2.2680898682857277e-07 -7.159504218742436e-08 -6.116040480486202e-07 -4.175994170392551e-07 1.310667108091666e-07 1.5759382511147806e-07 5.1971595064119835e-06 -2.0566257015664425e-07 -2.926142238848627e-06
age2_sex 4.131880915802629e-06 -6.544072722439206e-07 -0.00025665317382603275 -5.801370313812345e-05 0.0001504069746566122 5.165437956713117e-05 -4.2183920928736035e-09 -9.24173516902375e-08 1.9224113714526147e-07 -8.407113868959178e-08 -4.7217546837234214e-07 1.5510983361977397e-07 1.3863652156108583e-07 -8.178087011116466e-08 1.1683059987937514e-07 3.864813205475737e-08 9.138078561228169e-08 1.6002115079278127e-07 1.6922881594978877e-07 -2.958428487684223e-07 2.0642896639876758e-08 -4.602807735903587e-08 2.2394459607708813e-07 1.4326319508250193e-07 8.01293853203503e-08 4.730872399444728e-09 -7.401048482371478e-07 -4.5758525533929774e-07 1.7630789289949438e-07
age3_sex 5.489636166301331e-06 -4.431127265458644e-07 -6.177228030117454e-05 -0.00017509299166130416 5.16543795671312e-05 9.013154983539744e-05 -7.363407768833088e-08 -4.891028496916802e-08 1.3772431050983486e-07 -1.1941227168541497e-07 -1.331247869087453e-07 -4.7499077260534234e-08 1.1175486453571093e-07 9.86021658794413e-10 -4.3978973569230394e-08 -2.952700395367718e-07 2.784819177228445e-07 -1.3493469427472097e-08 -2.5939194886077814e-07 -1.3530809400440505e-07 6.451846018514189e-08 -5.501373885039287e-08 6.607559050187758e-08 8.189661551343815e-08 -8.155449908539634e-08 4.4902125458778294e-08 -9.145861267483912e-07 -3.1135471668520865e-06 1.3174487203533974e-06
PC.PC1 4.018093462066879e-07 -1.979907760566863e-08 2.505907474823068e-07 3.6648806155905345e-07 -4.218392092873433e-09 -7.363407768833096e-08 4.773504952184334e-07 -2.237170067930702e-08 8.447616182468156e-09 -9.793985815577356e-09 -3.596333456931759e-08 6.774693516135611e-09 -9.267595195620809e-09 2.4755235076375827e-08 3.911130846080612e-08 -1.0974481482896453e-08 -1.1943660071634923e-08 1.394988058178544e-08 -7.330994572712566e-09 -2.3200106333502924e-08 3.1621411718933916e-08 7.34125619003352e-09 1.2071460936742687e-08 -1.9252137322557343e-08 -9.735531770077099e-09 -5.070295863654791e-09 -8.69832828840568e-09 5.327764452789353e-08 4.405818906425009e-07
PC.PC2 1.5764795939279676e-06 6.253115279443591e-08 2.508109965826192e-07 2.2153296407238527e-07 -9.241735169023819e-08 -4.891028496916913e-08 -2.237170067930696e-08 9.132547082416903e-07 -4.6398196432488206e-08 5.017921170272029e-08 1.43207775072478e-08 -1.3337091344913613e-08 -1.7711083205372022e-09 -2.734936692926987e-08 1.8337269250925236e-08 1.619089571033002e-08 2.1823319827286364e-09 -1.3915309668334769e-08 -1.1718093188594977e-08 -1.045577986997548e-08 -2.175861243930059e-08 4.7863255074652774e-08 8.298251909426623e-09 1.121663882478088e-08 6.7282517480254785e-09 9.083585265096613e-09 -2.9557092558519856e-07 -1.1460442494018557e-07 -5.543874489012262e-07
PC.PC3 -7.444992730813877e-07 -3.2540374974457354e-08 -1.4738863813854236e-07 -6.26087432683363e-08 1.9224113714526123e-07 1.3772431050983478e-07 8.447616182468159e-09 -4.6398196432488266e-08 1.0495706073714986e-06 7.763875693434553e-09 6.721348450973284e-08 9.791559072907437e-09 1.16752263280547e-08 -4.4465370223083544e-08 -1.5987474258715122e-09 4.69451545957166e-08 -5.836231865800522e-09 -1.615614082936177e-08 -7.912473609798123e-09 3.607380263818375e-08 1.051944723107848e-08 -4.531510244072707e-08 -6.8363045869260476e-09 5.798439063547725e-08 1.9172630544960815e-08 1.5838968403050252e-08 1.1084269372396977e-07 1.145050520854257e-06 1.8726906519430598e-06
PC.PC4 6.311500538968485e-07 3.074046881585072e-08 1.2906370290066819e-07 3.755334093003023e-07 -8.407113868959216e-08 -1.1941227168541505e-07 -9.793985815577318e-09 5.0179211702720324e-08 7.763875693434334e-09 1.3160281015292357e-06 9.636815351557857e-08 -4.2019279598546714e-08 1.172602216714688e-07 4.405255173813013e-08 1.0441040520751899e-08 -2.3971642467716896e-08 -1.3759611118762914e-08 4.722010328168313e-08 -1.8621952840395194e-08 4.099915261617832e-08 5.535351993511694e-09 3.7319327405269544e-08 -9.797868257747102e-09 1.0807010884493342e-08 -1.3359064963956011e-09 -4.139320438104598e-08 1.1735501111377395e-07 6.605525143922839e-07 -1.071580787714614e-06
PC.PC5 2.5461187133255e-07 6.918891062411983e-08 1.4989065962725644e-06 2.645422045844558e-08 -4.721754683723429e-07 -1.3312478690874506e-07 -3.596333456931754e-08 1.4320777507247821e-08 6.72134845097328e-08 9.636815351557857e-08 1.732564928493332e-06 4.2854203957194766e-08 4.194660446898389e-09 -3.922811538478306e-08 -1.693271243308337e-08 3.659646450119935e-08 1.6793321709325603e-08 2.5272193555118634e-08 -8.579156920598034e-09 -1.5879701468398924e-08 -3.422154097584388e-08 -3.1695455744024175e-08 -4.875347108039284e-09 1.1276581902545796e-07 1.8756291495134e-08 8.353370638171313e-08 -5.906456154577875e-07 1.705216952927414e-06 1.5756049808811136e-06
PC.PC6 4.238116939870199e-07 3.227272213938106e-08 -6.952056111072911e-07 1.7894450252953663e-07 1.5510983361977487e-07 -4.749907726053432e-08 6.774693516135583e-09 -1.3337091344913565e-08 9.791559072907464e-09 -4.201927959854673e-08 4.2854203957194747e-08 1.8684012240962096e-06 7.849701857371686e-08 -2.7861456571468695e-08 -8.534107620959556e-08 1.7122193403274108e-08 7.680683358711638e-09 -4.240929768702223e-09 -4.3655538851537696e-08 2.3183038727857985e-08 2.7006020488910703e-08 -5.498086643847817e-08 -1.1300615136017025e-07 -2.6783953590613777e-09 -1.8648138732206273e-08 -1.1000635803755162e-08 3.4487715560917827e-08 7.105224707525471e-07 -4.4385614234984026e-08
PC.PC7 -1.7713212822562198e-07 -4.962197284545661e-08 -3.4460587560716807e-07 -2.7141477188899307e-07 1.386365215610856e-07 1.1175486453571084e-07 -9.267595195620792e-09 -1.7711083205371439e-09 1.1675226328054677e-08 1.1726022167146865e-07 4.194660446898549e-09 7.849701857371694e-08 1.5181819858835802e-06 1.432910864622004e-07 2.474350129916314e-08 -4.1055513922164406e-08 -1.2455788500282758e-08 -6.034860097541606e-08 1.3785251918900654e-09 1.736440356456321e-08 2.7294803472177296e-08 -3.0327349417302534e-10 -2.4675533080000732e-08 -4.0680622515300074e-08 -2.0124565635494716e-09 -1.6779308557740358e-08 9.670308590774023e-08 -1.0262161240808775e-06 -8.478719770115468e-07
PC.PC8 2.768371990872103e-07 1.2164737543093105e-08 2.8843368884838645e-08 9.777641185327427e-08 -8.178087011116516e-08 9.860216587939593e-10 2.4755235076375768e-08 -2.7349366929269774e-08 -4.4465370223083564e-08 4.405255173813026e-08 -3.9228115384782874e-08 -2.7861456571468665e-08 1.4329108646220045e-07 2.1427332069701206e-06 -3.828822919548948e-08 -1.074290340700045e-07 1.2401981548769485e-08 -5.0846838326277277e-08 5.8061536260345405e-09 -3.6700964189737426e-08 -8.37501513314785e-09 9.981659155151093e-08 -8.41959293328784e-08 -3.755001607851297e-07 1.1102194356982141e-08 -6.544139735904939e-08 2.617404980138625e-07 -4.5119112470787783e-07 1.222816111807747e-06
PC.PC9 -8.04943090829006e-08 7.3759116788947614e-09 -3.205798085712272e-07 8.945207054283218e-10 1.1683059987937528e-07 -4.397897356923071e-08 3.911130846080613e-08 1.8337269250925312e-08 -1.5987474258715058e-09 1.0441040520751826e-08 -1.6932712433083364e-08 -8.534107620959544e-08 2.474350129916317e-08 -3.8288229195489476e-08 2.020761788128808e-06 7.172853185978401e-08 1.0061364414599522e-07 8.795503762011335e-10 -1.6185407915145625e-07 8.7560714881371e-10 -2.8824640030216537e-08 -1.6230771520560454e-08 5.147199256333458e-08 3.276474362401809e-09 1.4728559861285646e-08 -4.874886224488434e-08 5.636049108379769e-07 -3.4338244780548114e-07 -8.954478275886329e-07
PC.PC10 2.4879719563029383e-07 4.360392460068988e-08 -2.0649295579893883e-07 9.094971868496477e-07 3.864813205475717e-08 -2.952700395367722e-07 -1.097448148289645e-08 1.6190895710330037e-08 4.694515459571654e-08 -2.3971642467716763e-08 3.659646450119939e-08 1.712219340327429e-08 -4.1055513922164373e-08 -1.0742903407000427e-07 7.172853185978355e-08 2.521793827963987e-06 -1.410600319196949e-07 5.945036859665127e-08 5.783413283700096e-08 5.4027243860603883e-08 -5.2951373110578376e-08 -5.252353500937844e-08 2.3955775342485713e-08 2.72886439501466e-07 2.4157960423054712e-08 8.825105618896122e-08 1.9571800974877023e-07 4.4374291898832675e-07 6.153279438283205e-07
PC.PC11 7.688038019902176e-07 5.827798369943147e-08 4.651380839607501e-07 -6.703777832610796e-07 9.138078561228235e-08 2.7848191772284474e-07 -1.1943660071634956e-08 2.1823319827287576e-09 -5.836231865800519e-09 -1.3759611118762925e-08 1.679332170932558e-08 7.68068335871157e-09 -1.2455788500282803e-08 1.2401981548769493e-08 1.0061364414599523e-07 -1.4106003191969453e-07 1.956660963695992e-06 -7.5337709507546e-08 9.663338494355763e-09 2.9892504845962307e-08 -5.080141494057085e-08 1.448837477677514e-07 6.540681634823447e-08 -8.790457123518758e-08 4.235677768295702e-08 -1.145564686122391e-08 -1.739028271596145e-07 6.512214223508669e-07 1.6465723867530422e-07
PC.PC12 6.660258071980629e-08 5.2976133984354314e-09 -5.541489724580989e-07 -1.4311987413588846e-07 1.600211507927812e-07 -1.3493469427471731e-08 1.394988058178543e-08 -1.391530966833475e-08 -1.6156140829361773e-08 4.7220103281682956e-08 2.5272193555118595e-08 -4.240929768702297e-09 -6.034860097541602e-08 -5.084683832627724e-08 8.795503762011311e-10 5.945036859665147e-08 -7.533770950754603e-08 2.139470516457766e-06 -2.3685485892606945e-08 6.202373801429904e-08 4.929889150582607e-08 1.2522554232090785e-07 7.743791338696248e-10 2.70447230273644e-08 1.1505760575172866e-07 1.023300931957957e-08 -2.5553305463067064e-07 -1.9336490634404772e-07 -3.948786151737389e-07
PC.PC13 -7.222984267235678e-07 -5.6824865786621725e-08 -2.5957528397715514e-07 5.85496292640376e-07 1.6922881594978874e-07 -2.593919488607777e-07 -7.330994572712582e-09 -1.1718093188595194e-08 -7.912473609798109e-09 -1.8621952840395224e-08 -8.579156920598024e-09 -4.365553885153763e-08 1.378525191889994e-09 5.806153626034522e-09 -1.6185407915145633e-07 5.7834132837000804e-08 9.66333849435572e-09 -2.3685485892606846e-08 1.9105033306632672e-06 1.7236169210681093e-08 -1.4483413086033716e-08 -1.2249933771702845e-08 2.153945589484307e-08 1.735164911053424e-08 -5.126905975411758e-08 -4.1149418073584076e-08 -1.0333340998937735e-07 -1.8779646132040549e-07 -4.976911892694615e-07
PC.PC14 -2.8484379935305795e-08 1.3653728875124615e-08 3.3494151177166674e-07 7.286829271581023e-08 -2.9584284876842277e-07 -1.3530809400440542e-07 -2.320010633350293e-08 -1.0455779869975478e-08 3.607380263818372e-08 4.0999152616178397e-08 -1.5879701468399037e-08 2.318303872785789e-08 1.7364403564563184e-08 -3.670096418973744e-08 8.756071488137933e-10 5.4027243860603903e-08 2.9892504845962327e-08 6.202373801429914e-08 1.7236169210681202e-08 1.5731666443268748e-06 -2.5042980075470766e-08 -1.581790155830138e-07 -3.452180709974165e-08 7.938055396010198e-08 2.9723495115417895e-09 -4.3111567642255195e-08 -4.4628039880598945e-07 2.4909164802472305e-07 5.449941614117994e-07
PC.PC15 -7.218406989103012e-07 5.337598563440075e-09 -2.770682929760417e-07 -2.2680898682857303e-07 2.0642896639876748e-08 6.451846018514182e-08 3.162141171893396e-08 -2.175861243930065e-08 1.0519447231078512e-08 5.5353519935117054e-09 -3.4221540975843874e-08 2.7006020488910676e-08 2.7294803472177263e-08 -8.375015133147899e-09 -2.8824640030216457e-08 -5.2951373110578376e-08 -5.0801414940570894e-08 4.92988915058261e-08 -1.4483413086033984e-08 -2.504298007547051e-08 1.8262441076076445e-06 -4.175039346523284e-08 -8.787044114813041e-08 -7.782318357353385e-08 -1.560560159905182e-08 5.552644547549626e-08 1.4786823562536105e-07 -1.697492109142291e-06 -9.97214312017364e-07
PC.PC16 4.076203821177767e-07 -1.5915487726034063e-08 -7.473186714368267e-07 -7.159504218742526e-08 -4.6028077359035834e-08 -5.5013738850392526e-08 7.3412561900335125e-09 4.786325507465281e-08 -4.5315102440727004e-08 3.731932740526953e-08 -3.169545574402423e-08 -5.4980866438478104e-08 -3.0327349417309203e-10 9.981659155151099e-08 -1.6230771520560517e-08 -5.252353500937843e-08 1.448837477677515e-07 1.2522554232090772e-07 -1.2249933771702961e-08 -1.5817901558301366e-07 -4.1750393465232366e-08 1.9429310196463137e-06 1.0370586490413521e-07 -2.7823696319067916e-07 3.429971046454594e-08 -1.001382624576687e-08 2.955410610074428e-07 -2.3328931861127497e-08 -9.127303315749687e-08
PC.PC17 1.3734672411372114e-06 1.5674015439545657e-11 -1.2878759427617172e-07 -6.116040480486194e-07 2.2394459607708826e-07 6.60755905018772e-08 1.2071460936742707e-08 8.29825190942677e-09 -6.836304586926054e-09 -9.797868257747123e-09 -4.875347108039298e-09 -1.1300615136017018e-07 -2.4675533080000702e-08 -8.419592933287842e-08 5.1471992563334895e-08 2.3955775342485772e-08 6.540681634823445e-08 7.743791338696416e-10 2.153945589484289e-08 -3.452180709974166e-08 -8.787044114813042e-08 1.0370586490413537e-07 2.385787123433857e-06 1.0029692599005071e-07 -5.952531919358837e-09 -1.4460610632193403e-10 -1.3987636585095553e-08 -1.0135244343416075e-07 -1.2645780104321195e-08
PC.PC18 -1.9592989350557716e-08 -9.243923478727398e-09 -5.309032820773564e-07 -4.1759941703925594e-07 1.4326319508250143e-07 8.189661551343826e-08 -1.9252137322557346e-08 1.1216638824780812e-08 5.7984390635477115e-08 1.0807010884493373e-08 1.1276581902545781e-07 -2.678395359061434e-09 -4.068062251530013e-08 -3.7550016078512987e-07 3.2764743624017064e-09 2.728864395014652e-07 -8.79045712351875e-08 2.7044723027364424e-08 1.7351649110534255e-08 7.9380553960102e-08 -7.782318357353396e-08 -2.78236963190679e-07 1.0029692599005084e-07 2.7689217370392094e-06 -5.278426156109874e-08 2.0811285068402417e-07 7.740991857114087e-08 1.4959252347614096e-07 -4.5023840069775536e-07
PC.PC19 9.235856017205245e-08 1.4827296268720919e-08 -3.081150210530895e-07 1.3106671080916681e-07 8.012938532035033e-08 -8.155449908539639e-08 -9.735531770077094e-09 6.728251748025451e-09 1.9172630544960842e-08 -1.3359064963956065e-09 1.875629149513403e-08 -1.864813873220626e-08 -2.0124565635494935e-09 1.1102194356982163e-08 1.4728559861285647e-08 2.4157960423054818e-08 4.235677768295696e-08 1.1505760575172862e-07 -5.126905975411766e-08 2.9723495115417105e-09 -1.560560159905198e-08 3.429971046454599e-08 -5.952531919358738e-09 -5.278426156109862e-08 2.0646064733794235e-06 1.2855568603611638e-07 9.81206051475389e-08 -6.913988497528696e-07 7.31239969594738e-08
PC.PC20 -7.535833789869131e-07 -3.7131630885451515e-08 5.791725975787558e-07 1.575938251114784e-07 4.730872399444403e-09 4.490212545877815e-08 -5.0702958636547916e-09 9.083585265096431e-09 1.583896840305026e-08 -4.1393204381045975e-08 8.353370638171317e-08 -1.1000635803755157e-08 -1.6779308557740448e-08 -6.544139735904944e-08 -4.874886224488457e-08 8.82510561889613e-08 -1.1455646861223866e-08 1.0233009319579588e-08 -4.114941807358421e-08 -4.311156764225511e-08 5.552644547549614e-08 -1.0013826245766789e-08 -1.4460610632184317e-10 2.0811285068402446e-07 1.2855568603611622e-07 1.8347509768782605e-06 -3.1572621330890895e-07 8.732556965162635e-07 1.013518144404863e-06
proband -7.031330538206502e-06 -1.5283861055092873e-07 -1.2074053477192143e-06 5.197159506412002e-06 -7.401048482371547e-07 -9.14586126748399e-07 -8.698328288405743e-09 -2.955709255851986e-07 1.108426937239677e-07 1.1735501111377374e-07 -5.90645615457788e-07 3.448771556091792e-08 9.670308590774159e-08 2.6174049801386214e-07 5.636049108379774e-07 1.957180097487686e-07 -1.7390282715961436e-07 -2.555330546306704e-07 -1.0333340998937692e-07 -4.4628039880598934e-07 1.4786823562536042e-07 2.955410610074444e-07 -1.398763658509497e-08 7.740991857114047e-08 9.812060514753818e-08 -3.1572621330890975e-07 0.00029481715209925594 -0.00016469888630791743 -0.0001614599329741445
