 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
PC.PC5 1.3154138010427997e-08 6.236793223843936e-08 9.87668842831517e-07 -1.1282710412472322e-07 -1.685245252389989e-07 4.266316100134422e-09 -4.0245433642101865e-08 1.962369866487935e-08 7.1297977789122e-08 1.141414630799023e-07 1.974498150544655e-06 4.274908690880093e-08 2.407544067039416e-08 -3.393708937857009e-08 -1.3658994000442963e-08 2.8238410869076982e-08 1.8986872354291315e-08 2.9872397264829703e-08 -3.3209860440279794e-09 -2.9216622559211378e-08 -1.373054262444123e-08 -2.68576688700971e-08 -4.579255663674211e-09 1.0951827175433507e-07 2.058928084413328e-08 6.706546671532251e-08 6.703426888582643e-07
PC.PC6 5.186822021688796e-07 2.705488353173297e-08 -6.565790830733716e-07 4.9654882251457314e-08 1.1745881432090136e-07 -3.95971704827585e-10 9.259798139204669e-09 -9.749882587523442e-09 4.85128767004731e-09 -4.9458530537318615e-08 4.274908690880095e-08 2.2809620745553645e-06 1.1463991713230918e-07 -2.3580922732158173e-08 -1.0672084210440368e-07 1.263109052871077e-08 -4.266042951896375e-09 -8.25718261471178e-09 -7.280948754364142e-08 2.926524963848544e-08 3.491905381825029e-08 -5.221636214747726e-08 -1.0818343615941319e-07 -9.259596822088376e-09 -2.8784086514562985e-08 -1.7338248713585314e-08 3.027428703028744e-07
PC.PC7 3.114401477988486e-08 -5.3567121419433736e-08 -3.25395267748484e-07 -4.527904992906974e-07 1.8470104401865212e-07 1.6735834490312586e-07 -1.6745189481362105e-09 -1.0902945119608325e-09 3.770856901265839e-08 1.2535470022098451e-07 2.4075440670394096e-08 1.1463991713230937e-07 1.790649785689389e-06 1.601865137066374e-07 2.600755130149979e-08 -2.986829311378036e-08 -7.420651555822985e-09 -5.513719850535138e-08 -3.3897283069566604e-09 -8.314224177482161e-09 1.0989201694051845e-08 -9.360084978984853e-09 -1.4685805635390432e-08 -5.586678913851873e-08 -8.302735392853126e-09 -7.043122932977241e-09 -6.500827011795713e-07
PC.PC8 2.1326292778372803e-07 8.206841727422473e-09 1.150760777370909e-07 1.3544947423845327e-09 -3.725374814449621e-08 8.074551658609802e-09 2.7281408818407193e-08 -3.747718922881556e-08 -6.402081623429971e-08 6.69502780893082e-08 -3.393708937856997e-08 -2.3580922732158196e-08 1.601865137066374e-07 2.4492057155580955e-06 -3.5001931210906247e-08 -5.627872679738895e-08 -5.261529816873614e-09 -3.112762717986065e-08 1.7893969565058966e-08 -2.877915847064758e-08 -1.603923061204529e-09 1.1284280035243464e-07 -8.430109667523596e-08 -3.8335324601026305e-07 1.619297063194854e-08 -7.180986269854571e-08 5.034531081102742e-07
PC.PC9 2.965238872569821e-08 1.9567458090712447e-08 -5.144604768283763e-07 5.861893872149672e-08 2.4285771958278395e-07 -3.4611651237633284e-08 5.117799384953031e-08 1.7929944731078767e-08 1.0650020729954411e-08 1.7793792350565616e-08 -1.3658994000442904e-08 -1.067208421044036e-07 2.6007551301499878e-08 -3.5001931210906134e-08 2.4008994016279055e-06 1.0391254187222166e-07 1.3867791535398007e-07 -4.473737081289462e-10 -1.8603623595517536e-07 6.097273541956389e-09 -4.749355656143847e-08 -1.1837410669781094e-08 1.8579331605505675e-08 1.5338005286804671e-09 1.1024825146694483e-08 -5.979629808900733e-08 1.703388223054644e-08
PC.PC10 3.6803861762561914e-07 4.37104261680605e-08 -6.482627492137219e-08 1.0688822418187864e-06 -1.137578189957023e-07 -3.5315533660145045e-07 -9.516046104075109e-09 1.268966519236321e-08 3.1408777863391673e-08 -2.6265865371018316e-08 2.8238410869077016e-08 1.2631090528710544e-08 -2.986829311378029e-08 -5.6278726797387376e-08 1.0391254187222188e-07 2.9374355880835123e-06 -1.583992691885706e-07 7.037426892135986e-08 5.2733089793337085e-08 5.560192865893582e-08 -4.4556459443812584e-08 -4.3457805934261444e-08 2.754960747538042e-08 2.559370045030531e-07 2.8753004501411805e-08 8.647166447869338e-08 7.711535072912283e-07
PC.PC11 7.642585477476027e-07 6.5177287612365e-08 3.065987971713383e-07 -6.569919896623073e-07 1.302420744453729e-07 2.761081244763332e-07 -1.9397217082363473e-08 -1.4208160382336326e-08 -5.819584992057795e-09 -2.8375726066965377e-08 1.898687235429131e-08 -4.266042951896144e-09 -7.420651555822866e-09 -5.2615298168737285e-09 1.3867791535398005e-07 -1.5839926918857064e-07 2.3185147821785282e-06 -6.650210361490108e-08 1.3000553720730291e-08 6.285996615182927e-08 -2.764880869977369e-08 1.4763076462788514e-07 5.614498733866258e-08 -7.98233279371065e-08 4.325220477569602e-08 -1.4220503939933259e-08 2.5786428357568894e-07
PC.PC12 7.05632304340264e-08 -3.0187526544313705e-09 -4.985463465986176e-07 -2.0065325070151742e-07 2.483017432311442e-07 9.825897114816199e-08 1.59093084818111e-08 -2.0304619455764722e-08 -3.235284626610464e-08 6.844998031893124e-08 2.987239726482976e-08 -8.2571826147118e-09 -5.513719850535135e-08 -3.112762717986052e-08 -4.4737370812895676e-10 7.037426892135945e-08 -6.650210361490087e-08 2.4503047309150803e-06 1.3946594011071527e-09 7.918032648096621e-08 5.2114738145211057e-08 1.262543667972623e-07 1.6008169862960278e-08 4.2658032956188264e-09 1.2278442744314308e-07 3.2869261641454125e-09 -4.935810718938943e-07
PC.PC13 -9.828705615645722e-07 -6.327732136861434e-08 -1.382680672277824e-07 4.3624779970392034e-07 6.564187124828358e-08 -1.8948897423037893e-07 -3.40167162455178e-09 -2.3192858202821383e-08 1.6659754133338924e-09 -2.243108524570966e-08 -3.3209860440280063e-09 -7.280948754364161e-08 -3.389728306956653e-09 1.789396956505893e-08 -1.860362359551751e-07 5.273308979333712e-08 1.3000553720730369e-08 1.394659401107137e-09 2.3155887463658453e-06 2.12046343241712e-08 -1.178260512042799e-08 -2.1251173449023913e-08 3.513432420654393e-08 1.1940133588251773e-08 -3.421660276811889e-08 -4.505438240146416e-08 -3.020360629243453e-07
PC.PC14 -1.7535847492920488e-07 1.4707058164182541e-08 4.1787266731860716e-07 -1.8830260374266385e-08 -2.932177968853973e-07 -9.929654836014935e-08 -3.024635032654414e-08 -1.9765180082439635e-08 3.8134842568523485e-08 5.737254677144185e-08 -2.9216622559211415e-08 2.9265249638485572e-08 -8.314224177482262e-09 -2.8779158470647524e-08 6.0972735419565514e-09 5.5601928658935776e-08 6.285996615182934e-08 7.91803264809661e-08 2.1204634324171026e-08 1.8446631228764578e-06 -2.4263238777934888e-08 -1.9767954654744886e-07 -3.88747786628473e-08 6.394530657282197e-08 2.7777282510357694e-09 -5.688244708063538e-08 -1.0848217006902285e-07
PC.PC15 -5.908183462096525e-07 1.3678723665473491e-09 -2.134158209508641e-07 -4.411774718688046e-07 9.326784575458442e-08 1.293470203798348e-07 4.1026588211117657e-08 -2.6494408732721387e-08 3.776920262307267e-08 3.864233629981866e-09 -1.3730542624441244e-08 3.491905381825027e-08 1.0989201694051908e-08 -1.603923061204632e-09 -4.749355656143849e-08 -4.455645944381257e-08 -2.764880869977358e-08 5.2114738145210944e-08 -1.1782605120428393e-08 -2.426323877793484e-08 2.1440750611356676e-06 -4.977299708504348e-08 -8.101787197329898e-08 -7.987511063341744e-08 -3.346744507174981e-08 9.031784630252424e-08 -1.0015837387230053e-06
PC.PC16 3.1318517533526213e-07 -8.832941884230803e-09 -6.36420665068606e-07 -2.0906609087290418e-07 -1.286684546757263e-07 7.610115720262938e-09 5.577353983139277e-09 4.8305188377096244e-08 -5.348024529047008e-08 4.423055675454246e-08 -2.6857668870097073e-08 -5.221636214747725e-08 -9.36008497898491e-09 1.1284280035243454e-07 -1.1837410669781185e-08 -4.3457805934261543e-08 1.476307646278852e-07 1.2625436679726234e-07 -2.125117344902382e-08 -1.976795465474492e-07 -4.977299708504336e-08 2.2751953661980013e-06 9.563029028222848e-08 -2.860805222971246e-07 3.592886379463821e-08 -3.9210895864902815e-09 1.644890714111574e-07
PC.PC17 1.563044394789455e-06 1.3251576557667296e-08 -6.093830379577901e-08 -9.500461337598489e-07 1.2825581703766685e-07 2.5905490681819263e-07 1.0633250876557247e-08 1.0755180359034362e-08 -3.5710512494543966e-09 -6.31141778466169e-09 -4.579255663674179e-09 -1.0818343615941314e-07 -1.4685805635390455e-08 -8.4301096675236e-08 1.8579331605505612e-08 2.754960747538041e-08 5.614498733866256e-08 1.6008169862960258e-08 3.5134324206544e-08 -3.8874778662847285e-08 -8.101787197329892e-08 9.563029028222832e-08 2.7199041099302e-06 8.920818926133288e-08 -6.538607150075035e-09 -6.922857530801888e-09 -2.5550777482867024e-07
PC.PC18 1.821412001433564e-07 -9.126994674907009e-10 -2.6854848526992385e-07 4.9001988111129254e-08 -8.320130386662731e-08 -1.6187295135788983e-07 -1.3239088870353829e-08 6.746906165956848e-09 5.465575997359438e-08 -4.77970934152282e-09 1.0951827175433507e-07 -9.259596822088332e-09 -5.586678913851871e-08 -3.833532460102628e-07 1.53380052868052e-09 2.5593700450305354e-07 -7.982332793710664e-08 4.265803295618916e-09 1.1940133588251808e-08 6.394530657282206e-08 -7.987511063341762e-08 -2.8608052229712457e-07 8.920818926133285e-08 3.07065022226079e-06 -5.884370453849916e-08 2.1873427459028055e-07 1.1136126450229891e-07
PC.PC19 1.7796455232472399e-07 1.3677931399320939e-08 -3.911527525559845e-07 1.7386794385411018e-07 5.071359466705494e-08 -1.1368381519870009e-07 -1.0503398960223122e-08 5.344185904800523e-09 2.0445840481160588e-08 -8.612921083203339e-09 2.058928084413328e-08 -2.8784086514562992e-08 -8.302735392853126e-09 1.6192970631948493e-08 1.102482514669444e-08 2.8753004501411867e-08 4.325220477569599e-08 1.227844274431434e-07 -3.4216602768118924e-08 2.7777282510356925e-09 -3.346744507174965e-08 3.592886379463837e-08 -6.5386071500749686e-09 -5.8843704538498945e-08 2.3946952019274053e-06 1.3873645215415717e-07 -1.0645984860999293e-07
PC.PC20 -9.68051891079211e-07 -3.675141505365531e-08 3.991682957025039e-07 3.7490077112353197e-07 -1.598094061364506e-08 -5.785151935067918e-08 -4.306785164713029e-09 1.0699426077377924e-08 -4.059743000878672e-09 -4.773814963532286e-08 6.706546671532254e-08 -1.7338248713585453e-08 -7.043122932977319e-09 -7.180986269854567e-08 -5.979629808900737e-08 8.647166447869353e-08 -1.4220503939933204e-08 3.2869261641453447e-09 -4.5054382401464074e-08 -5.688244708063541e-08 9.031784630252427e-08 -3.921089586490194e-09 -6.922857530801848e-09 2.1873427459028058e-07 1.3873645215415693e-07 2.1444658279325903e-06 4.769031240922105e-07
proband 1.3400953176830382e-06 -1.261183229838334e-07 2.160339479512805e-06 1.4008822523730392e-06 -9.974032282561851e-08 -8.08850007019811e-07 2.2939646304327543e-07 -5.710598670149581e-07 1.4105619666225637e-06 3.772705025028451e-08 6.703426888582645e-07 3.0274287030287463e-07 -6.500827011795709e-07 5.034531081102746e-07 1.7033882230546924e-08 7.711535072912274e-07 2.578642835756895e-07 -4.935810718938944e-07 -3.0203606292434485e-07 -1.0848217006902302e-07 -1.0015837387230055e-06 1.6448907141115755e-07 -2.555077748286712e-07 1.1136126450229879e-07 -1.0645984860999305e-07 4.769031240922106e-07 0.00017318251024357373
