 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.005950304576630361 0.00018862090126465738 0.002971789483737007 0.007086020327483227 0.007423467153449755 0.002094414926041937 5.106064575416796e-06 2.0849265181967087e-05 -1.2865048627250467e-05 8.185977013274981e-06 -4.375647830396026e-06 -1.1501070994184561e-05 3.609586362204717e-06 -1.3492787067790895e-06 -4.1871350462760925e-06 -4.20956721280674e-06 -7.5823365384783165e-06 -3.909416733424012e-06 -1.6747471308105313e-05 8.84931141925888e-06 3.2514515194839986e-06 3.7389460334106927e-06 -2.2685010944593439e-07 6.6224419033624585e-06 9.554912651538094e-06 7.10275319835029e-06 -2.336061410549678e-05 0.00024563801719836866 0.00042626946357807464 -0.00011527977444322016 -0.00035428378470200937 -0.00013913878472346196 -0.0005829224698430128
AGE 0.00018862090126465676 9.896202983717167e-06 -1.4384240424912416e-05 -3.8534867367944335e-05 -3.9194988580785834e-05 -1.0840097539433386e-05 6.036476923671608e-08 1.1005656940033252e-06 -4.4035597159389615e-07 4.43128488442713e-07 8.952445760260897e-08 -2.2239921303865603e-07 -1.0738095587086412e-07 -3.017550856728113e-08 -2.0482703833704983e-07 1.9413492656971392e-07 1.899516213351062e-08 -4.7115427255224697e-07 -7.500124804810255e-07 3.836776195636621e-07 2.595441070843954e-07 4.7780716566227144e-08 7.44686028634984e-08 4.4257455920215065e-08 9.285055274454664e-08 -1.826161095885788e-07 -1.8667051390315494e-07 -2.369724512619452e-06 2.5997142416862054e-05 8.270022094170015e-06 -1.4613542821075347e-06 -8.907129787067454e-06 -3.411991997609949e-05
sex 0.0029717894837374037 -1.4384240424913044e-05 0.029271181274589338 0.03530354539983926 0.02515143294731945 0.005476192110984212 -5.763460871089493e-06 9.871350012124787e-06 -1.7566897163838427e-06 -9.046626390101588e-06 1.6683302590378148e-05 -2.812045956695093e-06 1.119855785425525e-07 1.4681810161676104e-05 2.825578746598292e-06 3.373464465158544e-06 -7.898616850994142e-07 1.4773032405500582e-05 -1.406540329610438e-06 1.3509556464644763e-05 -1.958383442000384e-06 -9.460998490550723e-06 4.359916774385756e-06 -2.8839055003662156e-06 2.0141968750389128e-05 8.815831024427272e-06 7.25639054667508e-05 0.0003800395682015914 0.00016645354478430358 -0.00010212753679700255 -0.0002853476719044029 -0.00022202672322786147 -0.0002207371287144244
age_sex 0.007086020327483571 -3.85348673679426e-05 0.03530354539983702 0.06872929718298293 0.06370658630202682 0.016528766715391448 5.366820126451725e-07 9.99722632722241e-06 1.2112269871398136e-05 -7.9065980512593e-06 1.112908208990539e-05 1.1059973948291705e-06 -6.25535052359127e-06 1.3697115734596256e-05 -2.7588650497787796e-06 9.85305811828855e-06 -1.2633154064386275e-05 2.084458564670402e-05 -2.64650406522326e-06 8.247885210877533e-06 6.0065053543969134e-06 -1.2545501162825038e-06 8.508620817536299e-06 -4.8997798032339655e-06 1.7633166278832743e-05 -3.6980122188199673e-06 -4.5415950428879016e-05 0.0009622019529743707 0.00029762298685934234 -0.00016886632167608577 -0.000997207292082959 -0.0002235298102924306 -0.0005119171012405603
age2_sex 0.007423467153449833 -3.91949885807822e-05 0.02515143294731601 0.06370658630202426 0.06710905484362717 0.018855686894115205 1.3241325975365811e-06 7.054965940641119e-06 1.6848846027247017e-05 -5.308699290505085e-06 4.560868493386792e-06 3.7831074545694844e-06 -7.1670501834724044e-06 7.86693924169658e-06 -6.982652045145452e-06 -1.1869961402236034e-06 -7.7111353070329e-06 1.955264594624626e-05 -4.287361626486796e-06 9.781214833766805e-07 9.990961629247454e-06 7.911402001999097e-06 1.026780381922367e-05 -4.163079765830159e-06 9.451845818866767e-06 -5.89059006090592e-06 -8.518803391925282e-05 0.0010395341578773875 9.99056336778249e-05 -5.3366896812704194e-05 -0.0012284224728297847 6.214418898565083e-05 -0.00042381447336047766
age3_sex 0.0020944149260419104 -1.0840097539432217e-05 0.005476192110983079 0.01652876671539034 0.018855686894114782 0.005582014027813076 1.3440153823023253e-07 2.077820887246137e-06 5.0512881366352616e-06 -1.0355256433737705e-06 3.6036115799871605e-07 1.211586072910927e-06 -2.009505238943104e-06 1.4206480542516063e-06 -2.8476280414348473e-06 -3.105007403726955e-06 -9.599181623880539e-07 5.345284633131381e-06 -1.7169743807600715e-06 -6.815918000887656e-07 3.1928385949443682e-06 3.81549247849034e-06 3.075085038121514e-06 -1.1602285397761789e-06 1.4851274819536763e-06 -1.1896071842132173e-06 -1.8975946275429454e-05 0.00028062457284271894 -1.9771216612849593e-05 3.246867418596067e-05 -0.0003928946895966545 8.869061613167065e-05 -0.00011380097059327074
PC.PC1 5.106064575415924e-06 6.036476923671395e-08 -5.7634608710908485e-06 5.366820126394663e-07 1.3241325975300134e-06 1.3440153822832618e-07 2.913342092341425e-06 -2.5527435622489543e-08 -1.8089814737777078e-07 -1.9315456056252057e-07 9.582929001835956e-08 -1.4105023269911143e-07 -1.7866438470655654e-07 1.429477104097676e-07 6.358532642335996e-08 -4.4718069366818734e-09 7.338290350879656e-09 2.1974384207978902e-07 -3.2201180272611077e-07 -1.0507616405850275e-07 2.604779228726479e-07 -1.9884822803004856e-07 1.096644765492886e-08 1.7073385225378896e-07 6.330436990659951e-07 -3.4914821322856824e-07 -1.0656348415014952e-07 -5.039164845668177e-06 2.6346410719890454e-06 -3.2716338453382097e-06 1.408438455590809e-05 -5.638817283542459e-06 2.1407347904685065e-06
PC.PC2 2.0849265181967046e-05 1.1005656940033244e-06 9.871350012124953e-06 9.99722632722229e-06 7.054965940641001e-06 2.07782088724612e-06 -2.5527435622489576e-08 4.553725976758434e-06 -1.1836467481428799e-07 1.3390814385241e-07 2.1003995096998234e-07 -1.4366736616166402e-06 -2.3674272219295327e-07 -6.593748764369547e-08 6.566688366136862e-08 8.151137746330771e-08 -1.2820635660632547e-06 -5.324788481678565e-07 1.1908885714914469e-07 -3.122434484934076e-07 -1.9916348478369484e-07 7.667132523146716e-08 -3.4641594169384693e-07 -2.4151888163276593e-07 -4.94256692593033e-07 1.095367472677186e-07 -5.144881984106866e-07 2.2758969627791995e-06 -3.3707974241780467e-06 -7.117506247165811e-07 -7.541553891323714e-06 -1.938919024449258e-06 -5.697370840727095e-06
PC.PC3 -1.28650486272506e-05 -4.4035597159390033e-07 -1.7566897163840723e-06 1.2112269871397656e-05 1.6848846027246725e-05 5.051288136635229e-06 -1.8089814737776837e-07 -1.1836467481428862e-07 5.471097355186224e-06 8.40146487650055e-08 5.17932155234746e-07 6.879770080932949e-07 1.0745698246201234e-07 -1.0218790521016621e-07 -1.286573757009218e-07 5.845444712595107e-07 5.324075494960154e-07 -4.14738863071615e-07 1.6545475454169414e-07 1.2242281228127544e-07 4.090266917209798e-08 -1.5662419139839818e-07 3.042192198104498e-07 -2.7690321354423965e-08 -5.268504216470235e-07 -2.0361852456066213e-07 1.898922815312574e-06 -6.185950331314332e-06 -1.0233300228604129e-05 1.3927320762201462e-05 1.126016804928061e-05 2.1376061652359114e-05 1.2529892755785622e-05
PC.PC4 8.185977013274807e-06 4.4312848844270653e-07 -9.046626390101048e-06 -7.906598051259e-06 -5.308699290505155e-06 -1.0355256433738476e-06 -1.9315456056251885e-07 1.3390814385241055e-07 8.401464876500638e-08 7.408250849978925e-06 9.875452347086376e-07 -5.164014009454881e-07 2.799759127570131e-07 -9.826920385935243e-08 1.963277909986603e-07 6.374560276818706e-08 -2.514986871748906e-07 -1.1720777031608515e-07 3.395707061974152e-08 -5.5770515429539756e-08 -1.820493730297813e-07 2.4093373160711903e-07 -1.9916724932655442e-07 -1.1216865928633157e-06 3.7860329350330126e-07 5.513144151500878e-07 -1.2574723209980094e-06 1.6418529584157877e-07 1.013984909531705e-06 -4.057384745896411e-07 1.4789589184543491e-05 8.941739365678567e-07 -9.877884904704175e-06
PC.PC5 -4.375647830396534e-06 8.952445760259662e-08 1.6683302590376644e-05 1.1129082089903544e-05 4.560868493385548e-06 3.603611579984711e-07 9.582929001835985e-08 2.1003995096998023e-07 5.179321552347478e-07 9.875452347086378e-07 8.2819420746636e-06 2.387926896860648e-07 4.11862372718467e-07 -3.527605666655233e-07 -1.3184501310820418e-08 5.186258086984909e-07 2.2565653393488675e-07 6.146945495301672e-07 6.872367986641532e-08 2.3368158759367197e-07 -6.107015863762744e-09 1.1469867499425947e-07 -2.0703952849056898e-10 -6.175530822624985e-08 4.823404812857433e-07 -2.5101646202678462e-08 -3.4729335256101625e-06 1.7555549029290387e-06 -1.840111922840347e-06 1.7616883124367467e-05 -2.0600864599471045e-06 1.7151597195675892e-05 1.5250738969075926e-06
PC.PC6 -1.1501070994184595e-05 -2.2239921303865484e-07 -2.812045956695611e-06 1.1059973948285214e-06 3.7831074545690143e-06 1.2115860729108275e-06 -1.410502326991109e-07 -1.4366736616166404e-06 6.879770080932941e-07 -5.164014009454887e-07 2.3879268968606344e-07 9.660724612141674e-06 3.273603967413923e-07 7.232357238843694e-08 -9.387620865380213e-07 4.1894125296932106e-07 2.705914689458559e-06 3.089034406540073e-07 6.883993932882976e-07 6.51438640440903e-07 6.405358631918709e-07 -5.99062982031342e-07 -7.128473467910095e-07 2.0504357033765449e-07 3.514916620687356e-07 -7.193795273622536e-07 -7.727759879878806e-07 3.665779096028066e-06 -1.1339363733075393e-05 1.258342658046328e-05 -4.531531380173259e-06 2.361803399779368e-05 3.3519962514936283e-06
