 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.004384354454712142 0.00013935039813973965 0.002448585231291142 0.00686884988815628 0.007886739103646906 0.0024007041966932633 3.0927837695741487e-06 1.0456095570519839e-05 -3.0248252764336487e-06 3.241324428204929e-06 -1.955852961975304e-06 -4.874248640238265e-06 1.9104239793050934e-06 -1.5614749774021983e-06 -4.7703462573899675e-06 -1.2351459540991461e-06 -6.84492381862101e-06 -3.670041684431513e-06 -1.0402679986928958e-05 6.284617212125556e-06 3.7368097843767915e-06 3.0939137974957643e-06 -1.1310985402245493e-06 3.2350569352686673e-06 4.283927082893771e-06 3.1499822046170946e-06 5.222726871619167e-06 0.0002158751489100282 0.0003832483062231747 -0.00019075498885815463 -0.0002470994893983603 -0.00018507312292197163 -0.0005161411874791071
AGE 0.0001393503981397395 7.61806318436255e-06 -1.202046249231321e-05 -3.304107405280213e-05 -3.582120303830914e-05 -1.0476070649800921e-05 6.772361179202979e-08 5.665195978883447e-07 -2.3169192596481844e-07 1.8927479720657464e-07 1.3591186387067934e-07 -2.0800130856501303e-08 -3.1033222734905805e-08 -1.3393055025645028e-07 -2.7410649222269835e-07 1.1144056594532692e-07 -1.3840223594335531e-07 -3.628627859151754e-07 -5.184809997251526e-07 3.3281037549465e-07 2.5091447220493447e-07 2.5654192230140117e-08 1.7733963540098694e-08 5.949073020962272e-09 1.2835758663176546e-09 -2.2505919178959631e-07 8.206872022980644e-07 2.571772517295081e-06 2.072973619530709e-05 -1.592820075769657e-06 -2.6703921463733585e-06 -8.636263561012999e-06 -2.808054571688394e-05
sex 0.0024485852312911213 -1.2020462492311445e-05 0.024646924313694165 0.02912664361597344 0.020605994788922624 0.004498565734536358 -7.153009749067402e-06 8.767148677405932e-06 -1.9992966368743004e-06 -5.699074928816392e-06 1.2396594549010633e-05 -3.0608332302261146e-06 1.0663773516981046e-06 9.565785633808362e-06 3.6902419589316916e-06 5.690543596620605e-06 -8.703220001113823e-07 6.164243176324669e-06 -1.1564079824471855e-06 1.0368876738227992e-05 -1.1096570914387345e-06 -1.1600820756095724e-05 2.6987549357071815e-06 -3.54208461696743e-06 1.7636725924727005e-05 8.87726154078099e-06 9.069577849803823e-06 0.00030200717724170707 0.00020520414273749783 -8.977474826511267e-05 -0.00019796708330237177 -0.00022326053154121358 -0.00019679408684213561
age_sex 0.006868849888156294 -3.304107405280003e-05 0.02912664361597372 0.06196175010493994 0.06156709616817106 0.017060100978415173 -2.1982990373373215e-06 6.862019942134185e-06 1.3655134240900851e-05 -5.130953382434073e-06 8.784617430366103e-06 6.387681470154698e-06 -3.876684143634885e-06 1.3494076397065396e-05 3.3471237349048205e-06 1.4954048139870892e-05 -4.734542303007869e-06 8.706906579289528e-06 8.392456012211228e-08 3.1443931004547227e-06 6.277343485906226e-06 1.056174447474391e-06 5.1717263101425284e-06 -8.738047025013684e-06 1.2408670842294914e-05 -4.391923043868083e-06 -4.787795037071461e-05 0.000774573823229725 0.0004400249068265847 -0.0002882067998954474 -0.0006602270042414198 -0.0004367539287827798 -0.0005012712329792032
age2_sex 0.00788673910364696 -3.582120303830728e-05 0.02060599478892306 0.061567096168171354 0.07092504558274236 0.02147044017292418 -5.082432775971713e-07 3.2300164660746746e-06 2.0187678841088094e-05 -4.8263808245928925e-06 3.924924422817823e-06 1.2387479739381464e-05 -3.9546097850836755e-06 1.1522615662657852e-05 2.8043685093102442e-06 8.380785811089872e-06 1.143348424391591e-06 7.593676361754901e-06 8.387242756096437e-07 -4.461563617390822e-06 8.03866739594094e-06 1.5181391606950676e-05 7.123540542295535e-06 -8.107299371391166e-06 5.698527118601928e-06 -7.276786243562223e-06 -2.5206118737573402e-05 0.0007767222338120907 0.0002974558300833591 -0.00021611519517762505 -0.0007774213937528184 -0.00032697010059634576 -0.00043160125460763065
age3_sex 0.002400704196693273 -1.0476070649800823e-05 0.004498565734536528 0.01706010097841528 0.021470440172924207 0.0068623549311759005 -1.1546671752509531e-07 6.673911486521173e-07 6.38164375430803e-06 -1.4041549634871473e-06 5.610193573068269e-07 4.499509086068533e-06 -7.988857596364944e-07 3.0769679545957093e-06 4.43134284297684e-07 8.630944404105806e-07 1.3703878420400799e-06 1.7707165117819881e-06 2.573130785279168e-07 -2.6051791687679365e-06 2.0841455552717212e-06 7.052841408938658e-06 2.381941459413329e-06 -2.147916323457039e-06 7.42350236055608e-07 -1.8643957319494119e-06 1.3592826870959398e-05 0.0001873780841455308 4.443338356571808e-05 -2.226119533912493e-05 -0.00024244843882267046 -5.877552793470849e-05 -0.00012134784901045806
PC.PC1 3.0927837695741513e-06 6.772361179203361e-08 -7.1530097490666145e-06 -2.198299037337571e-06 -5.082432775980595e-07 -1.1546671752542939e-07 1.8102802134215517e-06 3.057336747166608e-09 5.443319363298717e-09 -1.6497294916604766e-07 9.531802923294279e-08 -6.698739154686298e-08 -1.497731877915453e-07 1.1566769303207906e-07 3.722262272953149e-08 -1.2347810613167427e-08 4.364769861210973e-09 1.622378636526843e-07 -2.1267046792257048e-07 -8.23694392117622e-08 1.479014413833635e-07 -1.41881799140729e-07 4.457283154397484e-09 1.373464608447687e-07 4.410641948751758e-07 -2.511245616629291e-07 2.329219915549287e-08 -3.5137019395323753e-06 2.0065622712406573e-06 -1.918813305355747e-06 8.181914669024391e-06 -3.82927931858163e-06 2.057968010188379e-06
PC.PC2 1.0456095570520139e-05 5.665195978883506e-07 8.767148677406227e-06 6.8620199421351986e-06 3.2300164660758537e-06 6.673911486524759e-07 3.0573367471665527e-09 2.6617165932401883e-06 -9.302404672865674e-08 8.023066172838869e-08 1.5042451594703552e-07 -1.1101788284503528e-06 -2.190763236061651e-07 -6.758764168094857e-08 3.8568958928375276e-09 1.6905350294636547e-08 -8.572713097415537e-07 -3.5864920540606127e-07 1.4041136612692244e-07 -2.3498064547879473e-07 -1.331903964237987e-07 8.48277199672013e-09 -2.336649980195061e-07 -2.105501568289828e-07 -3.5001323387857044e-07 1.199486631369871e-07 2.5999295461368634e-07 1.114565472382726e-06 -3.1769672287349645e-06 2.238430645448762e-06 -7.981707497681216e-06 -1.551383510727598e-06 -2.388688472258039e-06
PC.PC3 -3.0248252764338478e-06 -2.3169192596481253e-07 -1.999296636874964e-06 1.3655134240898202e-05 2.0187678841085275e-05 6.3816437543072546e-06 5.443319363299188e-09 -9.302404672865654e-08 3.4181409549817854e-06 9.004427882670525e-08 3.2829513021765233e-07 4.4313273017786043e-07 5.088122536195478e-08 -6.187343614835505e-08 -6.937885916164852e-08 3.506418833998951e-07 3.3032680471314824e-07 -2.1873023273463665e-07 2.7313998931263725e-08 8.742600635500076e-08 1.4021051585741708e-08 -6.455525623464446e-08 1.8160977933896307e-07 -4.352934886890066e-08 -3.6045856678492624e-07 -1.1262641762551322e-07 1.5310905765828268e-06 -3.222805696142876e-06 -5.046567608214702e-06 5.079839162969876e-06 8.665051525816046e-06 1.2015169535170886e-05 7.788658343788178e-06
PC.PC4 3.2413244282049747e-06 1.8927479720659121e-07 -5.699074928816837e-06 -5.130953382436175e-06 -4.826380824595994e-06 -1.404154963488226e-06 -1.6497294916604676e-07 8.02306617283894e-08 9.004427882670468e-08 4.354929341731875e-06 6.038353729519804e-07 -4.120631929962672e-07 2.4925886320382244e-07 -2.1534661316711246e-08 7.898846425853058e-08 3.201276116263207e-08 -1.5385406531450401e-07 -3.60094563300949e-08 3.021521067977051e-08 3.007224995229853e-09 -1.0022308231517314e-07 1.699993071910324e-07 -1.5926422673860308e-07 -7.360283107549207e-07 2.5677932885647747e-07 3.645089066107324e-07 -1.2043306051539986e-06 -1.3709081753952956e-07 7.400025875374768e-07 -8.301805829394949e-07 1.0177512177308636e-05 5.965486193136279e-07 -6.650894014365287e-06
