"PGS","PHENO","GEN_MOD","VAR","proband","paternal","maternal","gp","gm"
"ADHD_Demontis","EA",3,"gm",-1.59707114390047e-06,-8.16963964366526e-05,-0.000868950921564212,-0.000146057562282861,0.00123385378981742
"ADHD_Demontis","COG",1,"proband",0.000855783084612431,NA,NA,NA,NA
"ADHD_Demontis","COG",2,"proband",0.00146149101006343,-0.000801302032152281,-0.000732924467772917,NA,NA
"ADHD_Demontis","COG",2,"paternal",-0.000801302032152282,0.00150784478176393,0.000470907130234893,NA,NA
"ADHD_Demontis","COG",2,"maternal",-0.000732924467772916,0.000470907130234893,0.0014224681097801,NA,NA
"ADHD_Demontis","COG",3,"proband",0.00146470382306415,-0.000833873838110978,-0.000767592809885187,3.29571320028223e-05,4.21362885014894e-05
"ADHD_Demontis","COG",3,"paternal",-0.000833873838110978,0.00286242441797209,0.000767728203008543,-0.00176851268550422,-0.000148817445109274
"ADHD_Demontis","COG",3,"maternal",-0.000767592809885188,0.000767728203008542,0.00244550428601351,-8.75503896214096e-05,-0.00140686952161938
"ADHD_Demontis","COG",3,"gp",3.29571320028233e-05,-0.00176851268550422,-8.75503896214109e-05,0.00240804972939372,-0.000236843482071818
"ADHD_Demontis","COG",3,"gm",4.21362885014902e-05,-0.000148817445109273,-0.00140686952161938,-0.000236843482071819,0.00199331974141673
"ADHD_Demontis","AFB",1,"proband",0.00143937159410863,NA,NA,NA,NA
"ADHD_Demontis","AFB",2,"proband",0.00281098179932388,-0.00152543486696132,-0.00141166385635823,NA,NA
"ADHD_Demontis","AFB",2,"paternal",-0.00152543486696132,0.00246830562136747,0.000755401935200817,NA,NA
"ADHD_Demontis","AFB",2,"maternal",-0.00141166385635823,0.000755401935200818,0.00230360373257756,NA,NA
"ADHD_Demontis","AFB",3,"proband",0.00281784757103794,-0.00152712583700113,-0.00138005906749777,6.67046934516732e-06,-4.63528189554389e-05
"ADHD_Demontis","AFB",3,"paternal",-0.00152712583700113,0.00447117615165383,0.00113581254335846,-0.00253896885617647,-0.000121777466657505
"ADHD_Demontis","AFB",3,"maternal",-0.00138005906749777,0.00113581254335846,0.00417326382626541,-2.28906008449769e-05,-0.00243344076974135
"ADHD_Demontis","AFB",3,"gp",6.67046934516833e-06,-0.00253896885617647,-2.2890600844978e-05,0.00334605111957898,-0.000462147396451324
"ADHD_Demontis","AFB",3,"gm",-4.63528189554383e-05,-0.000121777466657504,-0.00243344076974135,-0.000462147396451325,0.00324955971314318
"ADHD_Demontis","NEB",1,"proband",0.000968998371842936,NA,NA,NA,NA
"ADHD_Demontis","NEB",2,"proband",0.00208318347722456,-0.00111164208618199,-0.00110517547231918,NA,NA
"ADHD_Demontis","NEB",2,"paternal",-0.00111164208618198,0.00160850110218716,0.000613508781064281,NA,NA
"ADHD_Demontis","NEB",2,"maternal",-0.00110517547231918,0.000613508781064281,0.00158161978273661,NA,NA
"ADHD_Demontis","NEB",3,"proband",0.00209125048641781,-0.00113674380819738,-0.00113239537316864,2.162140183045e-05,2.6020108580275e-05
"ADHD_Demontis","NEB",3,"paternal",-0.00113674380819738,0.00273752263787589,0.000911232327321994,-0.00148194273904355,-0.000136009278652925
"ADHD_Demontis","NEB",3,"maternal",-0.00113239537316864,0.000911232327321995,0.00268468743343347,-3.73587495177786e-05,-0.00145601499234952
"ADHD_Demontis","NEB",3,"gp",2.162140183045e-05,-0.00148194273904355,-3.73587495177789e-05,0.00203065863077552,-0.000295717179287431
"ADHD_Demontis","NEB",3,"gm",2.60201085802759e-05,-0.000136009278652926,-0.00145601499234952,-0.000295717179287431,0.00195303718417002
"ADHD_Demontis","EVSMK",1,"proband",0.000536874925573664,NA,NA,NA,NA
"ADHD_Demontis","EVSMK",2,"proband",0.000959483034906407,-0.000517905595823502,-0.000477124814612652,NA,NA
"ADHD_Demontis","EVSMK",2,"paternal",-0.000517905595823502,0.00091330807149959,0.000282559059950898,NA,NA
"ADHD_Demontis","EVSMK",2,"maternal",-0.000477124814612652,0.000282559059950898,0.000856449255833024,NA,NA
"ADHD_Demontis","EVSMK",3,"proband",0.000959670164915928,-0.000535973647324633,-0.00047811133148348,2.46039666929709e-05,-2.56007463168452e-06
"ADHD_Demontis","EVSMK",3,"paternal",-0.000535973647324634,0.00168585401483813,0.000457288825514432,-0.0010059253856652,-7.42712784757142e-05
"ADHD_Demontis","EVSMK",3,"maternal",-0.00047811133148348,0.000457288825514432,0.00146303292015425,-5.85688188840215e-05,-0.000830093040113037
"ADHD_Demontis","EVSMK",3,"gp",2.46039666929713e-05,-0.0010059253856652,-5.85688188840223e-05,0.00136050538006533,-0.000145833979910076
"ADHD_Demontis","EVSMK",3,"gm",-2.56007463168458e-06,-7.42712784757137e-05,-0.000830093040113037,-0.000145833979910076,0.00117399910501736
"ADHD_Demontis","CPD.Max",1,"proband",0.000533393783275294,NA,NA,NA,NA
"ADHD_Demontis","CPD.Max",2,"proband",0.000964644208340197,-0.000520672153857069,-0.000479651377157974,NA,NA
"ADHD_Demontis","CPD.Max",2,"paternal",-0.000520672153857069,0.000905405714469526,0.000282456777348537,NA,NA
"ADHD_Demontis","CPD.Max",2,"maternal",-0.000479651377157974,0.000282456777348537,0.000847601676802731,NA,NA
"ADHD_Demontis","CPD.Max",3,"proband",0.00096547418720411,-0.000538667503499117,-0.000480388197305755,2.42174773206453e-05,-3.30139779509459e-06
"ADHD_Demontis","CPD.Max",3,"paternal",-0.000538667503499117,0.00166819466888496,0.000455120162636528,-0.000991941117622377,-7.16955784914709e-05
"ADHD_Demontis","CPD.Max",3,"maternal",-0.000480388197305755,0.000455120162636528,0.00144800104535094,-5.66481824718108e-05,-0.000820292895857202
"ADHD_Demontis","CPD.Max",3,"gp",2.42174773206455e-05,-0.000991941117622378,-5.6648182471811e-05,0.00134119456774318,-0.000147296708862956
"ADHD_Demontis","CPD.Max",3,"gm",-3.30139779509476e-06,-7.16955784914706e-05,-0.000820292895857202,-0.000147296708862956,0.00115975977507455
"ADHD_Demontis","CPD.Cur",1,"proband",0.000529861692850827,NA,NA,NA,NA
"ADHD_Demontis","CPD.Cur",2,"proband",0.00099536647716122,-0.000536561014758149,-0.000494808853676461,NA,NA
"ADHD_Demontis","CPD.Cur",2,"paternal",-0.000536561014758149,0.000883953555811511,0.000288994857802209,NA,NA
"ADHD_Demontis","CPD.Cur",2,"maternal",-0.000494808853676461,0.000288994857802209,0.000824347871088265,NA,NA
"ADHD_Demontis","CPD.Cur",3,"proband",0.000996062895341097,-0.000553833463327003,-0.000495048699893341,2.34270952872688e-05,-3.7942395906085e-06
"ADHD_Demontis","CPD.Cur",3,"paternal",-0.000553833463327003,0.00161203690170167,0.000453557275331068,-0.000946335603405674,-6.70565728201445e-05
"ADHD_Demontis","CPD.Cur",3,"maternal",-0.00049504869989334,0.000453557275331068,0.00139995925029393,-5.1893681075322e-05,-0.000784899061909481
"ADHD_Demontis","CPD.Cur",3,"gp",2.34270952872687e-05,-0.000946335603405673,-5.18936810753219e-05,0.00127939060298158,-0.000144441976560877
"ADHD_Demontis","CPD.Cur",3,"gm",-3.79423959060832e-06,-6.70565728201446e-05,-0.000784899061909482,-0.000144441976560877,0.00110738237327148
"ADHD_Demontis","CESD",1,"proband",0.000526163377271176,NA,NA,NA,NA
"ADHD_Demontis","CESD",2,"proband",0.0010225060341327,-0.000548631694485598,-0.000508331124420302,NA,NA
"ADHD_Demontis","CESD",2,"paternal",-0.000548631694485598,0.000859901455446938,0.000292989369184991,NA,NA
"ADHD_Demontis","CESD",2,"maternal",-0.000508331124420302,0.000292989369184991,0.000801530131808179,NA,NA
"ADHD_Demontis","CESD",3,"proband",0.00102281019093083,-0.000566433733290034,-0.000506589977537413,2.48026543015987e-05,-6.45779295019896e-06
"ADHD_Demontis","CESD",3,"paternal",-0.000566433733290034,0.00156341362195419,0.000450501637046337,-0.000907215342661631,-6.20387282504913e-05
"ADHD_Demontis","CESD",3,"maternal",-0.000506589977537414,0.000450501637046337,0.00135685415845324,-4.83679571356013e-05,-0.000751817519063906
"ADHD_Demontis","CESD",3,"gp",2.48026543015989e-05,-0.000907215342661631,-4.83679571356013e-05,0.00121895183642589,-0.000140661056734724
"ADHD_Demontis","CESD",3,"gm",-6.4577929501984e-06,-6.20387282504917e-05,-0.000751817519063906,-0.000140661056734724,0.00105577315985908
"ADHD_Demontis","MDD",1,"proband",0.000502570744842522,NA,NA,NA,NA
"ADHD_Demontis","MDD",2,"proband",0.00102499761561258,-0.000548806241137438,-0.000509491483631498,NA,NA
"ADHD_Demontis","MDD",2,"paternal",-0.000548806241137438,0.000809686025409108,0.00029060882448349,NA,NA
"ADHD_Demontis","MDD",2,"maternal",-0.000509491483631497,0.000290608824483489,0.000751704818015819,NA,NA
"ADHD_Demontis","MDD",3,"proband",0.00102491546155013,-0.000564782546808563,-0.000506921846901738,2.27277184606773e-05,-7.02458157030808e-06
"ADHD_Demontis","MDD",3,"paternal",-0.000564782546808564,0.00145555827768329,0.000435258957611479,-0.000831282507813996,-5.5362552360316e-05
"ADHD_Demontis","MDD",3,"maternal",-0.000506921846901738,0.000435258957611479,0.00126502255123821,-4.17582436424709e-05,-0.000692967419430394
"ADHD_Demontis","MDD",3,"gp",2.27277184606781e-05,-0.000831282507813996,-4.17582436424713e-05,0.00111497166784735,-0.000133900510374539
"ADHD_Demontis","MDD",3,"gm",-7.02458157030782e-06,-5.5362552360316e-05,-0.000692967419430394,-0.000133900510374539,0.000969646880476991
"ADHD_Demontis","BMI",1,"proband",0.000548643692151953,NA,NA,NA,NA
"ADHD_Demontis","BMI",2,"proband",0.000914602810607249,-0.000495264071964571,-0.000455143509768419,NA,NA
"ADHD_Demontis","BMI",2,"paternal",-0.000495264071964571,0.000986395054787301,0.00027278544061948,NA,NA
"ADHD_Demontis","BMI",2,"maternal",-0.000455143509768419,0.00027278544061948,0.000931544673900369,NA,NA
"ADHD_Demontis","BMI",3,"proband",0.000915163500700335,-0.00051450468072212,-0.000456276573603131,2.58728943501439e-05,-2.93163813982797e-06
"ADHD_Demontis","BMI",3,"paternal",-0.00051450468072212,0.00185973564374216,0.000472183034266111,-0.00113682292947364,-8.46674659718698e-05
"ADHD_Demontis","BMI",3,"maternal",-0.000456276573603131,0.000472183034266111,0.00161490016278398,-6.97173536400683e-05,-0.000938469620859383
"ADHD_Demontis","BMI",3,"gp",2.5872894350144e-05,-0.00113682292947364,-6.97173536400686e-05,0.00153557267450249,-0.00016326348821844
"ADHD_Demontis","BMI",3,"gm",-2.93163813982821e-06,-8.46674659718695e-05,-0.000938469620859383,-0.000163263488218441,0.00133172225472358
"ADHD_Demontis","DBP",1,"proband",0.00053456965610446,NA,NA,NA,NA
"ADHD_Demontis","DBP",2,"proband",0.000985481998878964,-0.000532570359914605,-0.000490263005895947,NA,NA
"ADHD_Demontis","DBP",2,"paternal",-0.000532570359914605,0.000904904274471483,0.000284153473640883,NA,NA
"ADHD_Demontis","DBP",2,"maternal",-0.000490263005895947,0.000284153473640883,0.00084399959191305,NA,NA
"ADHD_Demontis","DBP",3,"proband",0.00098663276920842,-0.000550021770710206,-0.000490080877026525,2.34126417968589e-05,-4.84554632416943e-06
"ADHD_Demontis","DBP",3,"paternal",-0.000550021770710206,0.00166707653078412,0.000458559808581966,-0.000985018799098171,-6.7751706116086e-05
"ADHD_Demontis","DBP",3,"maternal",-0.000490080877026524,0.000458559808581966,0.00145113409181567,-5.42117673608705e-05,-0.000823806767371771
"ADHD_Demontis","DBP",3,"gp",2.34126417968593e-05,-0.000985018799098171,-5.42117673608707e-05,0.00132754570059291,-0.000157062715347171
"ADHD_Demontis","DBP",3,"gm",-4.84554632416994e-06,-6.77517061160859e-05,-0.000823806767371771,-0.000157062715347171,0.0011608780837944
"ADHD_Demontis","SBP",1,"proband",0.000537124230424322,NA,NA,NA,NA
"ADHD_Demontis","SBP",2,"proband",0.000968309329271686,-0.000523954356455989,-0.000481912555058062,NA,NA
"ADHD_Demontis","SBP",2,"paternal",-0.00052395435645599,0.000924225958142845,0.000280306213182813,NA,NA
"ADHD_Demontis","SBP",2,"maternal",-0.000481912555058062,0.000280306213182813,0.000864063846351095,NA,NA
"ADHD_Demontis","SBP",3,"proband",0.000969461322938993,-0.000541795781875488,-0.00048189235596067,2.39041454559963e-05,-4.72111659850719e-06
"ADHD_Demontis","SBP",3,"paternal",-0.000541795781875488,0.00171444325101125,0.000461923921816123,-0.00102146925412611,-7.108520043394e-05
"ADHD_Demontis","SBP",3,"maternal",-0.00048189235596067,0.000461923921816123,0.00149245291174734,-5.78257949766489e-05,-0.000853643868370656
"ADHD_Demontis","SBP",3,"gp",2.3904145455996e-05,-0.00102146925412611,-5.78257949766486e-05,0.00137647414951483,-0.000161283939586595
"ADHD_Demontis","SBP",3,"gm",-4.72111659850667e-06,-7.10852004339403e-05,-0.000853643868370657,-0.000161283939586595,0.00120432513939721
"ADHD_Demontis","BG.Fast",1,"proband",0.00051467187862422,NA,NA,NA,NA
"ADHD_Demontis","BG.Fast",2,"proband",0.00102823782691925,-0.000553017521570656,-0.00051005978532873,NA,NA
"ADHD_Demontis","BG.Fast",2,"paternal",-0.000553017521570656,0.000837670256675092,0.000292809748984189,NA,NA
"ADHD_Demontis","BG.Fast",2,"maternal",-0.00051005978532873,0.000292809748984189,0.000776034676751561,NA,NA
"ADHD_Demontis","BG.Fast",3,"proband",0.00102940425667622,-0.000568329163828962,-0.000508232341503683,2.09032019507689e-05,-6.62834754560924e-06
"ADHD_Demontis","BG.Fast",3,"paternal",-0.000568329163828962,0.00151379286713115,0.000446183616777244,-0.000870622810540956,-5.97451506628415e-05
"ADHD_Demontis","BG.Fast",3,"maternal",-0.000508232341503683,0.000446183616777244,0.00131318386379607,-4.47279715082258e-05,-0.000726014909393367
"ADHD_Demontis","BG.Fast",3,"gp",2.09032019507688e-05,-0.000870622810540956,-4.47279715082256e-05,0.00116953452331904,-0.000140050533847963
"ADHD_Demontis","BG.Fast",3,"gm",-6.62834754560923e-06,-5.97451506628416e-05,-0.000726014909393367,-0.000140050533847963,0.00101782160815566
"ADHD_Demontis","BG.All",1,"proband",0.000503860074724471,NA,NA,NA,NA
"ADHD_Demontis","BG.All",2,"proband",0.00102291316675165,-0.000549737488451531,-0.000508135300097502,NA,NA
"ADHD_Demontis","BG.All",2,"paternal",-0.000549737488451531,0.000821020443284209,0.000291518675605781,NA,NA
"ADHD_Demontis","BG.All",2,"maternal",-0.000508135300097502,0.000291518675605781,0.000760230463025364,NA,NA
"ADHD_Demontis","BG.All",3,"proband",0.00102419560732194,-0.000564701201055873,-0.000507315761477208,2.01075511233467e-05,-5.19661172375675e-06
"ADHD_Demontis","BG.All",3,"paternal",-0.000564701201055873,0.0014739918863541,0.000438951168870825,-0.000843929397832706,-5.69981436004669e-05
"ADHD_Demontis","BG.All",3,"maternal",-0.000507315761477209,0.000438951168870826,0.001282826784361,-4.18803422472629e-05,-0.000706955110291615
"ADHD_Demontis","BG.All",3,"gp",2.01075511233461e-05,-0.000843929397832706,-4.18803422472621e-05,0.00113813477505692,-0.000137550153414316
"ADHD_Demontis","BG.All",3,"gm",-5.19661172375623e-06,-5.69981436004677e-05,-0.000706955110291615,-0.000137550153414315,0.000991861975409156
"ADHD_Demontis","HDL",1,"proband",0.000546998602577368,NA,NA,NA,NA
"ADHD_Demontis","HDL",2,"proband",0.000938678972566535,-0.00050692230533933,-0.000466682088571302,NA,NA
"ADHD_Demontis","HDL",2,"paternal",-0.00050692230533933,0.000958935616614285,0.000279727914777894,NA,NA
"ADHD_Demontis","HDL",2,"maternal",-0.000466682088571302,0.000279727914777894,0.000904002974570322,NA,NA
"ADHD_Demontis","HDL",3,"proband",0.000939467846223496,-0.000526127334100467,-0.000468389334116434,2.56075456037365e-05,-2.08512698323185e-06
"ADHD_Demontis","HDL",3,"paternal",-0.000526127334100468,0.00179357184354878,0.000467767312437826,-0.0010871396803708,-8.20054997388851e-05
"ADHD_Demontis","HDL",3,"maternal",-0.000468389334116434,0.000467767312437826,0.00155491746372345,-6.57657907814878e-05,-0.000893010222097645
"ADHD_Demontis","HDL",3,"gp",2.56075456037373e-05,-0.0010871396803708,-6.57657907814879e-05,0.00147041392690661,-0.00015103181603634
"ADHD_Demontis","HDL",3,"gm",-2.08512698323145e-06,-8.20054997388856e-05,-0.000893010222097645,-0.00015103181603634,0.00126659900706391
"ADHD_Demontis","LDL",1,"proband",0.00055327651312768,NA,NA,NA,NA
"ADHD_Demontis","LDL",2,"proband",0.000940027893878052,-0.000507651051684754,-0.000467238229045918,NA,NA
"ADHD_Demontis","LDL",2,"paternal",-0.000507651051684754,0.000984811898423121,0.000275560626966677,NA,NA
"ADHD_Demontis","LDL",2,"maternal",-0.000467238229045917,0.000275560626966677,0.00092805551011177,NA,NA
"ADHD_Demontis","LDL",3,"proband",0.000941071115505457,-0.000527159015895924,-0.000470286148655893,2.54109247968019e-05,-6.2194850830061e-07
"ADHD_Demontis","LDL",3,"paternal",-0.000527159015895924,0.0018512460417244,0.000477582329885297,-0.00112406915047448,-8.40179868944652e-05
"ADHD_Demontis","LDL",3,"maternal",-0.000470286148655894,0.000477582329885297,0.00162496618944883,-7.06479680831464e-05,-0.000948023747308143
"ADHD_Demontis","LDL",3,"gp",2.54109247968019e-05,-0.00112406915047448,-7.06479680831469e-05,0.00151737401224774,-0.000165201385396006
"ADHD_Demontis","LDL",3,"gm",-6.21948508300507e-07,-8.40179868944649e-05,-0.000948023747308143,-0.000165201385396007,0.00133748157158688
"ADHD_Demontis","NonHDL",1,"proband",0.000544364100697868,NA,NA,NA,NA
"ADHD_Demontis","NonHDL",2,"proband",0.000961699006002152,-0.000520120336471035,-0.000478689231558961,NA,NA
"ADHD_Demontis","NonHDL",2,"paternal",-0.000520120336471034,0.00094572690580321,0.000281918108803604,NA,NA
"ADHD_Demontis","NonHDL",2,"maternal",-0.000478689231558961,0.000281918108803604,0.000887368407865092,NA,NA
"ADHD_Demontis","NonHDL",3,"proband",0.000962754073947638,-0.00053873413813789,-0.000479228147136835,2.4913789320295e-05,-3.95595150772131e-06
"ADHD_Demontis","NonHDL",3,"paternal",-0.000538734138137889,0.00175999437340784,0.000467686667002292,-0.00105614263531792,-7.57444479977093e-05
"ADHD_Demontis","NonHDL",3,"maternal",-0.000479228147136835,0.000467686667002293,0.00152963637091433,-6.14305580914704e-05,-0.000876236031858115
"ADHD_Demontis","NonHDL",3,"gp",2.49137893202944e-05,-0.00105614263531792,-6.143055809147e-05,0.00142610800633053,-0.000159409297130041
"ADHD_Demontis","NonHDL",3,"gm",-3.95595150772096e-06,-7.57444479977096e-05,-0.000876236031858115,-0.00015940929713004,0.00123962196027449
"ADHD_Demontis","FEV1",1,"proband",0.000555128118329483,NA,NA,NA,NA
"ADHD_Demontis","FEV1",2,"proband",0.000904608264657834,-0.000489259770259084,-0.000447952391682925,NA,NA
"ADHD_Demontis","FEV1",2,"paternal",-0.000489259770259084,0.00101973916165912,0.000268678370785601,NA,NA
"ADHD_Demontis","FEV1",2,"maternal",-0.000447952391682925,0.000268678370785601,0.000962277364436672,NA,NA
"ADHD_Demontis","FEV1",3,"proband",0.000905586504583682,-0.000510792072664235,-0.000447395672170433,2.91614240887217e-05,-6.11070187047014e-06
"ADHD_Demontis","FEV1",3,"paternal",-0.000510792072664235,0.00194650781390759,0.000483746726469308,-0.00119825502192298,-9.17419621060622e-05
"ADHD_Demontis","FEV1",3,"maternal",-0.000447395672170433,0.000483746726469308,0.00169081043526122,-7.7933407593951e-05,-0.000997216825863941
"ADHD_Demontis","FEV1",3,"gp",2.91614240887219e-05,-0.00119825502192298,-7.79334075939512e-05,0.00160692315566849,-0.00016862138817062
"ADHD_Demontis","FEV1",3,"gm",-6.11070187047025e-06,-9.1741962106062e-05,-0.000997216825863941,-0.00016862138817062,0.00141090285758221
"AFB_Repo","HGT",1,"proband",0.000502952038288878,NA,NA,NA,NA
"AFB_Repo","HGT",2,"proband",0.000716295591570538,-0.000363902326722811,-0.000352829515480178,NA,NA
"AFB_Repo","HGT",2,"paternal",-0.000363902326722811,0.00104168486900874,0.000166359769703757,NA,NA
"AFB_Repo","HGT",2,"maternal",-0.000352829515480178,0.000166359769703757,0.00102906738822959,NA,NA
"AFB_Repo","HGT",3,"proband",0.000716592798627716,-0.000385315363004918,-0.000351064556404194,2.6215332469836e-05,-6.36805390589365e-06
"AFB_Repo","HGT",3,"paternal",-0.000385315363004918,0.00218078591846688,0.000374943801253673,-0.00135389437395528,-4.3178563247702e-05
"AFB_Repo","HGT",3,"maternal",-0.000351064556404194,0.000374943801253673,0.00213020927959804,-0.000117470919166508,-0.00136454989307923
"AFB_Repo","HGT",3,"gp",2.62153324698357e-05,-0.00135389437395527,-0.000117470919166508,0.00162602904835426,-0.000115223663820769
"AFB_Repo","HGT",3,"gm",-6.36805390589368e-06,-4.31785632477019e-05,-0.00136454989307923,-0.000115223663820769,0.0017339921665155
"AFB_Repo","EA",1,"proband",0.000544672628042816,NA,NA,NA,NA
"AFB_Repo","EA",2,"proband",0.000896820174853897,-0.000455463182104036,-0.000440332797833336,NA,NA
"AFB_Repo","EA",2,"paternal",-0.000455463182104036,0.000915307713690131,0.000211136241012251,NA,NA
"AFB_Repo","EA",2,"maternal",-0.000440332797833337,0.000211136241012251,0.000902569473435258,NA,NA
"AFB_Repo","EA",3,"proband",0.000898400575131257,-0.000485689314472551,-0.00043896088788745,3.59845551230365e-05,-8.29943251687531e-06
"AFB_Repo","EA",3,"paternal",-0.000485689314472551,0.00187038128943522,0.000389063027344358,-0.00111686646209417,-3.173970678147e-05
"AFB_Repo","EA",3,"maternal",-0.00043896088788745,0.000389063027344358,0.00176482141202246,-0.00010273921396567,-0.00106975916191883
"AFB_Repo","EA",3,"gp",3.59845551230363e-05,-0.00111686646209417,-0.00010273921396567,0.00132162611857191,-9.84416687300085e-05
"AFB_Repo","EA",3,"gm",-8.29943251687538e-06,-3.17397067814703e-05,-0.00106975916191883,-9.8441668730008e-05,0.00136859706841512
"AFB_Repo","COG",1,"proband",0.000905123180786496,NA,NA,NA,NA
"AFB_Repo","COG",2,"proband",0.00147377291216794,-0.000724753176131969,-0.000685180976581575,NA,NA
"AFB_Repo","COG",2,"paternal",-0.000724753176131969,0.00144739516794874,0.000317432808204347,NA,NA
"AFB_Repo","COG",2,"maternal",-0.000685180976581575,0.000317432808204347,0.00140253880480745,NA,NA
"AFB_Repo","COG",3,"proband",0.00144200368138728,-0.000772927906372491,-0.000663371780651614,7.98669655028487e-05,-2.14056712769574e-05
"AFB_Repo","COG",3,"paternal",-0.000772927906372492,0.00295496435919052,0.000516649077651492,-0.00183085053271501,6.63028529662966e-05
"AFB_Repo","COG",3,"maternal",-0.000663371780651613,0.000516649077651491,0.00265287382081515,-8.35605386571557e-05,-0.0016072854375919
"AFB_Repo","COG",3,"gp",7.98669655028502e-05,-0.00183085053271501,-8.35605386571572e-05,0.00221999574334077,-0.000293804169773207
"AFB_Repo","COG",3,"gm",-2.14056712769584e-05,6.63028529662979e-05,-0.0016072854375919,-0.000293804169773208,0.00211100532637937
"AFB_Repo","AFB",1,"proband",0.00152629037133498,NA,NA,NA,NA
"AFB_Repo","AFB",2,"proband",0.00278167085329923,-0.00139867583886187,-0.00134857471342339,NA,NA
"AFB_Repo","AFB",2,"paternal",-0.00139867583886187,0.00231832286778696,0.000650246534341518,NA,NA
"AFB_Repo","AFB",2,"maternal",-0.00134857471342339,0.000650246534341518,0.00239223811109139,NA,NA
"AFB_Repo","AFB",3,"proband",0.00279273479670445,-0.00142461986687691,-0.00126552608748045,3.61530928737002e-05,-0.000116482958845237
"AFB_Repo","AFB",3,"paternal",-0.00142461986687691,0.00449262792172193,0.00111364169144927,-0.00262356996560197,-4.88288573723973e-05
"AFB_Repo","AFB",3,"maternal",-0.00126552608748045,0.00111364169144927,0.00469710203789894,-0.0003394116636021,-0.00283528613042413
"AFB_Repo","AFB",3,"gp",3.61530928737004e-05,-0.00262356996560197,-0.000339411663602101,0.00319241707741916,-0.000221192681318602
"AFB_Repo","AFB",3,"gm",-0.000116482958845238,-4.8828857372396e-05,-0.00283528613042413,-0.000221192681318603,0.003623500355327
"AFB_Repo","NEB",1,"proband",0.001009432301113,NA,NA,NA,NA
"AFB_Repo","NEB",2,"proband",0.00200084160905542,-0.00102944218829544,-0.000967373382589662,NA,NA
"AFB_Repo","NEB",2,"paternal",-0.00102944218829544,0.00154497904594684,0.00050384134588623,NA,NA
"AFB_Repo","NEB",2,"maternal",-0.000967373382589662,0.00050384134588623,0.00147966555657406,NA,NA
"AFB_Repo","NEB",3,"proband",0.0020057521622657,-0.00108835425263019,-0.000971089726825785,7.06701787153553e-05,-1.06641730593359e-05
"AFB_Repo","NEB",3,"paternal",-0.0010883542526302,0.00280035220063449,0.000749433674496225,-0.00151059365568223,-9.97312108036472e-06
"AFB_Repo","NEB",3,"maternal",-0.000971089726825784,0.000749433674496224,0.00277100998915164,-0.000168068653926082,-0.00159474472131739
"AFB_Repo","NEB",3,"gp",7.06701787153567e-05,-0.00151059365568223,-0.000168068653926083,0.00183657676819805,-0.000152166612080518
"AFB_Repo","NEB",3,"gm",-1.06641730593371e-05,-9.97312108036387e-06,-0.00159474472131739,-0.000152166612080518,0.0020466807149438
"AFB_Repo","EVSMK",1,"proband",0.000569840460737497,NA,NA,NA,NA
"AFB_Repo","EVSMK",2,"proband",0.000989724070723316,-0.000502865982986614,-0.000488576638365362,NA,NA
"AFB_Repo","EVSMK",2,"paternal",-0.000502865982986614,0.000943352208378415,0.000234147974311587,NA,NA
