"PGS","PHENO","GEN_MOD","VAR","proband","paternal","maternal","gp","gm"
"ADHD_Demontis","HGT",1,"proband",0.000481189727743559,NA,NA,NA,NA
"ADHD_Demontis","HGT",2,"proband",0.00070369000191479,-0.000382304965283545,-0.00034956368175265,NA,NA
"ADHD_Demontis","HGT",2,"paternal",-0.000382304965283545,0.00100466122392261,0.000221403953904724,NA,NA
"ADHD_Demontis","HGT",2,"maternal",-0.00034956368175265,0.000221403953904724,0.000965938230053648,NA,NA
"ADHD_Demontis","HGT",3,"proband",0.000703863890114464,-0.000399675365044375,-0.000352292461659875,2.30416523930694e-05,8.84180743698354e-08
"ADHD_Demontis","HGT",3,"paternal",-0.000399675365044375,0.00197524047054158,0.000440934292716874,-0.00126474937977365,-9.97011608357049e-05
"ADHD_Demontis","HGT",3,"maternal",-0.000352292461659875,0.000440934292716874,0.00171621626784382,-8.29024782079016e-05,-0.00103661554752051
"ADHD_Demontis","HGT",3,"gp",2.30416523930699e-05,-0.00126474937977365,-8.29024782079016e-05,0.00170955013380341,-0.000165247959026613
"ADHD_Demontis","HGT",3,"gm",8.84180743696282e-08,-9.9701160835705e-05,-0.00103661554752051,-0.000165247959026613,0.00148060829493463
"ADHD_Demontis","EA",1,"proband",0.000526610978962176,NA,NA,NA,NA
"ADHD_Demontis","EA",2,"proband",0.000887846823032839,-0.000479739952010787,-0.000440656664164357,NA,NA
"ADHD_Demontis","EA",2,"paternal",-0.000479739952010787,0.000929870095999081,0.000264990255536188,NA,NA
"ADHD_Demontis","EA",2,"maternal",-0.000440656664164357,0.000264990255536188,0.000874871750908065,NA,NA
"ADHD_Demontis","EA",3,"proband",0.000888040530196919,-0.000497578550465603,-0.000442257136712476,2.41478161593018e-05,-1.5970711439004e-06
"ADHD_Demontis","EA",3,"paternal",-0.000497578550465603,0.00174027265482705,0.00044868667429282,-0.0010577297889973,-8.16963964366526e-05
"ADHD_Demontis","EA",3,"maternal",-0.000442257136712476,0.00044868667429282,0.00150722670845964,-6.45737036871574e-05,-0.000868950921564212
"ADHD_Demontis","EA",3,"gp",2.4147816159302e-05,-0.0010577297889973,-6.45737036871574e-05,0.00143365465689585,-0.000146057562282861
