"PGS","PHENO","GEN_MOD","VAR","BETA","SE"
"ADHD_Demontis","CESD",3,"maternal",0.0246922496526049,0.0368355013329972
"ADHD_Demontis","CESD",3,"gp",0.0511258080466887,0.034913490751082
"ADHD_Demontis","CESD",3,"gm",-0.000564807553138117,0.0324926631696924
"ADHD_Demontis","MDD",1,"proband",0.0530374860674668,0.0224180896787064
"ADHD_Demontis","MDD",2,"proband",0.0591250367893794,0.0320155839492672
"ADHD_Demontis","MDD",2,"paternal",-0.0330370866841901,0.028454982435579
"ADHD_Demontis","MDD",2,"maternal",0.0218992089638016,0.027417235783642
"ADHD_Demontis","MDD",3,"proband",0.0604144578180263,0.0320143008911663
"ADHD_Demontis","MDD",3,"paternal",-0.0772278473448029,0.038151779482526
"ADHD_Demontis","MDD",3,"maternal",0.0202340792452225,0.0355671555123292
"ADHD_Demontis","MDD",3,"gp",0.059386200639163,0.0333911914709156
"ADHD_Demontis","MDD",3,"gm",-0.00793688215402645,0.0311391534964744
"ADHD_Demontis","BMI",1,"proband",0.0406549620187897,0.0234231443694469
"ADHD_Demontis","BMI",2,"proband",-0.00708661220143017,0.0302424008737277
"ADHD_Demontis","BMI",2,"paternal",0.066925305513723,0.0314069268599668
"ADHD_Demontis","BMI",2,"maternal",0.0565981716857399,0.0305212167827623
"ADHD_Demontis","BMI",3,"proband",-0.00654354928593231,0.0302516693869997
"ADHD_Demontis","BMI",3,"paternal",0.0373607655679925,0.0431246523898125
"ADHD_Demontis","BMI",3,"maternal",0.0265327506563694,0.0401858204194462
"ADHD_Demontis","BMI",3,"gp",0.031331165126031,0.0391863837895575
"ADHD_Demontis","BMI",3,"gm",0.0365120733672022,0.0364927698965642
"ADHD_Demontis","DBP",1,"proband",0.032857939002154,0.0231207624464346
"ADHD_Demontis","DBP",2,"proband",0.0131218315957328,0.0313923875944307
"ADHD_Demontis","DBP",2,"paternal",0.000186875488250355,0.0300816268587901
"ADHD_Demontis","DBP",2,"maternal",0.0459993233608744,0.029051671069201
"ADHD_Demontis","DBP",3,"proband",0.0128622553754563,0.0314107110586249
"ADHD_Demontis","DBP",3,"paternal",0.0110729259248299,0.0408298485275677
"ADHD_Demontis","DBP",3,"maternal",0.0472695668120061,0.0380937539737904
"ADHD_Demontis","DBP",3,"gp",-0.0144187101299775,0.0364355005536209
"ADHD_Demontis","DBP",3,"gm",0.000743043402946146,0.0340716610072711
"ADHD_Demontis","SBP",1,"proband",0.0151651613810689,0.023175940766759
"ADHD_Demontis","SBP",2,"proband",0.00590802342434655,0.0311176690848091
"ADHD_Demontis","SBP",2,"paternal",-0.00338621237025,0.03040108481852
"ADHD_Demontis","SBP",2,"maternal",0.0259371938571721,0.0293949629418221
"ADHD_Demontis","SBP",3,"proband",0.00570464768142425,0.031136173864799
"ADHD_Demontis","SBP",3,"paternal",0.00271682290615845,0.0414058359535374
"ADHD_Demontis","SBP",3,"maternal",0.0206871661243322,0.0386322781071391
"ADHD_Demontis","SBP",3,"gp",-0.00987368703570659,0.0371008645386443
"ADHD_Demontis","SBP",3,"gm",0.00895806375113112,0.0347033880103545
"ADHD_Demontis","BG.Fast",1,"proband",0.0185968643250239,0.0226863809062667
"ADHD_Demontis","BG.Fast",2,"proband",-0.0146959429595387,0.0320661476781863
"ADHD_Demontis","BG.Fast",2,"paternal",0.0449928411142852,0.0289425336948079
"ADHD_Demontis","BG.Fast",2,"maternal",0.0233795953938554,0.0278573989588325
"ADHD_Demontis","BG.Fast",3,"proband",-0.0144185826876814,0.0320843303915824
"ADHD_Demontis","BG.Fast",3,"paternal",0.0308088318609515,0.0389074911441376
"ADHD_Demontis","BG.Fast",3,"maternal",0.0117124685102014,0.0362378788534328
"ADHD_Demontis","BG.Fast",3,"gp",0.0157139658679981,0.034198457908494
"ADHD_Demontis","BG.Fast",3,"gm",0.013216963804535,0.0319033165698436
"ADHD_Demontis","BG.All",1,"proband",0.0137471807909897,0.0224468277207375
"ADHD_Demontis","BG.All",2,"proband",-0.0163439805073922,0.0319830137221565
"ADHD_Demontis","BG.All",2,"paternal",0.0316089074130097,0.0286534542993373
"ADHD_Demontis","BG.All",2,"maternal",0.0294155644639227,0.0275722770736362
"ADHD_Demontis","BG.All",3,"proband",-0.016412607785791,0.0320030562184605
"ADHD_Demontis","BG.All",3,"paternal",0.0315715525719841,0.038392601974262
"ADHD_Demontis","BG.All",3,"maternal",0.0156110689123007,0.0358165713652354
"ADHD_Demontis","BG.All",3,"gp",-0.00418483860121359,0.0337362531271171
"ADHD_Demontis","BG.All",3,"gm",0.0195964649332028,0.0314938402772535
"ADHD_Demontis","HDL",1,"proband",-0.0229219006423337,0.0233880012522953
"ADHD_Demontis","HDL",2,"proband",-0.0419201651796439,0.0306378682771262
"ADHD_Demontis","HDL",2,"paternal",0.0333510007294971,0.0309666855929769
"ADHD_Demontis","HDL",2,"maternal",0.0132967847942046,0.0300666422230738
"ADHD_Demontis","HDL",3,"proband",-0.0418340485493917,0.0306507397337078
"ADHD_Demontis","HDL",3,"paternal",0.0345209946697364,0.0423505825644557
"ADHD_Demontis","HDL",3,"maternal",0.0381958147100676,0.0394324417671978
"ADHD_Demontis","HDL",3,"gp",0.00572561348996779,0.0383459766717006
"ADHD_Demontis","HDL",3,"gm",-0.0355836712187299,0.0355893102920514
"ADHD_Demontis","LDL",1,"proband",0.0379982889638145,0.0235218305649811
"ADHD_Demontis","LDL",2,"proband",0.0286266904900965,0.0306598743291301
"ADHD_Demontis","LDL",2,"paternal",-0.00196925503991322,0.0313817128025722
"ADHD_Demontis","LDL",2,"maternal",0.0269543120132195,0.0304640035141767
"ADHD_Demontis","LDL",3,"proband",0.0283917639872055,0.0306768824280672
"ADHD_Demontis","LDL",3,"paternal",0.00995743378622995,0.0430261088378254
"ADHD_Demontis","LDL",3,"maternal",0.0374641781079681,0.0403108693710373
"ADHD_Demontis","LDL",3,"gp",-0.0132405131831392,0.0389534852387786
"ADHD_Demontis","LDL",3,"gm",-0.0122435755162872,0.0365715951468743
"ADHD_Demontis","NonHDL",1,"proband",0.0475807384869389,0.0233316116181002
"ADHD_Demontis","NonHDL",2,"proband",0.0348458543788405,0.0310112722409474
"ADHD_Demontis","NonHDL",2,"paternal",0.00814241331862858,0.0307526731489022
"ADHD_Demontis","NonHDL",2,"maternal",0.0231814897106012,0.0297887295443275
"ADHD_Demontis","NonHDL",3,"proband",0.0347724715363993,0.0310282786172169
"ADHD_Demontis","NonHDL",3,"paternal",0.0153549660528381,0.0419522868674383
"ADHD_Demontis","NonHDL",3,"maternal",0.0375485358108909,0.0391105659753772
"ADHD_Demontis","NonHDL",3,"gp",-0.00555528571124201,0.0377638452270228
"ADHD_Demontis","NonHDL",3,"gm",-0.0189189853637381,0.0352082655107361
"ADHD_Demontis","FEV1",1,"proband",-0.0155725772878317,0.0235611569819795
"ADHD_Demontis","FEV1",2,"proband",-0.0303610185716272,0.0300767063465705
