 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 5.502316971077763e-07 7.482053486458374e-08 2.0541452597366827e-09 7.66697280470504e-08 1.5243287976246765e-07 -2.2254553163323752e-07 2.477382090969858e-08 -1.4639989935388612e-07 1.4762431550969377e-07 -8.910730300444529e-08 7.251676685340197e-06 -1.9202834440067788e-07 4.6887764773529917e-08 -2.313891438876282e-07 -1.3089706038642688e-07 1.6413939889507422e-07 -8.432137467482775e-08 -5.648074013536399e-08 2.362094965169119e-07 1.9314743675756924e-07 -2.610491229261985e-08 -1.1271164281823826e-06 5.976006790261819e-08 5.7345936218573885e-06 -3.518458153498035e-06
PC11 8.581610813938914e-07 -9.468744177897246e-08 -5.785633780604994e-08 2.0947181688114257e-07 1.8558003706891873e-07 -6.557120772885128e-07 -2.409483309964976e-07 5.668966682570985e-07 -4.0548459025778254e-07 -1.0235242468589765e-07 -1.9202834440067798e-07 6.913387965217714e-06 -1.0166609201912391e-07 -6.853356640490186e-08 -2.064118110275804e-07 6.354706119666622e-08 -2.5124757529001805e-08 1.7402912303005228e-07 -3.298250674512928e-08 9.599012435507047e-08 2.4249822518403916e-07 1.5986170257390162e-07 -3.3308788278065224e-06 2.32930001755745e-06 -3.663418578845431e-07
PC12 -9.320399213237905e-07 3.957770561024358e-07 -4.212163278517073e-07 3.042721647860137e-08 -5.05704044969594e-07 3.16551512273971e-07 -9.569789852442587e-08 1.2046262901901313e-07 4.341024149885172e-08 -8.268279274915513e-08 4.688776477352986e-08 -1.0166609201912391e-07 6.537096419512081e-06 1.493013488151353e-07 -4.087601530400595e-08 -2.836546951564304e-07 -1.3383222648603256e-07 5.7890392775571454e-08 -3.0158154311100796e-08 8.195894808541919e-08 -5.5670233277654654e-08 -9.376229353129758e-07 -1.3239900816388533e-06 1.4947752370897003e-06 1.236189658520925e-06
PC13 8.610435679727693e-07 -3.246033083004386e-08 2.2467777452232898e-07 -2.8336598575274634e-07 -1.5433324865471391e-07 -7.726450507085072e-07 -2.082159811775367e-07 4.0407385778355143e-07 9.134065003610082e-08 -1.078777623297396e-07 -2.313891438876282e-07 -6.853356640490205e-08 1.4930134881513513e-07 6.354975627178122e-06 -3.883116336020624e-07 4.75515436975601e-07 1.707459177342572e-07 6.934528277560396e-08 -2.1866574805160182e-07 1.266200235593022e-07 7.921694165501007e-08 -6.08339123470059e-07 -4.6167495021939216e-07 -3.499804023882473e-07 1.4537802587470402e-06
PC14 -9.351920172866959e-07 -1.6532939945436793e-07 -2.721154624567366e-07 1.289925156610069e-07 -6.334284021471712e-08 3.319968517553239e-07 -7.36954007651623e-08 -6.58483088885152e-08 -1.2054753767839505e-09 -3.1494722977223454e-07 -1.308970603864268e-07 -2.064118110275806e-07 -4.08760153040059e-08 -3.883116336020624e-07 6.859875219252585e-06 -3.698419562237264e-08 5.367056854179775e-08 -4.216130438668471e-08 1.2322620363672066e-07 1.7091710450187795e-07 -1.1257625399026106e-07 1.3270010363562647e-06 -6.835024668523932e-07 2.2344554634804014e-06 -3.3105879899446358e-06
PC15 -1.4347664625199604e-06 -3.44493313964258e-07 1.0211823967857095e-07 -1.1722326527431895e-07 -1.1382619487653222e-07 -2.8022887647135815e-08 -7.150539952581649e-08 -3.2171159595871387e-07 -6.256360799513185e-08 1.8634148471758484e-07 1.641393988950744e-07 6.35470611966662e-08 -2.8365469515643053e-07 4.7551543697560093e-07 -3.6984195622372646e-08 6.5604397463590106e-06 2.22495220095277e-07 -3.521014619620784e-07 -1.334289390320925e-07 -3.7734458675310344e-08 1.613188324336948e-07 8.971743576028338e-07 -7.105449243904344e-08 -1.4861093337163084e-06 2.3339600425337503e-06
PC16 -6.803910398300766e-07 -3.09744477526806e-07 -1.0347493627287325e-07 1.0603127030818748e-08 1.196816084924127e-07 -2.9208648156246917e-08 -4.786763612524862e-08 -2.3640021585101055e-07 1.4486199681748426e-07 2.128092649250119e-07 -8.432137467482784e-08 -2.5124757529001874e-08 -1.3383222648603264e-07 1.70745917734257e-07 5.367056854179779e-08 2.2249522009527703e-07 6.7469787065084955e-06 -1.6538149838664658e-07 5.019845870839229e-08 -2.929078581893228e-07 1.0258557460096308e-07 2.013428052098227e-07 -9.356445373366846e-07 9.60197646859722e-07 -3.5604539356375403e-07
PC17 7.133331395640248e-07 8.408939464375803e-08 6.742731231166681e-08 -1.30535164773374e-07 -5.6350151036966196e-08 4.2536342585517434e-07 2.4409288986807955e-07 -1.00129972508808e-07 4.5979090230559026e-08 1.3785014125424646e-07 -5.648074013536394e-08 1.7402912303005215e-07 5.789039277557156e-08 6.934528277560396e-08 -4.2161304386684576e-08 -3.521014619620786e-07 -1.6538149838664645e-07 6.158641990954872e-06 1.5445896720605025e-07 -1.6951529634397273e-07 1.675736421739644e-08 -7.640544393851864e-07 6.097741309544935e-07 -2.069622639264476e-06 1.3079583566826157e-06
PC18 -1.0174212842456985e-07 2.0890171695700207e-08 -2.3479206004437215e-07 -2.220327057415086e-07 -2.1983902145402013e-07 -2.209135599838034e-07 -1.8700521006217039e-07 1.1158455086668175e-07 -2.3241674139808928e-07 -3.7255028397769297e-07 2.3620949651691188e-07 -3.298250674512925e-08 -3.01581543111008e-08 -2.186657480516019e-07 1.2322620363672074e-07 -1.3342893903209245e-07 5.019845870839242e-08 1.5445896720605025e-07 6.218987629533435e-06 -5.50310666159388e-08 1.4430254898641002e-07 9.678239940990633e-07 -1.2261178703544537e-06 -1.7110331375787988e-06 -7.334623981795046e-07
PC19 1.5408814715998623e-06 8.997037414632993e-08 -2.4310736832755187e-07 2.0313602127130494e-07 -1.4758877295431433e-07 1.1254058063628815e-07 -7.133092260106816e-08 -4.38091931229701e-08 -2.011409999775401e-07 -2.1202008475066424e-07 1.9314743675756927e-07 9.599012435507048e-08 8.195894808541929e-08 1.266200235593021e-07 1.709171045018779e-07 -3.7734458675310344e-08 -2.929078581893227e-07 -1.695152963439725e-07 -5.503106661593887e-08 6.172802091370191e-06 3.445125352447218e-07 6.5552638178107135e-09 -9.857834053351714e-07 1.1769240701146285e-06 2.163177477329482e-07
PC20 6.739481910440799e-07 1.1111274260353436e-08 -1.3452789562165968e-07 7.161154485337256e-08 -5.0404846174400376e-08 -9.596483214785884e-08 -2.6504067068278774e-07 -4.040842169121965e-08 2.4461597466680015e-07 -2.4233346405107073e-07 -2.610491229262e-08 2.4249822518403895e-07 -5.56702332776546e-08 7.921694165501014e-08 -1.1257625399026088e-07 1.6131883243369478e-07 1.0258557460096317e-07 1.6757364217396557e-08 1.4430254898641002e-07 3.44512535244722e-07 5.64266333067852e-06 -5.256001895182746e-07 9.898565268505137e-07 -6.840999282195365e-06 6.622620593789841e-06
proband -5.481058506907842e-06 7.313467707700675e-07 -5.940180334201505e-07 2.739431237010811e-06 -2.417219468405486e-06 -1.7859123703160874e-06 -8.495028057160862e-07 -2.4240669901041904e-07 -1.5920254991169441e-06 -1.094363700452331e-06 -1.1271164281823834e-06 1.5986170257390308e-07 -9.376229353129762e-07 -6.083391234700593e-07 1.327001036356266e-06 8.971743576028341e-07 2.0134280520982045e-07 -7.640544393851859e-07 9.67823994099064e-07 6.555263817811666e-09 -5.256001895182722e-07 0.000458887671361171 -0.00017635202667362697 -0.0001261322448369049 -5.0123681903079244e-05
paternal -2.589612177814465e-05 1.1463132932088582e-06 -2.922394956339429e-06 4.348779832860697e-06 2.400841562509824e-06 2.0363885298116883e-06 9.894102590963213e-07 1.2877938553385491e-06 2.7596382797464233e-07 1.7587259571137822e-06 5.97600679026205e-08 -3.330878827806524e-06 -1.3239900816388516e-06 -4.6167495021939105e-07 -6.83502466852395e-07 -7.105449243904306e-08 -9.356445373366825e-07 6.097741309544922e-07 -1.2261178703544539e-06 -9.857834053351735e-07 9.898565268505097e-07 -0.00017635202667362697 0.0006735326318145719 -0.00021842057395614077 -0.00023767314698111374
gpp 3.292518096121756e-05 9.711177407367237e-07 -2.5852244931075538e-06 1.451357946537154e-06 7.026144907721142e-07 4.373315694246459e-06 3.862983786211626e-06 2.519848575221539e-06 -2.1247314059289746e-06 -1.0494129818421545e-06 5.73459362185739e-06 2.329300017557455e-06 1.4947752370896994e-06 -3.499804023882469e-07 2.2344554634803933e-06 -1.4861093337163043e-06 9.601976468597241e-07 -2.0696226392644802e-06 -1.7110331375788022e-06 1.1769240701146294e-06 -6.840999282195361e-06 -0.00012613224483690457 -0.000218420573956141 0.0021026654643615415 -0.0011797214815494042
gmp 2.6884775007596648e-06 1.7337932589864988e-06 3.928175722174343e-06 5.2819387977990996e-06 -1.710541608651881e-06 -4.4770650988473185e-06 -4.70261113062999e-06 -1.5487118932668998e-06 3.414337152504582e-06 9.671334324568944e-07 -3.5184581534980355e-06 -3.6634185788454666e-07 1.2361896585209266e-06 1.4537802587470387e-06 -3.3105879899446256e-06 2.3339600425337452e-06 -3.5604539356375594e-07 1.3079583566826191e-06 -7.334623981795028e-07 2.16317747732949e-07 6.622620593789836e-06 -5.012368190307954e-05 -0.0002376731469811136 -0.001179721481549404 0.0017745436388978562
