 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
PC10 9.792140361411162e-06 5.29688436939654e-07 -2.04769650650825e-07 1.3667572655946493e-07 6.270368413917653e-07 -2.0451778361750786e-07 -1.0955326720634801e-06 -3.379684204588391e-07 1.6483353478599993e-06 -1.962451182975554e-06 3.36219491663997e-05 -2.706538966882638e-07 1.1742148061010903e-06 -1.277049369300173e-06 -8.652694711298345e-07 3.7516773886238017e-07 -1.596017393936857e-06 1.8532195803470898e-07 3.1097594834862543e-07 8.838526249304965e-07 2.065656059671627e-10 -8.917795254573227e-06 -1.446499987909122e-05 1.0087424692631001e-05 4.972137139573656e-05 -1.1618935583009166e-05 -7.655906198313251e-06 1.1802280432167747e-05
PC11 1.3215536853888059e-05 -4.1408639482471635e-07 -1.6673929887647909e-07 -5.308023247554978e-07 9.510347535181811e-07 -2.2346292951512003e-06 -3.3075075118832395e-07 2.4975472209278352e-06 -2.9219252616592796e-06 9.853293639819647e-07 -2.7065389668826324e-07 2.803648373728474e-05 1.5615590163887454e-07 1.520412728511642e-07 -9.528179531281764e-07 2.015548555688174e-06 1.4128173655388525e-06 8.1020471633059e-07 5.56848272008726e-07 3.6529511007159325e-07 2.768250756202624e-07 6.750400676396201e-06 -2.7752502220043165e-05 5.301384213056118e-06 3.278757051050499e-05 -8.849341895261794e-06 -4.148463100617233e-05 3.4112508138482336e-05
PC12 -3.6034718710096706e-06 1.6488322197898524e-06 -4.3891703561749264e-07 3.053939756477711e-07 -3.0192406288947207e-06 5.021077415675395e-07 -2.6551355670039306e-08 1.3093950104291762e-06 -8.448264042599461e-07 -1.239021339070187e-06 1.1742148061010913e-06 1.5615590163887454e-07 2.5444512378038837e-05 9.660170116950193e-07 -7.649471893587169e-07 -1.6908734537687543e-06 -2.5144600800661565e-08 6.528052712494847e-07 2.5821290623430164e-07 2.608654676192978e-07 1.7865627272606979e-06 -7.876469442426942e-06 -6.9808918902959605e-06 9.920372783621639e-06 -7.0205667382192795e-06 5.721681579451606e-06 -2.0031293895782387e-05 1.7533034515669646e-05
PC13 4.124175806293567e-06 -4.4014452857764405e-07 2.0981716121083686e-06 -2.539526540126639e-06 -1.624618337332839e-06 -3.752973888533241e-06 -8.579646873418576e-08 1.4000468628906684e-06 7.906774959078435e-08 5.443260227160335e-07 -1.277049369300173e-06 1.5204127285116365e-07 9.660170116950184e-07 2.7915281798644596e-05 -6.345222960894174e-07 3.9365112638966905e-06 1.2972903713735345e-06 4.0001396758273716e-07 -6.794335745171634e-07 -9.030011449730102e-07 2.285302562974263e-07 1.2435186258167512e-05 -1.2290184521087716e-05 -8.19185614200121e-06 1.7108845700051153e-05 1.6336473512009073e-05 -4.84405468607671e-06 3.2510782739099306e-06
PC14 -6.33319437490507e-06 -7.397944696586206e-07 2.5634539436671473e-06 2.812585167484847e-07 5.270193326743987e-07 1.311787842236137e-06 6.931861517942001e-08 5.800703345250467e-07 1.1598372457791376e-07 -2.2359248706546585e-06 -8.652694711298354e-07 -9.528179531281767e-07 -7.649471893587176e-07 -6.345222960894176e-07 2.7687782256932398e-05 -1.104342179082535e-06 -1.0235200757541989e-06 -9.10867009733587e-07 9.913382587118953e-08 4.381075256180232e-07 -1.5854506480094836e-06 2.649710391264186e-06 5.852200357219755e-06 -1.5120542572814635e-05 1.2742212845806073e-05 -2.467088451783515e-05 3.7040092650340233e-06 1.1455836789243174e-05
PC15 -3.332655304492592e-06 -1.6993776683772942e-06 -4.353273717439414e-07 -9.368532995604576e-07 5.702370343725938e-07 -3.112803887608201e-07 1.5179186536890748e-06 -1.1272109691577528e-06 -1.2321577951379257e-06 1.6647459444235228e-06 3.751677388623794e-07 2.0155485556881737e-06 -1.690873453768755e-06 3.936511263896692e-06 -1.1043421790825361e-06 2.7446099799875532e-05 1.7707048021407355e-06 -7.2079488014711e-07 -5.504776418936945e-07 -2.294820048456987e-06 -9.045990154846588e-07 1.0348258455233398e-05 -1.9502554945669737e-05 1.50946324706199e-05 1.4782347258692464e-05 6.8579047459549955e-06 -5.918642073524159e-06 -1.371388460812321e-05
PC16 2.5149518576721107e-06 -1.8384177679606821e-06 -1.4061532860527076e-06 7.880326177070472e-07 -2.1343567194747467e-07 -5.460796438481713e-07 -7.04621119346216e-07 -1.9821023371754053e-07 -3.375767555832886e-07 6.041736247826643e-07 -1.5960173939368563e-06 1.4128173655388528e-06 -2.514460080066181e-08 1.2972903713735347e-06 -1.0235200757541993e-06 1.7707048021407357e-06 2.636151844528861e-05 -5.648609264844983e-07 2.153944885748731e-07 -2.33261726992159e-06 5.514643174825469e-07 -3.829769395668293e-06 -2.6125012863512004e-06 1.5523522006385312e-05 -1.174026495381098e-05 2.7027147375725626e-08 -1.824655665560733e-08 3.8398529998136045e-06
PC17 3.6401646882915307e-06 2.8681859484901316e-07 3.2614638360758117e-06 -1.2779444886071495e-06 3.0081072275587894e-07 2.0567434573798626e-06 4.612540412086294e-07 6.483087855868949e-08 -1.4281466896104471e-06 1.752045753438449e-06 1.853219580347086e-07 8.102047163305906e-07 6.528052712494839e-07 4.0001396758273753e-07 -9.108670097335869e-07 -7.20794880147109e-07 -5.648609264844976e-07 2.581525075799161e-05 1.2105627779445312e-06 -4.1823780621331053e-07 -1.7341129575061777e-06 7.655096396937904e-06 -2.236470868611644e-07 -7.64024489937452e-06 -5.875744641862734e-06 -6.897515852402756e-06 -1.7246193811911492e-06 -1.0091169148069208e-06
PC18 5.469888156991208e-06 -5.931187549211162e-07 1.5218485809381432e-06 -1.3348841860697571e-06 -8.088442729808238e-07 1.9858599523267342e-07 -1.1479617235795666e-06 7.4847445780474e-07 -3.133420509349094e-06 -1.0087252965670412e-06 3.1097594834862607e-07 5.568482720087251e-07 2.582129062343016e-07 -6.79433574517163e-07 9.913382587118935e-08 -5.504776418936954e-07 2.1539448857487218e-07 1.2105627779445312e-06 2.4405994016509014e-05 6.205262073542458e-07 7.158983517375805e-07 7.269669076152721e-06 -2.253688395705816e-05 -1.8405525930751516e-05 1.7915556468942753e-06 7.35392577547848e-06 4.416082425881102e-06 5.76173441647138e-06
PC19 7.518762023555721e-06 6.566998314847323e-07 -3.0523016890487934e-06 1.3320782026206787e-06 -7.691530015396514e-07 6.690880800192685e-07 -2.5637996288402726e-06 -4.733328521006001e-07 3.3201766613870014e-07 -1.5166160218849038e-06 8.838526249304971e-07 3.6529511007159405e-07 2.6086546761929776e-07 -9.030011449730112e-07 4.3810752561802294e-07 -2.294820048456986e-06 -2.33261726992159e-06 -4.182378062133103e-07 6.20526207354245e-07 2.673644067985385e-05 1.6141839476479584e-06 2.1847743738837907e-06 3.7885959713985796e-07 -8.456298469446254e-06 -1.7115117767215333e-05 2.1270992668372646e-05 -2.1990675684017978e-05 1.5521219136597058e-05
PC20 -3.58147699763333e-06 9.384619642512289e-07 -2.164653852314672e-06 1.7255555939238734e-06 -3.4399967341943996e-07 -2.1946197170880404e-07 -7.344461533032029e-07 3.471617917973339e-07 1.2304806349059915e-06 -1.8791750307932887e-06 2.0656560596856065e-10 2.7682507562026216e-07 1.7865627272606972e-06 2.2853025629742553e-07 -1.5854506480094826e-06 -9.045990154846583e-07 5.514643174825476e-07 -1.7341129575061777e-06 7.158983517375808e-07 1.614183947647959e-06 2.422950785349067e-05 -1.6808229381537524e-06 -3.100110453502244e-07 4.903315183871307e-06 -1.9055071874292328e-05 2.4220385519309657e-05 -2.356965218368112e-06 7.095950170378343e-06
proband -4.934611218590416e-05 -8.643806769187755e-06 2.6814667924533178e-05 -2.56294933575081e-06 2.084981529579504e-07 -5.413866321746462e-06 3.1372663949797193e-06 -5.715166861272878e-06 5.087252827377582e-06 6.274297051591651e-06 -8.917795254573217e-06 6.750400676396218e-06 -7.876469442426937e-06 1.2435186258167525e-05 2.6497103912641925e-06 1.0348258455233391e-05 -3.829769395668321e-06 7.655096396937899e-06 7.269669076152723e-06 2.184774373883857e-06 -1.6808229381537505e-06 0.0029383845661123146 -0.0014404167334008669 -0.001471154718749718 4.7783417195124706e-05 6.129274138740715e-05 -0.00010621831792452512 -6.169461678177124e-05
paternal -1.939403666650434e-05 1.0280568315222344e-05 -4.9872207658910344e-05 2.3933023142196207e-05 4.538826803694673e-06 8.259027984044805e-06 -2.2924559589323304e-05 1.3878614008782676e-05 -1.1949744388808673e-06 7.818542419601805e-06 -1.4464999879091239e-05 -2.7752502220043145e-05 -6.980891890295961e-06 -1.2290184521087706e-05 5.852200357219714e-06 -1.9502554945669727e-05 -2.612501286351146e-06 -2.2364708686116586e-07 -2.2536883957058164e-05 3.788595971398531e-07 -3.1001104535019777e-07 -0.0014404167334008662 0.004049705836922251 0.0007119244689938851 -0.0027069308568347635 -0.0014613049452991609 0.00012466895805717844 0.0002283297337680358
maternal -2.0765452643069733e-05 4.133348350896555e-06 -2.7845243326997706e-05 7.82069152736686e-06 -1.1863627867809646e-05 -2.8173961325664532e-05 2.2856065159358296e-05 6.432808842880475e-06 -1.877814841870539e-05 1.8513623071008464e-05 1.0087424692630977e-05 5.301384213056072e-06 9.920372783621622e-06 -8.191856142001231e-06 -1.5120542572814642e-05 1.5094632470619919e-05 1.5523522006385366e-05 -7.64024489937452e-06 -1.8405525930751543e-05 -8.456298469446346e-06 4.903315183871307e-06 -0.0014711547187497196 0.0007119244689938881 0.0046798680317641965 0.0008549944525753479 -0.0009994573234447036 -0.0032043946891399757 -0.001983759230712543
gpp 8.396999076063514e-05 2.060486320740819e-06 1.6611608553052684e-05 -1.3280493577766327e-05 -3.6144225055489124e-06 1.0316540245838292e-05 6.0954414663471284e-05 1.0972921769831348e-05 -4.932751763379822e-05 -9.148389717943946e-06 4.9721371395736546e-05 3.278757051050494e-05 -7.020566738219296e-06 1.7108845700051126e-05 1.2742212845806116e-05 1.4782347258692467e-05 -1.1740264953811005e-05 -5.875744641862731e-06 1.7915556468942493e-06 -1.7115117767215408e-05 -1.9055071874292352e-05 4.7783417195123615e-05 -0.0027069308568347596 0.0008549944525753512 0.010851227409895445 -0.004209859629988536 -0.0018425992985333472 -0.00102155506309601
gmp 8.212721871170612e-05 2.390272841775895e-06 1.478324442795202e-05 1.9826268213373443e-05 -1.2386318780529903e-05 -3.453128028546007e-05 -2.7293406711437838e-05 -1.2877259095278361e-05 3.870622096592232e-05 1.983051431014786e-05 -1.1618935583009119e-05 -8.849341895261794e-06 5.721681579451623e-06 1.633647351200908e-05 -2.467088451783514e-05 6.8579047459550015e-06 2.702714737570008e-08 -6.897515852402763e-06 7.3539257754784855e-06 2.1270992668372674e-05 2.422038551930964e-05 6.129274138740707e-05 -0.0014613049452991648 -0.0009994573234447023 -0.004209859629988529 0.007425760568939039 0.000814456021753337 0.00034458029148763387
gpm 0.00012168364962696897 3.368819800315387e-06 3.003895176717222e-05 3.931557112888861e-06 2.0328701386824318e-05 2.1613012855778834e-05 -1.5518507988921482e-05 -1.7706234714651225e-05 -1.7114317130918798e-05 -5.463522440975397e-06 -7.65590619831326e-06 -4.1484631006172286e-05 -2.0031293895782397e-05 -4.8440546860766735e-06 3.7040092650340288e-06 -5.918642073524166e-06 -1.8246556655649448e-08 -1.7246193811911208e-06 4.416082425881158e-06 -2.1990675684017944e-05 -2.3569652183681407e-06 -0.0001062183179245219 0.0001246689580571751 -0.0032043946891399822 -0.0018425992985333479 0.0008144560217533401 0.009736849340543887 -0.002385633291368548
gmm -2.9405849248410758e-05 8.361499941515251e-06 -3.208591050787457e-05 2.6877221872695828e-05 -2.3386537719809183e-05 2.566381057315464e-05 -4.612573475354684e-05 1.9610159747506097e-05 4.738059473191682e-07 -1.2961086622016246e-05 1.1802280432167794e-05 3.411250813848235e-05 1.7533034515669673e-05 3.2510782739099187e-06 1.145583678924317e-05 -1.3713884608123227e-05 3.839852999813595e-06 -1.009116914806945e-06 5.7617344164713964e-06 1.5521219136597112e-05 7.095950170378371e-06 -6.169461678177174e-05 0.00022832973376803414 -0.0019837592307125392 -0.001021555063096005 0.0003445802914876335 -0.002385633291368554 0.007226829519238214
