 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 5.315502671268517e-07 1.2909081785042648e-07 -1.4474093892250498e-07 -1.3848546635386e-09 1.0796521178334872e-07 -2.390035671190942e-07 4.3959999591022706e-08 -3.7077603787619375e-08 1.734987198492543e-07 -2.320242205276189e-08 6.4492126659937235e-06 -2.6536979168213737e-07 1.575790394802801e-07 -3.0300709060218155e-07 -8.559499323307772e-08 -1.0734161581262863e-07 -2.863161409969205e-07 1.490137229827286e-07 1.9736945828320858e-07 1.9184076141476986e-07 2.7485654089240156e-08 -6.530170280586504e-07 1.2215353697726172e-06 -2.2914680755900918e-06 2.2558906543524598e-06
PC11 8.796330056650083e-07 -7.271238802594371e-08 1.1027913242491217e-07 2.066797141335516e-07 -3.906786217293339e-08 -5.432231503538315e-07 -2.75909320440207e-07 5.596681982591763e-07 -2.522250425585776e-07 -1.9701147290215527e-07 -2.6536979168213727e-07 6.168066884002944e-06 -6.08258595390875e-08 1.2887372437760756e-08 -2.6614992993605684e-07 2.1814715048260434e-07 1.7800089698177278e-07 2.5731545162494635e-07 -5.46873524060759e-08 2.72563192807751e-07 2.6592564559177436e-07 -2.4824605188164788e-08 1.157690688836077e-06 -2.787236673759488e-06 1.8652614086144173e-06
PC12 -2.672388916581417e-07 2.965484993720093e-07 -5.176316210262087e-07 4.6575685964448226e-08 -3.4018774107009774e-07 1.6762265973091664e-07 1.1326319649184925e-07 5.091699660735704e-08 2.2243131687338004e-07 -6.427102455535498e-08 1.575790394802801e-07 -6.082585953908735e-08 5.531884381606157e-06 7.046386800662665e-09 -3.611865084546162e-08 -9.385015029083535e-08 -7.010551070265584e-08 -1.3843900116330466e-07 2.2212451760878625e-09 -8.995534940695124e-08 -1.8914454521623053e-07 -1.4224625601545738e-06 9.56031715922198e-07 7.556931597768308e-07 -7.995631620701322e-07
PC13 6.148513650809665e-07 -9.739926989830776e-08 3.534403850465754e-07 -3.6603049719370675e-07 -1.9262075404086682e-07 -5.11350768159464e-07 -2.851533222897842e-07 2.975048013663479e-07 -2.7053677241519544e-09 -1.6092153741751164e-08 -3.0300709060218144e-07 1.2887372437760798e-08 7.046386800662587e-09 5.859546668236094e-06 -2.4901865772501186e-07 4.266349535615414e-07 2.369015732431711e-07 3.1191913868317636e-08 -4.8280722708557643e-08 2.2361250532442382e-09 2.0708046870944486e-08 -3.289923901161346e-07 -8.71007110956062e-09 2.625622878050574e-06 -1.5442338606389339e-06
PC14 -3.4083934107939676e-07 -1.5133907504994404e-07 -5.026451858267503e-07 -4.15787727527192e-08 -6.084946599301343e-08 2.3380094369785858e-07 -5.636345276539188e-08 1.114347009997821e-08 2.656504470945981e-08 -3.0050548620045434e-07 -8.559499323307772e-08 -2.6614992993605684e-07 -3.6118650845461524e-08 -2.490186577250118e-07 6.216792996787995e-06 -9.50488330258886e-08 -7.553618456906434e-08 -6.043558098090912e-08 1.5362376296573412e-07 1.439635904005888e-07 -3.0078519410278463e-08 7.134278273347892e-07 1.832638755987653e-08 -1.1690014970563482e-06 -1.367297907448313e-06
PC15 -7.519766515475414e-07 -2.8845292630605e-07 1.5323413842974863e-07 3.9865151339956864e-08 -5.562546700512087e-08 6.562363231335805e-08 -3.5318340213696806e-08 -2.7903185361564735e-07 -1.8038514585410788e-07 2.0024986881260914e-07 -1.0734161581262858e-07 2.1814715048260424e-07 -9.385015029083534e-08 4.2663495356154173e-07 -9.504883302588857e-08 5.798180898335141e-06 1.889613032376267e-07 -1.7455054142480263e-07 -2.903040696790675e-08 1.1789787710257776e-07 7.384778467887878e-10 4.137873354094755e-07 1.7111309847080498e-06 6.683759266059518e-07 -2.026569416938105e-06
PC16 -5.722098607579368e-07 -2.097746104104413e-07 -1.0114083947811128e-08 6.089879050520999e-10 5.310318611841997e-08 -1.2546014970767638e-07 4.5952007946262763e-08 2.4241624140946778e-08 1.631098200385159e-07 2.9960045795403573e-07 -2.863161409969205e-07 1.7800089698177294e-07 -7.010551070265581e-08 2.3690157324317103e-07 -7.553618456906429e-08 1.8896130323762684e-07 5.771147913512871e-06 -3.6032516029423162e-09 -2.1873665291572718e-07 -2.686028352341241e-07 -1.74906702540241e-07 -4.6382242673837254e-07 8.785244719195772e-07 -1.5537615949689609e-06 2.88101543488187e-06
PC17 -1.442367396681977e-07 -2.5545512384831072e-08 3.963108031114248e-07 -1.3089096613722038e-07 1.0899365480861245e-07 3.1135719072465424e-07 2.6635082527460324e-07 1.5292751368707043e-08 1.6747885945346227e-07 2.436975879822166e-07 1.490137229827286e-07 2.573154516249462e-07 -1.384390011633048e-07 3.119191386831767e-08 -6.043558098090911e-08 -1.7455054142480247e-07 -3.6032516029424262e-09 5.5367854736413964e-06 1.4763607649638902e-07 -1.2710261890861244e-07 -4.728067108794733e-08 -7.588922701244945e-07 4.753837273153651e-08 -8.888357464972581e-07 2.756157459221346e-07
PC18 5.452824175652654e-07 -1.7990558057087668e-08 -5.220572413937727e-08 -2.965866925372439e-07 -1.7387723196210519e-07 -1.0736473270767307e-07 -1.3616339595068104e-07 3.008366558415396e-08 -1.456203143122423e-07 -2.1222478123824685e-07 1.973694582832085e-07 -5.468735240607592e-08 2.221245176087813e-09 -4.8280722708557584e-08 1.5362376296573412e-07 -2.9030406967906752e-08 -2.187366529157271e-07 1.4763607649638886e-07 5.413214770384528e-06 -4.061086283328157e-08 3.4740358477066896e-08 -4.5373644262964215e-07 -1.2718935637627956e-06 -1.2891233045545162e-06 3.5067095235494116e-06
PC19 6.226757280873554e-07 5.087063172544193e-08 -1.908393384540744e-07 1.7588671602916696e-07 -1.1585791283757858e-07 1.8985349498687538e-07 -3.845440114869155e-08 -3.886980213501144e-09 -9.967687709184522e-08 -1.9549547311101824e-07 1.9184076141476962e-07 2.7256319280775093e-07 -8.995534940695132e-08 2.236125053244355e-09 1.4396359040058896e-07 1.1789787710257779e-07 -2.6860283523412395e-07 -1.2710261890861255e-07 -4.06108628332816e-08 5.483943119958001e-06 1.5469908568625447e-07 6.998987341971734e-07 5.566324790587651e-07 -3.845833352724655e-06 5.206073074639982e-07
PC20 6.254583678058905e-08 3.801943441011936e-08 -3.037700550547846e-08 6.127700341310304e-08 -2.3954759509271073e-08 -6.655734376933069e-09 -1.850696997578524e-07 -6.564215573762206e-08 1.8000683978460305e-07 -1.9895392712983016e-07 2.748565408924015e-08 2.659256455917743e-07 -1.891445452162305e-07 2.0708046870944327e-08 -3.007851941027839e-08 7.384778467886496e-10 -1.74906702540241e-07 -4.728067108794745e-08 3.4740358477066837e-08 1.546990856862546e-07 4.993951935240297e-06 -1.0731260178424974e-10 -1.985841052448906e-06 -1.1324186168013414e-06 3.0040929496159504e-06
proband -4.219906667839197e-06 9.59923445932229e-07 -6.024519553695855e-07 3.164460220687703e-06 -1.6501608502292827e-06 -2.5132532909345787e-07 -8.545995708121913e-07 7.092364347300835e-08 6.53238981275681e-08 2.931285678970263e-07 -6.530170280586499e-07 -2.482460518816415e-08 -1.4224625601545734e-06 -3.289923901161348e-07 7.134278273347895e-07 4.137873354094753e-07 -4.638224267383746e-07 -7.588922701244936e-07 -4.537364426296416e-07 6.998987341971733e-07 -1.0731260178573148e-10 0.00041003412275245467 -0.0001439809751127369 -9.970533999817791e-05 -9.555695514365452e-05
maternal -1.0299288850882241e-06 1.527341428251988e-06 1.4819188252491577e-06 2.926767470124048e-06 -1.418237518900622e-06 -1.2162709149090557e-06 -5.727498751167274e-07 2.3829477377229036e-06 -2.551665485860811e-06 2.8471009100591885e-06 1.2215353697726168e-06 1.1576906888360756e-06 9.560317159221976e-07 -8.71007110955983e-09 1.8326387559875744e-08 1.7111309847080522e-06 8.785244719195783e-07 4.753837273153646e-08 -1.2718935637627963e-06 5.566324790587644e-07 -1.9858410524489054e-06 -0.00014398097511273688 0.0005394821104593809 -0.00021894638034076632 -9.072528741533811e-05
gpm 2.33077383434881e-05 -6.804264991042317e-07 5.221700436856673e-06 1.2258431740722006e-06 2.919518267521013e-06 -2.8774215167220256e-06 2.306804474132868e-06 -2.0213748910337563e-06 -1.877958147315338e-06 -2.084562015067569e-06 -2.291468075590092e-06 -2.7872366737594863e-06 7.556931597768288e-07 2.6256228780505713e-06 -1.1690014970563507e-06 6.683759266059505e-07 -1.5537615949689651e-06 -8.888357464972607e-07 -1.289123304554515e-06 -3.845833352724654e-06 -1.1324186168013374e-06 -9.970533999817823e-05 -0.00021894638034076645 0.0016394724225713333 -0.0009987987576423089
gmm -5.640853012499126e-06 2.4166821802280545e-06 -2.844623158666072e-06 2.7662061021559606e-06 -2.7889530101571245e-06 2.06066043049295e-06 -3.933122874157667e-06 4.077574320777559e-07 2.5336662336016096e-06 1.2466833640228678e-06 2.2558906543524594e-06 1.8652614086144162e-06 -7.995631620701332e-07 -1.544233860638932e-06 -1.367297907448312e-06 -2.0265694169381053e-06 2.8810154348818772e-06 2.756157459221355e-07 3.5067095235494086e-06 5.20607307463999e-07 3.004092949615948e-06 -9.55569551436542e-05 -9.072528741533793e-05 -0.0009987987576423095 0.0015496083274569158
