 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.007704253766583436 -8.89413789405722e-07 0.0006160573908878641 -2.4901934605273443e-05 2.904016770928204e-07 -0.002807549640227187 5.1328086873196856e-05 -0.0019385018456091882 0.0006285241517185643 0.002579434206000332 -0.0034996985256698305 -9.614078207245774e-05 0.0023689633947494085 0.0012116733244577644 -0.004635203067186918 0.0028100650279378886 -0.004914752019640079 -0.0033378271788006278 -0.0057092185550981925 -0.002958611837176293 -0.0049084744189058106 9.92415792362873e-05 0.00011162729855566464 0.0048502819667727 -0.0011041118210583397 6.91190716678332e-06 -4.262979802636637e-05 5.935211357948752e-06 8.691448081689592e-05 -1.8935592422703336e-05 -5.630702921307331e-06 -2.071490264717333e-05
yob -8.89413789419951e-07 2.3656688907360548e-06 1.097503786347184e-06 9.164611445299368e-09 -1.9901063139893945e-11 1.9740399753383855e-05 0.0003258419483671742 3.7475373036738736e-05 -0.0002481157397842131 0.00011107274849150757 -0.00026798034375549956 -5.1772863450993124e-05 -0.00016115012487004897 0.0002628995912625381 -1.154317354749652e-05 -0.00024076724946793431 0.00019138278654651214 -0.00014705795359315415 -3.140321527363824e-05 0.00011700655085315985 0.00013660465541778598 -0.00013112710976262 -7.18792952555562e-05 6.976440065826124e-05 -0.00034447316673692476 -3.7149588079477254e-07 -1.4382535719106462e-07 4.0874372726517453e-07 8.951564007762252e-07 -4.104264104381853e-07 2.3637838729690114e-07 -5.852656532316622e-07
age 0.0006160573908877522 1.0975037863492233e-06 0.00011801659254244338 -3.964313525304503e-06 3.947029234787777e-08 -0.0001345441142256976 -3.056917340607858e-05 -0.0004479184044055055 0.00025684008295477184 0.00031184311140864426 -0.0005295632696508341 -0.00044121477272899244 0.00012477775961937843 0.0009426537785271155 -6.59660198014111e-05 0.00037631512545906393 -0.00022666589787496752 0.00021032588724842382 -0.00014616503450404908 0.000948225132912636 -0.00010752942937876934 0.00016223500439853646 7.996630571111499e-05 0.0008226886005454425 5.6880773485761014e-05 -1.0769238840997566e-07 -2.1374903132115433e-06 6.799693932272634e-06 1.8053451321098313e-05 -1.3923351584476917e-05 5.209760717039158e-07 -1.4284362486178835e-05
age2 -2.4901934605270854e-05 9.16461144522652e-09 -3.964313525304712e-06 1.4042043990005436e-07 -1.4457436218424733e-09 4.1493164648301285e-06 7.709945577350435e-06 1.5680758748944945e-05 -1.383879830133964e-05 -1.821103512698474e-06 1.2111103947411755e-05 1.3505176824538827e-05 -1.3986356042475902e-05 -2.444934613374383e-05 1.249785693797211e-06 -1.6987512171335743e-05 1.3472589810233317e-05 -3.975433306365576e-06 7.3493209748333315e-06 -2.4562658897588064e-05 1.1899387561597362e-05 -7.79585168440531e-06 -9.24280430696653e-06 -3.368484698539126e-05 2.1040688063813317e-06 -1.6602989239326446e-08 7.5337123098282e-08 -2.2429271397034877e-07 -5.832667322573458e-07 4.475244677937712e-07 4.5474131031000446e-08 3.8552317454123907e-07
age3 2.9040167709280204e-07 -1.990106313917477e-11 3.9470292347881026e-08 -1.4457436218425134e-09 1.532414775155892e-11 -4.814422339861173e-08 -5.239220230421649e-08 -1.5462844457946312e-07 1.1443014731436526e-07 8.319181306837787e-09 -1.3284022567345426e-07 -1.2781174290807527e-07 1.723762499601102e-07 2.3408826642412002e-07 -2.221936063316475e-08 1.6484255390295463e-07 -1.48886934638217e-07 -1.1625994541852266e-08 -1.201344234773786e-07 1.9007667518529396e-07 -1.5033793215904904e-07 6.063252884527566e-08 1.0910450579568871e-07 3.630351726882708e-07 -9.484166878460746e-08 2.4097599538180736e-10 -9.213648651322065e-10 2.0456873138095245e-09 5.486766570837339e-09 -4.015396781197331e-09 -7.275917314460617e-10 -3.1873735060402207e-09
PC_3 -0.0028075496402269326 1.9740399753381565e-05 -0.00013454411422568222 4.1493164648293755e-06 -4.814422339860182e-08 0.5223026287291684 -0.09016426895221362 0.026143328137568485 0.06999923400202333 0.038025050597257325 0.04356055226380813 0.028315866333695254 -0.08914591638526918 -0.051185196006645395 -0.032629253474467185 0.0990680756700855 0.03365170478036812 0.15449675106555996 -0.0038309453907229033 -0.20212690410524053 -0.0604472319965897 0.006699180687834923 0.050707051547567945 -0.11876831695058598 0.17668556748320674 -5.413156630648422e-06 0.0005968324328943202 -5.6453065423254165e-05 0.0003698617632969961 -0.0006510751656562009 0.000635327086181065 0.0004504303179167281
PC_4 5.1328086871632365e-05 0.00032584194836717163 -3.0569173406310664e-05 7.709945577358818e-06 -5.2392202304301267e-08 -0.09016426895221415 1.552133298813316 -0.012350094777442068 0.3337310588175718 -0.134870062354836 -0.13863478213976957 -0.018463661741749213 0.04077046653565547 0.08307651325128945 0.10250731808455524 0.16566088718982133 -0.08425893992210572 -0.1833636552945641 0.14336303897596053 0.08161523980287555 -0.09679820641272764 0.04014386685004035 -0.08444395526803747 0.06483795272256726 0.24549173262256874 -0.0003341973914286236 -0.0011538387670140592 0.0004320795180564304 -6.909888469712653e-05 0.0012679114628640373 -0.0005593366684691166 -0.0008439546878964716
PC_5 -0.0019385018456090774 3.7475373036730604e-05 -0.0004479184044055491 1.5680758748945637e-05 -1.5462844457946588e-07 0.026143328137569154 -0.01235009477744295 2.1178913144470943 -0.10528303565348981 -0.25980933758266117 -0.22303961431400035 0.2740934939695641 -0.14139015495559856 -0.3588534071926614 -0.1499976384176756 0.010577923933491612 -0.1624003153874412 -0.10630469670826702 0.06659322271971259 -0.45083322917633 -0.1031879923615501 -0.05052581420893795 -0.047908093985092555 -0.11805129665918912 0.30292078118814725 -0.0006445381914638293 0.00041270205789031026 0.00017177210776052137 0.0005583663006080778 -0.0003924050644944368 0.0011545885212302476 -0.00024643967547398115
PC_6 0.0006285241517200397 -0.00024811573978420664 0.0002568400829550163 -1.383879830134791e-05 1.1443014731445376e-07 0.06999923400202303 0.33373105881757614 -0.10528303565348936 2.762150060207056 0.16666466618570536 0.2475781376717379 -0.14292405449004567 0.26215428605506885 0.14682050848891698 -0.1112428128984308 0.15841346200477371 0.392671882860534 -0.44804553630706606 0.11673709366709893 0.33064153366887794 -0.07859099504136828 0.022003239431561468 -0.2682553008500633 0.18609379972242893 -0.24064045084407493 0.0010395561630396671 0.0011229141299321584 -0.00027344222747459243 -0.0027564534438051136 0.00019429613938768818 -0.0007915285241075176 0.0001502901058988781
PC_7 0.0025794342059981754 0.000111072748491509 0.0003118431114083649 -1.821103512688309e-06 8.319181306731184e-09 0.03802505059725864 -0.13487006235483653 -0.2598093375826624 0.16666466618570386 3.797676310263794 -0.024360230795629722 0.41681665261609074 -0.19789529199598033 0.3697864153994452 0.2702295725683161 0.198198553134325 0.06455747326162073 -0.42920772048882666 -0.22883651821662068 0.6282277457251142 0.21299446911394998 0.0517291533089119 -0.5017631341091053 0.07539295977406056 -0.5884257086325418 -9.173304601017855e-05 -0.0005632234334903605 6.207911717354428e-05 0.00030375953099009463 0.0009867784862365506 0.0020675327348997847 -0.001441235305795191
