 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_4 -6.092412197078073e-05 8.669718744655097e-06 4.131329458126055e-05 0.00043255162666975085 -2.058904822243548e-05 -1.8243118248001823e-07 -6.107517331070401e-10 2.8548349065186353e-07 -1.1720777119484885e-09 -0.000820713143033105 0.15495915137635363 -0.003646881658414158 0.016828787124772364 -0.005133760794380099 -0.005389640378054264 -0.007250570602938771 -0.004902722908460697 -0.014297329791269785 0.0025593097675156115 0.01828231753756328 -0.02294150850046517 -0.007601095676124502 0.011979702326060625 0.005270136353984692 -0.0032840236148441886 0.003076868949659412 -0.001057558392986134 -0.009384255899679072 0.011429880000569406 -2.1502934545025626e-08 -4.942601790395787e-06 -4.3701192275311104e-05 -9.469846614327225e-05
PC_5 -4.419230763212754e-05 -4.192762406206484e-07 4.1351767189362105e-05 0.0006058781238254377 -2.2552011061628495e-05 -4.248152819380018e-07 6.626474908959876e-10 1.2768824463201425e-07 9.669094273015409e-10 0.00178852789497749 -0.0036468816584141234 0.20649593420844056 -0.002109900051306369 -0.009675601200606834 -0.007220375090269231 0.010665279135992158 -0.018856276338087574 -0.0037508045941851186 -0.01659438498807552 -0.0023144261426949995 -0.005415607350567029 -0.012791310138634732 0.01196907088347097 -0.02644264893578726 0.006573305106485388 0.00394734152823883 0.0019470875311736128 -0.012019865811953702 0.018255238965326603 -4.1940154383395665e-06 -2.8446229261665475e-07 -8.064674509773228e-08 2.0883770724541903e-05
PC_6 -7.833473474327421e-05 -1.1156268254688787e-05 -1.9327651156723363e-05 0.0003440803549458617 -1.4807839597244224e-05 3.201113643411326e-07 -2.6502660434439536e-09 2.018539833925636e-07 -7.758385177161387e-10 0.001926598586406096 0.01682878712477238 -0.0021099000513064106 0.25196263826023163 0.00831378578251329 0.0075017799464381345 -0.02175031508520977 -0.010655282162559699 0.010729131067722204 -0.019366617095284755 -0.0019615136964102548 0.008403417821715643 -0.02969290057297269 0.011822165400416626 0.020152996767094634 -0.003210802474548585 -0.001364157273142351 -0.006283232335363065 -0.004009715919538155 -0.015866008350498735 -4.337611996349871e-06 -2.322764126672735e-06 1.5860021677648846e-05 -3.454780084474159e-05
PC_7 8.07273457891451e-05 -5.63951773393526e-06 4.349377927428973e-05 -0.0001344272661161317 1.305377721571546e-05 -7.076653825333614e-07 4.291694892757556e-09 -3.034172597276756e-07 2.065032861719717e-09 -0.008607602324607734 -0.005133760794380072 -0.00967560120060676 0.008313785782513301 0.3242144652996562 0.009074958911362176 0.002602214123932397 -0.025246462646936117 0.01692061873261889 0.010788178374484193 0.024175811850568996 -0.0035609316287444283 -0.04133492118512543 -0.023701769826048474 0.0414829500467493 -0.006309446501060651 -0.007628162980859933 0.010040551390954115 0.017445336426187077 -0.02262848354770616 1.1948474315252923e-05 -2.63803476982568e-06 1.7155052400146475e-05 3.366234434184138e-05
PC_8 -8.033934662862453e-05 -3.918164495004125e-06 -1.529584867613675e-05 -0.0003194164499724269 1.2971693469222147e-05 3.287799519540998e-08 1.0122259613401003e-10 -1.5782622026668375e-07 5.562000896918424e-10 0.001532073901092132 -0.005389640378054236 -0.007220375090269217 0.007501779946438154 0.009074958911362167 0.3480898886660592 0.02583193593350614 0.009951277847944903 -0.004186249977916603 -0.000199506564829564 -0.03469492689456929 0.004022088483680834 0.034340577253474946 -0.01743932965629777 0.01169377630633253 0.021489649712938482 0.004220025863722821 -0.010826446666342589 0.004385656002314001 -0.015648385945101706 -3.4597719853430155e-05 -3.609623510276719e-05 5.64323456815368e-05 7.122039342510369e-05
PC_9 0.00011541229909856614 2.918066194376784e-06 1.6260257810838243e-05 0.0006009102745043177 -3.978819033653262e-05 -3.173568202627064e-07 2.011300933621683e-09 8.112629157299169e-07 -5.14884143849709e-09 0.005017327740830616 -0.007250570602938955 0.010665279135992047 -0.02175031508520992 0.0026022141239325077 0.02583193593350615 0.4600959889277342 0.018270045908347396 -0.006239291178647996 -0.028100014593819656 0.009575990678162664 -0.010522390203027776 0.0016561752737258059 -0.02269895920245691 -0.008088606966137736 -0.015081567681248116 -0.003455839100869929 -0.0009479784498694721 -0.005822274470562498 0.025169374779864192 -1.2854423089478544e-05 -9.821028234862686e-06 -4.483397021971046e-05 7.973225499292263e-05
PC_10 -0.00013427291521184354 -6.48188576652505e-06 -7.298749013771007e-05 -0.0008017225429845224 4.200894202924318e-05 1.0955850031353115e-06 -5.87384752632626e-09 -6.890276938916415e-07 3.6283410466642873e-09 -0.005242561475565681 -0.004902722908460579 -0.018856276338087473 -0.010655282162559626 -0.025246462646936113 0.009951277847944926 0.018270045908347264 0.5672971533488619 0.038954932028213506 -0.01409010203710435 -0.011170993246635499 0.004547099688946955 0.0373731193919356 -0.0033571018279025663 -0.01123570026578758 0.02320166129903437 0.010807992371865428 -0.014417401772040359 0.007384600937937741 -0.01707659132475806 5.6715999411625555e-05 3.896519403819691e-05 1.2503886449787154e-05 3.774037506811444e-05
PC_11 -4.588592831529343e-06 7.894876239413521e-06 1.9848581919184748e-05 -5.539226927470081e-05 1.5275266208073524e-06 -1.8391132600300782e-07 7.146892985814661e-10 -1.090759305835772e-08 1.2052863991250631e-11 -0.002946569106230188 -0.014297329791269782 -0.0037508045941851156 0.010729131067722218 0.016920618732618877 -0.0041862499779166 -0.006239291178647995 0.03895493202821347 0.5117777960181428 0.007629624674343675 0.004839713050758797 0.023782960599821355 0.04015447172592552 -0.006446435967188394 0.007919183387504742 -0.022662376439020172 -0.01355276360549884 -0.0018107896933606748 -0.005974415024001833 0.04793489475954158 4.442670631408209e-06 -8.977367461869364e-06 8.051113445516993e-05 -3.0387726752883502e-05
PC_12 -0.00014283110306206567 -6.274417566013933e-06 -4.365785662049756e-06 0.0001282135326317803 -1.153088719955174e-05 -2.403440381980332e-07 2.3406227387361958e-09 3.246766972182833e-07 -2.604249476589902e-09 -0.004134405545290814 0.002559309767515605 -0.016594384988075563 -0.019366617095284748 0.010788178374484158 -0.00019950656482959497 -0.028100014593819438 -0.014090102037104464 0.007629624674343666 0.5780094840601746 0.030027446459200635 -0.003976460359920847 -0.022861423368901426 0.015376177764253294 0.035129443607718296 0.013523729797087995 0.016302178469056034 0.021577496592525128 0.016975647799386897 0.0075265481863623935 4.840016788201679e-05 6.076133279455673e-05 -3.837756783417102e-05 -6.287845546877678e-05
PC_13 -2.1797561135580382e-05 -1.0431575761081373e-05 -5.0302281358615306e-06 -0.0003040798360588222 2.6263675809060042e-05 -1.9168879685052057e-07 1.918599560957971e-09 -4.918178403112579e-07 2.6515470836047913e-09 0.003620674855855801 0.018282317537563375 -0.0023144261426949093 -0.001961513696410198 0.024175811850568975 -0.03469492689456933 0.009575990678162644 -0.011170993246635435 0.004839713050758823 0.030027446459200736 0.6119765090006569 0.037578197184347566 -0.012464206123183509 -0.016671519995796105 0.03320764320687478 0.026332169044030077 0.006651651051311687 -0.03585924723265206 -0.01906960012063006 -0.03434296467122187 2.0511459507672886e-05 3.2290250031092914e-05 -6.907738559835867e-05 1.0004103101195127e-05
