 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
PC_11 0.15605570603140984 0.00046483094156021733 -0.0004433701713002751 0.37012567581660233 0.0013509496526669987 2.829237505613005e-05 -2.85646820137503e-07 3.4340944962777296e-06 -8.908348853250611e-07 -0.13741892486171964 -0.04672379748117551 -0.273635183248475 0.22770533161204262 0.46432113435437855 0.09244811285245909 -0.05853096066306372 0.8465717968107371 7.440434490676528 0.47505505273478843 0.6325007916599004 0.6285032452322552 0.20738994050888576 -0.12283067142236076 -0.11408052988664853 -0.3664928157441602 -0.3120356818297906 -0.12829985961790197 -0.56806949261101 0.9081810118817096 -0.0009205311656709015 0.000349280421972754 0.003506144116390856 -0.002703141869909179
PC_12 0.054701273718501246 -0.0001238324827372376 -0.0003790033544130456 0.13126271431850395 0.0004671377476631196 6.527575436403846e-06 -6.540173550343935e-08 1.8492267786867323e-06 -2.9955555627870215e-07 -0.04803986696130536 0.11774697238820592 -0.0453237663742282 -0.2327761844873493 0.06560460923780366 0.4404586592276896 -0.48927484536862154 -0.10738301356827747 0.47505505273479504 9.07519774537808 0.4486090995552058 -0.08919162754484258 -0.16847488722178328 0.26737402087523604 0.8771530000465549 0.18499025220931134 0.03790199691951972 0.24374257683290368 0.33255062045838185 0.045564845972570864 0.00035955769298104146 0.0004476975496153493 0.0006091228599205881 -0.001199850168658852
PC_13 0.014722072316265395 -0.00021504859201231278 -0.00010912239820396263 0.03636308438221419 0.00013174773306139588 1.4902824059027768e-06 -3.89728728027396e-08 6.375532554521397e-07 -8.413813344222684e-08 0.12867842559204198 0.28915956029217577 0.1932707544907226 -0.10036082522363715 -0.015258607548871022 -0.04871334774122077 0.5151168222927898 -0.05500726001374615 0.6325007916599032 0.4486090995552053 8.54126917316961 1.2697269235044466 -0.04149483543030262 0.19025768852964967 0.7297687280396696 0.33833035810362483 0.027778638954134273 -0.544095904596343 0.15203361927297412 -1.092277430409748 0.0001162678488628374 0.002283268302128859 -0.004111984998708406 0.00015586034314395123
PC_14 0.03792766118386629 0.0002636154892719048 4.8261095076929366e-05 0.09131306459672497 0.0003245830725348563 3.1661824123229144e-06 -3.137863997745631e-08 1.0984271953016428e-06 -2.1298224396821194e-07 0.029863328312253162 -0.14051362614397922 -0.24322418673007265 0.5330755942636032 -0.10922014474298623 -0.029652259087135924 -0.2284977326929354 -0.1957440091469662 0.6285032452322551 -0.08919162754484261 1.2697269235044468 8.631428039463886 0.22994856418358628 -0.027259718727122656 0.007515301855664082 0.15545352635992962 0.13040235890863902 0.12805645463519488 -0.7671478479019278 0.7010182296165601 0.0009828830332280906 -0.0023831222189637552 0.0017404186392134362 0.0003633382533781611
PC_15 0.08851868016879631 -0.00020495165089094676 -0.0008056565463340521 0.20971499178122835 0.0007838442472049616 2.330543345109786e-05 -2.3008092691049046e-07 1.811720063365685e-06 -5.018643459618802e-07 0.21693866402380982 -0.19398859572583083 0.036522100978634 -0.44065444109441004 -0.4928530029186828 0.24677836759868593 -0.017931314742786007 -0.14182086478743153 0.20738994050888682 -0.16847488722178647 -0.041494835430303856 0.22994856418358503 8.990193537275523 0.29196961416366307 0.267589950374743 0.1617061727497187 0.33280009051956166 0.3820570384579967 -0.056022886762387 -0.8570385272757362 4.604807330356406e-05 -0.0010664815820475594 -0.003751578947667575 0.003416863360365805
PC_16 0.05113575741325617 3.119518768839781e-05 0.000369158627091661 0.12526752103791905 0.00039262108278960125 -9.952177664149559e-06 4.578052063442773e-08 2.209299335624252e-06 -2.8541610014294016e-07 -0.0008302703526960548 0.24326574267216486 0.10094375656986963 0.22517468691582124 -0.42629454436316716 -0.36682906080730504 -0.40237341665897564 0.25300474918493804 -0.12283067142236292 0.26737402087523365 0.19025768852965144 -0.027259718727122094 0.29196961416366235 11.754681072116373 0.08117289677590867 0.2760380214480123 0.3015773379526894 0.33629588932681687 0.13409750159712977 0.22534601059091078 -0.0005026117964707414 0.0005776526347599307 0.0002637507703247224 -0.003964233475817815
PC_17 0.10275083544593581 0.0003602146080227803 -0.00051516212360537 0.24394282667785516 0.0009005337548252216 1.9791311712892647e-05 -1.5655249648544108e-07 2.372046100941449e-06 -5.849865438477972e-07 -0.3500025486254675 0.014054099125445977 -0.2715599737674593 0.24620475791871163 0.6329469489601447 0.41175149335876365 0.41640359578600156 0.50625636313105 -0.11408052988664767 0.8771530000465508 0.7297687280396674 0.007515301855660455 0.26758995037474476 0.08117289677591388 12.351579211680379 0.4443879895145401 -0.04562956501759317 -0.5390706133163072 -0.2772764651946919 -0.5410583973762907 -0.0013839362949526954 0.0035426460599945623 -0.0004433036426988767 -0.0023221164097008526
PC_18 0.10955697856497995 0.00020951636863798028 0.00018733081637415852 0.26269272474869315 0.0009085001609201363 3.0718075145338513e-06 -7.671731307389647e-08 3.5212017204191985e-06 -6.209430445355922e-07 -0.08539803346315851 -0.06194051568976291 -0.1964814697228552 -0.009225537073008038 0.16488529654201364 0.46196954578008914 -0.5376815974393124 0.5560713270900005 -0.3664928157441653 0.1849902522093066 0.33833035810362394 0.1554535263599273 0.16170617274971646 0.27603802144801426 0.44438798951453506 10.015015768625577 0.45102406276724033 -0.10215579027418044 -0.5226516616355164 0.6099730373106798 -0.0008980006472939568 5.0041829679436615e-05 0.0021393751761719167 -0.0011636898001988341
PC_19 0.11777363247132487 -5.0847288109104766e-05 -0.0008453902453645557 0.27843791637550985 0.0010301179201632523 2.880135794100307e-05 -2.91044646566395e-07 2.3144955900685566e-06 -6.706245119363117e-07 -0.0036350803062469043 -0.030825836332611194 0.013665358290239847 -0.08072448617613968 0.07724627961748003 -0.10854704500197046 -0.15996471328638578 0.20097953368993687 -0.312035681829791 0.03790199691951583 0.0277786389541341 0.13040235890863677 0.3328000905195604 0.3015773379526908 -0.045629565017594444 0.4510240627672423 10.37962088316857 0.14561747832741095 0.5079849294237994 0.5483535531058457 0.0028591594481522237 -0.0007687190401329087 0.0028850020900736922 -0.001850617715285014
PC_20 0.059146198158217346 -0.00017852718341959038 -0.0009051792495971901 0.13927278469058174 0.0005383483672871054 2.0183878421418134e-05 -1.665882701183414e-07 1.1320916551047604e-06 -3.332412061476057e-07 0.1169946820580425 -0.20019499029578708 -0.020970164177087223 -0.2629688380378933 -0.25190719881650064 0.3169240553717857 0.18397743909201422 0.14339008334231015 -0.128299859617895 0.24374257683290307 -0.544095904596343 0.12805645463519594 0.3820570384579977 0.3362958893268177 -0.539070613316304 -0.1021557902741766 0.14561747832741392 11.414497449235165 1.3849460852515807 0.09840358908424869 0.00010530064742061221 -0.0014417829780917798 0.0009726819785488705 -0.00029571870040914945
PC_21 -0.15237214787120262 0.0001229361293902122 0.00038060928736594263 -0.3644633712178304 -0.0012701881844489073 -1.9749768428016527e-05 2.625807016763108e-07 -3.606834682386197e-06 8.6862406549863e-07 -0.09106359363412798 -0.09920459801365406 -0.21608565477402553 0.2645112178692233 0.318081723758555 0.39288391068829864 -0.1569897121251987 -0.35837685997390445 -0.5680694926110087 0.33255062045838846 0.15203361927297532 -0.767147847901925 -0.056022886762384906 0.13409750159712994 -0.2772764651946872 -0.5226516616355162 0.5079849294238008 1.3849460852515865 13.173396913602778 0.3962419912740293 -0.00011716811240242756 -0.00047169606897662993 -0.0008370967229324809 0.0016241833646840295
PC_22 -0.0059499345015359304 -0.00041125670872500027 0.00027392391317147954 -0.012664635718236677 -7.32879790933543e-05 -6.2231791786996954e-06 -1.4866132649571882e-08 -6.737292853623419e-07 2.984127554838392e-08 0.34647360532195837 0.28741879272146076 0.3972370404927622 -0.3355899558553048 -0.7472328790508476 -0.5166597995727004 0.38897174459050954 -0.4962953200967444 0.9081810118817035 0.04556484597256991 -1.0922774304097491 0.7010182296165586 -0.8570385272757374 0.2253460105909078 -0.541058397376294 0.6099730373106768 0.5483535531058426 0.09840358908424772 0.3962419912740333 11.992995160117221 -0.0007221353695989703 -0.0005866993248087527 -0.0016508491076388672 0.0019188617595065434
proband -0.00022597543472220493 1.5436149142958316e-07 1.254642413754317e-06 -0.0005352754068762668 -1.992064114996393e-06 -6.768972101250098e-08 7.39690328527038e-10 -3.859312516485505e-09 1.3098772751450689e-09 -6.373472197046452e-05 -0.0006559296604699624 0.00016706878749321642 -0.0003416192781871804 0.0002165028313943592 -2.4593858728064907e-05 -0.000497875119939859 0.0005448088200472582 -0.0009205311656709299 0.0003595576929811252 0.00011626784886305236 0.0009828830332281047 4.6048073303541694e-05 -0.0005026117964707509 -0.0013839362949521511 -0.0008980006472939135 0.0028591594481523126 0.0001053006474205827 -0.00011716811240236191 -0.000722135369599033 0.00024775360216612255 -0.00011512029429028945 7.082434325091284e-06 -1.6511691758279102e-05
paternal -0.0007946976510551273 1.112661945832029e-06 9.697623479953037e-06 -0.0018713613642355276 -6.823094022550341e-06 -2.4341928889646034e-07 2.071241641735207e-09 -1.1221969060258304e-08 4.532858362590987e-09 -0.0003969576900804741 0.0006988136572600666 -0.0013358414943305673 0.0005431287048971783 0.0007455152819437951 0.0019330761965736987 0.00033003594039744417 0.001899401391327925 0.00034928042197209696 0.0004476975496153242 0.0022832683021293903 -0.002383122218963607 -0.00106648158204735 0.0005776526347605416 0.003542646059994941 5.0041829679502785e-05 -0.000768719040132651 -0.0014417829780918106 -0.000471696068976699 -0.0005866993248087302 -0.00011512029429028959 0.0013376557431286334 -0.0010793063929810187 -0.0010337575903385963
gpp -0.0014140702272192355 -1.3024589417078555e-06 9.119418667576912e-06 -0.0033442813508568025 -1.2402550885440852e-05 -3.524335728304647e-07 3.2762420759327575e-09 -3.056394955295649e-08 8.042005039654815e-09 0.0010552013495884805 -0.0005081206662654301 0.001351694244585645 -0.0010095810185438098 -0.0018315951103455145 -0.0039746439743556785 0.002406759647762795 -0.0036404178147507226 0.0035061441163912617 0.000609122859920699 -0.004111984998709163 0.0017404186392126532 -0.003751578947667908 0.00026375077032602745 -0.00044330364269903893 0.0021393751761719375 0.002885002090073726 0.000972681978549042 -0.0008370967229322723 -0.0016508491076387486 7.0824343250916405e-06 -0.0010793063929810144 0.002988595107818759 -0.0008973181564749724
gmp 0.001956522072462015 -8.051699409622265e-07 -2.2991615368195298e-05 0.004591212880413386 1.7276588756416418e-05 6.872936618186409e-07 -5.982011033634151e-09 2.484185236468096e-08 -1.1162682718876763e-08 0.00082622682352901 -0.0008314915574851482 0.0014763327449599521 0.00034931004988600605 0.0011002614745288103 0.0003149986866643538 -0.0011693939411683552 0.001174120562911303 -0.0027031418699093365 -0.0011998501686587867 0.00015586034314337956 0.0003633382533775205 0.0034168633603658184 -0.003964233475816451 -0.002322116409700643 -0.0011636898001987218 -0.0018506177152852947 -0.00029571870040922724 0.0016241833646842307 0.0019188617595063714 -1.6511691758279265e-05 -0.0010337575903386 -0.0008973181564749653 0.0029436111631875686
