(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.00265203924745515 0.00130829390277951 -0.000660386626858939 0.0015405255581251 0.00010371208026651 6.30723431480759e-05 -0.00023982309957991 -2.17057366249624e-05 1.66018858076886e-05 -5.62688083206544e-05
covarage 0.00130829390277951 0.00308633282824862 0.00319776973243647 -0.00495503217473773 -3.05946145945885e-06 9.73711370595154e-05 -2.76317282786218e-05 1.280350877258e-05 0.000178991567395235 -0.000158790805845475
covarsex -0.000660386626858939 0.00319776973243647 0.0083050740774732 -0.0120681346721714 -1.06619143869895e-05 7.51334374528798e-05 -4.44599244902305e-05 1.00111044149932e-05 7.5959136224644e-05 -2.08088637199829e-05
covarage_sex 0.0015405255581251 -0.00495503217473773 -0.0120681346721714 0.0194709117989868 2.17624538192803e-05 -4.0785661394022e-05 7.03290029239928e-06 1.70049994732179e-06 -0.000123601455584546 2.50290859890896e-05
covarPC_3 0.00010371208026651 -3.05946145945885e-06 -1.06619143869895e-05 2.17624538192803e-05 0.000923046083173223 1.71088109713382e-06 2.06927449909052e-05 -7.25529963181871e-06 2.47971660838736e-05 5.85972674808577e-05
covarPC_4 6.30723431480759e-05 9.73711370595154e-05 7.51334374528798e-05 -4.0785661394022e-05 1.71088109713382e-06 0.0010096903465831 -1.70855353826833e-05 1.31899507587761e-05 -2.67639408619492e-05 -3.57867187635309e-05
proband -0.00023982309957991 -2.76317282786218e-05 -4.44599244902305e-05 7.03290029239928e-06 2.06927449909052e-05 -1.70855353826833e-05 0.00113428118697557 -0.000559598059714065 -1.03358036379272e-05 -1.48936213068106e-05
maternal -2.17057366249624e-05 1.280350877258e-05 1.00111044149932e-05 1.70049994732179e-06 -7.25529963181871e-06 1.31899507587761e-05 -0.000559598059714065 0.00564248645681471 -0.00443429338603154 -0.00447656976779687
gmm 1.66018858076886e-05 0.000178991567395235 7.5959136224644e-05 -0.000123601455584546 2.47971660838736e-05 -2.67639408619492e-05 -1.03358036379272e-05 -0.00443429338603154 0.0122648612891379 -0.00365074764774571
gpm -5.62688083206544e-05 -0.000158790805845475 -2.08088637199829e-05 2.50290859890896e-05 5.85972674808577e-05 -3.57867187635309e-05 -1.48936213068106e-05 -0.00447656976779687 -0.00365074764774571 0.0125360093887302
