 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.02022430408421999 2.7647846174211894e-06 -0.028726682038527813 0.0005011986637628473 -2.8681234323016826e-06 -0.005738961674015244 0.00657185044056423 0.0008717788571832807 -0.007404718046157062 0.01705915114224074 -0.0005139256716410025 0.005588453261342244 0.0002461467546657711 0.004532819023389329 -0.01868250525113679 0.0008360801093372078 -0.004611756620294595 -0.005273627276124427 0.004021443937707795 -0.012646058722838985 -0.00019764168158030478 0.011984343335782799 -0.008824164613216737 -0.0020324492625790765 0.002558938230767867 -3.651304355201116e-05 0.00013602228209867707 -0.0006977890336146322 0.000541785655804051
yob 2.764784617403801e-06 5.734313649651582e-06 -1.7286734279389065e-05 3.634689787023967e-07 -1.9357313779171078e-09 0.00021653971645017056 0.0002944248978378124 0.0001256500238261326 -0.0007268092342830138 3.227302128973451e-05 -0.00013442736723283583 0.0001173369634366087 -0.00032459760211925505 0.0006556252877389638 -7.588908653600124e-07 -0.000364738214483217 0.0007419795233289274 -0.0009078758796563782 0.00014054083762411585 0.0004582014216676899 0.0005190781426480892 8.732466166808522e-05 0.00017723241510156205 0.00016154112132058418 -0.0009738643085324059 -6.000353462572986e-07 -3.151884751453364e-07 -1.6248878989090723e-05 1.7079804929592455e-05
age -0.028726682038537038 -1.72867342794203e-05 0.06110310655625639 -0.0011230956091519489 6.802007128354855e-06 0.003795707500374404 -0.004270370303289262 -0.004498044147575493 0.015416103120406836 -0.008904244877145919 -0.0072805704911075506 -0.0078032400075748005 -0.0031509574819319664 -0.00642703120941564 0.02003892279562171 -0.001281787904959523 -0.010511098979938308 0.006160379525659013 -0.00222627482723755 0.011577581906198378 -0.011182174575751075 -0.013884592469914806 0.008145854030731562 0.002923529462955509 -0.002761898014280191 5.192835586545524e-05 -0.00010645771175100094 0.0003878160053163212 -0.0003025810910971858
age2 0.0005011986637630385 3.6346897870382166e-07 -0.0011230956091519888 2.0757811471116605e-05 -1.264146688716509e-07 -5.9524461951253205e-05 7.244332397244037e-05 9.100055712864677e-05 -0.00028632447631135154 0.00012843103822340066 0.0001392265722993122 0.00012886762353079504 5.753230785833743e-05 0.00010893672440205137 -0.0003377473405825888 2.2305419710810178e-05 0.00023356679520396276 -0.00011476271218006447 2.8836673106483708e-05 -0.00019078275454461347 0.00023228098149450106 0.00023012891111335283 -0.00013331801169052003 -3.989959452513842e-05 5.871400668739356e-05 -9.797491255374025e-07 1.5721278947464555e-06 -4.836530190097379e-06 3.9493726311729245e-06
age3 -2.868123432302941e-06 -1.9357313779220936e-09 6.802007128355343e-06 -1.2641466887165548e-07 7.741930690024951e-10 3.11711199236842e-07 -3.594059093769138e-07 -5.920920086839266e-07 1.679824742155895e-06 -5.447149714284181e-07 -8.92143858247526e-07 -7.192121411505386e-07 -3.7061680845072347e-07 -5.404890994501675e-07 1.8593234181754118e-06 -1.5437245463102544e-07 -1.60040725041323e-06 6.190120685437487e-07 -7.33282741912938e-08 1.055782089889394e-06 -1.5005463264471743e-06 -1.2316401811470303e-06 7.322476087129295e-07 2.2236843835151483e-07 -4.703009370262402e-07 5.8775818513741725e-09 -7.271557068011399e-09 1.5961448218354543e-08 -1.41537214458264e-08
PC_3 -0.005738961674014732 0.00021653971645016893 0.003795707500372253 -5.952446195121097e-05 3.117111992365714e-07 0.6551521643359037 -0.005327299918041411 -0.01542666608308436 -0.13387795410873504 0.005994360377841093 0.1378754789511059 -0.03266611096391309 -0.19735741328233866 -0.04378781745804266 -0.08158289272822203 0.09313571712806586 0.10339271796772541 0.08728182446757017 -0.08745747936955765 -0.3273565786617547 -0.030675658937259265 -0.018950124864115396 0.1430952446614098 -0.06581407560180219 0.1534935445995633 0.00041161102587729275 -0.0007944409962068577 0.0014604474699638102 0.0007248482004319737
PC_4 0.006571850440563627 0.00029442489783781744 -0.004270370303286192 7.244332397238234e-05 -3.594059093765346e-07 -0.005327299918042115 2.348014023944121 0.16296357877510054 0.20590442716040003 0.29563847567234847 -0.060048539283267796 -0.2311353802908992 0.10849726656203958 -0.31818415681674556 0.005438888967575005 0.2575800259696728 -0.06506487620861788 -0.18894197095214302 0.298472997063534 0.07059763463174087 -0.23420272164083797 0.04188705110930793 -0.21263983425932367 0.0678184780214024 0.3762183794981868 -0.0013564413834928973 0.0009389602269860423 -0.0036256977223161732 0.00191520696161832
PC_5 0.0008717788571845022 0.00012565002382613268 -0.004498044147576449 9.100055712866063e-05 -5.920920086839842e-07 -0.01542666608308431 0.16296357877510323 2.801613305983018 0.033019576920375535 0.09353894197886213 -0.21976513666299224 -0.06389066928614058 -0.36421555234908315 0.060457340942586466 -0.5013098773867505 -0.12987905584066278 0.0004114814575891098 0.021550120461079073 0.13214357680020475 -0.3514639649373103 -0.3701947927792522 -0.18901130379259054 -0.04018583707995366 -0.08879107035695485 0.19457642101157674 -0.00029063185578283887 0.002345316590714244 0.006897341238253487 -0.010775118352767657
PC_6 -0.007404718046156302 -0.0007268092342830153 0.015416103120399625 -0.0002863244763112079 1.6798247421549566e-06 -0.1338779541087356 0.20590442716039908 0.033019576920372426 4.127051578004193 0.14552550898033406 -0.4799202032720769 0.4405913335594882 -0.10538057401525124 0.17253186521574318 0.02494766746259063 -0.018121822690204153 0.13650401952492788 -0.5814148667004271 0.1645276838626731 0.4952565972123627 -0.026305247515182373 0.08733503955731847 -0.33174830645683123 -0.030698190617105388 0.08159526984463479 -0.00031401696753433083 0.0016312784290651876 -0.014551640474896396 0.01194499539754534
PC_7 0.017059151142236873 3.227302128973197e-05 -0.00890424487713489 0.00012843103822319238 -5.447149714271215e-07 0.005994360377840839 0.29563847567234675 0.09353894197886405 0.14552550898033567 5.318039980533523 -0.13729895902631428 0.06702006762042188 -0.4073976435397022 0.2167885485695919 0.8256663019160829 0.19034532125499287 0.43977561665293885 -0.5825257813861373 -0.08602105254718663 0.6242585256345471 -0.33236266057099995 -0.34384668156771225 -0.12312085650998811 0.23934453677731513 -0.3237985437232892 -0.00019769418735340842 -0.0018413902726629981 -0.002786355559076927 0.006649423009905795
