(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.00375669832884473 0.00029861585360648 -0.000573795327838188 8.28579675539906e-05 0.000121043172140039 -2.40907099130704e-05 -1.31385773349235e-05 7.30230698454647e-05 -9.57554974866237e-05 -0.000154365512513503
covarage 0.00029861585360648 0.00185070806414474 0.00246603942880509 -0.00288663314766132 -5.25575654646095e-06 4.21142998988366e-05 -2.50520899179542e-06 4.11264821409301e-06 -1.36257953036753e-05 1.3401069676718e-06
covarsex -0.000573795327838188 0.00246603942880509 0.00508348384925124 -0.00528334199017181 -2.94975759333581e-05 1.46469899788093e-05 1.27150261061943e-05 4.69663845998216e-06 -2.73486409815254e-05 1.81219745316293e-05
covarage_sex 8.28579675539906e-05 -0.00288663314766132 -0.00528334199017181 0.00612753158707278 2.73441163717354e-05 -1.04874659002887e-05 -1.47371242456008e-05 -7.96755127367944e-06 3.62647317247644e-05 -7.11486746490839e-06
covarPC_3 0.000121043172140039 -5.25575654646095e-06 -2.94975759333581e-05 2.73441163717354e-05 0.000409462886631947 1.194048021096e-05 -5.12328217429277e-07 5.22288580096859e-06 1.23972004208351e-05 1.43433224275012e-05
covarPC_4 -2.40907099130704e-05 4.21142998988366e-05 1.46469899788093e-05 -1.04874659002887e-05 1.194048021096e-05 0.000422470893534055 5.99728928127216e-07 1.79692466152993e-06 -2.11059902964336e-05 -1.41300662005761e-05
proband -1.31385773349235e-05 -2.50520899179542e-06 1.27150261061943e-05 -1.47371242456008e-05 -5.12328217429277e-07 5.99728928127216e-07 0.00118702420297505 0.000575801358394814 -0.00113095221843378 -0.00107794381634456
sibling 7.30230698454647e-05 4.11264821409301e-06 4.69663845998216e-06 -7.96755127367944e-06 5.22288580096859e-06 1.79692466152993e-06 0.000575801358394814 0.00139275059314673 -0.00126334891540354 -0.00120981421365316
paternal -9.57554974866237e-05 -1.36257953036753e-05 -2.73486409815254e-05 3.62647317247644e-05 1.23972004208351e-05 -2.11059902964336e-05 -0.00113095221843378 -0.00126334891540354 0.00320324713300165 0.000352741920645244
maternal -0.000154365512513503 1.3401069676718e-06 1.81219745316293e-05 -7.11486746490839e-06 1.43433224275012e-05 -1.41300662005761e-05 -0.00107794381634456 -0.00120981421365316 0.000352741920645244 0.00302197142882007
