 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
PC_4 0.0007087148716668903 0.00023827583667406676 0.0003949180954683291 0.0027083582955680875 -0.00037051801984176047 -9.182294023863451e-06 1.0767611788507811e-07 1.3457009091200223e-05 -1.3545304815116566e-07 -0.061916678038068426 1.0687833757795688 -0.02352181720154181 0.23196091968385088 -0.09101760440271735 -0.0865385095581398 -0.01640336371558468 0.014990302293545364 0.04322077220743682 0.08292816986547202 0.1350212790518534 -0.04291213972529965 -0.12471560895640707 0.10565897743787894 0.054683742165370836 -0.051179659056141795 0.00927744555481596 -0.05984715828441045 0.02718679742999507 0.16207044109297056 -0.00013643111578570653 -0.0005567412649174092 0.0002597731063286611 7.053485791091489e-05 0.0004128390734944571 -0.0006256267657044212 -0.00044624898204118784
PC_5 0.0002671751390006659 1.8969473129802722e-05 0.000167674923882257 0.002901469351951063 -0.00043670561882563767 -7.622835290899038e-06 8.982686867283739e-08 1.6696035094371505e-05 -1.7881408850147138e-07 0.024848687824482223 -0.02352181720154117 1.4662547214486565 -0.08124821115770688 -0.20407162914180937 -0.1759261976992732 0.20587339548602487 -0.07985380982675525 -0.22544395434719183 -0.06119830458736445 0.04894846919437674 -0.12160164581934096 -0.05781238059882799 0.06451540759779308 -0.2779901648232062 -0.07951698067232352 -0.010958885683647763 -0.006281063749687855 -0.07958797898251205 0.22715179791731038 -0.0002452548724737319 -4.480571786170445e-05 -5.155257859806772e-05 0.00044219120148309565 0.00018990998080057768 0.0008689724402310904 -0.00021908433695877927
PC_6 -0.0007816101305825179 -0.0001531201215009123 -4.425938176100383e-05 -0.001091239330456371 0.00018523158363763676 -6.09520351860811e-07 -1.94306776619052e-08 -7.5489484674625406e-06 8.614722761818163e-08 0.05581435716996505 0.23196091968384916 -0.0812482111577072 1.9000620920201226 0.11230250170933 0.2059385392143171 -0.15162483937400342 0.17254346622759187 0.10123475041104991 -0.05082744579363252 0.07994237453201472 0.29208120572972496 -0.2648390181172018 0.0984312119299531 0.24094677644250337 -0.015790598556789062 -0.0009593396252758848 -0.1535475879807089 0.1754335053046469 -0.17591131025668905 0.00033728082895698056 0.0007056485991402061 2.5170227088440747e-06 -0.001417098138035328 -0.00016112993401907463 -0.0006925685144472994 0.0001856385447012165
PC_7 -0.0003486014728615468 5.2437731378859574e-05 -0.00054112858245689 -0.006114397948958134 0.0006482035650683803 2.2062859375323094e-05 -2.2373083340874576e-07 -2.0623011751408364e-05 2.0440656463469668e-07 0.011922437732412779 -0.09101760440271796 -0.20407162914180965 0.11230250170933077 2.5595503919286093 0.019895865654374383 0.28718434174402735 -0.1782300959105664 0.22765816435977157 0.13817519821465413 0.10858542427554857 0.02818283209932418 -0.26788314375727 -0.17929124226744966 0.42204504268186754 0.17134726257342742 0.013664665147787074 -0.27958020241317577 0.04760307729452956 -0.4068044404561336 -6.956708954143493e-05 -0.0002820484401957346 0.00035620860862103205 -0.000656710711184818 0.0011820405959702507 0.0008849468789966782 -0.0009741557582885942
PC_8 -0.0012301985620838307 -0.00018041737933322243 -0.00028803122338917403 -0.0014433340371406164 1.2624949065908857e-06 1.4638254591387116e-06 3.3180339109211295e-09 4.035752944090778e-06 -6.532349999063699e-08 0.016706152142029237 -0.0865385095581371 -0.17592619769927156 0.2059385392143137 0.019895865654373658 2.7855298169434985 0.34046498491204485 -0.006265562596481772 0.19636263021423314 0.24570201139211875 0.05036082716220924 0.10311970031745618 0.1669217464730371 -0.20493139068593502 0.23160541988516067 0.3361065651312661 0.049612719643830606 0.17759164650227927 0.10363817440532326 -0.18312571540222472 -6.585358742704443e-05 0.0010265138582843426 -0.00041914518663315213 -0.0005772912969091516 -0.0011268864509633761 0.0007088487902988536 0.0010740872656366345
PC_9 0.0009785385933057018 -3.608104260344061e-05 -0.0002502347502248302 -0.00035608986971679676 -6.486893278868102e-05 4.8243573482015665e-06 -1.884664697132839e-08 5.286073897625602e-06 -7.985094917076104e-08 0.018793066421969876 -0.016403363715585016 0.20587339548602643 -0.15162483937400342 0.2871843417440217 0.3404649849120453 3.5745578762150756 0.2514342343639211 0.021638667540200184 -0.3066713104578999 0.23484051303457135 0.031040228158122456 0.015483947842032051 -0.14588801380011734 0.0969460985383497 -0.24698860599015002 -0.09071484691005052 -0.006425443611210823 -0.19939490035459548 0.3111133925777819 -0.0001136074654072576 -0.0004422314529213414 -0.00042626953907130014 0.0018142112214033445 -0.0005714057498669009 5.1259313760975614e-05 0.0011938236722183536
PC_10 0.00014982939471669895 -7.836287782035428e-05 -0.0004166944949898212 -0.0035297268867443008 0.0005732372593520759 1.0863453027443583e-05 -9.524189752616491e-08 -2.1403751679816503e-05 2.1817114418690247e-07 -0.05763267122385586 0.014990302293543168 -0.07985380982675475 0.17254346622758915 -0.17823009591056987 -0.0062655625964776265 0.25143423436392376 4.528087629776731 0.5650970853023685 -0.21546815036969552 -0.024500680453373103 -0.09817833545868537 0.09021229604310772 0.08297478937275869 0.2275474799150157 0.3436130445826921 0.21817256396783133 0.08012664058859789 -0.16619251022599266 -0.39481660438524196 0.0005273532599284384 0.0007672579383059844 9.253379996599024e-05 -0.0012723815866269956 6.325807912741967e-05 -0.0007244157398569114 0.00013870244790867344
PC_11 -0.0015264032317427552 0.00021484998573809524 -0.00045929143888676636 -0.008934163915947846 0.001094534938631039 2.070819340509848e-05 -2.0289808967319185e-07 -3.617381751898737e-05 3.50140904441591e-07 -0.05420363617808202 0.043220772207438266 -0.22544395434719142 0.10123475041104803 0.22765816435977118 0.19636263021423703 0.02163866754020267 0.5650970853023652 3.8750858556341523 0.23553926259156094 0.5055860979457323 0.27428597763204166 0.09106598110436767 -0.02772680645423482 0.08923072188227621 -0.13639817299372975 -0.0927273969992592 0.01679941729478051 -0.48088643546272697 0.31661802816693213 7.747136663237915e-05 0.0009273275459226858 -0.0002929690284062276 0.00045691589415741544 -0.0017957672515827004 0.000670832378747168 -0.0007623115091386284
PC_12 -0.0025917870736619692 -5.561034514478047e-05 0.00019198540869755156 0.0009755040896343047 -0.00026322550455977353 -9.81730448116654e-06 9.076878928135279e-08 9.99120060688793e-06 -9.863046766272042e-08 -0.027187062992942455 0.08292816986547193 -0.06119830458736407 -0.05082744579363658 0.13817519821465557 0.24570201139211828 -0.30667131045790075 -0.21546815036970143 0.23553926259156377 4.941437646575456 0.2207307989671414 0.1298940646277335 -0.10115230912809317 0.18549552705518027 0.4507145454742875 0.18195886909378214 0.003991910479812219 0.0414916431858951 0.10351882613213481 0.024098861161141193 0.0001074486200864482 0.0010508706779341827 -0.0006731618881220497 0.0006628705028591228 -0.0022086217001676426 0.0010700283384767085 5.440241448881682e-05
PC_13 1.2919825867911587e-05 -0.00016026869883231027 -0.0001660092829651159 -0.0024966052176590998 0.0003235997690622735 3.3423346651849615e-06 -4.566769914527628e-08 -1.1629037104028366e-05 1.2648250268942383e-07 0.069163183509872 0.13502127905185374 0.048948469194376905 0.07994237453201519 0.1085854242755504 0.05036082716221137 0.23484051303457168 -0.024500680453374665 0.5055860979457317 0.22073079896714232 4.631320508895605 0.7875770354808365 -0.15726093839683283 0.05479523575971698 0.6084202934562389 0.21770588619588588 0.09353446817188377 -0.2877497409239571 -0.09676222757177462 -0.3923944879145154 0.000291237374335446 0.0008986451671619924 0.0003348555480139299 -0.0011400089403456391 -0.00023644299435849575 -0.0010755908070259775 -0.0001110068042002034
