(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000405344790587771 -1.29857631498733e-05 -4.50534432250079e-05 2.01811974581215e-05 1.7295827661913e-05 4.56415551669714e-06 -6.04508499304919e-06 -3.6580245713368e-10 -4.87557227810657e-06 -4.18547348950143e-06
covarage -1.29857631498733e-05 0.000420283857183083 0.000641431259157113 -0.000665098727023111 -6.53560734388086e-06 1.24622959300364e-05 1.90890896251389e-06 1.56959244511251e-06 -5.90944763232445e-06 2.05176240406156e-06
covarsex -4.50534432250079e-05 0.000641431259157113 0.00163567452269431 -0.00158939410721542 -7.75933399417185e-06 1.69686649362964e-06 6.60452130775989e-06 6.12163142717378e-06 -1.50932415865708e-05 -4.76814529162976e-06
covarage_sex 2.01811974581215e-05 -0.000665098727023111 -0.00158939410721542 0.00167804132377898 1.03300327366286e-05 -1.35078201080825e-06 -7.8368118003212e-06 -4.89519170095912e-06 1.42908148730447e-05 4.49230977963724e-06
covarPC_3 1.7295827661913e-05 -6.53560734388086e-06 -7.75933399417185e-06 1.03300327366286e-05 0.000124974963548944 4.77662881121281e-06 -2.71324121450328e-07 1.62177682355612e-07 5.70636794532577e-06 7.35033785651496e-06
covarPC_4 4.56415551669714e-06 1.24622959300364e-05 1.69686649362964e-06 -1.35078201080825e-06 4.77662881121281e-06 0.000134258716224844 -5.99074757410875e-07 -2.39100877102315e-07 -4.23056829628984e-06 -5.35139440291135e-06
proband -6.04508499304919e-06 1.90890896251389e-06 6.60452130775989e-06 -7.8368118003212e-06 -2.71324121450328e-07 -5.99074757410875e-07 0.000405201612341805 0.000185560917820114 -0.000380279858242797 -0.000366312751141595
sibling -3.6580245713368e-10 1.56959244511251e-06 6.12163142717378e-06 -4.89519170095912e-06 1.62177682355612e-07 -2.39100877102315e-07 0.000185560917820114 0.000478486178303984 -0.000427030956740793 -0.000412600541679705
paternal -4.87557227810657e-06 -5.90944763232445e-06 -1.50932415865708e-05 1.42908148730447e-05 5.70636794532577e-06 -4.23056829628984e-06 -0.000380279858242797 -0.000427030956740793 0.00119106170950904 5.11372402988903e-06
maternal -4.18547348950143e-06 2.05176240406156e-06 -4.76814529162976e-06 4.49230977963724e-06 7.35033785651496e-06 -5.35139440291135e-06 -0.000366312751141595 -0.000412600541679705 5.11372402988903e-06 0.00114005636051866
