 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 2.040427752345059e-05 -1.2606012928345412e-07 -5.64948630306942e-07 9.447267402004615e-09 -3.5586188655440844e-11 1.4804374198169532e-05 -3.568200000888307e-05 -1.3221188734964414e-05 -7.662237202184955e-05 0.00010495101296866773 -0.00012700742899770634 9.792686055385938e-05 -7.427823538559808e-05 -2.2944326009988396e-05 -0.00014394309391666272 5.355627047061286e-05 -6.543891260272564e-05 -8.185020488336797e-05 -4.33345130793741e-05 -8.751143274004675e-05 -2.7040561385992165e-05 -1.6574262178957913e-05 -6.876109704800135e-05 -0.00014839708115515704 0.00014719160827585454 -2.081396040579294e-07
yob -1.26060129283458e-07 2.2450088938194174e-07 4.08058364375929e-08 3.631148431307197e-09 -2.523243381620704e-11 -4.648993009790392e-07 2.322338352060155e-05 8.840525913210967e-06 -1.5912735270697134e-05 -5.910881698063036e-06 -7.093532453298446e-06 -2.2916665670594436e-07 -1.0177501200348477e-05 1.2875328214211446e-05 -5.480053848973964e-06 -1.4010445746278589e-05 1.6207984629043876e-05 -1.1880669415210297e-05 -6.4851381821449915e-06 2.1926312200633967e-05 8.238548660621833e-06 -2.793161124342119e-06 -1.993207319355303e-06 1.2829347407768725e-05 -2.7761498270571237e-05 -5.29605307442718e-08
age -5.649486303068809e-07 4.0805836437518883e-08 1.0486328974219028e-05 -2.273081487367382e-07 1.502910303232828e-09 -1.1138592267491021e-05 1.8782362095420055e-05 1.0208609534568414e-05 -2.058643972590508e-05 3.478886108961672e-05 -2.5171160573455896e-05 -8.255129718177914e-06 -2.5803132108902716e-05 1.2889996010919198e-05 3.897136390601312e-06 1.7225911273157985e-05 -6.39295900017095e-06 1.9065679047289706e-05 -2.0973249432237232e-05 1.0209041387574598e-05 -2.3252682631650898e-07 -2.182376844680987e-05 -1.0742955288140587e-05 -4.081416119046089e-06 3.4857577092883675e-05 -1.2787571031046956e-07
age2 9.447267401984558e-09 3.6311484313089373e-09 -2.273081487367362e-07 5.220187466581426e-09 -3.559537082399171e-11 2.9811192657510907e-07 2.7360123217058845e-07 -2.6745381158440194e-08 1.2516306096662667e-07 -6.36902459926295e-07 3.794522574436321e-07 6.691610384198628e-08 2.1120617643175855e-07 1.6995349997672142e-08 -2.2862889532890013e-07 -5.899758620369426e-07 3.648931828670719e-07 -5.762292083112671e-07 3.827922321131765e-07 2.0884515309782912e-07 3.366038260223225e-07 4.0404047443808553e-07 1.49214486308683e-07 2.1744992471600388e-07 -1.3405730952661475e-06 1.104028171086463e-09
age3 -3.558618865534539e-11 -2.5232433816219702e-11 1.5029103032328109e-09 -3.559537082399163e-11 2.4882101100247e-13 -2.3828275072911874e-09 -2.626399918844507e-09 1.807320768453673e-10 -1.0716854444139896e-09 3.813274301701532e-09 -2.8105855471691325e-09 2.1227908244681998e-10 -6.91822644735124e-10 -4.786557896917066e-10 1.128237755808112e-09 3.581860154185999e-09 -2.1919589368052752e-09 3.384238248622697e-09 -3.0119517194922475e-09 -1.7825580623565515e-09 -3.3117685674745697e-09 -2.609648641313175e-09 -9.619097753307988e-10 -1.1416572339805298e-09 9.650147456458115e-09 -3.2054529815098714e-12
PC_3 1.4804374198169966e-05 -4.648993009789258e-07 -1.1138592267490703e-05 2.981119265751048e-07 -2.3828275072911618e-09 0.05201482613959193 0.0014377800314213617 0.00239204724683672 0.0010090255714086374 -0.007201845502567916 0.003596549420130624 0.00849127586390011 -0.006071667572434945 -0.0020966191455250045 -0.0018671026598488622 0.0038214449188032447 0.008480724773712128 0.006311389775734872 -0.004549429014895903 -0.017627432238598778 -0.0009073013410297445 -0.0009041112210584884 0.0050829852917808295 -0.0031997447618780333 0.011015739675107028 4.653875838656535e-05
PC_4 -3.568200000888356e-05 2.3223383520601535e-05 1.878236209542736e-05 2.7360123217042174e-07 -2.6263999188433554e-09 0.0014377800314213569 0.17955470820313926 -0.008325697702650972 0.009275093350208142 -0.010284000366017705 -0.00046872342633095604 -0.005547036682140398 -0.0017684369487676918 -0.014590214459451663 0.004061931681113109 0.009924597201701869 -0.019802915410254918 -0.01148811807783394 0.013605341744036051 0.011074715591457613 -0.00452254098642841 0.004789210676343093 -0.006098975733346106 -0.0006079552730603721 0.008147859064959705 -7.09650826224049e-05
PC_5 -1.3221188734964346e-05 8.840525913210916e-06 1.0208609534571201e-05 -2.674538115850532e-08 1.8073207684581869e-10 0.0023920472468367125 -0.008325697702650977 0.23447185259152192 -0.003866940046217332 -0.007234603685926508 0.0006301948025507512 0.00539838295889099 -0.015805571920720754 -0.0016739246987985089 -0.018422244310529537 -0.0133514967535239 0.0004695511161018042 -0.01717333361615763 0.01404116245144221 -0.026687968211257518 0.006968701711232173 0.004658689814808398 0.00047266426147892366 -0.004714838901288435 0.0176523150158431 2.2993703484122246e-06
PC_6 -7.662237202184927e-05 -1.5912735270697005e-05 -2.0586439725910055e-05 1.251630609667424e-07 -1.07168544441478e-09 0.0010090255714086517 0.009275093350208163 -0.00386694004621733 0.29179103746279494 0.003586857850345115 0.014482944614865679 -0.014364817380462231 -0.009489760260113986 0.007404677299369484 -0.0147445615363104 -0.0009299082466016419 -0.00044580163026838583 -0.025163267220880615 0.014437960296917378 0.030066004325901504 -0.007875664060297905 -0.00039264304018053975 -0.009240349605283716 -0.002774047662303683 -0.013843401806830212 -1.1684297826867022e-05
PC_7 0.00010495101296866743 -5.910881698063209e-06 3.478886108961297e-05 -6.369024599262122e-07 3.813274301700957e-09 -0.007201845502567906 -0.010284000366017723 -0.007234603685926518 0.0035868578503451356 0.3646840224724639 0.015140224814639983 -0.0010312930852795239 -0.016673090083385623 0.020065044994051675 0.005096550491660261 0.03316972965964287 0.01129697884471145 -0.038296488956728415 -0.026017523735720822 0.029206369179018584 -0.01027892546544253 -0.011583823717593271 0.0005763042979515109 0.01025984158455354 -0.017199496727450112 2.4298376776825106e-05
