 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.0070520580190319e-05 3.0823399228726956e-08 -2.418601122741021e-06 -6.884622502386969e-06 4.526645453507505e-07 4.7381090052463985e-08 -2.778222448523687e-10 -9.731091259278799e-09 6.480592617613877e-11 3.7981514766492042e-06 -3.484443569849087e-06 2.905302493073457e-06 -3.726625272397719e-05 4.927854444767415e-05 -6.833911126249416e-05 4.615110588943855e-05 -4.085450003794212e-05 -3.2413121579879235e-06 -7.582188831196835e-05 -6.931536673881976e-06 -1.6977637412078777e-05 -5.0759800849239815e-05 8.337973659398206e-07 -3.513974731457295e-05 -2.898883686069449e-06 3.5904778328736592e-06 -4.197982880977576e-05 -4.733341465177201e-05 6.500523380875138e-05 2.6087287404473035e-08
yob 3.082339922869134e-08 9.776344611255217e-08 1.6620662195529157e-07 4.5767708995723986e-07 -4.798776745810923e-08 -8.982710219923852e-10 9.555838624772966e-13 6.888583815801951e-10 -1.7244860594912897e-12 7.17455322346577e-07 7.115173728044982e-06 4.982884993191099e-07 -6.960497636020102e-06 -1.5812542828545141e-06 -3.1776730501100422e-06 1.8700519525939285e-07 -2.5412118063411846e-06 4.560483560971769e-06 -1.9409366081456568e-06 -4.3476533110581865e-06 5.887821394744177e-06 -5.428933877809089e-06 -2.52984661232301e-06 8.39576163021452e-06 3.0077427322960296e-06 -2.632040141285596e-07 -2.1843330495240838e-06 2.978045303810561e-06 -1.1283948788614472e-05 -2.1092681842510724e-08
age -2.4186011227444772e-06 1.662066219548541e-07 3.459643031694899e-05 0.0005070863777954256 -3.425314278529108e-05 -6.987374910150434e-07 4.3898701049845224e-09 6.954824679223577e-07 -4.372913883844177e-09 2.4941706676728967e-06 -5.844159454394782e-06 -1.0197524315866759e-05 -2.8099540269557438e-05 -1.7006121536621822e-06 9.008567469512599e-06 1.464687602368721e-05 -3.2191788040056813e-07 -1.021845403915958e-05 7.5824851007042905e-06 1.8281811325835694e-06 1.5220914832802223e-06 -4.3911844053357e-06 -3.0026176816975222e-05 2.1132649355965646e-06 -5.625606253580089e-06 -4.747599519349583e-06 -2.917474743208828e-05 -6.309457724861619e-06 1.3470705972134315e-06 -1.3591747455758366e-08
sex -6.884622502730747e-06 4.5767708995460315e-07 0.0005070863777948953 0.014151920764736911 -0.0009206799515307236 -9.99654195200578e-06 6.153819920745761e-08 1.824580955001075e-05 -1.1269313727791552e-07 3.719629442814228e-05 5.6495440458287776e-05 -0.00011329035486643307 -2.65036525730055e-05 -0.00014050735442391348 0.00017969820206437633 0.0002905195847185434 -4.456036569613245e-05 8.486389858514803e-06 0.0001392187653659535 -0.00017077285327103399 0.00018707941067010934 -2.9910995040420255e-05 -0.00011026442783053512 -9.460480659156084e-05 0.0001340308508906161 0.0002603980122606602 -0.0002721628989591812 0.00020272268754314713 -0.00010461781056446733 1.4410967956211534e-06
age_sex 4.5266454536290735e-07 -4.7987767457169306e-08 -3.425314278524419e-05 -0.0009206799515304892 6.212869885294058e-05 6.947458871024058e-07 -4.370382892197502e-09 -1.2637332894531506e-06 7.961271629963906e-09 -3.435492408099498e-06 2.7005427097330664e-06 1.4259748963399231e-05 2.5029000478490972e-06 8.252831926437578e-06 -1.7718921372241417e-05 -1.8182385147218375e-05 -9.020034248456595e-07 3.38987483254596e-06 -1.2275406535767591e-05 8.240026237932082e-06 -1.1940624286093414e-05 1.7451905252397136e-06 8.93797472530659e-06 1.0245156738218105e-05 -6.086753920381977e-06 -1.849645302404352e-05 2.1594000431664633e-05 -1.1374431845418806e-05 3.4111571643319557e-06 -1.190048606772004e-07
age2 4.738109005239181e-08 -8.982710219794986e-10 -6.987374910148912e-07 -9.99654195201336e-06 6.947458871031308e-07 1.451056610419038e-08 -9.306132402894151e-11 -1.4447106150343353e-08 9.266973887128011e-11 2.8027708480807444e-08 4.5336612102143385e-07 3.250507527093841e-07 4.187208099604595e-07 6.35626240955938e-08 -3.133956476755909e-07 -3.112570629215802e-07 -1.528034854135821e-07 3.8697592871663984e-07 -3.0396403653544733e-07 -2.466554489751559e-07 9.493787663930067e-08 -8.344959625130184e-08 6.396933077020475e-07 2.2775409875905042e-07 2.9048365834784776e-07 1.136783379409539e-07 5.316194013721595e-07 1.6923529646892497e-07 -4.6464939780843107e-07 -6.497788379819719e-10
age3 -2.778222448507678e-10 9.555838624183374e-13 4.389870104982767e-09 6.153819920748698e-08 -4.3703828922008375e-09 -9.306132402892478e-11 6.073044395126286e-13 9.265868777784216e-11 -6.046466946722527e-13 -6.975229595462213e-10 -3.695386036618827e-09 -2.570275106999352e-09 -2.72692115559486e-09 -3.740497390195865e-10 2.0880727539737424e-09 2.0460502447707115e-09 1.4734988800211048e-09 -2.992826273185979e-09 2.277899931439976e-09 2.2359793599277814e-09 -7.652983412581972e-10 8.795751321416719e-10 -4.582587491948394e-09 -2.1841282268835323e-09 -2.5677939085795267e-09 -8.76690458613421e-10 -3.283193168346967e-09 -9.439275418665534e-10 4.428589302452201e-09 7.898251293955509e-12
age2_sex -9.73109125894208e-09 6.888583815546309e-10 6.954824679211926e-07 1.824580955000118e-05 -1.2637332894528287e-06 -1.4447106150324333e-08 9.265868777774739e-11 2.627094238437521e-08 -1.6854379863700414e-10 7.357342583331485e-08 -1.4293402845868266e-07 -3.897359868813946e-07 -6.01000034779835e-08 -1.6579913291406088e-07 4.544491578491943e-07 3.510539475151974e-07 5.841098560055373e-08 -1.2716425582752775e-07 3.255040793178632e-07 -5.664349612079585e-08 2.3251202839470153e-07 -8.703577690060913e-09 -2.349747044714256e-07 -2.964330428256623e-07 1.0042143569761174e-07 3.5036379032810907e-07 -4.616790262576772e-07 2.2237671853092392e-07 7.1735091330112125e-09 2.6245402321708835e-09
age3_sex 6.480592617878451e-11 -1.7244860593538692e-12 -4.3729138838355785e-09 -1.126931372778271e-07 7.961271629959959e-09 9.266973887113502e-11 -6.046466946714963e-13 -1.6854379863696506e-10 1.0991545142834414e-12 -3.481096680369739e-10 1.31915314109419e-09 2.9844316530387256e-09 4.300232657773416e-10 1.0858654361590109e-09 -3.356904277196581e-09 -2.0406424419610035e-09 -5.105838497709536e-10 1.059488872372852e-09 -2.538458355089649e-09 -2.7489057126079047e-10 -1.4386131190598388e-09 -7.830817885496613e-11 1.8074921981309676e-09 2.2820315969670326e-09 -5.980587214687506e-10 -2.0033615490757846e-09 2.948449922950401e-09 -1.6207001367578972e-09 -4.0174559067430593e-10 -1.789117152729276e-11
PC_3 3.7981514766454824e-06 7.174553223466123e-07 2.4941706676864416e-06 3.7196294428437605e-05 -3.4354924081201935e-06 2.802770848052164e-08 -6.975229595443595e-10 7.357342583375143e-08 -3.481096680398107e-10 0.025315084682920017 0.0006374247598079807 0.001715860832227663 -0.00027500100408554725 -0.0043074211320397885 0.001915922270457985 0.0037070737980821437 -0.003858452577775595 -0.00022988027739659117 -0.001311008869885415 0.0006104851486468336 0.005046162475801171 0.0026050640739538854 -0.001830457328227563 -0.009328895866027089 0.0008539135750834328 -0.0005795381349467795 0.003185330535881449 -0.0006015061499834572 0.004556923659396358 2.3324681275290213e-05
PC_4 -3.4844435698510005e-06 7.1151737280451905e-06 -5.844159454360035e-06 5.6495440458799086e-05 2.700542709701499e-06 4.533661210207672e-07 -3.6953860366148483e-09 -1.4293402845809736e-07 1.319153141090845e-09 0.0006374247598079667 0.08570267333153743 -0.0024947290283162432 0.0053795926951192286 -0.0035963722790945825 -0.0006298114556588573 -0.002994316089400169 -0.0009390875353520402 -0.005999752563046169 0.0015709089382422243 0.004368269035411331 -0.00867659093278926 -0.005930282572173677 0.006480592305180087 0.005208570074225307 -0.0026048927202182936 0.0017703240164802113 -0.003944309637058206 -0.0003593232965702442 0.003454198747035891 -3.627566248705996e-05
PC_5 2.9053024930720562e-06 4.982884993193355e-07 -1.0197524315813428e-05 -0.0001132903548654177 1.4259748963334863e-05 3.2505075270836004e-07 -2.5702751069932294e-09 -3.897359868801692e-07 2.9844316530315056e-09 0.0017158608322276738 -0.0024947290283162385 0.11288356576335082 -0.0028978849164481226 -0.004444838347965574 -0.0009978479693254863 0.004993497787131987 -0.00821674681407666 -0.0013827213259878675 -0.008891923394983325 -0.006377915907586093 -0.0006686172988470858 -0.008033284659524326 0.006769729964897646 -0.01422433169453392 0.005062412485057873 0.0033425124245983063 -0.0013365622101950377 -0.001509013988147377 0.008578724066471649 4.543248138655053e-06
PC_6 -3.726625272397755e-05 -6.960497636020099e-06 -2.809954026965458e-05 -2.650365257551023e-05 2.5029000480206472e-06 4.187208099624727e-07 -2.7269211556077534e-09 -6.010000348152112e-08 4.3002326579990815e-10 -0.00027500100408555034 0.005379592695119259 -0.0028978849164480692 0.14250625549438714 0.00303278395577627 0.0050014624344317206 -0.006706651040056819 -0.004279299484285959 0.002870822830704786 -0.0069899717453110665 0.0010655056359934248 0.000371928852466325 -0.011894686928891911 0.007642014849701132 0.013063741636815382 -0.003768530508179825 -0.0004895205959509033 -0.006413785437657322 -0.0018864193907744016 -0.004909445114801784 -1.0142297226626866e-05
PC_7 4.9278544447673406e-05 -1.581254282854403e-06 -1.700612153649963e-06 -0.00014050735442375418 8.252831926429294e-06 6.356262409537543e-08 -3.74049739018362e-10 -1.657991329139373e-07 1.0858654361584831e-09 -0.004307421132039793 -0.003596372279094565 -0.004444838347965565 0.003032783955776247 0.17814634303268181 0.006695030988254939 -0.0009058630513408065 -0.007509564931275334 0.007312122676155284 0.005233963621207427 0.017622874136064146 0.005312922488627148 -0.017658257891761252 -0.012979809024011243 0.015182964106292468 -0.007406483960886832 -0.005066942300777179 -0.001079080258537729 0.0066913980907518525 -0.007830174417592099 1.997330094876592e-05
PC_8 -6.83391112624852e-05 -3.177673050110404e-06 9.00856746932949e-06 0.00017969820205995546 -1.771892137194618e-05 -3.133956476719203e-07 2.0880727539509007e-09 4.5444915784325154e-07 -3.356904277159518e-09 0.00191592227045796 -0.0006298114556588398 -0.0009978479693254264 0.005001462434431789 0.006695030988254969 0.1913204626799704 0.008258299111938866 0.007679401454776565 -0.003198164690146671 -0.0024564670181914917 -0.008830784996886385 0.0061814878860035945 0.016900175001319764 -0.01058000613347122 0.006322190385282137 0.012604791970013787 0.0032108256402776417 -0.00027525779836651623 0.0011296021552831851 -0.008391338988814293 1.1064839151416971e-05
PC_9 4.615110588944052e-05 1.8700519525913845e-07 1.4646876023715992e-05 0.0002905195847196155 -1.8182385147296285e-05 -3.112570629222436e-07 2.046050244775324e-09 3.5105394751689416e-07 -2.0406424419723594e-09 0.0037070737980821377 -0.0029943160894001816 0.004993497787131949 -0.00670665104005677 -0.0009058630513408202 0.008258299111938976 0.25680289345286145 0.008250361070663695 0.001062039607995214 -0.014655506884525259 0.006691055293529075 -0.002077958743701556 -0.0025005172763633544 -0.010417400863457911 -0.005471149062378669 -0.005445215742562219 -0.0009394576432894668 -0.0001059580958242265 -0.006647089513795154 0.012765407051810623 7.3782297170223075e-06
PC_10 -4.085450003794055e-05 -2.541211806341271e-06 -3.219178804390567e-07 -4.4560365697099725e-05 -9.020034247801679e-07 -1.5280348541280421e-07 1.4734988800162184e-09 5.8410985599221406e-08 -5.105838497625405e-10 -0.003858452577775608 -0.0009390875353520592 -0.008216746814076671 -0.004279299484285962 -0.007509564931275331 0.007679401454776571 0.008250361070663691 0.3123294887793492 0.01672920878704637 -0.007495626438945121 -0.003526037052775816 -0.0005847869077154068 0.00987229359536892 0.0023712723215518192 -0.0026410675658167246 0.009589017479152733 0.004075444998624578 -0.0024071554043771626 -0.001872014415502305 -0.008913793396233813 4.957428977918422e-05
PC_11 -3.2413121579883152e-06 4.5604835609719266e-06 -1.0218454039122746e-05 8.486389859250141e-06 3.389874832499065e-06 3.869759287159314e-07 -2.992826273181732e-09 -1.2716425582662722e-07 1.0594888723674854e-09 -0.00022988027739658185 -0.005999752563046152 -0.0013827213259878757 0.0028708228307047644 0.00731212267615528 -0.0031981646901466853 0.0010620396079952382 0.016729208787046382 0.2914003056128073 0.00372635557926633 -0.001980006208371708 0.011941626164216573 0.014659824116846396 -0.003979190650701184 0.009225148618186026 -0.009385753866213292 -0.004240484543781052 -6.342893518549407e-05 -0.0021853793041166965 0.019741096931389528 1.4298269373317756e-05
