(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000608593446398574 0.000478010300807515 0.000126492731907898 -0.000169575654285512 -2.01765597144194e-05 -5.64950222776549e-07 -2.58851935689986e-05 -4.39648456165391e-06 2.72541586361194e-06 1.58543263887743e-06
covarage 0.000478010300807515 0.00151519319115707 0.00174161886209706 -0.00241938253456335 -1.7430986017673e-05 6.0228601588353e-05 1.79983518884872e-06 1.04515147317931e-05 2.85938458118475e-05 -3.7504405911208e-05
covarsex 0.000126492731907898 0.00174161886209706 0.00436538372337734 -0.00551196920972148 -8.82185623462e-06 2.43001436542465e-05 -9.41586758120188e-06 1.78248514115829e-05 1.32335893927871e-05 -3.10416656540013e-05
covarage_sex -0.000169575654285512 -0.00241938253456335 -0.00551196920972148 0.00756578480674052 1.10962616632624e-05 -1.14802841706334e-05 -4.6235114482846e-06 -2.18477584450316e-05 -1.67697341191002e-05 4.47554683211032e-05
covarPC_3 -2.01765597144194e-05 -1.7430986017673e-05 -8.82185623462e-06 1.10962616632624e-05 0.000369093450930317 -2.31256357592363e-05 1.37935662269633e-05 -4.53983535501533e-06 1.52094107902709e-05 2.69941895848081e-05
covarPC_4 -5.64950222776549e-07 6.0228601588353e-05 2.43001436542465e-05 -1.14802841706334e-05 -2.31256357592363e-05 0.000397215261179222 -2.57014973657809e-06 8.3689516671184e-06 -2.56724125292254e-05 -5.03125577270215e-06
proband -2.58851935689986e-05 1.79983518884872e-06 -9.41586758120188e-06 -4.6235114482846e-06 1.37935662269633e-05 -2.57014973657809e-06 0.000480112053450035 -0.000238475647606229 -1.5786219847497e-05 -2.89168724167293e-06
maternal -4.39648456165391e-06 1.04515147317931e-05 1.78248514115829e-05 -2.18477584450316e-05 -4.53983535501533e-06 8.3689516671184e-06 -0.000238475647606229 0.00257466295526029 -0.00206319622522519 -0.00205144000450031
gmm 2.72541586361194e-06 2.85938458118475e-05 1.32335893927871e-05 -1.67697341191002e-05 1.52094107902709e-05 -2.56724125292254e-05 -1.5786219847497e-05 -0.00206319622522519 0.00787166069620254 -0.0038369370119198
gpm 1.58543263887743e-06 -3.7504405911208e-05 -3.10416656540013e-05 4.47554683211032e-05 2.69941895848081e-05 -5.03125577270215e-06 -2.89168724167293e-06 -0.00205144000450031 -0.0038369370119198 0.00788379234608809
