 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.8008450608430704e-05 1.85234246408644e-07 -4.5427967777103265e-06 -3.48157041662759e-05 2.239848780685366e-06 8.780148992034692e-08 -4.857621140876295e-10 -4.460763525207961e-08 2.8064430533845643e-10 1.4625097691372028e-06 3.698002590280846e-05 -0.00015766857451338925 2.0036735705369177e-05 0.0002277291784572961 -8.748886289640696e-05 8.986393984393904e-06 -0.0001331527439069786 6.919759194681478e-05 -0.0002549320638246808 -9.892579448959395e-05 -4.677982276127816e-06 -0.0001239687318641327 1.9158789729168516e-05 -0.00012377541629919573 0.00011572686220652957 7.384956746349051e-05 -9.669290281935511e-06 -7.612457332738034e-05 2.4832441776264668e-05 -7.715669965750191e-08 3.5783421711028366e-07 -3.1603722764568116e-08
yob 1.8523424640859275e-07 1.3127730280305055e-07 3.023609115193223e-07 1.324078926024543e-06 -9.755078743268475e-08 -2.1212130204527335e-09 3.3309111113444943e-12 1.296726163448586e-09 -3.2714090212295043e-12 -7.362312584207751e-07 1.0793428097681741e-05 -5.029881472311338e-06 -1.076602643767518e-06 5.892667470059457e-06 -5.708871191713103e-06 -2.5620890798311243e-06 -5.7754221874101206e-06 5.535130420413449e-06 -8.846805694536566e-06 -5.931926265740435e-06 5.538154589187224e-06 -4.573229530467781e-06 -2.5916296711089916e-06 9.337693289871495e-06 5.600967103103106e-06 1.4605466220680116e-06 -1.4671763381856265e-06 2.6539298742849176e-06 -1.6431541209915597e-05 -3.418558938173514e-09 -1.5631319657854275e-08 -2.109511606281015e-08
age -4.542796777717426e-06 3.023609115186761e-07 6.643528475952016e-05 0.0009791216081426848 -6.532543605385873e-05 -1.337205658694882e-06 8.417635340845773e-09 1.3227358459355623e-06 -8.339531692342314e-09 -9.36193633188019e-07 2.117294763822852e-05 -6.732050907892058e-06 3.92624242490752e-06 7.347125958672823e-05 -2.747434252348733e-05 1.4481109542997585e-05 -2.539707582984586e-05 9.212497338135748e-06 1.3220314428193022e-05 -1.1351887952316671e-05 -1.5543679748170776e-05 -8.210763209445215e-06 -4.8930222704201435e-05 -1.7221399500389194e-05 3.30819071606125e-05 -1.0422095703975861e-05 -2.3814501598413788e-05 -2.8764120887064893e-05 2.9376810395492108e-05 5.632036144314001e-08 -9.685453111279445e-08 -1.004456817500167e-07
sex -3.481570416649111e-05 1.32407892601066e-06 0.000979121608141623 0.02559361247750782 -0.0016717873730664448 -1.9358972743420115e-05 1.1997921111624462e-07 3.339128351470769e-05 -2.0833813195869015e-07 7.528686458305613e-05 0.00034901968681780304 0.0005984129230991739 0.00016197346588708536 0.000252297977621537 -0.0003051709104634642 0.0004754368035300378 -0.0005693368930993176 7.061368382805421e-05 0.0002712194232900374 -0.0005208484145185162 4.8135538958328026e-05 -0.0002565372870529731 -7.071377039825066e-05 -0.00035091536471671406 0.0002222428826854781 0.0005897905035812983 0.0002923060263043692 -0.0001257792403413317 7.855861461099894e-05 1.5867049538428298e-06 -1.5329734176013756e-06 -2.3491595524805056e-07
age_sex 2.2398487807079256e-06 -9.755078743119956e-08 -6.532543605375014e-05 -0.0016717873730656124 0.00011259299765019626 1.321305769681181e-06 -8.334397190964021e-09 -2.2994919334074568e-06 1.4597255114856113e-08 -8.618378497838016e-06 -7.5726120141186396e-06 -2.40889153988592e-05 -7.843642244989042e-06 -1.3411921856298975e-05 1.28826254314511e-05 -3.3976439585910385e-05 2.579122197615241e-05 -4.544618945509788e-06 -2.1843340397845884e-05 3.417966003527415e-05 3.8078492911693977e-07 1.1336985642023273e-05 5.388128400585393e-06 3.322247271228841e-05 -1.192296684548482e-05 -4.501675145174977e-05 -1.850547106539374e-05 1.9090327769450912e-05 -2.2509409354503444e-05 -1.4934261868475364e-07 5.961121648617827e-08 2.5064318823599484e-08
age2 8.780148992055013e-08 -2.121213020437931e-09 -1.337205658694488e-06 -1.93589727434328e-05 1.3213057696827789e-06 2.755983482478185e-08 -1.7665088757988213e-10 -2.728947059855901e-08 1.7501209221902959e-10 5.421697337831379e-08 2.435989840599723e-07 3.906919659425761e-07 2.455089258416525e-08 -1.1733085265803335e-06 2.3726015047971516e-07 -3.671852653045022e-07 2.1125778156488857e-07 -8.304753390260691e-08 -5.257038560616289e-07 3.092961909810289e-08 3.6002168000764836e-07 -4.079934494467864e-08 1.0996256787250352e-06 7.473156087901337e-07 -4.952327541947454e-07 2.434570827322276e-07 4.6655656732041023e-07 6.803829019395079e-07 -1.3670798730556758e-06 -1.4832264603884604e-09 7.625230259877212e-10 1.6267620527166984e-09
age3 -4.85762114088988e-10 3.3309111112325406e-12 8.41763534084117e-09 1.199792111162778e-07 -8.334397190970943e-09 -1.7665088757983955e-10 1.1500806253309411e-12 1.7498799909628708e-10 -1.1393227179566964e-12 -9.450336589204037e-10 -3.320405470421913e-09 -4.479079284961594e-09 -5.802165854067687e-10 7.473147305193683e-09 -9.234697323934417e-10 2.273388950622656e-09 -7.726626273283106e-10 6.737640682041615e-10 3.061395512030116e-09 1.776219428270706e-10 -1.997624070577216e-09 7.335912717242996e-10 -7.963311625101482e-09 -6.249570616480579e-09 3.134723219293949e-09 -1.4609408787244473e-09 -2.8487799227117394e-09 -4.6187315120058685e-09 1.1145858707820954e-08 1.0164313504693018e-11 -4.201814760049367e-13 -7.126020711459163e-12
age2_sex -4.460763525260458e-08 1.2967261634219535e-09 1.3227358459326836e-06 3.3391283514675616e-05 -2.299491933406442e-06 -2.7289470598512896e-08 1.749879990960607e-10 4.786617992966299e-08 -3.0885894199808966e-10 2.1521372627861285e-07 -6.060605439947602e-08 2.1411503558583623e-07 1.121809050026012e-07 2.2355643894325117e-07 -1.5594139029395232e-07 7.327201832932893e-07 -3.8480658207196837e-07 7.663169614080347e-08 5.060153590899055e-07 -5.948184843990277e-07 -6.163286513830433e-08 -1.2023131484702253e-07 -1.7215834846685496e-07 -8.074943557801624e-07 2.802684892487646e-07 9.869613544488957e-07 3.718986976818298e-07 -6.05683490001882e-07 6.972731584884419e-07 3.6239124986523794e-09 -8.498310801029894e-10 -4.2679826540374835e-10
age3_sex 2.806443053406294e-10 -3.271409021055726e-12 -8.339531692320282e-09 -2.0833813195840115e-07 1.4597255114843915e-08 1.7501209221866043e-10 -1.1393227179547771e-12 -3.0885894199797204e-10 2.0232256548240034e-12 -1.249594462111336e-09 1.4305623959491324e-09 1.4773701131691767e-10 -5.461239814759336e-10 -1.3331622488576744e-09 5.020895324322248e-10 -4.7836672533555035e-09 1.911617692390976e-09 -2.550586048801513e-10 -3.4609140869184474e-09 2.857221030172994e-09 6.971323711453869e-10 3.907244256123498e-11 1.5242250140330282e-09 5.676998064100179e-09 -2.2608020004592036e-09 -6.546427905483055e-09 -2.2944134178600623e-09 4.985922742809057e-09 -5.56819124426606e-09 -2.6691454739590202e-11 5.169753098936232e-12 1.9239249730109083e-12
PC_3 1.46250976913704e-06 -7.362312584208374e-07 -9.361936332130829e-07 7.528686458258257e-05 -8.618378497809574e-06 5.421697337878839e-08 -9.45033658923216e-10 2.1521372627809412e-07 -1.2495944621083928e-09 0.04013719885241502 0.002109877951739925 -0.0033208650881571366 0.002704310540068574 -0.008309335303597194 0.002302055258013915 0.001388759586761057 -0.007941547860296952 0.0018963908820106006 -0.008382511026615963 -0.00020924121247063092 0.01463224523710277 0.0029850348179489596 -0.0038637228961278113 -0.01853473124196582 0.003161724990474104 0.0010805474002899681 0.002415063459459695 -0.0016733087926057428 0.007607794879414679 1.1649885217134006e-06 3.854158814074308e-05 3.0214688701958038e-05
