 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.9176198603111787e-05 3.98916590390823e-07 1.5715976349318334e-06 -3.5493715281672533e-08 2.559303728295348e-10 7.27804787564685e-05 -0.00012858261158002596 -6.731769199819393e-06 -0.00013186547762082668 3.408107809964107e-05 -0.00014679043112805103 0.0002039660711667674 -0.00013057943918158072 -1.635830959282523e-05 -0.00021209185410776617 3.836616622179769e-05 -4.291146520506557e-05 -0.0001591443365974797 -4.199224626235919e-05 -8.068416993894875e-05 2.6265948918196663e-06 -6.922590306656464e-06 -0.0001003992684310979 -0.00015201767842272187 0.00014864202403346488 8.54316878927176e-08 6.083959143854381e-07 -4.7464305808509907e-07 -1.0861419853632037e-06
yob 3.989165903908023e-07 3.177906084123198e-07 1.67304564301957e-07 2.2004550509090952e-09 -1.6420570699898893e-11 2.9219885233667124e-06 2.3946889775811923e-05 1.0016381842173671e-05 -2.5470526874166124e-05 -1.7752467999281122e-05 -5.007273780418908e-06 4.2813501156371845e-06 -1.453359972749176e-05 1.793333389139134e-05 -1.1719850373057658e-05 -2.0986845986343426e-05 2.6743016522112073e-05 -2.0136631227061586e-05 -8.610461881436432e-06 3.1513940844701146e-05 1.3481168994048102e-05 -1.802429851840479e-06 -5.5444560472419e-06 1.9039385298931122e-05 -4.0670006670361266e-05 -5.576492999304569e-08 -4.616788999082785e-08 1.4798339261015451e-08 -2.403563064065951e-08
age 1.5715976349282744e-06 1.6730456430204865e-07 1.7746751996500442e-05 -3.7475862781149457e-07 2.4203264868731104e-09 -2.379578180811848e-06 -1.2528349757192517e-05 5.382761517594226e-06 -3.453978677144896e-05 1.4865717240143184e-05 -1.5022175275653794e-05 -3.1530364620246856e-06 -3.8222110311060946e-05 1.8976054023329165e-05 2.61110756804657e-05 2.6029436635940597e-05 -1.0263315678304812e-06 2.602365050365744e-05 -2.064650573710573e-05 3.2853684743079436e-05 1.655404481696155e-05 -4.304029900849007e-05 1.9114730230267642e-05 2.0280362894595788e-05 3.748529958368745e-05 1.301620148105881e-07 -3.496310413279971e-09 -5.843217518453919e-07 -3.510698698378508e-07
age2 -3.549371528164384e-08 2.200455050906899e-09 -3.7475862781150415e-07 8.327923101054949e-09 -5.537554143215844e-11 2.3140677006045445e-07 1.064260449132052e-06 3.410987658523707e-08 2.337750513350088e-07 -3.149651705841909e-07 2.879359473566497e-07 -6.289866342739702e-08 3.509663591689629e-07 2.0978106393332248e-08 -8.535716810687705e-07 -8.931537567927648e-07 4.402355632458707e-07 -7.573012339931048e-07 3.954186425162607e-07 -1.1128890181086151e-07 2.3568529409665047e-07 8.84220944663768e-07 -4.889164677759054e-07 -3.368920590123489e-07 -1.6701088058889227e-06 -4.2754675264718305e-09 -6.615048194055128e-10 1.2478102728938178e-08 5.870951433419468e-09
age3 2.5593037282928816e-10 -1.6420570699883296e-11 2.4203264868732105e-09 -5.5375541432159256e-11 3.768064124751048e-13 -2.521350288528962e-09 -7.814225324226359e-09 7.816661069222738e-11 -1.80567700388091e-09 1.9930807095192984e-09 -2.923445211405967e-09 1.3998425777391432e-09 -1.3099168276093166e-09 -8.142346617971114e-10 5.087052249202662e-09 5.609024345085455e-09 -2.9530107438297494e-09 4.206583476614291e-09 -3.66327713537655e-09 3.268009818827655e-11 -3.6531206586515222e-09 -5.824327350756468e-09 2.7584635198777687e-09 2.6647723737035466e-09 1.24675504930918e-08 2.8716707760724435e-11 3.439794751195066e-12 -7.731939169979732e-11 -2.913021332072866e-11
PC_3 7.278047875646872e-05 2.921988523366661e-06 -2.3795781808186994e-06 2.314067700606016e-07 -2.5213502885299107e-09 0.06993482323863377 0.001001503513304326 0.005652994456376897 0.002363450067008341 -0.013557455666580323 0.003805756806657372 0.013146218788404634 -0.006689323708286674 -0.002177219881468622 -0.0008776372826094518 0.0046512705874914555 0.012919882777480097 0.008118627271010596 -0.005229816481622007 -0.025323450499894377 0.0005348132974918253 0.001242778150574206 0.006538788184332695 -0.004431889290274666 0.016901302711727694 9.749943899529441e-06 -2.850928468419618e-06 6.785094871054447e-05 5.8649799480646555e-05
PC_4 -0.0001285826115800331 2.3946889775811625e-05 -1.2528349757202156e-05 1.0642604491322474e-06 -7.814225324227553e-09 0.0010015035133043074 0.23739695881979517 -0.015915745799830492 0.012968795978853658 -0.01832709847105368 -0.0034639241977048097 -0.007687144375840755 -0.0035562366519049735 -0.019346043162549263 0.006879781237472152 0.014848205867409038 -0.03040632228989417 -0.016529890722749793 0.01693962374437349 0.012583095140283789 -0.00361092403252364 0.0073499852610332695 -0.008446269337696172 -0.002386560080381877 0.01089922250382787 7.000405868543393e-07 6.93693546225009e-08 -0.0001164211159117709 -0.00011548642516659611
PC_5 -6.731769199819574e-06 1.0016381842173693e-05 5.382761517591014e-06 3.41098765853095e-08 7.816661069173977e-11 0.005652994456376903 -0.015915745799830516 0.3221227493774082 -0.009420409090910796 -0.019052463612275895 0.0002474562840905788 0.015600092544609838 -0.022025158679875628 -0.0018589403623607958 -0.021301157746520704 -0.02036666983353515 -0.001519068781496751 -0.027776763240767458 0.023265376792640586 -0.039060972288484645 0.009482522655094435 0.009080541019567016 0.0027635101023590473 -0.00689455305340757 0.030841984820996024 -2.7584103266644966e-06 3.050622958401871e-05 3.945609401855828e-06 -6.0952213420089856e-06
PC_6 -0.00013186547762082784 -2.5470526874166317e-05 -3.4539786771433365e-05 2.3377505133465198e-07 -1.8056770038784935e-09 0.0023634500670083303 0.012968795978853644 -0.009420409090910808 0.3861085258694109 0.008155074812722507 0.025446305847801182 -0.03653165122193448 -0.00868495499062729 0.010407909873131563 -0.021544094504078577 -0.00047024843583071054 -0.0005788892370239545 -0.03369414892142018 0.022166996434835093 0.041370718081318 -0.014304036913803875 -0.004137991214266431 -0.014159339953471751 -0.003221533945070492 -0.02059349490452037 -9.528002588208469e-06 -3.825800664728319e-05 4.779157266149375e-05 -1.5713603291006263e-05
PC_7 3.4081078099642795e-05 -1.7752467999281048e-05 1.4865717240148866e-05 -3.149651705843086e-07 1.993080709520047e-09 -0.013557455666580301 -0.018327098471053682 -0.01905246361227589 0.008155074812722497 0.4810599739240565 0.024785157475832747 -0.0010250820163926117 -0.02500192706581024 0.028857301016113487 0.0014045289766822177 0.04753116317858754 0.013063145922967994 -0.05261756091989851 -0.04289372506619688 0.04336726291272249 -0.014250408257713327 -0.019050833601125486 -0.00029434719834522634 0.017825590525583298 -0.02853051873596426 1.4031656221944277e-05 2.7616756853887744e-05 1.0340196466555516e-05 -6.744836708316472e-06
