(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.00314423667608323 0.99604695963713 0.0270708768058059 -0.0270146310822121 -1.98432574211877 0.988280105232517 -2.2549007158e-05 2.17220171043731e-05 -4.97496215860803e-05 2.74799426310821e-05 1.26935798029825e-05 -8.4012668994896e-06 2.37371358629546e-05 6.35487409973376e-06 1.62168215892588e-05 -2.80963331215459e-06 -5.82097759239499e-05 3.03156512616948e-05 -3.32888340540174e-06 1.56591962664055e-05 4.76940786370305e-06 6.12793789252034e-06 4.5243020777526e-05 3.41541838341586e-05 -3.24104848814767e-05 3.42406199236603e-05 5.02343930197286e-05 -0.000256859747007365 -0.00021230808682126 0.000427980340457721 -3.79852985010593e-06 -0.000119763594976758 0.000562974206410632
covarSEX 0.99604695963713 2808723.23641499 28588.5205688677 -28589.7863254205 -5620311.64499911 2811719.91002155 -1.80470737591564 -4.03286633946653 0.931139687916512 0.301092516794925 -2.14690674001003 2.73531116297224 0.952220701036966 -2.01133767952361 3.63507993432676 0.592227193968062 2.48907556138989 -0.153820363900993 0.996617229813102 -1.17907814041155 2.53377636656529 0.359105957358725 -2.25676181485703 -3.9420530603393 -3.05914828930657 1.59165091530462 3.59346950095199 -2.79583596679402 -6.4567752650617 6.3104055472277 -2.12578974933278 6.1177452967805 3.74389915010589
covarYOB 0.0270708768058059 28588.5205688677 567.875383654069 -567.918413930193 -57208.9954751725 28621.8023278072 -0.0352975128320027 -0.0684382929293108 0.0188248495964154 -0.0208561274668984 0.000419892496076115 0.0136392597559763 0.0165539345183518 0.0447192567961603 0.038978113120851 0.0367912934892368 0.0459612954256401 0.0393046577508781 0.00604430849067156 0.0296632496183283 -0.011192069690156 -0.0383948485359791 -0.0281425705103641 -0.0507068815765489 -0.050018782053297 -0.00275013522607836 0.0471666764964386 -0.023406759347125 -0.0315782414261797 0.0622961923196007 -0.0864183315072533 0.119903926092592 -0.0273448238653003
covarYOBsq -0.0270146310822121 -28589.7863254205 -567.918413930193 567.967111095476 57212.0838406696 -28623.6252413455 0.0350755887910844 0.0685168274628308 -0.0187511022677562 0.0209007366171925 -0.000346320719693676 -0.0137845571736589 -0.0164270118393523 -0.044822735502717 -0.0388594930727726 -0.0366551690494743 -0.0459218867001233 -0.0394248046683267 -0.00591741990514489 -0.0298051574871246 0.0113206523606883 0.0385182119367209 0.0280510104550217 0.0507491810251824 0.0499223758362526 0.00283269746312636 -0.0471295112743975 0.0233659760324921 0.0312962459969463 -0.0624656423254649 0.0864687097702932 -0.120013508490393 0.0276763245367921
covarSEX_YOB -1.98432574211877 -5620311.64499911 -57208.9954751725 57212.0838406696 11246468.6009404 -5626420.11999353 3.59935160452184 8.06725029082462 -1.85304391740468 -0.608904954328835 4.30723554394233 -5.47009254821485 -1.88843929768581 4.01089513511098 -7.27893072154131 -1.18428067123571 -4.98429947206449 0.316207177300641 -1.9871319798121 2.35586298291323 -5.07068076047671 -0.714493081442537 4.52028485331742 7.89074084105764 6.11462036187005 -3.17884000294106 -7.18266677972573 5.59936984929864 12.8843482078094 -12.6717475952757 4.25860848202633 -12.213387149423 -7.48077487907416
covarSEX_YOBsq 0.988280105232517 2811719.91002155 28621.8023278072 -28623.6252413455 -5626420.11999353 2814831.88120116 -1.79485172275988 -4.03461388375398 0.92194641586888 0.307861336273347 -2.16054159123571 2.73496957626058 0.936259046000013 -1.99963630000159 3.644034910946 0.592087338398325 2.49539453528363 -0.162381315637623 0.990493217449486 -1.17681897697104 2.5370933215028 0.355497937110566 -2.26355255994028 -3.94884657788328 -3.05560758920132 1.58722156852924 3.58940632945183 -2.80372221885861 -6.42776279003711 6.36172255086221 -2.13283001898885 6.09576645150958 3.73709245046869
covarPC1 -2.2549007158e-05 -1.80470737591564 -0.0352975128320027 0.0350755887910844 3.59935160452184 -1.79485172275988 0.0035621979093181 -0.000476580665157316 -0.00025080159138558 -0.000102219860091463 -0.000149545784188773 2.70373288735697e-05 3.54181879208321e-05 1.77007893873772e-05 -2.69154981543721e-05 4.80570899216877e-05 5.22790838054772e-05 0.00038348414657733 -0.000104961506650896 -0.000222569801980652 -0.000486993431855578 -0.000373175652923697 0.000155378938092117 3.37316164284784e-05 0.000161759585243436 7.32996016441848e-06 7.253905232225e-05 -0.000405149422574605 -0.000167301603990409 -5.81148294286817e-05 0.000235684384987176 -3.04674002398146e-05 -0.000436140262815044
covarPC2 2.17220171043731e-05 -4.03286633946653 -0.0684382929293108 0.0685168274628308 8.06725029082462 -4.03461388375398 -0.000476580665157316 0.00284991703488267 0.000213764724004328 0.000228517812379298 -6.29730224116358e-05 -5.72699834811773e-05 -7.23390289799019e-05 0.000119763067036082 -3.62788800905432e-05 -1.8656137085599e-05 -2.25363065019136e-05 -0.000161870013722828 0.000110026736266314 -0.000138694292682359 1.34349832058969e-05 1.04516987959743e-05 8.44634542334047e-05 4.00194037801817e-05 -7.70314838426686e-05 -3.66786025242236e-05 5.80496101091807e-06 3.80466267454939e-05 -0.000107442757215802 -9.9847406716021e-05 0.000102759602002988 9.51195756221985e-05 9.39809213221566e-05
covarPC3 -4.97496215860803e-05 0.931139687916512 0.0188248495964154 -0.0187511022677562 -1.85304391740468 0.92194641586888 -0.00025080159138558 0.000213764724004328 0.00351246937267976 0.000147537814560366 0.000487620143090711 1.44408384852761e-05 0.000233513423112073 -0.000101536758089154 -0.000432046701260543 -4.61148001229362e-05 0.00018493431891542 2.63338357318392e-05 -0.000347780453432093 4.41277326991875e-05 -2.45624354678528e-05 0.00010003822768238 -0.000210317988362017 -0.000258811656343944 0.000196740633778939 5.64653889441946e-05 -0.000178177277205499 1.8522546310569e-05 0.000201736123121531 -0.000180954983280613 0.000500689359322321 -0.000151137383735267 0.000393914938997357
covarPC4 2.74799426310821e-05 0.301092516794925 -0.0208561274668984 0.0209007366171925 -0.608904954328835 0.307861336273347 -0.000102219860091463 0.000228517812379298 0.000147537814560366 0.00332663328636464 0.000501363323494447 -0.000112609816660439 9.74159041908805e-05 -0.000397550748561759 0.000132276846964084 8.924700467899e-05 9.9778583188292e-05 -0.000328104648474142 -0.000209450180223686 -7.37533278275065e-06 -2.25859354130701e-05 1.18104280598826e-05 7.00864042686491e-06 -0.000177902345866527 -4.68050841792483e-05 4.7254914219496e-05 -8.12595581322654e-05 -5.70859024033502e-05 -2.23714701055037e-05 -2.19452824310229e-05 0.000378181201999991 0.000416158515326913 -2.55894660600141e-05
