(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal
covarPC5 2.34395731445694e-05 -0.245801790048207 -0.000671812999647703 0.000646723524431038 0.493375165696004 -0.24759294824732 -1.91149542686309e-05 -3.51911158285194e-05 0.000108942047270865 0.000169456866158313 0.00145161723025642 1.17084037474224e-05 0.000140411362512038 3.57188313029276e-06 -1.66784829146095e-05 -2.54165076327863e-05 -8.70969189567013e-05 6.09116488159772e-05 -9.02507508030931e-05 6.26673395278151e-06 1.05019675556874e-05 -2.20174227225557e-05 8.15723339875547e-05 -3.20329799182555e-05 9.48198372225503e-06 2.40973211203678e-05 -2.84295015759935e-05 4.18414077872897e-05 3.41965980632092e-05
covarPC6 2.13147423159716e-05 0.107841544167699 0.00892520934059473 -0.00897036802411171 -0.21840939748387 0.110604810098367 4.19328940665911e-07 -1.83207303151758e-05 -5.62617856943875e-06 -5.69807110605593e-05 1.17084037474224e-05 0.00123620296633019 6.50629125667238e-06 1.11163350104188e-05 3.51701958986594e-05 3.05669424066311e-06 -5.38364613854255e-05 1.25587995120654e-06 -4.75468195087675e-05 2.48969488207769e-06 -1.15469819118502e-05 -4.96880172906959e-06 5.93804348404489e-05 -1.72305776890297e-05 -1.75774710547039e-06 -3.37699354324074e-05 5.98613177917783e-06 -6.57900875186339e-05 1.62895070722998e-05
covarPC7 -3.40038738061186e-05 -0.0531329025589765 3.50899506779062e-05 1.1243408995191e-05 0.108040870215648 -0.0549479660398376 5.07861025865927e-05 1.87352842876396e-06 4.12501499791287e-05 -8.22343043391118e-06 0.000140411362512038 6.50629125667238e-06 0.00135275351069466 7.88627078605465e-05 -2.48606436982498e-05 -2.3483840503278e-05 0.000111823668171513 1.43972053420483e-05 9.95012628578499e-05 -2.36424362629853e-05 -4.88001859012586e-05 -2.90444396814327e-05 -1.31838202157541e-05 1.93043571153162e-05 -9.15360150717604e-06 -2.5035249602876e-05 -4.35556011294791e-05 5.23946495570747e-05 5.29262146821669e-05
covarPC8 1.44475274811885e-05 -0.0359473265838463 0.00506314196207011 -0.00507291330002768 0.0706187099666931 -0.0346639037102704 6.1070205682135e-05 2.87198862359947e-05 -2.47609065513895e-05 -0.000131325114207748 3.57188313029276e-06 1.11163350104188e-05 7.88627078605465e-05 0.00138705134244329 6.20077894187696e-06 4.30007627421271e-05 -7.59496241211377e-05 2.75173513106103e-05 -1.05481182759595e-05 1.91426584202619e-05 -3.25594109944326e-05 2.31970709541888e-05 2.56688059300251e-05 -1.15705866962211e-05 -1.87747209014897e-05 3.1520512535061e-05 1.47551931745278e-05 3.05433146924938e-05 3.38135506311375e-06
covarPC9 -1.55561085906263e-06 -0.11863301670479 -0.00117655410226868 0.00122613655722823 0.239785936747605 -0.121193105810803 -3.67519653504451e-06 -1.10880637089026e-05 -0.000180998308269438 9.63415161793965e-05 -1.66784829146095e-05 3.51701958986594e-05 -2.48606436982498e-05 6.20077894187696e-06 0.00137861104733136 -8.59367687935735e-06 -4.32808504209664e-05 -2.22109482240439e-05 -4.51409517572746e-05 -3.02411460498811e-05 9.77231982364228e-06 1.67497477445773e-05 4.80459911665219e-05 -5.99429739026304e-05 -2.26815539488394e-06 -2.32847627031105e-05 7.31370633434492e-06 -4.34436381730736e-05 7.6148722321305e-05
covarPC10 -1.65439103338848e-05 0.279285015207478 0.00490941873815827 -0.00487112600383357 -0.556571597567482 0.277318388207611 3.93568478409269e-05 6.4473134374998e-07 7.42326086851234e-06 4.77316271460533e-05 -2.54165076327863e-05 3.05669424066311e-06 -2.3483840503278e-05 4.30007627421271e-05 -8.59367687935735e-06 0.00132638612784667 -6.84244022073494e-05 4.60673964678232e-05 -7.08816614848811e-05 -3.43681819832611e-05 -1.94914496060867e-05 -5.61683391431007e-05 1.54816905770339e-05 6.36763584059783e-05 4.37238534107549e-05 -4.22320501328718e-06 1.58429678683125e-06 1.26148812270853e-05 2.82979784358332e-05
covarPC11 -1.61041904318105e-05 -0.0895067247783324 -0.000870141537320441 0.000894479421605294 0.177494711385818 -0.0879939623658034 -2.12851545115407e-05 1.83510771358053e-05 9.47125802842092e-05 7.34315900520268e-05 -8.70969189567013e-05 -5.38364613854255e-05 0.000111823668171513 -7.59496241211377e-05 -4.32808504209664e-05 -6.84244022073494e-05 0.00138551151064658 2.9529910169414e-06 -3.30302605245051e-05 -4.44764672277984e-05 1.96712073607718e-05 1.41760770127218e-05 6.557919936465e-05 -1.2463073093878e-05 3.37405151301356e-05 5.87986048394112e-05 2.98000444247634e-05 6.17225963069162e-05 9.02727787022647e-07
covarPC12 -2.87665400330699e-07 0.0429845825007145 0.00281038372860531 -0.00281910777485269 -0.0830939836673453 0.0401348100213943 0.000181466787425134 -3.61997814577663e-05 3.13608165426072e-05 -8.64475204602929e-05 6.09116488159772e-05 1.25587995120654e-06 1.43972053420483e-05 2.75173513106103e-05 -2.22109482240439e-05 4.60673964678232e-05 2.9529910169414e-06 0.00129786291977901 -5.68188796550916e-06 -3.03966081151755e-06 -1.68935866729967e-05 -4.21934932788724e-05 -1.83830587582034e-05 1.14811044457287e-05 -1.18842701462563e-05 -3.53289209303802e-05 2.76637334561351e-05 3.45033758885687e-05 -1.80635682564468e-05
covarPC13 3.06276163980061e-05 -0.0608223057321488 -0.000894187404824538 0.000888965342186107 0.123267756495894 -0.0624223845426597 -1.0615030259103e-05 -3.22378022516141e-06 -9.8081008324022e-05 1.46929041466612e-05 -9.02507508030931e-05 -4.75468195087675e-05 9.95012628578499e-05 -1.05481182759595e-05 -4.51409517572746e-05 -7.08816614848811e-05 -3.30302605245051e-05 -5.68188796550916e-06 0.00128424289196583 -1.35554951277438e-05 6.70672859556897e-05 3.41031041928533e-05 2.37817239236014e-05 -5.04728050055802e-05 2.46845938065376e-05 8.42341163801319e-06 -4.2280995210798e-05 -4.26399933507522e-05 5.49807792073424e-05
covarPC14 3.49148789385524e-05 -0.47819053859752 -0.000879926091535363 0.000799997380454935 0.954007856848986 -0.475876030599999 -7.88389340468914e-05 -3.99629256328322e-05 1.87902664346221e-05 -4.84841940307798e-05 6.26673395278151e-06 2.48969488207769e-06 -2.36424362629853e-05 1.91426584202619e-05 -3.02411460498811e-05 -3.43681819832611e-05 -4.44764672277984e-05 -3.03966081151755e-06 -1.35554951277438e-05 0.00131046449841875 -1.24795773262928e-05 -1.48359274813808e-05 -1.34380255807444e-05 2.66280119540573e-05 3.25821219528832e-05 -1.58248851190783e-05 -1.18063264911521e-06 -1.12997593087457e-05 1.94116448095144e-05
covarPC15 2.53169930582484e-05 -0.24152001808759 -0.0126426822033956 0.0126207766540173 0.484253329508211 -0.242721845651385 -0.000155268784305484 1.91383688935874e-05 8.10974068530146e-06 -1.30190716442708e-05 1.05019675556874e-05 -1.15469819118502e-05 -4.88001859012586e-05 -3.25594109944326e-05 9.77231982364228e-06 -1.94914496060867e-05 1.96712073607718e-05 -1.68935866729967e-05 6.70672859556897e-05 -1.24795773262928e-05 0.00132189011224851 4.41505056722394e-05 -5.56953114401592e-05 -5.19312764994428e-05 2.89202483701392e-05 3.22369404172731e-05 -1.91077534265116e-05 -3.37432840081957e-06 3.77291287339079e-05
covarPC16 -3.37639859450492e-06 -0.243143369962753 -0.0147742357257667 0.0147804942745093 0.485540537072775 -0.242412185723582 -0.000126852310134249 -1.80805504074908e-05 -6.17695940443687e-06 3.25747447715875e-05 -2.20174227225557e-05 -4.96880172906959e-06 -2.90444396814327e-05 2.31970709541888e-05 1.67497477445773e-05 -5.61683391431007e-05 1.41760770127218e-05 -4.21934932788724e-05 3.41031041928533e-05 -1.48359274813808e-05 4.41505056722394e-05 0.00132238843284713 -8.09856563657928e-06 -3.44355856054138e-05 -5.76992087968192e-05 -9.60480794663925e-06 -2.51685905917363e-05 2.62968456098716e-05 2.03036421809585e-05
covarPC17 2.22225709110862e-05 0.211594105401053 0.00748000959954121 -0.0075214744077938 -0.422999545865961 0.211470752150627 1.13384584331632e-05 3.60896675600094e-05 -5.46221182744997e-05 5.8626296831964e-06 8.15723339875547e-05 5.93804348404489e-05 -1.31838202157541e-05 2.56688059300251e-05 4.80459911665219e-05 1.54816905770339e-05 6.557919936465e-05 -1.83830587582034e-05 2.37817239236014e-05 -1.34380255807444e-05 -5.56953114401592e-05 -8.09856563657928e-06 0.00129708886829347 -1.29961621646823e-05 -3.9872644671847e-05 -2.14357231081928e-05 -2.18868552605574e-05 -4.23699164327623e-05 -2.87295352231316e-05
covarPC18 -1.4918547393146e-05 -0.191279775492033 0.00559693696448505 -0.00559194174944596 0.381719080036502 -0.190441210542324 5.1372053484846e-05 -1.36111247776744e-06 -6.9091380020952e-05 -4.68693618516613e-05 -3.20329799182555e-05 -1.72305776890297e-05 1.93043571153162e-05 -1.15705866962211e-05 -5.99429739026304e-05 6.36763584059783e-05 -1.2463073093878e-05 1.14811044457287e-05 -5.04728050055802e-05 2.66280119540573e-05 -5.19312764994428e-05 -3.44355856054138e-05 -1.29961621646823e-05 0.00127094294859654 5.07244670070457e-06 3.7904619399072e-06 2.65365498425906e-05 -3.43042757060943e-05 -2.55238859071835e-05
covarPC19 -3.15692142837586e-06 0.171323280596131 0.0039313298278517 -0.00395638663226038 -0.345991808580204 0.174671436885051 4.47218646300648e-05 7.44386187663392e-06 5.90401827508371e-05 -2.74625322486311e-05 9.48198372225503e-06 -1.75774710547039e-06 -9.15360150717604e-06 -1.87747209014897e-05 -2.26815539488394e-06 4.37238534107549e-05 3.37405151301356e-05 -1.18842701462563e-05 2.46845938065376e-05 3.25821219528832e-05 2.89202483701392e-05 -5.76992087968192e-05 -3.9872644671847e-05 5.07244670070457e-06 0.00130007209612088 3.18857591014934e-05 2.82759308386785e-05 -1.09981303471313e-05 1.6711755170047e-05
covarPC20 1.61618673080536e-05 0.263543887734418 -0.00311363411727461 0.00311991393324137 -0.527398236997146 0.263874927005329 -1.45835922799494e-05 6.5390488451314e-06 2.26201063747013e-05 6.35099511748054e-06 2.40973211203678e-05 -3.37699354324074e-05 -2.5035249602876e-05 3.1520512535061e-05 -2.32847627031105e-05 -4.22320501328718e-06 5.87986048394112e-05 -3.53289209303802e-05 8.42341163801319e-06 -1.58248851190783e-05 3.22369404172731e-05 -9.60480794663925e-06 -2.14357231081928e-05 3.7904619399072e-06 3.18857591014934e-05 0.00125598848444107 4.63152867372348e-05 -2.20777110314574e-05 -5.66441875337452e-05
proband -2.58837226410868e-06 -0.12424758567302 0.00963406568784499 -0.00962199314933153 0.243024502370708 -0.1188679348175 -1.53417317456041e-05 3.47217868647896e-05 4.54129364643404e-05 7.34478643948017e-05 -2.84295015759935e-05 5.98613177917783e-06 -4.35556011294791e-05 1.47551931745278e-05 7.31370633434492e-06 1.58429678683125e-06 2.98000444247634e-05 2.76637334561351e-05 -4.2280995210798e-05 -1.18063264911521e-06 -1.91077534265116e-05 -2.51685905917363e-05 -2.18868552605574e-05 2.65365498425906e-05 2.82759308386785e-05 4.63152867372348e-05 0.00226953806639126 -0.00116791363908016 -0.00116721020455471
paternal -1.75886971354918e-05 0.539642081935332 -0.0102941301692384 0.0103681508762866 -1.0746317814785 0.535060839797288 0.000172271054941037 1.46342377718845e-07 1.02736035894103e-05 2.97193276196194e-05 4.18414077872897e-05 -6.57900875186339e-05 5.23946495570747e-05 3.05433146924938e-05 -4.34436381730736e-05 1.26148812270853e-05 6.17225963069162e-05 3.45033758885687e-05 -4.26399933507522e-05 -1.12997593087457e-05 -3.37432840081957e-06 2.62968456098716e-05 -4.23699164327623e-05 -3.43042757060943e-05 -1.09981303471313e-05 -2.20777110314574e-05 -0.00116791363908016 0.00214465733340153 0.000440224721237164
maternal -7.38258104832184e-05 0.236965220463328 -0.0104863397095663 0.0104830424988699 -0.472332014048892 0.235409517958349 0.000156107242368728 -2.59445295484565e-06 -2.21273503471465e-05 7.8428292755197e-05 3.41965980632092e-05 1.62895070722998e-05 5.29262146821669e-05 3.38135506311375e-06 7.6148722321305e-05 2.82979784358332e-05 9.02727787022647e-07 -1.80635682564468e-05 5.49807792073424e-05 1.94116448095144e-05 3.77291287339079e-05 2.03036421809585e-05 -2.87295352231316e-05 -2.55238859071835e-05 1.6711755170047e-05 -5.66441875337452e-05 -0.00116721020455471 0.000440224721237164 0.00202970829115427
