 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
PC10 9.470499162896017e-07 1.8053675718757133e-07 6.717267068008677e-07 2.3836360755803998e-07 3.681668931015159e-07 -1.8897019780777602e-07 -2.7806727747504945e-07 4.274796154096487e-07 7.264193513339164e-07 -1.2191678855224639e-06 2.250762786249186e-05 -2.1279230855289432e-07 5.598653726651094e-07 -2.6227165977085564e-07 -1.327827719967558e-07 6.081498770233233e-07 -5.090233962823797e-07 -2.6982238205108406e-07 1.9525661001042324e-07 1.1010193511899087e-06 -1.039800421548953e-07 7.517607671653201e-07 -4.271195751279816e-06 1.0291273003313775e-06 1.4427064019296015e-06 6.057601483629851e-06 2.4187662164473544e-06 -1.339451177423531e-06
PC11 1.165258582346694e-05 -1.7344340358454054e-07 -9.938787305233891e-07 3.019937884843824e-07 9.993744478285076e-07 -1.3664354119562906e-06 -1.7540534809249787e-07 2.223829216850913e-06 -1.4883220706450448e-06 3.4027726493379025e-07 -2.1279230855289474e-07 1.8695618413873075e-05 -3.861408159131559e-07 6.75822194854547e-08 -8.010367537679413e-07 8.330510136380389e-07 7.32382618917249e-07 -1.28649242024299e-07 1.0529982026606421e-07 8.711627247453856e-07 3.364492448835834e-07 9.051439866173262e-07 8.137095592694632e-06 -1.303552588688458e-05 -1.7815194565885488e-06 4.516325369509993e-06 4.141944910579854e-06 2.4885950859283045e-05
PC12 -4.7320229787528555e-06 1.227673882154504e-06 -1.5415731236645886e-06 1.499040069370197e-07 -1.5175296209320174e-06 5.447067401002238e-07 -3.1806627733038243e-07 5.782785763257573e-07 2.612321281436963e-07 -9.293934299560272e-07 5.598653726651095e-07 -3.86140815913155e-07 1.7112364993402298e-05 7.458776612199128e-07 -2.2476715925433722e-07 -1.198967894936836e-06 1.2074427037571603e-07 -9.757576502253536e-08 1.8525620461368106e-07 -8.522595961744049e-08 3.763029951974031e-08 -2.9705786628733192e-06 7.782329938627517e-06 3.446085801516503e-06 6.680221147725109e-06 -5.310961954383373e-07 8.282010619278109e-06 -2.8191525452580615e-06
PC13 2.0926894188725687e-06 -1.6640876128893715e-07 1.3229323824584608e-06 -1.4274656483352758e-06 -5.75821759486091e-07 -1.7074392497383835e-06 -8.680929952819285e-07 1.1155020731082582e-06 -1.7371491824108105e-07 -2.8470278094677004e-08 -2.622716597708553e-07 6.758221948545416e-08 7.458776612199126e-07 1.873842215306465e-05 -6.095196855315402e-07 2.6869803077097663e-06 8.841251801682637e-07 1.953514198288936e-07 -7.944869328921545e-07 -6.297748341167678e-07 -5.304912174490079e-08 -2.2174070339449353e-06 -2.254691146228449e-06 1.4444741209844342e-05 1.9872722608414347e-06 2.2728466352906034e-06 -6.055321061556406e-06 -3.48955141758938e-06
PC14 -1.1322781120150716e-06 -6.197461824772776e-07 -2.823116837075483e-07 -4.177984991856902e-07 -3.850211480269902e-07 4.972592528992119e-07 3.3742213618528383e-07 -4.933225269056501e-07 -4.686802650652697e-08 -1.40100778921056e-06 -1.327827719967556e-07 -8.010367537679415e-07 -2.2476715925433761e-07 -6.095196855315405e-07 1.812181114260149e-05 -4.6993905050844204e-07 9.853762271696438e-08 -7.779956401774162e-07 2.97207904689049e-07 -4.626236623598366e-08 -4.4675215402415746e-07 -1.5510824913980076e-06 8.869392780928331e-06 7.53322772717433e-06 -4.828329669180431e-06 -2.5799941874776233e-06 -9.662059469686372e-06 3.630855064486381e-06
PC15 -1.5661946985846524e-06 -1.2286180505459729e-06 -1.563492327382492e-07 -4.797868297086565e-07 3.548270771286723e-07 2.8634969103232395e-07 2.0537861040184142e-07 -5.199004240164981e-07 -7.029995231659215e-07 5.090934182730766e-07 6.081498770233235e-07 8.330510136380387e-07 -1.1989678949368367e-06 2.6869803077097654e-06 -4.699390505084421e-07 1.8500674789387676e-05 1.408498692589788e-06 -1.2237573716788777e-06 3.6443950308240577e-07 -7.670546141373807e-07 -6.280791491119887e-07 5.278201610808813e-07 -9.699964610815503e-06 -8.736231685605226e-06 5.408152925086692e-06 6.202949542309614e-06 2.6167798237016656e-05 -5.874411073012782e-07
PC16 7.851913095825542e-07 -1.08934456894411e-06 -1.5386274221342373e-06 3.9538561241931044e-07 2.1873150542084094e-07 -3.4721193051342797e-07 -2.2388424945600633e-07 -4.13903190997857e-07 -1.9756788884495743e-07 6.036005093552375e-07 -5.090233962823801e-07 7.323826189172482e-07 1.2074427037571585e-07 8.841251801682631e-07 9.853762271696434e-08 1.4084986925897883e-06 1.8553808894906735e-05 -7.245449698033671e-07 -6.425564714206075e-08 -7.214409004476369e-07 -1.6460071953248313e-07 8.605314185081878e-07 1.8795191841787137e-06 -8.987939793180538e-06 -1.60763932782525e-05 6.034742865726179e-06 2.111883546104832e-05 2.2835854852513644e-06
PC17 -1.2173427365828762e-06 2.7462719919043103e-07 1.5491847328559533e-06 -9.407352464489646e-07 3.432389735009369e-07 1.106082776315348e-06 8.565210536404113e-07 1.9454336344660605e-07 -3.7689819682894743e-07 1.4331862462466047e-06 -2.698223820510843e-07 -1.2864924202429924e-07 -9.757576502253521e-08 1.95351419828894e-07 -7.779956401774153e-07 -1.2237573716788788e-06 -7.245449698033678e-07 1.6789846543178135e-05 8.502192949445573e-07 1.9059829318092534e-07 -2.682842401580777e-07 6.282373791765609e-07 -1.257990604733701e-05 2.8501663791509043e-07 6.654138730950753e-06 7.818030075579063e-06 -2.259061672125335e-06 -5.608135521461277e-06
PC18 1.222643209644591e-06 -2.1628181816369158e-07 6.789033289474243e-07 -7.606427861928363e-07 -6.19348301847673e-07 -3.7044606667758634e-07 -6.430148466194336e-07 5.052257225865124e-07 -1.7638814495121882e-06 -2.671572996663959e-07 1.9525661001042234e-07 1.0529982026606367e-07 1.8525620461368059e-07 -7.944869328921547e-07 2.9720790468904904e-07 3.644395030824053e-07 -6.425564714206133e-08 8.502192949445576e-07 1.6571858644395807e-05 5.870672468662917e-08 1.0099793704137254e-06 3.1265980656607826e-06 7.5771868908269826e-06 -1.5127153308384318e-06 1.0197470719058328e-06 -1.7016147515104523e-05 2.4859470772107234e-06 -2.315637539365606e-06
PC19 4.249288833555054e-06 2.4169304772526204e-07 -7.924001297142796e-07 6.385446978361382e-07 -2.0193460805801228e-07 2.0023158579066213e-07 -7.482802396141025e-07 -1.9710865415900797e-07 -2.792843395438216e-08 -1.898768556168132e-07 1.1010193511899087e-06 8.711627247453859e-07 -8.522595961744049e-08 -6.297748341167682e-07 -4.626236623598431e-08 -7.6705461413738e-07 -7.214409004476369e-07 1.9059829318092513e-07 5.87067246866296e-08 1.7547933213903363e-05 1.365354351478194e-06 -3.963480208623227e-06 2.866296061082201e-06 -4.533157672640863e-06 -6.87466766089556e-06 -8.951186330826739e-06 1.9419346310340927e-05 -6.752696362376618e-06
PC20 -3.7243872110348105e-07 -2.7046999485097286e-07 -9.545499664539897e-07 4.2013665521279547e-07 8.339687221067357e-08 4.39449043596957e-07 -5.608098648945837e-07 -6.970883606517819e-07 2.422323320761087e-07 -1.084329115138137e-06 -1.0398004215489604e-07 3.364492448835836e-07 3.763029951974009e-08 -5.3049121744901046e-08 -4.4675215402415757e-07 -6.280791491119889e-07 -1.646007195324828e-07 -2.6828424015807783e-07 1.0099793704137256e-06 1.365354351478194e-06 1.575468918624141e-05 7.1954818825516684e-06 2.87118656257203e-06 1.1381224272348567e-07 -1.1686100858700023e-05 -1.287629478690475e-05 -1.2146390780109827e-05 -9.982185988812512e-06
proband 2.7522011221658482e-05 -8.846324423785639e-07 -3.492047308781998e-06 2.361519826041794e-06 4.187766543391859e-06 -8.509286347460017e-06 4.443417219471177e-06 -1.0047182131215978e-05 -4.1157204812548543e-07 3.165576983386047e-07 7.517607671653119e-07 9.051439866173149e-07 -2.970578662873311e-06 -2.2174070339449272e-06 -1.5510824913979913e-06 5.278201610808664e-07 8.605314185081674e-07 6.282373791765666e-07 3.1265980656607835e-06 -3.963480208623236e-06 7.19548188255167e-06 0.0017615612926848744 -0.0007816288619723542 -0.0008429432997153991 -0.00017052016732235333 2.1098724382937948e-05 -0.00015010277666038303 -2.584949439521495e-05
paternal 0.00018994278366467866 2.590247568127147e-06 1.2153990507439626e-05 1.1117946401425736e-05 -6.986321817217966e-06 9.421076414122434e-06 -5.516203279049588e-06 -1.0883865936705435e-07 5.614604036235542e-06 -8.13584463176405e-06 -4.271195751279812e-06 8.137095592694623e-06 7.7823299386275e-06 -2.254691146228463e-06 8.869392780928319e-06 -9.69996461081548e-06 1.8795191841787456e-06 -1.257990604733701e-05 7.577186890826975e-06 2.866296061082182e-06 2.871186562572025e-06 -0.0007816288619723538 0.0035729185883044325 0.0003090118233823717 -0.0025726765018971114 -0.002017063532526052 9.510854924491027e-05 0.00016812919667474316
maternal 7.326394405359576e-05 2.341524258587429e-06 5.841848799193949e-06 4.996490928686354e-06 6.194324800160965e-07 9.006455132490432e-06 -1.0472689786907393e-05 2.6613639891710246e-07 -5.4074878727745485e-06 1.5712514231215648e-05 1.0291273003313696e-06 -1.3035525886884581e-05 3.4460858015164923e-06 1.4444741209844325e-05 7.533227727174333e-06 -8.736231685605233e-06 -8.987939793180547e-06 2.8501663791507455e-07 -1.5127153308384509e-06 -4.5331576726408616e-06 1.1381224272347975e-07 -0.0008429432997154026 0.00030901182338237377 0.003908320793287507 0.00014884421836950724 -1.087724778490935e-05 -0.002121155688121397 -0.0026437353106951674
gpp -0.00026790180824904215 7.478804472437058e-06 1.2560786870354558e-05 -7.033404426957617e-07 7.284311448689206e-06 -8.231123312670958e-06 -1.1885321459030624e-05 1.0659600257643328e-05 -2.208060430894654e-06 -9.691730234008233e-06 1.4427064019296142e-06 -1.7815194565885467e-06 6.680221147725124e-06 1.9872722608414414e-06 -4.828329669180434e-06 5.408152925086686e-06 -1.6076393278252514e-05 6.654138730950737e-06 1.0197470719058544e-06 -6.874667660895539e-06 -1.1686100858700011e-05 -0.00017052016732235325 -0.0025726765018971114 0.00014884421836950694 0.006108856536843978 -0.0007602799970312488 -0.00023758435059871523 0.00010851639231287369
gmp -2.435025994218869e-05 2.393829946278877e-06 -3.0045812295111075e-05 -2.048273413761529e-05 5.330317200298407e-06 5.556199871968374e-06 5.4596665372550014e-06 -3.1371790245372437e-06 -9.33294098867101e-07 1.561696689719681e-05 6.057601483629844e-06 4.516325369510015e-06 -5.310961954383357e-07 2.272846635290612e-06 -2.579994187477612e-06 6.2029495423096006e-06 6.0347428657261715e-06 7.818030075579063e-06 -1.701614751510453e-05 -8.951186330826709e-06 -1.2876294786904744e-05 2.109872438293739e-05 -0.0020170635325260505 -1.0877247784908993e-05 -0.0007602799970312504 0.00478058999753497 0.00020821375310007713 -0.00019240193135771407
gpm -5.534073229603378e-05 2.889120453067e-06 -4.253398124052555e-06 -1.0512193220003332e-05 2.37354108421582e-05 1.2760487766983433e-05 1.6699080751522562e-05 1.6043635997346427e-05 -8.087752620766484e-06 1.8364917471860826e-05 2.418766216447356e-06 4.14194491057984e-06 8.282010619278131e-06 -6.055321061556401e-06 -9.662059469686393e-06 2.6167798237016653e-05 2.1118835461048308e-05 -2.259061672125307e-06 2.4859470772107352e-06 1.9419346310340927e-05 -1.2146390780109813e-05 -0.00015010277666037956 9.510854924490773e-05 -0.0021211556881213962 -0.00023758435059871469 0.0002082137531000775 0.0071930282958821 -0.002884377796443586
gmm -8.755204295865995e-05 7.349012074995735e-06 4.547448436966741e-06 -4.233561724465732e-06 -9.624094392874654e-06 -2.905803433424978e-06 2.855421652494141e-06 -4.51204202392795e-06 1.992119925469287e-05 -2.0976831393718803e-05 -1.3394511774235127e-06 2.4885950859283065e-05 -2.819152545258059e-06 -3.4895514175893683e-06 3.630855064486388e-06 -5.874411073012402e-07 2.2835854852514098e-06 -5.60813552146129e-06 -2.315637539365587e-06 -6.752696362376613e-06 -9.982185988812527e-06 -2.5849494395212387e-05 0.000168129196674743 -0.0026437353106951713 0.00010851639231287267 -0.00019240193135771442 -0.0028843777964435804 0.007620497530574551
