 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -3.4676249323521087e-08 -3.5539430958175836e-08 7.356859702968935e-08 1.3375464443583922e-07 1.1063002996369587e-07 -3.001309271405968e-07 -1.455476021344475e-07 3.545613995206651e-07 -2.2431581158136653e-07 -1.4177615320312995e-07 -2.0383361882542883e-07 4.336703686526763e-06 -6.002609226040202e-08 -5.216191306376064e-08 -1.0615533577052063e-07 9.260734818141513e-08 1.5716263358208315e-08 1.6302915824496885e-07 -1.7266933213960496e-08 8.064573947484385e-08 1.61245606867305e-07 1.218645930990698e-06
PC12 2.6306586208537793e-08 2.294379627447114e-07 -1.3463953001501512e-07 6.935639200566737e-08 -2.047448228689495e-07 1.7417908699028084e-07 2.166008761366746e-08 6.745040354931403e-08 9.506300379631946e-08 -4.174672618646042e-08 1.372927106348079e-07 -6.002609226040203e-08 4.193378249498442e-06 1.9789393399759505e-08 -1.7867411116134238e-08 -8.971591532074142e-08 -9.521520741737667e-08 -2.2712162659483363e-08 4.9300689617794375e-08 -6.820176989045139e-08 -7.853917861928114e-08 4.897383926637812e-07
PC13 1.2251247276489817e-07 -2.2842636970179085e-09 4.444296153116539e-08 -1.7165301218523173e-07 1.4517129531244261e-08 -2.466860040615928e-07 -1.5421949132733617e-07 2.7172936836161297e-07 -6.44490994355472e-08 -1.3190674191293537e-07 -1.9944217215700667e-07 -5.216191306376067e-08 1.978939339975955e-08 4.001355097748872e-06 -7.430520401552544e-08 1.925984297625731e-07 6.659180088118342e-08 2.4111403798870514e-08 -1.1959723688551102e-07 4.8538149877591764e-08 2.5736566081754616e-08 -3.902556465412886e-07
PC14 1.1874816059139426e-07 -1.0357945199428842e-07 -1.8409167564119107e-07 -1.977229927904249e-09 -9.508626274769526e-08 3.1963836075042985e-08 -2.677265119208438e-08 -2.7714570806351337e-08 5.739235960180597e-08 -5.551131866291882e-08 -1.0740520384137087e-07 -1.0615533577052059e-07 -1.786741111613428e-08 -7.430520401552533e-08 4.342184689050213e-06 -2.2747894199782338e-08 -7.885669334274429e-08 -2.1566650718550157e-08 8.126584032285938e-08 1.157007257370537e-07 -1.374973070580939e-08 -9.696540161252701e-08
PC15 -4.752409442229712e-07 -1.8257126314432253e-07 1.0936467270006146e-07 -6.884553500300008e-09 -3.35212280864978e-08 6.338033802325162e-08 -2.1393625488156528e-08 -1.6679693874452123e-07 -9.480048028732883e-08 3.194987179061198e-08 -7.577765870638161e-08 9.26073481814151e-08 -8.971591532074143e-08 1.9259842976257313e-07 -2.2747894199782444e-08 4.090291965290371e-06 1.3841186206442306e-07 -1.6520073296503677e-07 -9.57711708833553e-08 9.84316682743392e-08 8.164600819367295e-08 -1.9496730541651744e-08
PC16 -2.2843322530723279e-07 -1.5863136844891655e-07 -1.720636974006695e-07 6.209470306333386e-09 5.723000237880822e-08 -4.790944166274991e-08 -2.2974399781559887e-08 -1.0991142912970354e-07 4.002636204661793e-08 1.1307676978033945e-07 -1.5796765517867598e-07 1.571626335820821e-08 -9.52152074173767e-08 6.659180088118344e-08 -7.885669334274442e-08 1.3841186206442306e-07 4.2258328569966385e-06 -1.356231592717527e-08 -5.624031709537939e-08 -1.1248995214873414e-07 -7.008967295254911e-08 -3.580301334255583e-08
PC17 2.474939203300154e-07 2.4624024515221386e-08 1.4964189978208515e-07 -1.055870930936897e-07 -3.2603719559919125e-09 2.3842198116944727e-07 2.4270290626711695e-07 -3.455512175757338e-08 6.836879487359303e-08 1.303417837893349e-07 2.474959275814767e-08 1.630291582449688e-07 -2.2712162659483326e-08 2.4111403798870458e-08 -2.1566650718550167e-08 -1.652007329650367e-07 -1.356231592717527e-08 3.861443569626042e-06 -2.3485127197272024e-08 -3.752232320483787e-08 -2.404682903790755e-09 -8.780416456221032e-07
PC18 -1.5770623723820015e-07 5.312582708322838e-08 -6.193647733589516e-09 -1.4023787369134673e-07 -7.969607547455834e-08 -1.0647545188160527e-07 -6.161195920305526e-08 6.980674943832495e-08 -4.104488423759445e-08 -1.61563995730238e-07 1.6939669591591946e-07 -1.7266933213960413e-08 4.9300689617794355e-08 -1.1959723688551097e-07 8.126584032285935e-08 -9.577117088335532e-08 -5.6240317095379455e-08 -2.3485127197271967e-08 3.886980738092978e-06 9.194680810453495e-10 4.291628138757556e-08 9.563920595324176e-08
PC19 6.588499620039062e-07 3.128679953990977e-08 -6.1752336421235654e-09 1.1559634930362817e-07 -6.260772185281643e-08 8.570961531745899e-08 -2.837757257819663e-08 -3.3891625678590096e-08 -5.264788612175921e-08 -7.760810640040742e-08 1.4485407340624045e-07 8.064573947484394e-08 -6.820176989045137e-08 4.853814987759175e-08 1.1570072573705368e-07 9.84316682743392e-08 -1.1248995214873408e-07 -3.752232320483789e-08 9.194680810454039e-10 3.9151411500898825e-06 1.1134138697062957e-07 4.837883121556589e-07
PC20 2.444196576717991e-07 1.8194069247609716e-08 -1.0244690480502763e-08 4.309937407663407e-08 -2.1730605332860987e-08 7.05942566814574e-08 -9.92427704212322e-08 -1.134591758910139e-07 8.717365506657576e-08 -8.560984123644144e-08 4.787033406887014e-08 1.6124560686730503e-07 -7.853917861928116e-08 2.5736566081754705e-08 -1.374973070580941e-08 8.164600819367288e-08 -7.008967295254909e-08 -2.404682903790735e-09 4.2916281387575534e-08 1.1134138697062961e-07 3.627325796796111e-06 8.884307759291157e-08
proband 1.7885070295140057e-06 1.0975387699686182e-06 1.3218161821774278e-06 2.664961222378774e-07 2.21360178791902e-06 8.691688727982107e-09 -3.203122071590617e-07 1.0160572611293313e-07 4.711443923361653e-07 7.085872924249279e-07 4.4319596765105804e-07 1.2186459309906982e-06 4.897383926637811e-07 -3.9025564654128866e-07 -9.696540161252703e-08 -1.9496730541651337e-08 -3.580301334255526e-08 -8.780416456221029e-07 9.563920595324193e-08 4.83788312155659e-07 8.884307759291156e-08 0.0002064223603712786
