 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -6.676018807934416e-07 -3.766918209114191e-08 9.56325328403712e-08 1.0061520333868861e-07 7.608763740714516e-08 -2.2867064127362827e-07 -1.2397008914512803e-07 2.463227672714111e-07 -1.739141921299077e-07 -9.623993279447812e-08 -1.376702352975353e-07 3.868706103948045e-06 -7.197435757169904e-08 -2.8876120125358453e-08 -7.147765081569928e-08 8.950685378497957e-08 2.343800294157825e-08 1.1976195857765772e-07 -2.782156199801951e-08 4.700457650698403e-08 1.455054166873754e-07 8.36998423651052e-07
PC12 1.1411142052528704e-07 1.9287993274839086e-07 -3.803634640004036e-08 6.736055034009588e-08 -1.82186386457884e-07 1.4490157710594882e-07 1.7292981360446442e-08 6.418600925084572e-08 1.1339562149399044e-07 -1.9741715124922498e-08 7.994558855931773e-08 -7.197435757169899e-08 3.7630707138292287e-06 -2.7620608255913936e-08 -1.7862373728330132e-08 -1.0868956169155441e-07 -7.562857225448077e-08 1.3358209919887427e-08 1.8920612734184213e-08 -2.8515462786794542e-09 -4.3492333315823646e-08 1.8604327580831262e-07
PC13 1.1594742742662651e-07 6.163527389641529e-09 1.652439478761366e-08 -1.2660296838791722e-07 5.481592041616441e-08 -1.5996070489626872e-07 -1.1285194405340267e-07 1.9048316717646467e-07 -6.233625743851178e-08 -8.786461396045893e-08 -1.3322479416599868e-07 -2.8876120125358443e-08 -2.762060825591398e-08 3.5810996918287037e-06 -6.262846765115055e-08 1.5225673729540982e-07 3.340138364325421e-08 1.033485359667992e-08 -6.852292760971622e-08 1.3261392444223727e-08 4.507816671613128e-08 -1.572773262267393e-07
PC14 1.5801744533405934e-07 -8.737259316157898e-08 -1.700232338627325e-07 8.612275129706822e-09 -4.4499669668628504e-08 4.0762072019299064e-08 -2.316065403735162e-08 1.1479237496716812e-08 4.160821425397852e-08 -2.2143221783069098e-08 -7.805639370068485e-08 -7.147765081569932e-08 -1.786237372833006e-08 -6.262846765115063e-08 3.829578840947166e-06 2.1192271422603957e-08 -7.473204939709215e-08 -1.8535525936413587e-08 6.490045178575186e-08 1.0435461289146379e-07 2.393440230497765e-08 -2.2340010214322795e-08
PC15 -4.02602973255374e-07 -1.489209053061375e-07 8.034816678472395e-08 -2.610744110664521e-08 -5.638162318335971e-09 3.915182206810302e-08 -6.999541446993748e-09 -1.2241660983565506e-07 -5.601477550933804e-08 5.301836083744803e-08 -7.469886490831889e-08 8.950685378497961e-08 -1.0868956169155445e-07 1.522567372954098e-07 2.119227142260393e-08 3.6367514335051776e-06 7.333265219680312e-08 -1.1285046188193514e-07 -5.1369540274770144e-08 7.264914192792882e-08 7.774101395264793e-08 -2.0327200275079667e-07
PC16 -6.055115211179111e-08 -1.2163496891005395e-07 -1.2476526539918424e-07 -5.095657091059772e-10 2.4738145320333815e-08 -3.8032529856345624e-08 -1.9821993468304652e-08 -5.500282714071942e-08 3.2999666148183885e-08 1.1047169682804594e-07 -1.1716063496970867e-07 2.343800294157833e-08 -7.562857225448077e-08 3.340138364325419e-08 -7.473204939709209e-08 7.333265219680315e-08 3.74752205438322e-06 1.8355125921379638e-08 -3.977947490690292e-08 -9.92771693457053e-08 -6.358963857937118e-08 -7.980933669829879e-08
PC17 2.6327223086853455e-07 1.62012610998815e-08 1.305008298166992e-07 -7.701508016535013e-08 -2.1087909810357166e-08 1.6381913627740378e-07 2.1304081405827883e-07 -1.4054742315838634e-08 3.81345731563267e-08 1.1104032154499592e-07 3.013275973352225e-08 1.1976195857765772e-07 1.3358209919887487e-08 1.0334853596679948e-08 -1.8535525936413524e-08 -1.1285046188193526e-07 1.835512592137972e-08 3.443481038633582e-06 -9.055335810643077e-09 -1.3673222587122389e-08 1.900090925763026e-08 -4.893180386815115e-07
PC18 7.131755852815935e-09 4.4874038479184175e-08 -2.0057111664337415e-08 -1.1209708333471854e-07 -3.297626298892107e-08 -8.195259359989136e-08 -5.6506463309643954e-08 4.554666018433524e-08 -2.983861020883134e-08 -1.734835826517845e-07 1.2788005901352334e-07 -2.7821561998019622e-08 1.8920612734184177e-08 -6.85229276097163e-08 6.49004517857519e-08 -5.136954027477006e-08 -3.977947490690291e-08 -9.055335810643095e-09 3.4625190770089755e-06 -3.1618033633438673e-08 3.5791021735820925e-08 2.1990440421870866e-07
PC19 4.938278056442749e-07 2.6230709119673267e-08 3.5297572752775675e-08 8.088974681495835e-08 -6.119523340820102e-08 5.7814943780683854e-08 -1.1111662120070702e-08 -2.44689872823693e-08 -5.818933651089493e-08 -6.590809196002387e-08 1.2452880825645856e-07 4.7004576506984e-08 -2.8515462786793893e-09 1.3261392444223706e-08 1.0435461289146371e-07 7.264914192792876e-08 -9.927716934570529e-08 -1.367322258712246e-08 -3.1618033633438687e-08 3.4536503338300214e-06 8.250881719509877e-08 3.804737386975481e-07
PC20 4.5779453049108513e-07 2.2078092385271276e-08 2.1527329095967212e-08 2.78715814952123e-08 -2.9019039320518603e-08 7.008695172831586e-08 -9.503956092979528e-08 -8.153985714308417e-08 6.823272243155472e-08 -5.4445585478198327e-08 8.052708282395993e-09 1.4550541668737542e-07 -4.349233331582369e-08 4.507816671613116e-08 2.3934402304977697e-08 7.774101395264787e-08 -6.358963857937121e-08 1.900090925763025e-08 3.5791021735820945e-08 8.250881719509878e-08 3.234447752217758e-06 1.5027990138793008e-07
proband 1.7581646320988714e-06 8.932752856328279e-07 1.0191671215852332e-06 2.3349427542128987e-07 1.9648422960040636e-06 -2.2218773119049939e-07 -2.0964700065301393e-08 -1.385304120397076e-07 2.820496095757397e-07 4.867964235559357e-07 4.4882420657870326e-07 8.369984236510513e-07 1.8604327580831267e-07 -1.5727732622673932e-07 -2.2340010214322513e-08 -2.0327200275079675e-07 -7.98093366982987e-08 -4.893180386815115e-07 2.1990440421870856e-07 3.80473738697548e-07 1.5027990138793e-07 0.0001803828652157912
