 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
PC10 -1.4124168619611744e-07 2.0134349986338393e-07 1.0165591739395139e-06 1.1334900503128497e-07 -3.0105362393392093e-09 -2.870923791002224e-07 1.174167736241661e-07 -1.9215649543920023e-07 1.1851680554416914e-06 -7.341724210085466e-07 1.4198404600108835e-05 -7.017173376827694e-07 1.2820969014562995e-06 -3.7220509570577476e-07 -8.211062301850651e-07 -2.4853935532636875e-07 -7.138489844212171e-07 5.810003058326472e-09 5.494698989803093e-07 7.035428469650325e-07 6.071443621835049e-07 4.833222110342697e-06 8.592884325825041e-07 -1.7955475909309907e-06
PC11 3.0818139295820886e-06 -8.175393975131822e-08 2.0955529847695874e-07 -6.869208152204687e-08 4.6392006550637293e-07 -1.112080666901161e-06 7.858599970244314e-09 1.6005188841967383e-06 -7.915510812671057e-07 6.085442502124057e-08 -7.017173376827694e-07 1.3334475047134601e-05 -2.722385451378343e-07 -4.827680583624765e-08 -6.925185254794176e-07 3.4823539568458036e-07 -4.627335875528918e-08 1.2488127086614727e-07 -7.08870069603671e-08 -1.3946576019517875e-07 3.751974103164271e-07 2.263463393391966e-06 4.222243616643821e-06 -5.770723886577114e-07
PC12 -2.223471076653341e-06 7.401055070534199e-07 2.5229037465174314e-08 2.4784837068511074e-07 -8.934520906645857e-07 -4.536385208994955e-08 6.57061982520102e-08 5.47601152117034e-07 3.5543328883165836e-07 -2.836378104442312e-07 1.2820969014562986e-06 -2.72238545137834e-07 1.331058102015075e-05 5.69237249406755e-07 -3.092846609306708e-07 -6.897133615617246e-08 2.1399890195098665e-07 9.448477710505099e-08 4.3216769572379096e-07 -3.6155299663907383e-07 4.698156399952662e-07 2.2816857039904907e-06 6.793508985665126e-06 -6.277676620472856e-07
PC13 1.2253585122644088e-06 1.7383818807157158e-07 -5.548799044604274e-07 -9.536587093596124e-07 -1.9191146877538657e-07 -1.6042585637041431e-06 -5.195549514720563e-07 6.470913253340651e-07 2.4377023242612175e-07 -2.661258226184702e-07 -3.7220509570577487e-07 -4.8276805836247885e-08 5.692372494067551e-07 1.2632102911769262e-05 2.440222449524597e-07 9.756084334681268e-07 -3.1397427497447873e-07 1.1102936433686382e-07 -6.137497481568811e-07 -2.742047725704202e-07 3.217463321385507e-07 6.546572042975843e-07 -5.4131777578403064e-06 4.46474337695533e-06
PC14 -9.008953001013076e-07 -3.220863834299654e-07 9.579937768247342e-07 -2.66589207338224e-09 -8.539974840865263e-08 1.7424011490469693e-07 2.899583053307784e-07 -1.0949168207934259e-07 -2.340728726286617e-07 -3.320902825442159e-08 -8.211062301850642e-07 -6.925185254794172e-07 -3.092846609306713e-07 2.4402224495246004e-07 1.278663568925114e-05 -9.284593969642882e-08 -3.591654234608944e-07 8.869385655532981e-09 3.8482044873065137e-07 4.6798650475097594e-07 -2.7518117331512815e-07 1.0570003937728331e-06 -2.6234172256314574e-06 -7.675464727787647e-07
PC15 3.047880809119377e-07 -6.478383494480736e-07 -1.1928758225058747e-07 -1.4871238059171788e-07 -9.913293126867156e-08 -2.4335452992996074e-08 3.0112740756783756e-07 -4.763581025936842e-07 -2.904559647673393e-08 -5.71987251732487e-08 -2.485393553263686e-07 3.4823539568457973e-07 -6.897133615617234e-08 9.756084334681268e-07 -9.28459396964287e-08 1.3084174029255205e-05 5.469428189958366e-07 -7.111366333619396e-07 -3.488528678226637e-07 -2.617240737343148e-07 -3.61229750812767e-07 3.6636359829830582e-06 -1.8513137943405068e-06 -5.189191097810148e-07
PC16 4.053714649132108e-07 -5.29656989812808e-07 -1.86586880737629e-06 9.244904300649394e-08 -9.101162911935774e-08 -2.0059004399481168e-07 -9.76731595153418e-07 -5.385369515379141e-07 8.131155304285685e-10 6.205148006032151e-07 -7.138489844212171e-07 -4.6273358755289355e-08 2.139989019509867e-07 -3.139742749744791e-07 -3.5916542346089426e-07 5.469428189958366e-07 1.3343423277312459e-05 -2.1948164367785618e-07 7.902701989356416e-08 -5.461796830767498e-07 -1.950601073394355e-07 -3.7423711894306124e-06 1.5128266584711698e-06 3.599799162193484e-06
PC17 1.12004650861329e-06 1.8128447283322463e-07 9.029676795204302e-07 -4.445474727025181e-07 1.5928921099257995e-08 9.779082379911337e-07 6.690446301075812e-07 1.21132472475082e-07 -1.5013143853203472e-07 2.477282517424904e-07 5.810003058326796e-09 1.2488127086614722e-07 9.448477710505116e-08 1.1102936433686407e-07 8.869385655533037e-09 -7.1113663336194e-07 -2.1948164367785607e-07 1.2692627872116854e-05 -1.252430752025188e-07 4.865686749889856e-08 -3.143968872628082e-07 -6.295511154143308e-07 -2.3408251976116975e-06 -2.224526079145252e-06
PC18 2.753222281979724e-06 -5.243400814857641e-08 7.780696209094156e-07 -3.456992184537885e-07 -3.6048889696995737e-07 -3.0164098277397054e-07 -3.778215010878502e-07 4.31676734464297e-07 -1.2516134132145709e-06 6.175352334193729e-08 5.494698989803086e-07 -7.088700696036687e-08 4.3216769572379086e-07 -6.137497481568813e-07 3.8482044873065127e-07 -3.488528678226636e-07 7.90270198935641e-08 -1.252430752025188e-07 1.2529604758767048e-05 3.1350415241426827e-07 2.260550046132178e-07 -3.889268289471851e-07 1.187721733789422e-06 1.372686271751017e-06
PC19 5.069378672500807e-06 1.1960106668828438e-07 -1.4914635680332865e-06 5.192917420018741e-07 7.714943593071994e-09 8.573783540329815e-07 -5.167182472524072e-07 -4.166782371969909e-07 -3.3593178341299544e-08 -3.77851158648079e-07 7.035428469650318e-07 -1.3946576019517854e-07 -3.6155299663907436e-07 -2.742047725704199e-07 4.6798650475097536e-07 -2.617240737343146e-07 -5.461796830767499e-07 4.86568674988987e-08 3.1350415241426817e-07 1.258941839014495e-05 4.195102976268669e-07 -4.7675927812129277e-08 -4.225260878698944e-06 3.853308615459641e-06
PC20 -2.0274013222534553e-06 2.8870250392760845e-07 -1.350745630835705e-07 2.729151869063413e-07 -1.058809368848798e-07 1.9128406486050188e-07 -3.0308013882409647e-07 -2.82579416565891e-07 6.452387962691617e-07 -3.538978455153214e-07 6.07144362183505e-07 3.7519741031642684e-07 4.6981563999526654e-07 3.217463321385508e-07 -2.7518117331512826e-07 -3.6122975081276666e-07 -1.9506010733943508e-07 -3.1439688726280864e-07 2.260550046132179e-07 4.1951029762686706e-07 1.175097474276649e-05 5.929324124898104e-07 -6.002074358144974e-07 -4.446193619069991e-06
proband 1.3976603329784886e-05 -9.375614229712087e-07 5.928782955902762e-06 1.6517493764204862e-06 1.6132156219740886e-08 -2.4629492505907473e-06 3.2591211294929996e-06 -1.8707958844449454e-06 -1.0947863698549386e-06 3.891419350922454e-07 4.8332221103426914e-06 2.2634633933919654e-06 2.2816857039904907e-06 6.546572042975841e-07 1.0570003937728346e-06 3.6636359829830557e-06 -3.7423711894306095e-06 -6.295511154143357e-07 -3.8892682894718497e-07 -4.767592781213011e-08 5.92932412489811e-07 0.0012282674501631302 -0.0006201451999541134 -0.0006777234328947292
paternal -2.2261751963568923e-05 4.734205425799764e-06 -3.5575147135051037e-06 -1.2262646825191342e-06 4.005800109449551e-06 4.142447520570282e-06 -9.18360788796828e-06 3.7421238402022747e-06 3.3423659763746805e-07 5.77965592262368e-07 8.592884325825083e-07 4.222243616643823e-06 6.793508985665125e-06 -5.413177757840305e-06 -2.6234172256314553e-06 -1.8513137943405043e-06 1.5128266584711655e-06 -2.3408251976116932e-06 1.1877217337894208e-06 -4.225260878698943e-06 -6.002074358144973e-07 -0.0006201451999541135 0.0011920581978265737 0.0002478701693274858
maternal -3.550958465300833e-05 5.918795725759895e-06 1.4096301984108286e-06 -1.167012371104252e-06 8.897908794676318e-06 4.7200278585374676e-06 -6.027024384718623e-07 4.7854463489327586e-06 1.7478099619163887e-06 6.87380621152611e-06 -1.7955475909309898e-06 -5.770723886577105e-07 -6.277676620472886e-07 4.464743376955333e-06 -7.675464727787684e-07 -5.189191097810129e-07 3.599799162193476e-06 -2.224526079145248e-06 1.3726862717510155e-06 3.853308615459643e-06 -4.446193619069989e-06 -0.0006777234328947293 0.00024787016932748576 0.001211940287199023
