 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.004350663724396004 0.0001336405181738035 0.002477044531154981 0.006889941500996271 0.007871377513921612 0.0023869549112859 3.955056979649107e-06 1.0568416561075403e-05 -5.268253938278825e-06 4.301205308847298e-06 -2.4876814992617923e-06 -3.3733317464587384e-06 2.121437471356524e-06 -1.2023823205112508e-06 -5.199839949526208e-06 -1.42279616399498e-06 -6.774911847095699e-06 -1.3579111811396958e-06 -1.2097134774277617e-05 5.489977119109355e-06 3.894470438847585e-06 3.3916082991467734e-06 -9.800704560599296e-07 4.941667093046308e-06 6.147209173472597e-06 2.686898225355338e-06 6.845895826869776e-06 0.00022491161975806488 0.00035459234201596913 -0.00021166007045485044 -0.00023305676578013664 -0.00010379020584151336 -0.0005469940333972479
AGE 0.00013364051817380378 7.292071575225583e-06 -8.718390419167548e-06 -2.7534444053366436e-05 -3.110920224157971e-05 -9.370931037348563e-06 6.763682127070928e-08 5.225893705143399e-07 -2.2264852265872372e-07 1.6014452067067308e-07 1.2012466179183113e-07 -2.3340403151448643e-08 -4.4765531361963137e-08 -9.963888017069496e-08 -2.8455543518497083e-07 1.1502578283434583e-07 -1.7531918082441677e-07 -3.078382564396208e-07 -5.433815521170116e-07 2.963830378795737e-07 2.7896436682741774e-07 2.3313118818386733e-08 -5.3063986736984653e-08 3.5576627815676554e-08 1.4183689350095848e-07 -1.805665088146413e-07 8.57602084071637e-07 2.8996689124094293e-06 2.0991397639379607e-05 -2.924744076394356e-06 -2.4545720782797863e-06 -6.289473502721588e-06 -3.022335943034224e-05
sex 0.002477044531155056 -8.718390419169242e-06 0.02451282159061783 0.028901854595659724 0.020384381867461797 0.0044354558136012745 -6.5740471116069884e-06 9.657349435207513e-06 -2.734510557960468e-06 -6.656895876719666e-06 1.1669124758092757e-05 -2.6267786001065037e-06 3.8817188090543995e-07 8.628879894896372e-06 3.735996912677699e-06 4.967008510636934e-06 -1.592980254771442e-06 1.3630539315317172e-05 -1.589605846547976e-06 1.0756564497662805e-05 -1.2913959545624157e-06 -9.418503236695732e-06 3.694502735416901e-06 -2.3232552757047614e-06 1.6668394197070558e-05 8.865498682912236e-06 1.213372248801781e-05 0.0003338225985461486 0.00016401274796922096 -0.0001253645588289989 -0.0001822110846067525 -0.00021551973142768758 -0.00017770051458897937
age_sex 0.006889941500996343 -2.7534444053369234e-05 0.02890185459565926 0.06144008601215327 0.06096444889661503 0.01687111418141854 -1.9584713707153605e-06 8.108562949764301e-06 1.2847788932299468e-05 -4.656498212929006e-06 8.325938846018829e-06 9.692427703410213e-06 -4.14227080881806e-06 1.3169932457628308e-05 1.282717836084544e-06 1.3651499360067999e-05 -6.703646454337088e-06 1.9191518353612166e-05 -1.9658739454772945e-06 3.0358844262701434e-06 5.397014653707207e-06 3.018189582226436e-06 5.024884838348229e-06 -6.489160898452591e-06 9.297316531283368e-06 -5.28998540451605e-06 -5.571957427822829e-05 0.0008193353058434133 0.000375704271602634 -0.00030276240449051155 -0.0006521436205022703 -0.0003856817778908949 -0.0004956543293380011
age2_sex 0.00787137751392159 -3.110920224158242e-05 0.02038438186746105 0.06096444889661423 0.07016822720336813 0.021219987978845944 -6.891328358348748e-07 4.0042565735416325e-06 1.9796082005757e-05 -3.0647208104987524e-06 4.8710463198244515e-06 1.6373903049951367e-05 -3.6683840253996177e-06 1.2004873232965037e-05 5.339181921208222e-07 6.955703289518317e-06 -5.725344001810146e-07 1.6733858615705272e-05 -1.3779811356101884e-06 -4.484710163937398e-06 7.597152066384968e-06 1.5821953629600742e-05 5.382244689160976e-06 -5.793823392761603e-06 1.9392391150203586e-06 -8.954660795994568e-06 -2.960503798265703e-05 0.0008034781857316087 0.00023326037803428514 -0.0002009857763898208 -0.0007951086247856069 -0.00021824866222456377 -0.0004536881548623839
age3_sex 0.002386954911285873 -9.370931037349317e-06 0.0044354558136010126 0.016871114181418154 0.02121998797884576 0.0067760887558502465 -2.4009239166640843e-07 7.604355889706499e-07 6.4075158051831765e-06 -6.217345421722655e-07 1.197038892527036e-06 5.614649150634098e-06 -6.347870322513335e-07 3.328971860722701e-06 -7.408872777793111e-08 4.036234945590539e-07 9.991977952118678e-07 4.272538204283872e-06 -3.47854809843249e-07 -2.5422716750516725e-06 2.141238271931159e-06 6.951510111537219e-06 1.603147666692871e-06 -1.493556868793649e-06 -3.300206669120352e-07 -2.3934489764552485e-06 1.4230063341056608e-05 0.00019118673156604633 2.4360942836838496e-05 -1.2884670199596848e-05 -0.00025267073829100193 -1.4607985644445996e-05 -0.00013019628321324424
PC.PC1 3.95505697964939e-06 6.763682127071039e-08 -6.574047111605587e-06 -1.9584713707128647e-06 -6.891328358327942e-07 -2.4009239166591604e-07 1.9124744736974494e-06 -3.7348089882607156e-08 -6.489459343347597e-08 -1.170483959813978e-07 8.631462684388436e-08 -4.492142654960591e-08 -1.3443973421828038e-07 9.914023322998567e-08 6.879906003169714e-08 -3.150949724071206e-08 -1.4425022793114882e-08 1.8089970650029774e-07 -1.9697754503847922e-07 -9.24664969008238e-08 1.5189586606860595e-07 -1.4408385626762248e-07 1.3867092805725396e-08 1.4801228440457225e-07 4.1531836613983385e-07 -2.320410153293351e-07 1.356348902283061e-07 -3.5481984755080845e-06 1.4507695770776632e-06 -1.1819795454833683e-06 7.535471712180164e-06 -3.4195370414246287e-06 2.073095933534339e-06
PC.PC2 1.0568416561075436e-05 5.22589370514346e-07 9.657349435207265e-06 8.108562949763324e-06 4.004256573540527e-06 7.604355889703286e-07 -3.7348089882608036e-08 3.0530870304573044e-06 -7.087408317166491e-08 7.479855290137469e-08 1.150557428463702e-07 -9.401905653175959e-07 -1.8218921485079496e-07 -6.752238888643567e-08 1.2363062033430646e-07 6.952516552245083e-08 -7.724099416672088e-07 -3.924155791821456e-07 6.708637643120319e-08 -2.6586753669775895e-07 -1.6544460528110486e-07 6.197427801573634e-08 -3.887123048981499e-08 -2.214950571698101e-07 -3.0959348410618563e-07 5.8826039894592315e-08 4.3931493899780587e-07 8.50910919510361e-07 -5.092296921823941e-06 1.7045597578170416e-06 -5.476492314067741e-06 8.702651610746352e-07 -1.2153271432125055e-06
PC.PC3 -5.268253938278589e-06 -2.2264852265872173e-07 -2.7345105579598623e-06 1.2847788932300776e-05 1.979608200575851e-05 6.407515805183654e-06 -6.489459343347678e-08 -7.08740831716627e-08 3.634900663539316e-06 1.1564653312654733e-08 3.658966350820999e-07 4.1555527671488454e-07 6.405505896302839e-08 -3.5023329305414085e-08 -7.304707303746267e-08 3.6284858271741837e-07 3.259094443294013e-07 -2.471132025002887e-07 7.517754086319347e-08 1.1834754584153254e-07 2.8564570831551336e-08 -8.83486151782742e-08 1.6475653517983826e-07 -7.77648035801752e-08 -3.272132534467986e-07 -8.924838887563774e-08 1.4423501740355784e-06 -3.3444232629208337e-06 -4.165804866933903e-06 4.899975363119951e-06 9.068466366649648e-06 1.0390789720352496e-05 8.699213047065831e-06
PC.PC4 4.301205308848863e-06 1.6014452067069637e-07 -6.656895876713941e-06 -4.656498212920125e-06 -3.0647208104911838e-06 -6.2173454217036e-07 -1.1704839598139766e-07 7.479855290137879e-08 1.1564653312654297e-08 4.6998701274187556e-06 6.677712932933456e-07 -3.659058600223391e-07 2.0289878958598073e-07 -1.0593261568230504e-07 1.1716511978785786e-07 5.7862120393822904e-08 -1.483418887088264e-07 -1.6282935123964804e-08 1.853694516162865e-08 -4.925653878214115e-09 -1.0654051070017375e-07 1.791802264715295e-07 -1.2310895898317716e-07 -7.613539740249638e-07 2.5068453736173385e-07 3.789415571731795e-07 -1.072562608109005e-06 -6.147053181015311e-07 -2.4704949528407845e-08 9.316064610222764e-07 1.0024960762517657e-05 3.179282685120354e-06 -7.3673711887804156e-06
