 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.00028983583169809354 2.3008164033105913e-06 -1.6774172667456945e-06 -7.057213472182339e-06 3.2691392312197698e-06 4.351232927070081e-06 2.7102945411227208e-09 2.0797957630877017e-06 -1.7498489751303658e-06 7.151063545444177e-07 7.657481756380447e-08 5.201280709974659e-07 -9.10416355787466e-09 2.532495703728511e-07 9.111680978079278e-10 3.9747725515827767e-07 7.710597978635223e-07 5.629857174191593e-08 -1.0042830158012023e-06 -1.60116016501081e-07 -6.315905988672326e-07 3.077127424508132e-07 1.5610316670778014e-06 1.7336179622682027e-07 1.7817594713158078e-07 -9.28842290062067e-07 -4.685190860947269e-06 2.7354692480338552e-06 1.378812563851884e-05
AGE 2.3008164033106078e-06 6.520053948350859e-07 5.275663523204261e-07 5.507999744917076e-07 -6.54330937494788e-07 -4.674321300524316e-07 -1.8367941240169155e-08 6.126455724180993e-08 -4.891343252890454e-08 2.6278428616496317e-08 6.18749237426045e-08 2.728768590714918e-08 -5.318249875819698e-08 7.127438142335556e-09 2.0057497706491965e-08 4.332186777733109e-08 6.540241358351755e-08 -2.793362118208883e-09 -6.286264531777561e-08 1.4407651207309079e-08 1.4828417517509651e-09 -8.69156895484833e-09 1.3261466212346586e-08 -5.940068497609724e-10 1.3353073667120074e-08 -3.7294144240584696e-08 -6.739362918008012e-08 1.3637102250836765e-07 -2.98713174763545e-07
sex -1.6774172667457e-06 5.275663523204252e-07 0.0009558112298775173 8.47447456526627e-05 -0.000255829877349939 -6.82582582568455e-05 2.5533666827882026e-07 2.8838968487992977e-07 -2.0776083179047979e-07 1.4596739543002675e-07 1.01692241807596e-06 -6.464501451495238e-07 -3.4048636947733733e-07 1.0548865811382033e-07 -5.20419811788446e-07 -5.5367409817025267e-08 3.204829837604995e-07 -5.01554347763723e-07 -1.3911427332013835e-07 4.184722632523025e-07 -2.408660980781199e-07 -6.349002230315677e-07 -6.073507848500897e-08 -2.6288162358664014e-07 -4.0307793755006316e-07 4.0957807114321414e-07 -3.594565728053052e-07 7.2716529040240765e-06 -3.912224493953275e-07
age_sex -7.05721347218232e-06 5.507999744917078e-07 8.474474565266261e-05 0.0004545524542398452 -6.584001743937581e-05 -0.00015713893555539945 4.169517668942167e-07 6.786271131204031e-08 1.5022206733168533e-07 2.84966950026779e-07 -1.0525977399086894e-07 5.1584739985816286e-08 -4.570614370134979e-07 6.314606238200989e-10 5.6678739427377515e-08 1.0718252367386086e-06 -6.541833393859784e-07 -2.0137401168573437e-07 4.354653670862024e-07 -1.7931443259405547e-08 -4.476798240183065e-07 -2.0934337261218647e-07 -9.499863978201676e-07 4.97798128464191e-08 1.716215541616697e-07 3.7805115952863786e-07 7.278439533610091e-07 1.4743730540056505e-06 3.655165859122689e-07
age2_sex 3.269139231219781e-06 -6.543309374947875e-07 -0.0002558298773499391 -6.584001743937574e-05 0.0001504697170669257 5.578489806939493e-05 -6.242619004885446e-08 -9.417653344894253e-08 1.9837848586572298e-07 -6.866259174820813e-08 -1.5343041251699495e-07 1.2070537810532337e-07 1.759012862829694e-07 -3.5486031675210703e-08 2.378707102192734e-07 -1.0788013838451224e-07 1.350455148578609e-07 2.4607677004332227e-07 6.31872290980028e-08 -2.9137293224698527e-07 8.089511590289734e-08 -1.2883837158370451e-07 1.2794438669439872e-07 -8.24827981571214e-08 4.7359818691002064e-08 -8.96294786133701e-09 -1.4796267073251865e-06 2.4170962699078326e-06 1.3597369481264028e-06
age3_sex 4.351232927070063e-06 -4.674321300524314e-07 -6.825825825684557e-05 -0.00015713893555539943 5.5784898069394966e-05 8.000309732957909e-05 -1.1255441115609883e-07 5.119058684404888e-08 2.9823693100190486e-08 -3.7254574443984054e-08 -1.1488417176122632e-08 -5.331184906400998e-09 1.7588249602095659e-07 1.1397421020269086e-08 -3.108977128721583e-08 -3.585862709110013e-07 2.693257630518358e-07 1.0000150961292619e-07 -1.8861477606276306e-07 -1.0037315468214176e-07 1.4370391357409014e-07 7.286494639586308e-09 2.592514392305907e-07 -1.643335038644288e-07 -1.0795033588633532e-07 -6.398706628424878e-08 5.680063046452236e-07 -3.5283210960507297e-06 -2.3728148588488728e-07
PC.PC1 2.7102945411222518e-09 -1.8367941240169175e-08 2.5533666827882037e-07 4.169517668942171e-07 -6.242619004885456e-08 -1.1255441115609905e-07 5.443803250337946e-07 -2.296042122885971e-08 -3.139491030014251e-08 -2.0990512504551354e-08 -3.820857961728727e-08 9.467851911181182e-09 -2.9242214571124253e-09 2.8042556451438997e-08 5.0321904784512004e-08 -8.643269258554868e-09 -1.891566099118725e-08 1.5528929010366744e-08 -3.9860999226327655e-09 -2.98081693097103e-08 3.9516998831291146e-08 5.414749768697644e-09 1.0609934493358958e-08 -1.3328051537564985e-08 -1.0709662455361509e-08 -3.2484443789450176e-09 4.0693538128337554e-08 1.9768465516465657e-07 3.199786401647008e-07
PC.PC2 2.0797957630877627e-06 6.126455724181036e-08 2.883896848799284e-07 6.78627113120398e-08 -9.41765334489418e-08 5.119058684404926e-08 -2.2960421228859733e-08 1.092834894139896e-06 -7.482719546943952e-08 7.250936221777055e-08 1.6865367090977447e-08 -1.0021353441762949e-08 6.150775042122912e-10 -3.905513306635866e-08 1.912802007197431e-08 1.1384138791498763e-08 -1.4639962759099756e-08 -1.96511219727565e-08 -2.205279017570083e-08 -2.0389402975989677e-08 -2.459658893782674e-08 4.847262596367327e-08 1.0647808667109308e-08 7.0123580899379486e-09 5.389380016049957e-09 9.051453145419695e-09 -3.059228941713763e-07 -1.497617742661629e-07 -5.787430892213166e-07
PC.PC3 -1.7498489751303578e-06 -4.891343252890453e-08 -2.07760831790479e-07 1.5022206733168588e-07 1.9837848586572277e-07 2.982369310019032e-08 -3.139491030014239e-08 -7.482719546943934e-08 1.1179130291274989e-06 9.228189292280712e-09 8.380043712638078e-08 6.623331427457622e-09 3.0286236256958264e-08 -5.989250227510595e-08 5.880692398136638e-09 3.694484064713277e-08 -2.8134666120521017e-09 -3.471591323832851e-08 -1.554258836897192e-09 4.035567901166083e-08 2.826479864732434e-08 -5.399287681217293e-08 -3.673334458827607e-09 5.436213439106989e-08 1.8734280017164055e-08 2.54438167894179e-09 2.40360853904226e-07 1.393483908720172e-06 1.8126994320226504e-06
PC.PC4 7.151063545444185e-07 2.627842861649631e-08 1.45967395430027e-07 2.8496695002678243e-07 -6.866259174820872e-08 -3.7254574443985496e-08 -2.0990512504551175e-08 7.25093622177702e-08 9.228189292280645e-09 1.5125757817882877e-06 1.132484095216412e-07 -4.822748634310453e-08 1.2631582783613485e-07 6.254204549552912e-08 1.9215370349041548e-08 -2.740527944724005e-08 -2.707260506795204e-08 6.911977014126522e-08 -2.064158504983341e-08 5.6244747913066836e-08 3.268413859782875e-09 4.484154350859995e-08 -6.406719352481132e-09 -3.3310759270500054e-09 -1.0310836451116261e-08 -4.920540349530603e-08 1.5362271976123887e-07 8.0390747314363e-07 -1.1258964195237047e-06
