 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.00016840675578282273 1.2902939564043202e-06 -7.168856752055982e-07 -6.978621990980891e-06 2.8254047386703877e-06 3.370745951516277e-06 -9.33455896668727e-08 6.555385142527264e-07 -3.1572267498677595e-07 1.463627678104242e-07 1.345084044612853e-07 1.0986064133764531e-07 -3.9430554196560677e-07 2.2323678498292807e-07 1.1340793970333807e-07 5.086020987497116e-09 2.734661650512999e-07 1.9409316924252574e-08 -1.964819888641179e-07 -1.628732205914007e-07 -2.2590384999570985e-07 1.3302156303107922e-07 5.168963588087478e-07 -3.073088373404931e-08 7.665757025773689e-08 -3.8882294889909457e-07 3.702938840414752e-07
AGE 1.2902939564043325e-06 5.286516565775581e-07 6.31828540906205e-07 2.828717646752951e-07 -7.476529165756369e-07 -3.387925948781305e-07 -1.3388847148776535e-08 5.042457340296736e-08 -3.8337200635088124e-08 2.4600524294686432e-08 5.5705499106575543e-08 3.449410858058897e-08 -3.3939741771553496e-08 1.201301649894997e-08 2.517543355559873e-08 3.1089593020850565e-08 5.538205847047669e-08 -1.408288393814127e-09 -5.41827260370445e-08 1.3647628055098045e-08 2.2486784188557273e-09 -1.0521075876884747e-08 2.0493621725894828e-08 -2.768306322042466e-09 3.5406987673165e-09 -3.2173695163569586e-08 -2.1616182797019348e-07
sex -7.168856752055363e-07 6.318285409062066e-07 0.001033256044983461 9.473668283385289e-05 -0.00026341736296004776 -6.945747159379462e-05 2.627227167995853e-07 2.262132249164206e-07 -3.382460502484583e-07 1.9761880034380266e-07 1.2299256507388727e-06 -5.561100914643488e-07 -2.638452745104185e-07 -6.10255366232444e-08 -4.165688114988077e-07 1.5112334765688746e-07 6.117231145934858e-07 -5.438542645657275e-07 -2.2232083475851073e-07 2.4769827406655674e-07 -2.151343975620925e-07 -7.090717607680618e-07 3.5181168787323464e-07 -4.88325472328857e-07 -3.8047774880314956e-07 2.930852439983445e-07 4.083571020718206e-06
age_sex -6.978621990980905e-06 2.8287176467529917e-07 9.473668283385331e-05 0.00046791183762637115 -6.40421709445004e-05 -0.0001525023692728681 3.3174337727934707e-07 1.8811374904275415e-07 1.2176259352038036e-07 2.437294057719474e-07 2.043489629906602e-08 2.1195704043870805e-07 -3.341837262311353e-07 -3.940729128278776e-08 -2.0240886877062183e-07 9.691800483386751e-07 -5.558840044555237e-07 -2.0932230066642884e-08 4.898413291751001e-07 -3.416804729839171e-08 -1.6253694850711536e-07 -3.296252220957995e-07 -8.219908641036788e-07 -2.449835979825573e-07 1.4963746282634222e-07 2.299780783202352e-07 -7.86898745189066e-08
age2_sex 2.8254047386703483e-06 -7.476529165756377e-07 -0.00026341736296004776 -6.404217094450013e-05 0.00014843837559015336 5.2763054165033234e-05 -8.623687157372435e-09 -5.610086308667947e-08 2.68465419468598e-07 -8.010208198150527e-08 -3.674359142216103e-07 6.405640117097003e-08 9.697111374151506e-08 5.399563031725473e-08 1.9042991207362364e-07 -1.4703703606050255e-07 3.2024308214703445e-08 1.2666363407111561e-07 1.3038039202617207e-07 -2.467193701646032e-07 9.54476714206486e-08 -3.914138645182492e-08 6.2468240394151e-08 1.1434165763585706e-08 1.2020266925778688e-07 4.291821486774127e-08 6.073245402213642e-08
age3_sex 3.3707459515162824e-06 -3.3879259487813183e-07 -6.94574715937948e-05 -0.00015250236927286806 5.276305416503333e-05 7.394537759110028e-05 -7.967661585136012e-08 -4.992090157923854e-08 6.903976579110562e-08 -5.213501717218787e-08 -7.994358915195223e-08 -1.1102039314089813e-07 1.0533708894039444e-07 5.18798870371048e-08 4.540837687760855e-08 -3.302794786318763e-07 2.2276425458007573e-07 -5.542628703939913e-08 -1.5765982234076857e-07 -1.0180505345567649e-07 3.343405703657634e-08 3.986398478501389e-08 2.650735653424746e-07 -1.9031582493084097e-09 -3.532637226314512e-08 -8.390381367409799e-10 -4.004925052509974e-07
PC.PC1 -9.334558966687192e-08 -1.3388847148776573e-08 2.6272271679957223e-07 3.3174337727928243e-07 -8.623687157363565e-09 -7.967661585133904e-08 3.3972517694025296e-07 -1.9354736095652565e-09 3.786114622537851e-10 -2.2866007813811862e-08 -2.319443579136906e-08 4.700601247031127e-10 -1.669254989707592e-08 1.637796646168011e-08 1.7828415671255184e-08 -8.57132259009717e-09 -5.610760117625469e-10 1.3099891399303891e-08 -9.217687088258715e-09 -1.0990540029994798e-08 2.2184074547958255e-08 -6.0240555486463944e-09 4.554829548766936e-09 -1.112169122649898e-08 -9.374949501343285e-10 -1.3352585736129445e-08 1.8056355935424563e-07
PC.PC2 6.555385142526996e-07 5.042457340296719e-08 2.2621322491641792e-07 1.881137490427469e-07 -5.610086308667874e-08 -4.9920901579236446e-08 -1.93547360956531e-09 5.828705809642375e-07 -3.140054739319485e-08 3.484437714938778e-08 2.6128149608363708e-08 -3.786580641638979e-08 -7.850855961813727e-10 -1.0285226118439383e-08 -1.9146876203395976e-09 1.3729226006583669e-08 3.59130056348609e-09 -9.087515494463369e-09 2.6217798727785944e-08 5.221088942640406e-09 -8.607842970994427e-09 1.2842295570711022e-08 -3.024293889885221e-08 -5.073676984790214e-09 -1.8554446010561314e-09 1.2383087588682464e-08 -6.255250230205586e-07
PC.PC3 -3.1572267498678066e-07 -3.8337200635088143e-08 -3.382460502484579e-07 1.217625935203834e-07 2.684654194685975e-07 6.903976579110448e-08 3.7861146225375097e-10 -3.140054739319499e-08 7.003597027573232e-07 3.3754008848569467e-08 3.5594106088645844e-08 1.3025926454314638e-08 2.4785774518948544e-08 -3.539999429060093e-08 5.022705965884871e-09 3.41284030191716e-08 -1.2407392411251307e-08 -2.3516401472249415e-08 -1.4840099467409866e-08 1.916384103353435e-08 1.520423798334807e-08 -2.4325411989039304e-08 4.962051063423184e-09 4.8656775875545434e-08 8.769356655093538e-09 -4.552986257072839e-09 1.3079701573699754e-06
PC.PC4 1.4636276781042733e-07 2.4600524294686452e-08 1.9761880034380266e-07 2.437294057719476e-07 -8.010208198150534e-08 -5.213501717218797e-08 -2.2866007813811835e-08 3.4844377149387815e-08 3.375400884856954e-08 8.99624199011578e-07 7.038219904304281e-08 -4.188911423778254e-08 1.2234995818400948e-07 4.2733481950977867e-08 3.8340261879199e-09 -3.063595667558893e-08 -1.2392294988096021e-08 4.771288806756624e-08 -5.22930270404347e-09 4.0386609357665354e-08 1.3035591521975332e-08 3.314623463095134e-08 -1.3189029627302826e-08 2.8044520169034015e-09 -4.794041432703052e-09 -2.543674445559094e-08 1.923442142442921e-09
